"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00021","","","","39","28","1","1","7","27","27","32","19","7.5","4.5","12.5","5","1","3","3","12","24.5","51","0.234375","0.236842105","0.235294118","1.888888889","1.307692308","1.185185185","0.820512821","0.444444444","0.307692308","0.462962963","0.320512821","62.74509804","48.97959184","69.23076923","7.122507123","10.28806584","11.3960114","16.46090535","11.8708452","17.14677641","23.2668566","33.60768176"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00022","","","","39","32","1","1","5","29","29","18","21","5","5.5","6.5","4","1","1","3","10.5","17","39","0.277777778","0.261904762","0.269230769","1.344827586","1","0.620689655","0.461538462","0.362068966","0.269230769","0.224137931","0.166666667","46.15384615","61.76470588","74.35897436","4.748338082","6.385696041","9.971509972","13.40996169","6.172839506","8.301404853","16.14434948","21.71136654"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00023","","","","39","35","1","1","7","31","30","21","13","5.3","3.5","10.3","4","1","1","3","8.8","19.1","34","0.252380952","0.269230769","0.258823529","1.096774194","0.871794872","0.677419355","0.538461538","0.283870968","0.225641026","0.332258065","0.264102564","61.76470588","46.07329843","79.48717949","5.033238367","6.33213859","8.357075024","10.51373955","9.781576448","12.30585424","18.13865147","22.81959379"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00024","","","","39","36","1","1","7","31","30","14","19","3.5","4.7","7.5","4","3","3","3","8.2","15.7","33","0.25","0.247368421","0.248484848","1.064516129","0.846153846","0.451612903","0.358974359","0.264516129","0.21025641","0.241935484","0.192307692","42.42424242","52.22929936","79.48717949","3.323836657","4.181600956","7.787274454","9.796893668","7.122507123","8.960573477","14.90978158","18.75746714"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00025","","","","39","37","1","3","5","35","34","29","18","7.2","4.5","5.5","5","3","3","3","11.7","17.2","47","0.248275862","0.25","0.24893617","1.342857143","1.205128205","0.828571429","0.743589744","0.334285714","0.3","0.157142857","0.141025641","61.70212766","68.02325581","89.74358974","6.837606838","7.619047619","11.11111111","12.38095238","5.22317189","5.82010582","16.334283","18.2010582"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00026","","","","39","38","3","5","5","30","30","33","17","8.9","4.7","11.5","2","5","5","1","13.6","25.1","50","0.26969697","0.276470588","0.272","1.666666667","1.282051282","1.1","0.846153846","0.453333333","0.348717949","0.383333333","0.294871795","66","54.18326693","76.92307692","8.452041785","10.98765432","12.91547958","16.79012346","10.92117759","14.19753086","23.83665717","30.98765432"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00027","","","","39","39","1","1","7","29","29","13","21","3.6","4.5","15","6","5","5","1","8.1","23.1","34","0.276923077","0.214285714","0.238235294","1.172413793","0.871794872","0.448275862","0.333333333","0.279310345","0.207692308","0.517241379","0.384615385","38.23529412","35.06493506","74.35897436","3.418803419","4.597701149","7.692307692","10.34482759","14.24501425","19.15708812","21.93732194","29.50191571"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00028","","","","39","29","1","1","7","24","24","28","32","6.9","6","4.7","6","5","5","1","12.9","17.6","60","0.246428571","0.1875","0.215","2.5","1.538461538","1.166666667","0.717948718","0.5375","0.330769231","0.195833333","0.120512821","46.66666667","73.29545455","61.53846154","6.552706553","10.64814815","12.25071225","19.90740741","4.463437797","7.25308642","16.71415005","27.16049383"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00029","","","","39","32","1","1","5","30","30","32","40","7.7","7","8.5","8","3","3","1","14.7","23.2","72","0.240625","0.175","0.204166667","2.4","1.846153846","1.066666667","0.820512821","0.49","0.376923077","0.283333333","0.217948718","44.44444444","63.36206897","76.92307692","7.312440646","9.50617284","13.96011396","18.14814815","8.072174739","10.49382716","22.0322887","28.64197531"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00030","","","","39","33","1","3","5","31","31","27","32","6.7","6.5","7.5","8","5","5","1","13.2","20.7","59","0.248148148","0.203125","0.223728814","1.903225806","1.512820513","0.870967742","0.692307692","0.425806452","0.338461538","0.241935484","0.192307692","45.76271186","63.76811594","79.48717949","6.362773029","8.004778973","12.53561254","15.77060932","7.122507123","8.960573477","19.65811966","24.7311828"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00031","","","","39","34","1","3","5","30","30","33","16","7.8","3.9","5.5","7","7","7","3","11.7","17.2","49","0.236363636","0.24375","0.23877551","1.633333333","1.256410256","1.1","0.846153846","0.39","0.3","0.183333333","0.141025641","67.34693878","68.02325581","76.92307692","7.407407407","9.62962963","11.11111111","14.44444444","5.22317189","6.790123457","16.334283","21.2345679"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00032","","","","39","35","1","3","5","30","30","34","17","8.5","4","10.3","6","5","3","3","12.5","22.8","51","0.25","0.235294118","0.245098039","1.7","1.307692308","1.133333333","0.871794872","0.416666667","0.320512821","0.343333333","0.264102564","66.66666667","54.8245614","76.92307692","8.072174739","10.49382716","11.8708452","15.43209877","9.781576448","12.71604938","21.65242165","28.14814815"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00033","","","","39","33","1","3","7","32","31","15","22","4","5","6.6","4","5","5","3","9","15.6","37","0.266666667","0.227272727","0.243243243","1.15625","0.948717949","0.46875","0.384615385","0.28125","0.230769231","0.20625","0.169230769","40.54054054","57.69230769","82.05128205","3.798670465","4.62962963","8.547008547","10.41666667","6.267806268","7.638888889","14.81481481","18.05555556"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00034","","","","39","32","1","1","5","30","30","27","31","7.2","6.6","8.5","4","3","3","1","13.8","22.3","58","0.266666667","0.212903226","0.237931034","1.933333333","1.487179487","0.9","0.692307692","0.46","0.353846154","0.283333333","0.217948718","46.55172414","61.88340807","76.92307692","6.837606838","8.888888889","13.10541311","17.03703704","8.072174739","10.49382716","21.17758784","27.5308642"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00035","","","","39","31","1","1","5","29","27","31","23","8.9","5","7.5","4","3","3","1","13.9","21.4","54","0.287096774","0.217391304","0.257407407","1.862068966","1.384615385","1.068965517","0.794871795","0.479310345","0.356410256","0.25862069","0.192307692","57.40740741","64.95327103","74.35897436","8.452041785","11.36653895","13.20037987","17.75223499","7.122507123","9.578544061","20.32288699","27.33077905"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00036","","","","39","30","1","1","5","30","30","19","24","4.7","4.3","11.3","5","3","3","1","9","20.3","43","0.247368421","0.179166667","0.209302326","1.433333333","1.102564103","0.633333333","0.487179487","0.3","0.230769231","0.376666667","0.28974359","44.18604651","44.33497537","76.92307692","4.463437797","5.802469136","8.547008547","11.11111111","10.73124406","13.95061728","19.27825261","25.0617284"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00037","","","","39","28","1","1","5","27","27","30","21","9","4","7.5","5","5","5","3","13","20.5","51","0.3","0.19047619","0.254901961","1.888888889","1.307692308","1.111111111","0.769230769","0.481481481","0.333333333","0.277777778","0.192307692","58.82352941","63.41463415","69.23076923","8.547008547","12.34567901","12.34567901","17.83264746","7.122507123","10.28806584","19.46818613","28.12071331"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00038","","","","39","34","1","1","7","32","32","19","24","4.2","4.5","6.5","6","3","5","3","8.7","15.2","43","0.221052632","0.1875","0.202325581","1.34375","1.102564103","0.59375","0.487179487","0.271875","0.223076923","0.203125","0.166666667","44.18604651","57.23684211","82.05128205","3.988603989","4.861111111","8.262108262","10.06944444","6.172839506","7.523148148","14.43494777","17.59259259"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00039","","","","39","26","1","1","5","25","24","22","32","5","6.7","12","2","3","5","3","11.7","23.7","54","0.227272727","0.209375","0.216666667","2.16","1.384615385","0.88","0.564102564","0.468","0.3","0.48","0.307692308","40.74074074","49.36708861","64.1025641","4.748338082","7.407407407","11.11111111","17.33333333","11.3960114","17.77777778","22.50712251","35.11111111"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00040","","","","39","32","1","1","5","32","30","29","23","7.7","5.5","13.7","5","1","3","3","13.2","26.9","52","0.265517241","0.239130435","0.253846154","1.625","1.333333333","0.90625","0.743589744","0.4125","0.338461538","0.428125","0.351282051","55.76923077","49.07063197","82.05128205","7.312440646","8.912037037","12.53561254","15.27777778","13.01044634","15.85648148","25.54605888","31.13425926"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00041","","","","39","30","1","3","5","30","30","30","19","8.8","4","6.5","5","3","3","3","12.8","19.3","49","0.293333333","0.210526316","0.26122449","1.633333333","1.256410256","1","0.769230769","0.426666667","0.328205128","0.216666667","0.166666667","61.2244898","66.32124352","76.92307692","8.357075024","10.86419753","12.15574549","15.80246914","6.172839506","8.024691358","18.328585","23.82716049"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00042","","","","39","24","1","1","5","24","22","28","20","7","4.5","9.5","4","3","3","3","11.5","21","48","0.25","0.225","0.239583333","2","1.230769231","1.166666667","0.717948718","0.479166667","0.294871795","0.395833333","0.243589744","58.33333333","54.76190476","61.53846154","6.647673314","10.80246914","10.92117759","17.74691358","9.021842355","14.66049383","19.94301994","32.40740741"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00043","","","","39","35","1","1","7","32","30","32","18","9.5","3.7","11.3","4","5","5","3","13.2","24.5","50","0.296875","0.205555556","0.264","1.5625","1.282051282","1","0.820512821","0.4125","0.338461538","0.353125","0.28974359","64","53.87755102","82.05128205","9.021842355","10.99537037","12.53561254","15.27777778","10.73124406","13.0787037","23.2668566","28.35648148"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00044","","","","39","27","1","1","5","25","24","24","29","6.1","6.7","14.6","6","5","5","3","12.8","27.4","53","0.254166667","0.231034483","0.241509434","2.12","1.358974359","0.96","0.615384615","0.512","0.328205128","0.584","0.374358974","45.28301887","46.71532847","64.1025641","5.79297246","9.037037037","12.15574549","18.96296296","13.8651472","21.62962963","26.02089269","40.59259259"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00045","","","","39","37","1","1","5","35","31","14","24","4.1","5.7","17","6","5","5","3","9.8","26.8","38","0.292857143","0.2375","0.257894737","1.085714286","0.974358974","0.4","0.358974359","0.28","0.251282051","0.485714286","0.435897436","36.84210526","36.56716418","89.74358974","3.893637227","4.338624339","9.30674264","10.37037037","16.14434948","17.98941799","25.45109212","28.35978836"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00046","","","","39","30","1","1","7","30","30","21","30","5.3","6.7","7.5","1","3","3","1","12","19.5","51","0.252380952","0.223333333","0.235294118","1.7","1.307692308","0.7","0.538461538","0.4","0.307692308","0.25","0.192307692","41.17647059","61.53846154","76.92307692","5.033238367","6.543209877","11.3960114","14.81481481","7.122507123","9.259259259","18.51851852","24.07407407"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00047","","","","39","34","3","5","5","30","30","24","31","5.8","6.8","8.5","4","3","3","3","12.6","21.1","55","0.241666667","0.219354839","0.229090909","1.833333333","1.41025641","0.8","0.615384615","0.42","0.323076923","0.283333333","0.217948718","43.63636364","59.71563981","76.92307692","5.508072175","7.160493827","11.96581197","15.55555556","8.072174739","10.49382716","20.0379867","26.04938272"
"","","MZP2016GUR-AT01","","","","","","","","","MZP2016GUR-AT01-00048","","","","39","36","1","1","5","34","30","26","33","6.5","7","9.3","6","3","3","3","13.5","22.8","59","0.25","0.212121212","0.228813559","1.735294118","1.512820513","0.764705882","0.666666667","0.397058824","0.346153846","0.273529412","0.238461538","44.06779661","59.21052632","87.17948718","6.172839506","7.080610022","12.82051282","14.70588235","8.831908832","10.13071895","21.65242165","24.83660131"
