"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots after harvest per NET plot|CO_331:0000233","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Percentage of commercial storage root|CO_331:0000682","treatment_irrigation"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00011","","","","75","59","5","1","45","43","96","65","10.28","2.28","37","3","5","3","12.56","49.56","0.107083333","2.133333333","1.28","0.279111111","0.167466667","0.822222222","0.493333333","25.34301856","60","5.07654321","8.46090535","6.202469136","10.33744856","18.27160494","30.4526749","24.47407407","40.79012346","161","0.035076923","0.078012422","3.577777778","2.146666667","59.62732919","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00012","","","","75","44","1","1","29","29","68","62","12.74","7.3","63.2","1","3","5","20.04","83.24","0.187352941","2.344827586","0.906666667","0.691034483","0.2672","2.179310345","0.842666667","24.07496396","38.66666667","6.291358025","16.27075351","9.896296296","25.59386973","31.20987654","80.71519796","41.10617284","106.3090677","130","0.117741935","0.154153846","4.482758621","1.733333333","52.30769231","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00013","","","","75","40","3","1","20","11","19","18","5.7","1.08","37.2","3","3","3","6.78","43.98","0.3","0.95","0.253333333","0.339","0.0904","1.86","0.496","15.41609823","26.66666667","2.814814815","10.55555556","3.348148148","12.55555556","18.37037037","68.88888889","21.71851852","81.44444444","37","0.06","0.183243243","1.85","0.493333333","51.35135135","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00014","","","","75","55","3","1","40","36","100","33","12.82","1.38","44.6","3","1","3","14.2","58.8","0.1282","2.5","1.333333333","0.355","0.189333333","1.115","0.594666667","24.14965986","53.33333333","6.330864198","11.87037037","7.012345679","13.14814815","22.02469136","41.2962963","29.03703704","54.44444444","133","0.041818182","0.106766917","3.325","1.773333333","75.18796992","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00015","","","","75","35","5","1","25","23","115","35","20.76","3.12","34.2","3","3","5","23.88","58.08","0.180521739","4.6","1.533333333","0.9552","0.3184","1.368","0.456","41.11570248","33.33333333","10.25185185","30.75555556","11.79259259","35.37777778","16.88888889","50.66666667","28.68148148","86.04444444","150","0.089142857","0.1592","6","2","76.66666667","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00016","","","","75","40","5","1","28","28","27","56","4.78","2.08","24.4","3","5","3","6.86","31.26","0.177037037","0.964285714","0.36","0.245","0.091466667","0.871428571","0.325333333","21.94497761","37.33333333","2.360493827","6.322751323","3.387654321","9.074074074","12.04938272","32.27513228","15.43703704","41.34920635","83","0.037142857","0.082650602","2.964285714","1.106666667","32.53012048","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00017","","","","75","44","5","1","24","19","54","11","6.78","0.36","14","1","5","5","7.14","21.14","0.125555556","2.25","0.72","0.2975","0.0952","0.583333333","0.186666667","33.77483444","32","3.348148148","10.46296296","3.525925926","11.01851852","6.913580247","21.60493827","10.43950617","32.62345679","65","0.032727273","0.109846154","2.708333333","0.866666667","83.07692308","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00018","","","","75","41","3","1","26","8","10","8","1.14","0.3","27.2","1","7","3","1.44","28.64","0.114","0.384615385","0.133333333","0.055384615","0.0192","1.046153846","0.362666667","5.027932961","34.66666667","0.562962963","1.623931624","0.711111111","2.051282051","13.43209877","38.74643875","14.14320988","40.7977208","18","0.0375","0.08","0.692307692","0.24","55.55555556","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00019","","","","75","66","3","1","51","50","109","118","25.66","11.26","20.6","3","3","7","36.92","57.52","0.235412844","2.137254902","1.453333333","0.723921569","0.492266667","0.403921569","0.274666667","64.18636996","68","12.67160494","18.63471314","18.23209877","26.81190995","10.17283951","14.9600581","28.40493827","41.77196805","227","0.095423729","0.162643172","4.450980392","3.026666667","48.01762115","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00020","","","","75","61","3","1","46","41","130","100","40.24","7.46","55.4","1","1","1","47.7","103.1","0.309538462","2.826086957","1.733333333","1.036956522","0.636","1.204347826","0.738666667","46.2657614","61.33333333","19.87160494","32.39935588","23.55555556","38.4057971","27.35802469","44.60547504","50.91358025","83.01127214","230","0.0746","0.207391304","5","3.066666667","56.52173913","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00021","","","","75","60","1","1","45","44","185","75","32.14","2.64","68","3","3","3","34.78","102.78","0.17372973","4.111111111","2.466666667","0.772888889","0.463733333","1.511111111","0.906666667","33.83926834","60","15.87160494","26.4526749","17.17530864","28.6255144","33.58024691","55.96707819","50.75555556","84.59259259","260","0.0352","0.133769231","5.777777778","3.466666667","71.15384615","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00022","","","","75","61","3","1","48","34","52","75","8.34","3.28","59.6","1","7","5","11.62","71.22","0.160384615","1.083333333","0.693333333","0.242083333","0.154933333","1.241666667","0.794666667","16.31564167","64","4.118518519","6.435185185","5.738271605","8.966049383","29.43209877","45.98765432","35.17037037","54.9537037","127","0.043733333","0.091496063","2.645833333","1.693333333","40.94488189","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00023","","","","75","49","3","1","36","32","76","125","25.44","5.34","34.8","3","3","3","30.78","65.58","0.334736842","2.111111111","1.013333333","0.855","0.4104","0.966666667","0.464","46.93504117","48","12.56296296","26.17283951","15.2","31.66666667","17.18518519","35.80246914","32.38518519","67.4691358","201","0.04272","0.153134328","5.583333333","2.68","37.81094527","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00024","","","","75","66","1","1","51","50","40","160","7.2","7","65.6","1","5","5","14.2","79.8","0.18","0.784313725","0.533333333","0.278431373","0.189333333","1.28627451","0.874666667","17.79448622","68","3.555555556","5.22875817","7.012345679","10.31227306","32.39506173","47.63979666","39.40740741","57.95206972","200","0.04375","0.071","3.921568627","2.666666667","20","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00025","","","","75","51","3","1","38","38","182","181","54.1","24.1","52.7","3","3","3","78.2","130.9","0.297252747","4.789473684","2.426666667","2.057894737","1.042666667","1.386842105","0.702666667","59.74025974","50.66666667","26.71604938","52.72904483","38.61728395","76.21832359","26.02469136","51.36452242","64.64197531","127.582846","363","0.133149171","0.215426997","9.552631579","4.84","50.13774105","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00026","","","","75","68","3","1","53","53","153","80","41.4","5.2","39.3","1","1","1","46.6","85.9","0.270588235","2.886792453","2.04","0.879245283","0.621333333","0.741509434","0.524","54.24912689","70.66666667","20.44444444","28.93081761","23.01234568","32.56464011","19.40740741","27.46331237","42.41975309","60.02795248","233","0.065","0.2","4.396226415","3.106666667","65.66523605","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00027","","","","75","53","1","1","38","38","90","46","12.6","3.2","96.6","1","5","3","15.8","112.4","0.14","2.368421053","1.2","0.415789474","0.210666667","2.542105263","1.288","14.0569395","50.66666667","6.222222222","12.28070175","7.802469136","15.39961014","47.7037037","94.15204678","55.50617284","109.5516569","136","0.069565217","0.116176471","3.578947368","1.813333333","66.17647059","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00028","","","","75","53","3","1","39","33","48","89","3.18","2.32","55.1","1","7","5","5.5","60.6","0.06625","1.230769231","0.64","0.141025641","0.073333333","1.412820513","0.734666667","9.075907591","52","1.57037037","3.01994302","2.716049383","5.22317189","27.20987654","52.32668566","29.92592593","57.54985755","137","0.026067416","0.040145985","3.512820513","1.826666667","35.03649635","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00029","","","","75","31","3","1","16","4","4","4","0.76","0.16","50.8","1","5","5","0.92","51.72","0.19","0.25","0.053333333","0.0575","0.012266667","3.175","0.677333333","1.778808971","21.33333333","0.375308642","1.759259259","0.454320988","2.12962963","25.08641975","117.5925926","25.54074074","119.7222222","8","0.04","0.115","0.5","0.106666667","50","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00030","","","","75","53","3","1","40","38","127","78","21.48","3.68","45.6","3","3","5","25.16","70.76","0.169133858","3.175","1.693333333","0.629","0.335466667","1.14","0.608","35.55681176","53.33333333","10.60740741","19.88888889","12.42469136","23.2962963","22.51851852","42.22222222","34.94320988","65.51851852","205","0.047179487","0.122731707","5.125","2.733333333","61.95121951","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00031","","","","75","35","3","1","25","23","57","30","7.74","0.94","29.4","3","5","1","8.68","38.08","0.135789474","2.28","0.76","0.3472","0.115733333","1.176","0.392","22.79411765","33.33333333","3.822222222","11.46666667","4.286419753","12.85925926","14.51851852","43.55555556","18.80493827","56.41481481","87","0.031333333","0.099770115","3.48","1.16","65.51724138","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00032","","","","75","61","3","1","46","35","50","24","10.1","1.26","67.8","1","3","5","11.36","79.16","0.202","1.086956522","0.666666667","0.246956522","0.151466667","1.473913043","0.904","14.35068216","61.33333333","4.987654321","8.132045089","5.609876543","9.146537842","33.48148148","54.58937198","39.09135802","63.73590982","74","0.0525","0.153513514","1.608695652","0.986666667","67.56756757","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00033","","","","75","34","5","1","24","15","18","16","3.2","2","11.4","5","5","3","5.2","16.6","0.177777778","0.75","0.24","0.216666667","0.069333333","0.475","0.152","31.3253012","32","1.580246914","4.938271605","2.567901235","8.024691358","5.62962963","17.59259259","8.197530864","25.61728395","34","0.125","0.152941176","1.416666667","0.453333333","52.94117647","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00034","","","","75","65","5","1","50","50","338","360","30.8","8","54.2","3","5","7","38.8","93","0.09112426","6.76","4.506666667","0.776","0.517333333","1.084","0.722666667","41.72043011","66.66666667","15.20987654","22.81481481","19.16049383","28.74074074","26.7654321","40.14814815","45.92592593","68.88888889","698","0.022222222","0.055587393","13.96","9.306666667","48.42406877","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00035","","","","75","64","3","1","49","45","150","120","40.1","9.6","13.4","1","3","5","49.7","63.1","0.267333333","3.06122449","2","1.014285714","0.662666667","0.273469388","0.178666667","78.76386688","65.33333333","19.80246914","30.30990174","24.54320988","37.56613757","6.617283951","10.12849584","31.16049383","47.69463341","270","0.08","0.184074074","5.510204082","3.6","55.55555556","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00036","","","","75","52","1","1","38","32","74","40","20.2","8.4","50.1","3","3","1","28.6","78.7","0.272972973","1.947368421","0.986666667","0.752631579","0.381333333","1.318421053","0.668","36.34053367","50.66666667","9.975308642","19.68810916","14.12345679","27.87524366","24.74074074","48.83040936","38.86419753","76.70565302","114","0.21","0.250877193","3","1.52","64.9122807","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00037","","","","75","44","5","1","35","35","95","35","26.4","2.4","20.1","1","1","1","28.8","48.9","0.277894737","2.714285714","1.266666667","0.822857143","0.384","0.574285714","0.268","58.89570552","46.66666667","13.03703704","27.93650794","14.22222222","30.47619048","9.925925926","21.26984127","24.14814815","51.74603175","130","0.068571429","0.221538462","3.714285714","1.733333333","73.07692308","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00038","","","","75","62","5","1","50","44","155","110","27.4","8.4","25.3","1","3","3","35.8","61.1","0.176774194","3.1","2.066666667","0.716","0.477333333","0.506","0.337333333","58.59247136","66.66666667","13.5308642","20.2962963","17.67901235","26.51851852","12.49382716","18.74074074","30.17283951","45.25925926","265","0.076363636","0.13509434","5.3","3.533333333","58.49056604","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00039","","","","75","71","3","1","56","54","240","91","62.4","7.2","55.2","1","1","1","69.6","124.8","0.26","4.285714286","3.2","1.242857143","0.928","0.985714286","0.736","55.76923077","74.66666667","30.81481481","41.26984127","34.37037037","46.03174603","27.25925926","36.50793651","61.62962963","82.53968254","331","0.079120879","0.210271903","5.910714286","4.413333333","72.50755287","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00040","","","","75","67","3","1","52","48","101","52","38.2","5.6","46.1","3","3","1","43.8","89.9","0.378217822","1.942307692","1.346666667","0.842307692","0.584","0.886538462","0.614666667","48.72080089","69.33333333","18.86419753","27.20797721","21.62962963","31.1965812","22.7654321","32.83475783","44.39506173","64.03133903","153","0.107692308","0.28627451","2.942307692","2.04","66.0130719","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00041","","","","75","51","5","1","41","36","160","161","22.3","15.2","33.2","5","3","5","37.5","70.7","0.139375","3.902439024","2.133333333","0.914634146","0.5","0.809756098","0.442666667","53.04101839","54.66666667","11.01234568","20.14453478","18.51851852","33.87533875","16.39506173","29.99096658","34.91358025","63.86630533","321","0.094409938","0.11682243","7.829268293","4.28","49.84423676","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00042","","","","75","62","3","1","47","46","100","80","18.1","5","42.3","1","5","5","23.1","65.4","0.181","2.127659574","1.333333333","0.491489362","0.308","0.9","0.564","35.32110092","62.66666667","8.938271605","14.26319937","11.40740741","18.20330969","20.88888889","33.33333333","32.2962963","51.53664303","180","0.0625","0.128333333","3.829787234","2.4","55.55555556","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00043","","","","75","64","5","1","53","40","120","50","20.2","5.2","58.4","1","3","5","25.4","83.8","0.168333333","2.264150943","1.6","0.479245283","0.338666667","1.101886792","0.778666667","30.31026253","70.66666667","9.975308642","14.1160028","12.54320988","17.7498253","28.83950617","40.81062194","41.38271605","58.56044724","170","0.104","0.149411765","3.20754717","2.266666667","70.58823529","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00044","","","","75","55","5","1","43","42","142","66","26.1","2.54","40.1","1","3","3","28.64","68.74","0.183802817","3.302325581","1.893333333","0.666046512","0.381866667","0.93255814","0.534666667","41.66424207","57.33333333","12.88888889","22.48062016","14.14320988","24.66838932","19.80246914","34.53919035","33.94567901","59.20757967","208","0.038484848","0.137692308","4.837209302","2.773333333","68.26923077","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00045","","","","75","65","1","1","52","32","48","54","11.16","3.84","58.2","1","5","7","15","73.2","0.2325","0.923076923","0.64","0.288461538","0.2","1.119230769","0.776","20.49180328","69.33333333","5.511111111","7.948717949","7.407407407","10.68376068","28.74074074","41.45299145","36.14814815","52.13675214","102","0.071111111","0.147058824","1.961538462","1.36","47.05882353","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00046","","","","75","41","5","1","28","28","88","89","16.14","2.5","34.5","1","3","3","18.64","53.14","0.183409091","3.142857143","1.173333333","0.665714286","0.248533333","1.232142857","0.46","35.07715469","37.33333333","7.97037037","21.34920635","9.204938272","24.65608466","17.03703704","45.63492063","26.24197531","70.29100529","177","0.028089888","0.105310734","6.321428571","2.36","49.71751412","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00047","","","","75","44","1","1","29","27","35","42","8.88","3.86","88.1","1","3","3","12.74","100.84","0.253714286","1.206896552","0.466666667","0.439310345","0.169866667","3.037931034","1.174666667","12.63387545","38.66666667","4.385185185","11.34099617","6.291358025","16.27075351","43.50617284","112.5159642","49.79753086","128.7867178","77","0.091904762","0.165454545","2.655172414","1.026666667","45.45454545","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00048","","","","75","55","5","1","40","30","100","43","18.62","2.82","28.7","5","3","1","21.44","50.14","0.1862","2.5","1.333333333","0.536","0.285866667","0.7175","0.382666667","42.76027124","53.33333333","9.195061728","17.24074074","10.58765432","19.85185185","14.17283951","26.57407407","24.76049383","46.42592593","143","0.065581395","0.14993007","3.575","1.906666667","69.93006993","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00049","","","","75","54","5","1","43","38","182","354","25.4","9","23.6","1","3","1","34.4","58","0.13956044","4.23255814","2.426666667","0.8","0.458666667","0.548837209","0.314666667","59.31034483","57.33333333","12.54320988","21.87769165","16.98765432","29.62962963","11.65432099","20.32730405","28.64197531","49.95693368","536","0.025423729","0.064179104","12.46511628","7.146666667","33.95522388","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00050","","","","75","61","5","1","49","44","344","310","34.6","7","36.6","1","5","3","41.6","78.2","0.100581395","7.020408163","4.586666667","0.848979592","0.554666667","0.746938776","0.488","53.19693095","65.33333333","17.08641975","26.1526833","20.54320988","31.44368859","18.07407407","27.66439909","38.61728395","59.10808768","654","0.022580645","0.063608563","13.34693878","8.72","52.59938838","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00051","","","","75","64","5","1","50","50","80","64","16.4","6","22.2","3","3","1","22.4","44.6","0.205","1.6","1.066666667","0.448","0.298666667","0.444","0.296","50.22421525","66.66666667","8.098765432","12.14814815","11.0617284","16.59259259","10.96296296","16.44444444","22.02469136","33.03703704","144","0.09375","0.155555556","2.88","1.92","55.55555556","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00052","","","","75","52","3","1","39","37","90","255","14.6","8","29.8","1","5","5","22.6","52.4","0.162222222","2.307692308","1.2","0.579487179","0.301333333","0.764102564","0.397333333","43.12977099","52","7.209876543","13.8651472","11.16049383","21.46248813","14.71604938","28.30009497","25.87654321","49.7625831","345","0.031372549","0.065507246","8.846153846","4.6","26.08695652","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00053","","","","75","63","1","1","48","48","215","115","32.16","4.28","53.1","1","1","1","36.44","89.54","0.149581395","4.479166667","2.866666667","0.759166667","0.485866667","1.10625","0.708","40.69689524","64","15.88148148","24.81481481","17.99506173","28.11728395","26.22222222","40.97222222","44.21728395","69.08950617","330","0.037217391","0.110424242","6.875","4.4","65.15151515","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00054","","","","75","56","3","1","46","46","133","100","19.1","3.18","18.2","3","5","5","22.28","40.48","0.143609023","2.891304348","1.773333333","0.484347826","0.297066667","0.395652174","0.242666667","55.03952569","61.33333333","9.432098765","15.3784219","11.00246914","17.93880837","8.987654321","14.65378422","19.99012346","32.59259259","233","0.0318","0.095622318","5.065217391","3.106666667","57.08154506","1"
"","","MZP2019UMB-ST06","","","","","","","","","MZP2019UMB-ST06-00055","","","","75","47","3","1","34","29","12","50","2.38","2.44","36.1","1","7","5","4.82","40.92","0.198333333","0.352941176","0.16","0.141764706","0.064266667","1.061764706","0.481333333","11.77908113","45.33333333","1.175308642","2.592592593","2.380246914","5.250544662","17.82716049","39.32461874","20.20740741","44.5751634","62","0.0488","0.077741935","1.823529412","0.826666667","19.35483871","1"
