"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|CO_331:0000198","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00042","","","","26","18","2","3","7","1","1","12","12","14","19","3","2","5","1","3","1","50.8","12.8","1","7","7","3","2.15","1.29","0.58","","53.95","12.71","56.76","8.62","11.44","4.71","0.56","5","10","33","0.214285714","0.105263158","0.151515152","2.75","1.269230769","1.166666667","0.538461538","0.416666667","0.192307692","0.416666667","0.192307692","42.42424242","50","46.15384615","25.19685039","1.25984252","4.273504274","9.259259259","7.122507123","15.43209877","7.122507123","15.43209877","1.794647464","3.888402839","14.24501425","30.86419753"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00043","","","","26","20","3","5","6","1","1","8","3","10","14","2.2","0.2","4","5","5","1","50.7","11.9","1","7","5","3","2.86","1.54","0.75","","57.36","11.17","55.75","7.63","10.12","6.33","0.43","2.4","6.4","24","0.22","0.014285714","0.1","3","0.923076923","1.25","0.384615385","0.3","0.092307692","0.5","0.153846154","41.66666667","37.5","30.76923077","23.47140039","0.563313609","3.133903134","10.18518519","3.418803419","11.11111111","5.698005698","18.51851852","0.802441039","2.607933377","9.116809117","29.62962963"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00044","","","","26","13","2","4","5","1","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.38461538","","","","","","","","","","","",""
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00045","","","","26","12","2","2","7","1","1","11","10","44","46","5.2","1.5","4","5","5","1","51","14.9","1","5","7","5","2.55","1.4","0.84","77.28","76.96","9.85","62.89","6.6","9.27","0.48","0.25","6.7","10.7","90","0.118181818","0.032608696","0.074444444","8.181818182","3.461538462","4","1.692307692","0.609090909","0.257692308","0.363636364","0.153846154","48.88888889","62.61682243","42.30769231","29.21568627","1.95745098","7.407407407","17.50841751","9.544159544","22.55892256","5.698005698","13.46801347","2.78839171","6.590744042","15.24216524","36.02693603"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00046","","","","26","17","1","1","6","1","1","4","3","7","18","1.5","0.4","3","7","6","1","50.6","14.4","1","5","3","5","3.25","1.46","0.88","34.74","57.78","32.58","62.54","5.1","7.04","5.52","0.37","1.9","4.9","25","0.214285714","0.022222222","0.076","6.25","0.961538462","1.75","0.269230769","0.475","0.073076923","0.75","0.115384615","28","38.7755102","15.38461538","28.45849802","0.540711462","2.136752137","13.88888889","2.706552707","17.59259259","4.273504274","27.77777778","0.770244249","5.006587615","6.98005698","45.37037037"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00047","","","","26","16","1","5","6","1","1","6","5","13","25","3","2.5","3","5","5","1","50.9","12.7","1","5","7","3","4.24","1.81","0.99","5.02","76.67","34.34","56.35","4.32","5.53","11.94","0.47","5.5","8.5","38","0.230769231","0.1","0.144736842","6.333333333","1.461538462","2.166666667","0.5","0.916666667","0.211538462","0.5","0.115384615","34.21052632","64.70588235","23.07692308","24.95088409","1.372298625","4.273504274","18.51851852","7.834757835","33.95061728","4.273504274","18.51851852","1.954841346","8.470979165","12.10826211","52.4691358"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00048","","","","26","19","5","5","5","1","1","11","11","20","17","5","1.4","4","5","5","2","43.7","12.1","1","5","3","5","3.51","1.72","0.87","73.96","108.15","17.46","56.56","8.01","11.1","3.21","0.57","6.4","10.4","37","0.25","0.082352941","0.172972973","3.363636364","1.423076923","1.818181818","0.769230769","0.581818182","0.246153846","0.363636364","0.153846154","54.05405405","61.53846154","42.30769231","27.68878719","1.77208238","7.122507123","16.83501684","9.116809117","21.54882155","5.698005698","13.46801347","2.524333874","5.96660734","14.81481481","35.01683502"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00049","","","","26","18","4","7","8","1","1","18","18","45","45","7","4","17","1","3","3","50.5","11.4","3","3","9","5","3.25","1.85","0.82","39.33","81.23","43.82","48.09","12.93","17.56","1.6","1.04","11","28","90","0.155555556","0.088888889","0.122222222","5","3.461538462","2.5","1.730769231","0.611111111","0.423076923","0.944444444","0.653846154","50","39.28571429","69.23076923","22.57425743","2.483168317","9.971509972","14.40329218","15.66951567","22.63374486","24.21652422","34.97942387","3.537276805","5.109399829","39.88603989","57.61316872"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00050","","","","26","14","2","4","7","1","1","14","14","46","34","7","2.2","6","3","3","1","50.7","14","3","7","7","3","2.56","1.35","0.75","26.66","95.64","7.98","58.24","7.37","10.27","5.61","0.52","9.2","15.2","80","0.152173913","0.064705882","0.115","5.714285714","3.076923077","3.285714286","1.769230769","0.657142857","0.353846154","0.428571429","0.230769231","57.5","60.52631579","53.84615385","27.61341223","2.540433925","9.971509972","18.51851852","13.10541311","24.33862434","8.547008547","15.87301587","3.618851745","6.720724669","21.65242165","40.21164021"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00051","","","","26","9","4","5","5","1","1","9","9","12","40","2","1.4","10","5","5","2","50.7","14.9","3","3","5","5","2.83","1.38","0.85","103.87","85.68","16.53","62.28","4.96","6.69","7.56","0.4","3.4","13.4","52","0.166666667","0.035","0.065384615","5.777777778","2","1.333333333","0.461538462","0.377777778","0.130769231","1.111111111","0.384615385","23.07692308","25.37313433","34.61538462","29.38856016","0.999211045","2.849002849","8.230452675","4.843304843","13.99176955","14.24501425","41.15226337","1.423377557","4.111979611","19.08831909","55.14403292"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00052","","","","26","14","3","4","5","1","1","9","9","16","11","4","1.2","7","3","5","1","50.6","13.8","1","5","7","3","3.43","1.71","0.98","26.42","69.81","35.55","58.86","5.52","7.81","7.83","0.48","5.2","12.2","27","0.25","0.109090909","0.192592593","3","1.038461538","1.777777778","0.615384615","0.577777778","0.2","0.777777778","0.269230769","59.25925926","42.62295082","34.61538462","27.27272727","1.418181818","5.698005698","16.46090535","7.407407407","21.39917695","9.971509972","28.80658436","2.02020202","5.836139169","17.37891738","50.20576132"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00053","","","","26","6","4","7","4","1","1","3","3","3","10","1.2","1","2.8","5","5","1","50.8","13","1","5","5","5","3.9","1.76","0.98","37.34","86.99","27.76","56.94","5.28","7.82","10.61","0.1","2.2","5","13","0.4","0.1","0.169230769","4.333333333","0.5","1","0.115384615","0.733333333","0.084615385","0.933333333","0.107692308","23.07692308","44","11.53846154","25.59055118","0.562992126","1.709401709","14.81481481","3.133903134","27.16049383","3.988603989","34.56790123","0.801983085","6.950520074","7.122507123","61.72839506"
"","","MZP2013UMB-AT05","","","","","","","","","MZP2013UMB-AT05-00054","","","","26","24","3","4","9","1","1","17","17","50","34","11","4","15","1","1","1","50.4","15","1","3","7","5","2.53","1.44","0.88","106.62","95.75","15.95","64.54","6.38","8.84","0.86","0.4","15","30","84","0.22","0.117647059","0.178571429","4.941176471","3.230769231","2.941176471","1.923076923","0.882352941","0.576923077","0.882352941","0.576923077","59.52380952","50","65.38461538","29.76190476","4.464285714","15.66951567","23.96514161","21.36752137","32.67973856","21.36752137","32.67973856","6.359381359","9.726112667","42.73504274","65.35947712"
