"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_irrigation","treatment_non_irrigation"
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00011","","","","26","17","2","2","6","13","12","41","27","6","2","12.5","2","2","1","3","5","5","5","4.08","2.07","1.2","100.32","33.225","58.36","3.59","5.3","11.95","8","20.5","68","0.146341463","0.074074074","0.117647059","5.230769231","2.615384615","3.153846154","1.576923077","0.615384615","0.307692308","0.961538462","0.480769231","60.29411765","39.02439024","50","8.547008547","17.09401709","11.3960114","22.79202279","17.80626781","35.61253561","29.2022792","58.4045584","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00012","","","","26","14","1","1","7","10","10","31","49","3","3","11.5","3","3","1","1","3","5","5","3.05","1.68","1.02","68.27","32.817","56.52","4.71","6.63","11.32","6","17.5","80","0.096774194","0.06122449","0.075","8","3.076923077","3.1","1.192307692","0.6","0.230769231","1.15","0.442307692","38.75","34.28571429","38.46153846","4.273504274","11.11111111","8.547008547","22.22222222","16.38176638","42.59259259","24.92877493","64.81481481","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00013","","","","26","17","1","1","6","17","17","31","63","4.2","3","8","3","3","1","3","5","7","5","4.29","1.52","1.03","52.59","16.693","63.97","2.47","3.32","8.25","7.2","15.2","94","0.135483871","0.047619048","0.076595745","5.529411765","3.615384615","1.823529412","1.192307692","0.423529412","0.276923077","0.470588235","0.307692308","32.9787234","47.36842105","65.38461538","5.982905983","9.150326797","10.25641026","15.68627451","11.3960114","17.4291939","21.65242165","33.11546841","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00014","","","","26","18","1","1","5","16","16","45","56","6.3","2.9","8","2","2","1","1","3","5","3","3.87","1.96","1.05","56.7","47.826","47.8","6.57","8.92","15.51","9.2","17.2","101","0.14","0.051785714","0.091089109","6.3125","3.884615385","2.8125","1.730769231","0.575","0.353846154","0.5","0.307692308","44.55445545","53.48837209","61.53846154","8.974358974","14.58333333","13.10541311","21.2962963","11.3960114","18.51851852","24.5014245","39.81481481","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00015","","","","26","21","1","1","7","17","17","39","27","8","2.3","10.9","1","1","1","3","5","5","1","3.19","1.35","0.89","46.83","2.484","61.62","3.39","4.67","11.41","10.3","21.2","66","0.205128205","0.085185185","0.156060606","3.882352941","2.538461538","2.294117647","1.5","0.605882353","0.396153846","0.641176471","0.419230769","59.09090909","48.58490566","65.38461538","11.3960114","17.4291939","14.67236467","22.44008715","15.52706553","23.74727669","30.1994302","46.18736383","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00016","","","","26","16","2","2","6","16","16","44","30","4","1.2","7","5","5","1","1","3","9","3","3.07","1.42","0.95","40.94","21.136","65.66","4.41","6.13","5.77","5.2","12.2","74","0.090909091","0.04","0.07027027","4.625","2.846153846","2.75","1.692307692","0.325","0.2","0.4375","0.269230769","59.45945946","42.62295082","61.53846154","5.698005698","9.259259259","7.407407407","12.03703704","9.971509972","16.2037037","17.37891738","28.24074074","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00017","","","","26","22","2","1","7","13","13","19","42","3","2","8.8","5","5","4","1","5","5","5","2.96","1.69","1.18","72.53","23.916","55.9","3.74","5.33","15.47","5","13.8","61","0.157894737","0.047619048","0.081967213","4.692307692","2.346153846","1.461538462","0.730769231","0.384615385","0.192307692","0.676923077","0.338461538","31.14754098","36.23188406","50","4.273504274","8.547008547","7.122507123","14.24501425","12.53561254","25.07122507","19.65811966","39.31623932","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00018","","","","26","15","1","2","4","9","9","7","13","1.9","1.3","4.3","4","4","2","5","5","7","5","3.56","1.39","0.84","63.39","16.942","61.42","4.08","5.69","9.58","3.2","7.5","20","0.271428571","0.1","0.16","2.222222222","0.769230769","0.777777778","0.269230769","0.355555556","0.123076923","0.477777778","0.165384615","35","42.66666667","34.61538462","2.706552707","7.818930041","4.558404558","13.16872428","6.125356125","17.69547325","10.68376068","30.86419753","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00019","","","","26","18","1","1","8","18","18","27","44","6.1","2.1","13.5","2","2","1","7","5","7","5","3.51","1.39","0.77","40.61","15.872","69.17","2.31","3.11","4.41","8.2","21.7","71","0.225925926","0.047727273","0.115492958","3.944444444","2.730769231","1.5","1.038461538","0.455555556","0.315384615","0.75","0.519230769","38.02816901","37.78801843","69.23076923","8.689458689","12.55144033","11.68091168","16.87242798","19.23076923","27.77777778","30.91168091","44.65020576","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00020","","","","26","21","1","1","6","10","10","24","20","3.3","1","6.3","3","3","1","1","5","9","5","3.66","2.03","1.37","88.79","52.123","55.35","3.18","4.41","13.16","4.3","10.6","44","0.1375","0.05","0.097727273","4.4","1.692307692","2.4","0.923076923","0.43","0.165384615","0.63","0.242307692","54.54545455","40.56603774","38.46153846","4.700854701","12.22222222","6.125356125","15.92592593","8.974358974","23.33333333","15.0997151","39.25925926","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00021","","","","26","19","1","1","9","17","17","33","57","3.1","3","20","4","4","1","1","5","9","5","2.96","1.45","0.94","51.07","70.017","62.22","2.75","4.06","12.25","6.1","26.1","90","0.093939394","0.052631579","0.067777778","5.294117647","3.461538462","1.941176471","1.269230769","0.358823529","0.234615385","1.176470588","0.769230769","36.66666667","23.37164751","65.38461538","4.415954416","6.753812636","8.689458689","13.28976035","28.49002849","43.57298475","37.17948718","56.8627451","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00022","","","","26","17","1","1","6","17","17","16","60","2","2.9","10","4","4","1","3","5","9","5","3.82","1.73","1.03","83.61","24.304","58.71","4.45","6.07","8.02","4.9","14.9","76","0.125","0.048333333","0.064473684","4.470588235","2.923076923","0.941176471","0.615384615","0.288235294","0.188461538","0.588235294","0.384615385","21.05263158","32.88590604","65.38461538","2.849002849","4.357298475","6.98005698","10.67538126","14.24501425","21.78649237","21.22507123","32.46187364","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00023","","","","26","22","1","1","8","19","19","110","38","20.3","2","12.5","1","1","1","1","3","7","3","3.39","1.68","0.98","46.19","30.405","54.66","5.84","8.31","11.96","22.3","34.8","148","0.184545455","0.052631579","0.150675676","7.789473684","5.692307692","5.789473684","4.230769231","1.173684211","0.857692308","0.657894737","0.480769231","74.32432432","64.08045977","73.07692308","28.91737892","39.5711501","31.76638177","43.46978558","17.80626781","24.36647173","49.57264957","67.83625731","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00024","","","","26","18","1","3","7","20","20","54","79","10.1","4","14.5","1","1","1","1","5","7","7","3.62","1.31","0.86","18.88","0","69","1.83","2.53","7.06","14.1","28.6","133","0.187037037","0.050632911","0.106015038","6.65","5.115384615","2.7","2.076923077","0.705","0.542307692","0.725","0.557692308","40.60150376","49.3006993","76.92307692","14.38746439","18.7037037","20.08547009","26.11111111","20.65527066","26.85185185","40.74074074","52.96296296","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00025","","","","26","19","2","1","5","19","19","22","41","3","1.2","7.5","4","4","1","1","5","9","5","4.5","2.19","1.44","93.85","36.817","55.89","3.4","5.04","12.13","4.2","11.7","63","0.136363636","0.029268293","0.066666667","3.315789474","2.423076923","1.157894737","0.846153846","0.221052632","0.161538462","0.394736842","0.288461538","34.92063492","35.8974359","73.07692308","4.273504274","5.847953216","5.982905983","8.187134503","10.68376068","14.61988304","16.66666667","22.80701754","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00026","","","","26","18","3","2","5","18","17","30","32","3.1","1","7.5","5","5","3","1","1","7","1","3.31","1.75","1.04","82.72","42.205","55.92","4.06","5.52","11.74","4.1","11.6","62","0.103333333","0.03125","0.066129032","3.444444444","2.384615385","1.666666667","1.153846154","0.227777778","0.157692308","0.416666667","0.288461538","48.38709677","35.34482759","69.23076923","4.415954416","6.378600823","5.84045584","8.436213992","10.68376068","15.43209877","16.52421652","23.86831276","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00027","","","","26","16","1","2","4","11","11","22","20","2.9","1","4.8","4","4","4","1","7","7","9","3.57","2.08","1.36","110.93","56.989","40.28","6.84","10.06","19.17","3.9","8.7","42","0.131818182","0.05","0.092857143","3.818181818","1.615384615","2","0.846153846","0.354545455","0.15","0.436363636","0.184615385","52.38095238","44.82758621","42.30769231","4.131054131","9.764309764","5.555555556","13.13131313","6.837606838","16.16161616","12.39316239","29.29292929","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00028","","","","26","21","1","1","7","19","17","54","78","6","2.3","8.2","5","5","1","1","5","7","5","4.07","1.97","1.37","96.15","52.584","57.17","1.88","3.02","14.25","8.3","16.5","132","0.111111111","0.029487179","0.062878788","6.947368421","5.076923077","2.842105263","2.076923077","0.436842105","0.319230769","0.431578947","0.315384615","40.90909091","50.3030303","73.07692308","8.547008547","11.69590643","11.82336182","16.17933723","11.68091168","15.98440546","23.5042735","32.16374269","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00029","","","","26","17","1","3","6","17","15","31","30","5","2.1","10.5","3","3","3","3","1","7","3","3.88","1.59","1.07","77.34","43.866","60.19","2.56","3.81","13.44","7.1","17.6","61","0.161290323","0.07","0.116393443","3.588235294","2.346153846","1.823529412","1.192307692","0.417647059","0.273076923","0.617647059","0.403846154","50.81967213","40.34090909","65.38461538","7.122507123","10.89324619","10.11396011","15.46840959","14.95726496","22.87581699","25.07122507","38.34422658","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00030","","","","26","19","1","2","5","9","7","8","8","2","0.5","10.3","1","1","1","3","5","5","5","3.34","1.07","0.89","27.54","0","67.78","1.62","2.38","7.33","2.5","12.8","16","0.25","0.0625","0.15625","1.777777778","0.615384615","0.888888889","0.307692308","0.277777778","0.096153846","1.144444444","0.396153846","50","19.53125","34.61538462","2.849002849","8.230452675","3.561253561","10.28806584","14.67236467","42.38683128","18.23361823","52.67489712","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00031","","","","26","22","2","2","6","12","12","18","16","3.3","1.1","10.6","3","3","2","1","3","7","1","4.15","1.39","1.01","47.79","17.776","66.02","1.93","2.97","8.25","4.4","15","34","0.183333333","0.06875","0.129411765","2.833333333","1.307692308","1.5","0.692307692","0.366666667","0.169230769","0.883333333","0.407692308","52.94117647","29.33333333","46.15384615","4.700854701","10.18518519","6.267806268","13.58024691","15.0997151","32.71604938","21.36752137","46.2962963","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00032","","","","26","16","2","3","6","15","14","43","34","8.4","2","7","3","2","1","3","5","7","5","4.41","1.71","1.11","85.67","42.293","59.12","2.82","4.3","12.61","10.4","17.4","77","0.195348837","0.058823529","0.135064935","5.133333333","2.961538462","2.866666667","1.653846154","0.693333333","0.4","0.466666667","0.269230769","55.84415584","59.77011494","57.69230769","11.96581197","20.74074074","14.81481481","25.67901235","9.971509972","17.28395062","24.78632479","42.96296296","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00033","","","","26","20","1","1","5","6","16","34","36","5.4","2","6","3","3","3","1","5","5","5","3.85","2.16","1.25","84.27","50.476","49.32","4.86","6.84","15.64","7.4","13.4","70","0.158823529","0.055555556","0.105714286","11.66666667","2.692307692","5.666666667","1.307692308","1.233333333","0.284615385","1","0.230769231","48.57142857","55.2238806","23.07692308","7.692307692","33.33333333","10.54131054","45.67901235","8.547008547","37.03703704","19.08831909","82.71604938","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00034","","","","26","13","2","2","5","13","13","19","19","4.8","1.8","5.5","2","2","1","1","1","5","1","3.14","1.42","0.82","49","20.916","61.94","2.89","3.73","10.18","6.6","12.1","38","0.252631579","0.094736842","0.173684211","2.923076923","1.461538462","1.461538462","0.730769231","0.507692308","0.253846154","0.423076923","0.211538462","50","54.54545455","50","6.837606838","13.67521368","9.401709402","18.8034188","7.834757835","15.66951567","17.23646724","34.47293447","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00035","","","","26","23","1","6","6","14","14","30","24","6","1.8","6","3","3","2","1","7","7","5","2.56","1.22","0.86","9.5","0","69.01","1.79","2.4","7.15","7.8","13.8","54","0.2","0.075","0.144444444","3.857142857","2.076923077","2.142857143","1.153846154","0.557142857","0.3","0.428571429","0.230769231","55.55555556","56.52173913","53.84615385","8.547008547","15.87301587","11.11111111","20.63492063","8.547008547","15.87301587","19.65811966","36.50793651","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00036","","","","26","20","1","1","6","18","17","51","64","6","2.8","7","4","2","2","1","5","5","5","2.98","1.66","0.98","72.6","49.989","51.83","5.77","8.13","14.79","8.8","15.8","115","0.117647059","0.04375","0.076521739","6.388888889","4.423076923","2.833333333","1.961538462","0.488888889","0.338461538","0.388888889","0.269230769","44.34782609","55.69620253","69.23076923","8.547008547","12.34567901","12.53561254","18.10699588","9.971509972","14.40329218","22.50712251","32.51028807","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00037","","","","26","17","1","1","4","11","11","15","13","2","1","2","4","2","2","5","5","5","5","3.54","1.86","1.3","96.14","42.265","58.11","3.8","5.38","9.68","3","5","28","0.133333333","0.076923077","0.107142857","2.545454545","1.076923077","1.363636364","0.576923077","0.272727273","0.115384615","0.181818182","0.076923077","53.57142857","60","42.30769231","2.849002849","6.734006734","4.273504274","10.1010101","2.849002849","6.734006734","7.122507123","16.83501684","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00038","","","","26","19","1","1","6","15","14","39","45","6","3.4","4.9","3","3","3","1","3","5","3","3.74","1.8","1.09","73.59","35.528","54.02","4.89","7.07","13.44","9.4","14.3","84","0.153846154","0.075555556","0.111904762","5.6","3.230769231","2.6","1.5","0.626666667","0.361538462","0.326666667","0.188461538","46.42857143","65.73426573","57.69230769","8.547008547","14.81481481","13.39031339","23.20987654","6.98005698","12.09876543","20.37037037","35.30864198","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00039","","","","26","10","2","6","4","8","7","6","13","1.5","0.6","2.5","5","2","1","3","1","5","3","3.24","1.49","0.85","62.51","21.873","60.01","3.97","4.97","9.13","2.1","4.6","19","0.25","0.046153846","0.110526316","2.375","0.730769231","0.75","0.230769231","0.2625","0.080769231","0.3125","0.096153846","31.57894737","45.65217391","30.76923077","2.136752137","6.944444444","2.991452991","9.722222222","3.561253561","11.57407407","6.552706553","21.2962963","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00040","","","","26","22","1","1","5","14","12","12","21","3.4","1.8","7","3","3","1","1","5","7","5","3.76","0.97","0.81","20.3","0","71.17","1.58","2.63","5.01","5.2","12.2","33","0.283333333","0.085714286","0.157575758","2.357142857","1.269230769","0.857142857","0.461538462","0.371428571","0.2","0.5","0.269230769","36.36363636","42.62295082","53.84615385","4.843304843","8.994708995","7.407407407","13.75661376","9.971509972","18.51851852","17.37891738","32.27513228","1",""
"","","MZP2012UMB-ST02","","","","","","","","","MZP2012UMB-ST02-00041","","","","26","20","1","1","5","14","14","39","15","4.2","0.8","1.5","4","2","1","1","3","7","1","3.29","1.65","1.06","61.77","42.344","56.67","4.4","5.93","12.08","5","6.5","54","0.107692308","0.053333333","0.092592593","3.857142857","2.076923077","2.785714286","1.5","0.357142857","0.192307692","0.107142857","0.057692308","72.22222222","76.92307692","53.84615385","5.982905983","11.11111111","7.122507123","13.22751323","2.136752137","3.968253968","9.259259259","17.1957672","1",""
