"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00011","","","","26","8","6","5","4","4","3","6","8","2.5","1","5","3","1","1","","","","","","","","","","","","","","","","3.5","8.5","14","0.416666667","0.125","0.25","3.5","0.538461538","1.5","0.230769231","0.875","0.134615385","1.25","0.192307692","42.85714286","41.17647059","15.38461538","","","3.561253561","23.14814815","4.985754986","32.40740741","7.122507123","46.2962963","","","12.10826211","78.7037037"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00012","","","","26","16","2","4","6","11","10","15","27","2.5","1.5","14","5","3","1","50.3","14.1","4","6","7","6","2.5","1.47","1.01","","1.32","59.08","8.04","11.45","1.68","4","18","42","0.166666667","0.055555556","0.095238095","3.818181818","1.615384615","1.363636364","0.576923077","0.363636364","0.153846154","1.272727273","0.538461538","35.71428571","22.22222222","42.30769231","28.03180915","1.121272366","3.561253561","8.417508418","5.698005698","13.46801347","19.94301994","47.13804714","1.597254082","3.775327831","25.64102564","60.60606061"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00013","","","","26","22","3","2","6","16","8","8","13","2.5","1.5","3","3","3","1","","","","","","","","","","","","","","","","4","7","21","0.3125","0.115384615","0.19047619","1.3125","0.807692308","0.5","0.307692308","0.25","0.153846154","0.1875","0.115384615","38.0952381","57.14285714","61.53846154","","","3.561253561","5.787037037","5.698005698","9.259259259","4.273504274","6.944444444","","","9.971509972","16.2037037"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00014","","","","26","4","1","1","1","4","4","8","13","3","1","2","3","3","5","50.2","13.8","4","3","5","5","8.16","2.48","1.57","37.083","4.41","54.85","4.03","6.43","8.52","4","6","21","0.375","0.076923077","0.19047619","5.25","0.807692308","2","0.307692308","1","0.153846154","0.5","0.076923077","38.0952381","66.66666667","15.38461538","27.49003984","1.099601594","4.273504274","27.77777778","5.698005698","37.03703704","2.849002849","18.51851852","1.566384037","10.18149624","8.547008547","55.55555556"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00015","","","","26","13","1","4","5","7","4","8","8","2","1.5","10","5","3","1","45.9","12.5","3","3","5","5","4.39","1.83","1.06","10.03","1.32","56.76","7.66","11.05","2.87","3.5","13.5","16","0.25","0.1875","0.21875","2.285714286","0.615384615","1.142857143","0.307692308","0.5","0.134615385","1.428571429","0.384615385","50","25.92592593","26.92307692","27.23311547","0.953159041","2.849002849","10.58201058","4.985754986","18.51851852","14.24501425","52.91005291","1.357776412","5.043169531","19.23076923","71.42857143"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00016","","","","26","18","3","6","4","8","1","0","3","0","0.4","5.5","5","5","1","","","","","","","","","","","","","","","","0.4","5.9","3","","0.133333333","0.133333333","0.375","0.115384615","0","0","0.05","0.015384615","0.6875","0.211538462","0","6.779661017","30.76923077","","","0","0","0.56980057","1.851851852","7.834757835","25.46296296","","","8.404558405","27.31481481"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00017","","","","26","26","1","2","5","12","10","24","37","5","2","10.5","3","1","1","49.2","14.9","1","3","6","3","6.46","2.16","1.49","32.128","4.41","59.11","3.2","5.43","7.09","7","17.5","61","0.208333333","0.054054054","0.114754098","5.083333333","2.346153846","2","0.923076923","0.583333333","0.269230769","0.875","0.403846154","39.3442623","40","46.15384615","30.28455285","2.119918699","7.122507123","15.43209877","9.971509972","21.60493827","14.95726496","32.40740741","3.019827207","6.542958948","24.92877493","54.01234568"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00018","","","","26","9","7","1","3","5","4","0","13","0","1.5","4.5","5","3","1","49.9","16.5","1","3","6","6","4.64","1.48","1.17","6.247","1.74","66.82","2.99","4.86","4.27","1.5","6","13","","0.115384615","0.115384615","2.6","0.5","0","0","0.3","0.057692308","0.9","0.173076923","0","25","19.23076923","33.06613226","0.495991984","0","0","2.136752137","11.11111111","6.41025641","33.33333333","0.706541288","3.674014696","8.547008547","44.44444444"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00019","","","","26","19","5","3","5","16","11","24","21","3","1.3","10","3","1","1","50.2","13.2","1","5","7","6","5.52","1.92","1.25","14.658","6.12","57.89","5.39","8.47","6.3","4.3","14.3","45","0.125","0.061904762","0.095555556","2.8125","1.730769231","1.5","0.923076923","0.26875","0.165384615","0.625","0.384615385","53.33333333","30.06993007","61.53846154","26.29482072","1.130677291","4.273504274","6.944444444","6.125356125","9.953703704","14.24501425","23.14814815","1.610651411","2.617308544","20.37037037","33.10185185"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00020","","","","26","7","1","1","3","5","5","7","7","1.4","0.3","5.5","7","1","1","24.4","5.4","1","7","7","5","4.32","1.73","1.07","20.648","1.32","47.42","9.33","12.88","10.31","1.7","7.2","14","0.2","0.042857143","0.121428571","2.8","0.538461538","1.4","0.269230769","0.34","0.065384615","1.1","0.211538462","50","23.61111111","19.23076923","22.13114754","0.376229508","1.994301994","10.37037037","2.421652422","12.59259259","7.834757835","40.74074074","0.53593947","2.786885246","10.25641026","53.33333333"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00021","","","","26","5","1","6","3","4","4","7","10","2","1.5","4.5","3","1","1","48.1","11.3","1","7","7","5","6.71","2.46","1.39","25.011","3.96","47.34","8.81","12.59","5.92","3.5","8","17","0.285714286","0.15","0.205882353","4.25","0.653846154","1.75","0.269230769","0.875","0.134615385","1.125","0.173076923","41.17647059","43.75","15.38461538","23.49272349","0.822245322","2.849002849","18.51851852","4.985754986","32.40740741","6.41025641","41.66666667","1.171289633","7.613382613","11.3960114","74.07407407"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00022","","","","26","14","1","4","5","13","9","9","12","1.9","1.5","10","5","3","1","35.9","9.4","1","5","7","4","3.69","1.8","1.23","34.112","3.96","50.38","6.72","9.73","14.15","3.4","13.4","21","0.211111111","0.125","0.161904762","1.615384615","0.807692308","0.692307692","0.346153846","0.261538462","0.130769231","0.769230769","0.384615385","42.85714286","25.37313433","50","26.18384401","0.890250696","2.706552707","5.413105413","4.843304843","9.686609687","14.24501425","28.49002849","1.268163385","2.53632677","19.08831909","38.17663818"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00023","","","","26","22","1","6","5","13","3","0","13","0","1.7","9.5","5","7","1","19.9","5.6","1","1","3","4","4.85","2.14","1.41","42.219","6.12","52.91","4.89","7.54","10.85","1.7","11.2","13","","0.130769231","0.130769231","1","0.5","0","0","0.130769231","0.065384615","0.730769231","0.365384615","0","15.17857143","50","28.14070352","0.47839196","0","0","2.421652422","4.843304843","13.53276353","27.06552707","0.681470028","1.362940056","15.95441595","31.90883191"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00024","","","","26","7","1","2","3","3","3","3","3","1.5","0.2","3","1","1","1","","","","","","","","","","","","","","","","1.7","4.7","6","0.5","0.066666667","0.283333333","2","0.230769231","1","0.115384615","0.566666667","0.065384615","1","0.115384615","50","36.17021277","11.53846154","","","2.136752137","18.51851852","2.421652422","20.98765432","4.273504274","37.03703704","","","6.695156695","58.02469136"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00025","","","","26","3","1","1","2","1","1","2","0","1.5","0","2.5","1","1","1","50.5","11","1","7","7","7","5.02","2.06","1.29","35.45","1.65","44.58","8.94","12.89","14.26","1.5","4","2","0.75","","0.75","2","0.076923077","2","0.076923077","1.5","0.057692308","2.5","0.096153846","100","37.5","3.846153846","21.78217822","0.326732673","2.136752137","55.55555556","2.136752137","55.55555556","3.561253561","92.59259259","0.465431159","12.10121012","5.698005698","148.1481481"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00026","","","","26","6","1","1","2","4","2","4","0","1.8","0","1","3","3","1","","","","","","","","","","","","","","","","1.8","2.8","4","0.45","","0.45","1","0.153846154","1","0.153846154","0.45","0.069230769","0.25","0.038461538","100","64.28571429","15.38461538","","","2.564102564","16.66666667","2.564102564","16.66666667","1.424501425","9.259259259","","","3.988603989","25.92592593"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00027","","","","26","22","4","1","4","13","8","8","9","2","1.5","6.5","3","1","1","50.8","11.7","1","6","7","6","3.47","1.81","1.1","42.138","14.37","49.14","11","15.47","3.13","3.5","10","17","0.25","0.166666667","0.205882353","1.307692308","0.653846154","0.615384615","0.307692308","0.269230769","0.134615385","0.5","0.25","47.05882353","35","50","23.03149606","0.806102362","2.849002849","5.698005698","4.985754986","9.971509972","9.259259259","18.51851852","1.148293963","2.296587927","14.24501425","28.49002849"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00028","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00029","","","","26","23","1","1","5","12","6","9","5","2","2","2.5","1","1","1","46.7","11.9","1","3","4","3","2.07","1.54","0.97","25.286","7.76","46.69","8.68","12.35","15.08","4","6.5","14","0.222222222","0.4","0.285714286","1.166666667","0.538461538","0.75","0.346153846","0.333333333","0.153846154","0.208333333","0.096153846","64.28571429","61.53846154","46.15384615","25.48179872","1.019271949","2.849002849","6.172839506","5.698005698","12.34567901","3.561253561","7.716049383","1.451954343","3.145901076","9.259259259","20.0617284"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00030","","","","26","24","3","4","7","11","6","14","12","3","1.5","17","3","3","1","","","","","","","","","","","","","","","","4.5","21.5","26","0.214285714","0.125","0.173076923","2.363636364","1","1.272727273","0.538461538","0.409090909","0.173076923","1.545454545","0.653846154","53.84615385","20.93023256","42.30769231","","","4.273504274","10.1010101","6.41025641","15.15151515","24.21652422","57.23905724","","","30.62678063","72.39057239"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00031","","","","26","22","3","2","6","11","10","12","20","2.5","1.5","7","3","1","1","50","13.7","1","5","2","2","3.58","1.79","1.25","15.537","7.76","61.83","7.47","10.67","0","4","11","32","0.208333333","0.075","0.125","2.909090909","1.230769231","1.090909091","0.461538462","0.363636364","0.153846154","0.636363636","0.269230769","37.5","36.36363636","42.30769231","27.4","1.096","3.561253561","8.417508418","5.698005698","13.46801347","9.971509972","23.56902357","1.561253561","3.69023569","15.66951567","37.03703704"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00032","","","","26","21","2","4","7","16","15","43","46","6.5","2.5","15","1","1","1","50.4","14.7","1","4","3","7","2.29","1.46","0.98","","1.74","60.58","6.95","9.91","3.26","9","24","89","0.151162791","0.054347826","0.101123596","5.5625","3.423076923","2.6875","1.653846154","0.5625","0.346153846","0.9375","0.576923077","48.31460674","37.5","61.53846154","29.16666667","2.625","9.259259259","15.0462963","12.82051282","20.83333333","21.36752137","34.72222222","3.739316239","6.076388889","34.18803419","55.55555556"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00033","","","","26","23","4","4","7","20","17","53","50","8.2","2.5","19","3","1","1","","","","","","","","","","","","","","","","10.7","29.7","103","0.154716981","0.05","0.103883495","5.15","3.961538462","2.65","2.038461538","0.535","0.411538462","0.95","0.730769231","51.45631068","36.02693603","76.92307692","","","11.68091168","15.18518519","15.24216524","19.81481481","27.06552707","35.18518519","","","42.30769231","55"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00034","","","","26","18","1","1","5","9","8","20","12","5.5","1.5","5.5","1","1","1","50.6","11.6","1","3","4","7","4.18","2.02","1.23","45.364","11.03","49.6","10.76","15.15","0.65","7","12.5","32","0.275","0.125","0.21875","3.555555556","1.230769231","2.222222222","0.769230769","0.777777778","0.269230769","0.611111111","0.211538462","62.5","56","34.61538462","22.92490119","1.604743083","7.834757835","22.63374486","9.971509972","28.80658436","7.834757835","22.63374486","2.285958808","6.603881","17.80626781","51.44032922"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00035","","","","26","17","8","2","5","9","8","14","13","2.5","1.5","16.5","3","3","1","","","","","","","","","","","","","","","","4","20.5","27","0.178571429","0.115384615","0.148148148","3","1.038461538","1.555555556","0.538461538","0.444444444","0.153846154","1.833333333","0.634615385","51.85185185","19.51219512","34.61538462","","","3.561253561","10.28806584","5.698005698","16.46090535","23.5042735","67.90123457","","","29.2022792","84.36213992"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00036","","","","26","18","4","6","6","17","7","21","49","2.5","1.8","13.5","7","9","1","50.9","15","1","1","3","4","4.96","2.09","1.47","42.511","6.12","56.05","2.73","4.65","11.47","4.3","17.8","70","0.119047619","0.036734694","0.061428571","4.117647059","2.692307692","1.235294118","0.807692308","0.252941176","0.165384615","0.794117647","0.519230769","30","24.15730337","65.38461538","29.46954813","1.26719057","3.561253561","5.446623094","6.125356125","9.368191721","19.23076923","29.41176471","1.805114772","2.760763769","25.35612536","38.77995643"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00037","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00038","","","","26","10","4","3","4","3","3","8","10","2","0.5","3.5","5","3","1","30.6","7","1","5","3","5","4.51","2.08","1.15","28.744","3.03","53.29","8.87","12.59","3.41","2.5","6","18","0.25","0.05","0.138888889","6","0.692307692","2.666666667","0.307692308","0.833333333","0.096153846","1.166666667","0.134615385","44.44444444","41.66666667","11.53846154","22.87581699","0.571895425","2.849002849","24.69135802","3.561253561","30.86419753","4.985754986","43.20987654","0.814665847","7.060437344","8.547008547","74.07407407"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00039","","","","26","22","1","1","9","16","13","19","12","7.5","3","","3","3","1","50.3","19.7","1","7","3","2","4.07","1.39","0.92","42.905","","68","3.28","4.86","5.07","10.5","","31","0.394736842","0.25","0.338709677","1.9375","1.192307692","1.1875","0.730769231","0.65625","0.403846154","","","61.29032258","","61.53846154","39.16500994","4.112326044","10.68376068","17.36111111","14.95726496","24.30555556","","","5.858014307","9.519273249","",""
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00040","","","","26","20","1","1","4","6","1","2","5","0.5","0.1","0.5","3","1","1","50.3","14.1","1","3","2","5","6.5","2.21","1.38","10.989","1.32","56.8","4.52","7.18","7.26","0.6","1.1","7","0.25","0.02","0.085714286","1.166666667","0.269230769","0.333333333","0.076923077","0.1","0.023076923","0.083333333","0.019230769","28.57142857","54.54545455","23.07692308","28.03180915","0.168190855","0.712250712","3.086419753","0.854700855","3.703703704","0.712250712","3.086419753","0.239588112","1.038215154","1.566951567","6.790123457"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00041","","","","26","4","1","2","3","4","3","4","10","1.7","0.5","0.5","3","1","1","50.2","11.9","3","7","2","2","5.62","2.35","1.59","42.642","4.92","48.39","4.36","6.42","16.16","2.2","2.7","14","0.425","0.05","0.157142857","3.5","0.538461538","1","0.153846154","0.55","0.084615385","0.125","0.019230769","28.57142857","81.48148148","15.38461538","23.70517928","0.521513944","2.421652422","15.74074074","3.133903134","20.37037037","0.712250712","4.62962963","0.742897356","4.828832817","3.846153846","25"
"","","MZP2012CKE-AT01","","","","","","","","","MZP2012CKE-AT01-00042","","","","26","24","1","2","7","15","11","23","12","4","1.8","20.5","3","3","1","","","","","","","","","","","","","","","","5.8","26.3","35","0.173913043","0.15","0.165714286","2.333333333","1.346153846","1.533333333","0.884615385","0.386666667","0.223076923","1.366666667","0.788461538","65.71428571","22.05323194","57.69230769","","","5.698005698","9.87654321","8.262108262","14.32098765","29.2022792","50.61728395","","","37.46438746","64.9382716"
