"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2011EJR-AT01","","","","","","","","","GHP2011EJR-AT01-00028","","","","2","16.68","50","3.08","5.58","2","70","53","32","28","34","28","2","61.18","5","7","7","8","6","16.7","3.2","14","19.9","33.9","123","0.238571429","0.060377358","0.161788618","4.392857143","3.617647059","2.5","2.058823529","0.710714286","0.585294118","0.5","0.411764706","56.91056911","58.7020649","82.35294118","33.36","6.63864","16.37254902","19.88095238","19.50980392","23.69047619","13.7254902","16.66666667","6.508470588","7.903142857","33.23529412","40.35714286"
"","","GHP2011EJR-AT01","","","","","","","","","GHP2011EJR-AT01-00029","","","","3","18.59","50","0.67","2.33","2","40","39","30","27","34","26","2","69.76","6","8","9","4","8","10.8","2","44.2","12.8","57","79","0.27","0.051282051","0.162025316","2.925925926","2.323529412","1.481481481","1.176470588","0.474074074","0.376470588","1.637037037","1.3","50.63291139","22.45614035","79.41176471","37.18","4.75904","10.58823529","13.33333333","12.54901961","15.80246914","43.33333333","54.56790123","4.66572549","5.875358025","55.88235294","70.37037037"
"","","GHP2011EJR-AT01","","","","","","","","","GHP2011EJR-AT01-00003","","","","4","23.3","50","0.59","1.88","3","24","14","29","28","34","26","2","74.51","5","8","9","5","6","7.8","1.3","17.2","9.1","26.3","38","0.325","0.092857143","0.239473684","1.357142857","1.117647059","0.857142857","0.705882353","0.325","0.267647059","0.614285714","0.505882353","63.15789474","34.60076046","82.35294118","46.6","4.2406","7.647058824","9.285714286","8.921568627","10.83333333","16.8627451","20.47619048","4.15745098","5.048333333","25.78431373","31.30952381"
"","","GHP2011EJR-AT01","","","","","","","","","GHP2011EJR-AT01-00030","","","","4","22.96","50","0.15","1.61","3","20","36","33","24","34","22","3","75.55","6","7","9","6","6","5.6","4.1","34","9.7","43.7","56","0.28","0.113888889","0.173214286","2.333333333","1.647058824","0.833333333","0.588235294","0.404166667","0.285294118","1.416666667","1","35.71428571","22.19679634","70.58823529","45.92","4.45424","5.490196078","7.777777778","9.509803922","13.47222222","33.33333333","47.22222222","4.366901961","6.186444444","42.84313725","60.69444444"
"","","GHP2011EJR-AT01","","","","","","","","","GHP2011EJR-AT01-00031","","","","3","","","","","3","43","55","33","30","34","30","3","","5","9","9","4","8","11.6","7.3","21.2","18.9","40.1","98","0.269767442","0.132727273","0.192857143","3.266666667","2.882352941","1.433333333","1.264705882","0.63","0.555882353","0.706666667","0.623529412","43.87755102","47.13216958","88.23529412","","","11.37254902","12.88888889","18.52941176","21","20.78431373","23.55555556","","","39.31372549","44.55555556"
"","","GHP2011EJR-AT01","","","","","","","","","GHP2011EJR-AT01-00032","","","","","","","","","","0","0","","0","34","0","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2011EJR-AT01","","","","","","","","","GHP2011EJR-AT01-00033","","","","3","18.38","50","1.52","3.39","2","44","23","30","25","34","25","2","66.6","4","8","7","7","5","11.9","1.1","24.6","13","37.6","67","0.270454545","0.047826087","0.194029851","2.68","1.970588235","1.76","1.294117647","0.52","0.382352941","0.984","0.723529412","65.67164179","34.57446809","73.52941176","36.76","4.7788","11.66666667","15.86666667","12.74509804","17.33333333","24.11764706","32.8","4.685098039","6.371733333","36.8627451","50.13333333"
"","","GHP2011EJR-AT01","","","","","","","","","GHP2011EJR-AT01-00034","","","","3","17.68","50","1.23","3.11","2","21","34","33","29","34","29","2","65.89","5","7","8","6","7","4.9","6.7","9","11.6","20.6","55","0.233333333","0.197058824","0.210909091","1.896551724","1.617647059","0.724137931","0.617647059","0.4","0.341176471","0.310344828","0.264705882","38.18181818","56.31067961","85.29411765","35.36","4.10176","4.803921569","5.632183908","11.37254902","13.33333333","8.823529412","10.34482759","4.021333333","4.714666667","20.19607843","23.67816092"
"","","GHP2011EJR-AT01","","","","","","","","","GHP2011EJR-AT01-00035","","","","2","16.78","50","3.52","5.98","2","93","38","31","29","34","29","2","58.71","5","6","6","8","6","13.4","1.5","11.2","14.9","26.1","131","0.144086022","0.039473684","0.113740458","4.517241379","3.852941176","3.206896552","2.735294118","0.513793103","0.438235294","0.386206897","0.329411765","70.99236641","57.08812261","85.29411765","33.56","5.00044","13.1372549","15.40229885","14.60784314","17.12643678","10.98039216","12.87356322","4.902392157","5.747632184","25.58823529","30"
"","","GHP2011EJR-AT01","","","","","","","","","GHP2011EJR-AT01-00036","","","","3","17.48","50","1.78","3.61","2","36","49","30","27","34","24","3","69.19","5","8","7","7","4","9","2.9","12.2","11.9","24.1","85","0.25","0.059183673","0.14","3.148148148","2.5","1.333333333","1.058823529","0.440740741","0.35","0.451851852","0.358823529","42.35294118","49.37759336","79.41176471","34.96","4.16024","8.823529412","11.11111111","11.66666667","14.69135802","11.96078431","15.0617284","4.078666667","5.136098765","23.62745098","29.75308642"
