"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root secondary defects estimating 1-18| CO_331:0000810","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00028","","","","0","1.724643","1.115923","0.055607","1.39434","5","3","10","10","10","10","34","24","2","8","3.486263","6","74.1094437","6","40.31145279","3","5","14.5055847","6","3","5","5.8","0.9","8","6.7","14.7","58","0.170588235","0.0375","0.115517241","5.8","3.4","0.67","0.8","58.62068966","45.57823129","2.700867337","19.33333333","22.33333333","26.66666667","9.002891123","49","5.8","3.4","0.67","0.8","100","19.33333333","22.33333333","26.66666667","9.002891123","49"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00029","","","","9.039217","1.572475","0.854926","0.961533","2.334655","3","1","10","10","8","8","5","4","6","7","2.3403821","4","70.0074158","7","33.78137972","3","5","16.6707325","6","5","6","0.6","0.2","4","0.8","4.8","9","0.12","0.05","0.088888889","1.125","0.625","0.1","0.5","55.55555556","16.66666667","0.270251038","2.5","3.333333333","16.66666667","1.126045991","20","0.9","0.5","0.08","0.4","80","2","2.666666667","13.33333333","0.900836793","16"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00003","","","","","","","","","3","1","10","6","4","4","2","2","","","","4","","7","","3","3","","7","4","6","1.4","0.1","12.5","1.5","14","4","0.7","0.05","0.375","1","0.5","0.375","3.125","50","10.71428571","","11.66666667","12.5","104.1666667","","116.6666667","0.4","0.2","0.15","1.25","40","4.666666667","5","41.66666667","","46.66666667"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00030","","","","47.5729179","2.0291269","1.396745","8.5479956","12.5679779","5","1","10","10","6","6","16","15","7","5","2.303911","5","39.0354424","7","15.48593095","4","5","24.3225346","5","3","5","4.5","0.4","2.5","4.9","7.4","31","0.28125","0.026666667","0.158064516","5.166666667","2.666666667","0.816666667","0.416666667","51.61290323","66.21621622","0.758810617","25","27.22222222","13.88888889","4.215614536","41.11111111","3.1","1.6","0.49","0.25","60","15","16.33333333","8.333333333","2.529368722","24.66666667"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00031","","","","1.1152973","1.676159","0.781855","2.379106","4.3666868","3","1","10","10","10","10","24","15","3","3","2.7431681","4","67.5051804","6","30.7860262","3","5","16.5880032","6","4","6","6.2","0.6","3.5","6.8","10.3","39","0.258333333","0.04","0.174358974","3.9","2.4","0.68","0.35","61.53846154","66.01941748","2.093449782","20.66666667","22.66666667","11.66666667","6.978165939","34.33333333","3.9","2.4","0.68","0.35","100","20.66666667","22.66666667","11.66666667","6.978165939","34.33333333"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00032","","","","0","2.013278","0.986133","1.28348","3.0137701","5","1","10","10","10","10","26","31","3","8","2.7209949","5","68.4019699","7","31.33123277","3","5","20.4393387","5","4","6","3.4","1.2","2.5","4.6","7.1","57","0.130769231","0.038709677","0.080701754","5.7","2.6","0.46","0.25","45.61403509","64.78873239","1.441236707","11.33333333","15.33333333","8.333333333","4.804122358","23.66666667","5.7","2.6","0.46","0.25","100","11.33333333","15.33333333","8.333333333","4.804122358","23.66666667"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00004","","","","7.2242298","2.003336","1.297805","0","1.000156","5","5","10","10","9","9","24","20","6","7","4.3129349","6","67.1606598","5","32.99050633","3","3","19.6133041","6","3","5","6.6","0.9","9.5","7.5","17","44","0.275","0.045","0.170454545","4.888888889","2.666666667","0.833333333","1.055555556","54.54545455","44.11764706","2.474287975","24.44444444","27.77777778","35.18518519","9.164029536","62.96296296","4.4","2.4","0.75","0.95","90","22","25","31.66666667","8.247626583","56.66666667"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00005","","","","","","","","","3","1","10","3","1","1","0","5","","","","4","","6","","5","7","","5","3","6","0","0.2","1.5","0.2","1.7","5","","0.04","0.04","5","0","0.2","1.5","0","11.76470588","","0","6.666666667","50","","56.66666667","0.5","0","0.02","0.15","10","0","0.666666667","5","","5.666666667"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00006","","","","0","2.129416","1.1146981","1.32122","3.0699069","5","1","10","10","9","9","69","16","3","4","3.8892779","5","69.5044708","2","35.34568639","3","3","14.7367535","7","1","3","9.8","0.6","10.5","10.4","20.9","85","0.142028986","0.0375","0.122352941","9.444444444","7.666666667","1.155555556","1.166666667","81.17647059","49.76076555","3.675951385","36.2962963","38.51851852","38.88888889","13.61463476","77.40740741","8.5","6.9","1.04","1.05","90","32.66666667","34.66666667","35","12.25317128","69.66666667"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00007","","","","0","1.6563931","1.090228","0.933833","2.183923","5","1","10","10","10","10","45","30","5","4","4.7112598","4","70.315834","7","31.61226508","3","3","17.0774727","7","3","4","10.6","1.5","6","12.1","18.1","75","0.235555556","0.05","0.161333333","7.5","4.5","1.21","0.6","60","66.85082873","3.825084075","35.33333333","40.33333333","20","12.75028025","60.33333333","7.5","4.5","1.21","0.6","100","35.33333333","40.33333333","20","12.75028025","60.33333333"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00008","","","","22.0623131","1.736623","0.928211","5.145216","7.6759138","5","1","10","10","10","10","53","43","7","5","2.5247569","5","57.946064","7","23.79625945","4","5","17.8221626","6","3","5","11.3","2.6","9","13.9","22.9","96","0.213207547","0.060465116","0.144791667","9.6","5.3","1.39","0.9","55.20833333","60.69868996","3.307680064","37.66666667","46.33333333","30","11.02560021","76.33333333","9.6","5.3","1.39","0.9","100","37.66666667","46.33333333","30","11.02560021","76.33333333"
"","","GHP2017KMD-PT02","","","","","","","","","GHP2017KMD-PT02-00009","","","","4.9627628","2.1542799","1.1546","1.303575","2.770262","5","1","10","10","10","10","38","37","4","6","3.930645","5","63.9732056","6","27.07753479","3","5","21.3734722","6","3","6","8.2","1.5","5.5","9.7","15.2","75","0.215789474","0.040540541","0.129333333","7.5","3.8","0.97","0.55","50.66666667","63.81578947","2.626520875","27.33333333","32.33333333","18.33333333","8.755069582","50.66666667","7.5","3.8","0.97","0.55","100","27.33333333","32.33333333","18.33333333","8.755069582","50.66666667"
