"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00011","","","","1","16.1","50.5","2","20","35","10","10","10","10","3","8","1","6","8","7","3","5","5.7","1.5","9","7.2","16.2","55","0.285","0.042857143","0.130909091","5.5","5.5","2","2","0.72","0.72","0.9","0.9","36.36363636","44.44444444","100","31.88118812","2.295445545","19","19","24","24","30","30","7.651485149","7.651485149","54","54"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00012","","","","1","17","50.6","1","17","30","10","10","10","10","7","6","1","7","7","6","4","5","3.1","1.4","4","4.5","8.5","47","0.182352941","0.046666667","0.095744681","4.7","4.7","1.7","1.7","0.45","0.45","0.4","0.4","36.17021277","52.94117647","100","33.59683794","1.511857708","10.33333333","10.33333333","15","15","13.33333333","13.33333333","5.039525692","5.039525692","28.33333333","28.33333333"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00013","","","","1","20","50.2","1","6","8","4","4","10","4","6","8","1","5","5","7","4","4","0.9","0.6","2.3","1.5","3.8","14","0.15","0.075","0.107142857","3.5","1.4","1.5","0.6","0.375","0.15","0.575","0.23","42.85714286","39.47368421","40","39.84063745","0.597609562","3","7.5","5","12.5","7.666666667","19.16666667","1.992031873","4.980079681","12.66666667","31.66666667"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00014","","","","1","19.5","50.6","1","13","40","10","10","10","10","4","8","1","5","7","4","3","7","2.9","2","5.2","4.9","10.1","53","0.223076923","0.05","0.09245283","5.3","5.3","1.3","1.3","0.49","0.49","0.52","0.52","24.52830189","48.51485149","100","38.53754941","1.888339921","9.666666667","9.666666667","16.33333333","16.33333333","17.33333333","17.33333333","6.294466403","6.294466403","33.66666667","33.66666667"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00015","","","","1","17.5","50.4","1","10","11","10","10","10","7","3","2","1","4","7","6","5","5","2.6","0.5","2","3.1","5.1","21","0.26","0.045454545","0.147619048","2.1","2.1","1","1","0.31","0.31","0.2","0.2","47.61904762","60.78431373","100","34.72222222","1.076388889","8.666666667","8.666666667","10.33333333","10.33333333","6.666666667","6.666666667","3.587962963","3.587962963","17","17"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00016","","","","1","15.4","50.2","2","3","3","10","10","10","3","4","6","1","6","5","4","7","7","0.8","0.1","3.2","0.9","4.1","6","0.266666667","0.033333333","0.15","0.6","0.6","0.3","0.3","0.09","0.09","0.32","0.32","50","21.95121951","100","30.67729084","0.276095618","2.666666667","2.666666667","3","3","10.66666667","10.66666667","0.920318725","0.920318725","13.66666667","13.66666667"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00017","","","","1","","","1","20","38","10","10","10","10","","","1","7","6","4","3","7","3","1.6","3.8","4.6","8.4","58","0.15","0.042105263","0.079310345","5.8","5.8","2","2","0.46","0.46","0.38","0.38","34.48275862","54.76190476","100","","","10","10","15.33333333","15.33333333","12.66666667","12.66666667","","","28","28"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00018","","","","1","","","1","2","4","10","10","10","3","","","1","4","3","7","4","4","0.4","0.2","3.5","0.6","4.1","6","0.2","0.05","0.1","0.6","0.6","0.2","0.2","0.06","0.06","0.35","0.35","33.33333333","14.63414634","100","","","1.333333333","1.333333333","2","2","11.66666667","11.66666667","","","13.66666667","13.66666667"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00019","","","","1","17","50.6","2","16","11","10","10","10","10","4","2","1","5","7","6","4","5","3.4","1","6.2","4.4","10.6","27","0.2125","0.090909091","0.162962963","2.7","2.7","1.6","1.6","0.44","0.44","0.62","0.62","59.25925926","41.50943396","100","33.59683794","1.47826087","11.33333333","11.33333333","14.66666667","14.66666667","20.66666667","20.66666667","4.927536232","4.927536232","35.33333333","35.33333333"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00020","","","","1","","","1","1","0","10","10","10","1","","","1","5","5","7","3","4","0.3","0","3.6","0.3","3.9","1","0.3","","0.3","0.1","0.1","0.1","0.1","0.03","0.03","0.36","0.36","100","7.692307692","100","","","1","1","1","1","12","12","","","13","13"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00021","","","","1","15.9","50","2","6","12","10","10","10","8","8","6","2","5","7","7","3","4","2","1","2.7","3","5.7","18","0.333333333","0.083333333","0.166666667","1.8","1.8","0.6","0.6","0.3","0.3","0.27","0.27","33.33333333","52.63157895","100","31.8","0.954","6.666666667","6.666666667","10","10","9","9","3.18","3.18","19","19"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00022","","","","1","12.77","50.53","3","20","13","10","10","10","10","8","6","4","6","6","7","3","4","3.4","0.6","1.9","4","5.9","33","0.17","0.046153846","0.121212121","3.3","3.3","2","2","0.4","0.4","0.19","0.19","60.60606061","67.79661017","100","25.27211557","1.010884623","11.33333333","11.33333333","13.33333333","13.33333333","6.333333333","6.333333333","3.36961541","3.36961541","19.66666667","19.66666667"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00023","","","","2","18.97","50.42","2","12","10","10","10","10","10","6","3","2","7","7","8","3","3","2.7","0.6","7.3","3.3","10.6","22","0.225","0.06","0.15","2.2","2.2","1.2","1.2","0.33","0.33","0.73","0.73","54.54545455","31.13207547","100","37.62395875","1.241590639","9","9","11","11","24.33333333","24.33333333","4.138635462","4.138635462","35.33333333","35.33333333"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00024","","","","1","16.56","50.62","1","7","11","10","10","10","10","6","5","3","7","8","8","4","3","3.5","1.5","8.2","5","13.2","18","0.5","0.136363636","0.277777778","1.8","1.8","0.7","0.7","0.5","0.5","0.82","0.82","38.88888889","37.87878788","100","32.71434216","1.635717108","11.66666667","11.66666667","16.66666667","16.66666667","27.33333333","27.33333333","5.45239036","5.45239036","44","44"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00025","","","","2","17.73","50.11","2","12","7","10","10","10","8","5","3","2","5","7","6","4","5","2.7","1.5","5.8","4.2","10","19","0.225","0.214285714","0.221052632","1.9","1.9","1.2","1.2","0.42","0.42","0.58","0.58","63.15789474","42","100","35.38215925","1.486050688","9","9","14","14","19.33333333","19.33333333","4.953502295","4.953502295","33.33333333","33.33333333"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00026","","","","1","16.24","50.68","2","10","21","10","10","10","10","6","4","2","7","7","6","3","5","2.4","1.6","4.1","4","8.1","31","0.24","0.076190476","0.129032258","3.1","3.1","1","1","0.4","0.4","0.41","0.41","32.25806452","49.38271605","100","32.0441989","1.281767956","8","8","13.33333333","13.33333333","13.66666667","13.66666667","4.272559853","4.272559853","27","27"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00027","","","","1","18.4","50.17","1","6","11","10","10","10","8","7","3","1","5","5","9","3","3","1.1","0.7","21.5","1.8","23.3","17","0.183333333","0.063636364","0.105882353","1.7","1.7","0.6","0.6","0.18","0.18","2.15","2.15","35.29411765","7.725321888","100","36.67530397","0.660155471","3.666666667","3.666666667","6","6","71.66666667","71.66666667","2.200518238","2.200518238","77.66666667","77.66666667"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00028","","","","1","15.5","50.48","2","10","8","10","10","10","10","8","6","1","6","7","5","4","6","3.3","0.6","4.3","3.9","8.2","18","0.33","0.075","0.216666667","1.8","1.8","1","1","0.39","0.39","0.43","0.43","55.55555556","47.56097561","100","30.70522979","1.197503962","11","11","13","13","14.33333333","14.33333333","3.991679873","3.991679873","27.33333333","27.33333333"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00029","","","","1","17.49","50.67","1","10","11","10","10","10","10","5","3","1","7","7","5","4","5","2.5","1","12.4","3.5","15.9","21","0.25","0.090909091","0.166666667","2.1","2.1","1","1","0.35","0.35","1.24","1.24","47.61904762","22.01257862","100","34.51746596","1.208111308","8.333333333","8.333333333","11.66666667","11.66666667","41.33333333","41.33333333","4.027037695","4.027037695","53","53"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00030","","","","6","18.1","50.49","2","4","15","8","8","10","8","6","5","2","4","5","2","5","9","0.7","0.8","3.4","1.5","4.9","19","0.175","0.053333333","0.078947368","2.375","1.9","0.5","0.4","0.1875","0.15","0.425","0.34","21.05263158","30.6122449","80","35.84868291","0.537730244","2.333333333","2.916666667","5","6.25","11.33333333","14.16666667","1.792434145","2.240542682","16.33333333","20.41666667"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00031","","","","1","","","1","4","32","8","8","10","8","","","1","5","5","6","3","5","0.7","1.6","3.7","2.3","6","36","0.175","0.05","0.063888889","4.5","3.6","0.5","0.4","0.2875","0.23","0.4625","0.37","11.11111111","38.33333333","80","","","2.333333333","2.916666667","7.666666667","9.583333333","12.33333333","15.41666667","","","20","25"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00032","","","","1","19.85","50.07","3","39","20","8","8","10","8","5","8","1","5","7","5","3","6","4","1","3.8","5","8.8","59","0.102564103","0.05","0.084745763","7.375","5.9","4.875","3.9","0.625","0.5","0.475","0.38","66.10169492","56.81818182","80","39.6444977","1.982224885","13.33333333","16.66666667","16.66666667","20.83333333","12.66666667","15.83333333","6.607416284","8.259270355","29.33333333","36.66666667"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00033","","","","1","18.26","50.19","2","10","18","10","10","10","10","5","3","3","5","7","9","3","3","3.6","1.5","15.6","5.1","20.7","28","0.36","0.083333333","0.182142857","2.8","2.8","1","1","0.51","0.51","1.56","1.56","35.71428571","24.63768116","100","36.38174935","1.855469217","12","12","17","17","52","52","6.18489739","6.18489739","69","69"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00034","","","","1","","","1","0","13","10","10","10","8","","","1","3","3","2","7","9","0","0.8","1.4","0.8","2.2","13","","0.061538462","0.061538462","1.3","1.3","0","0","0.08","0.08","0.14","0.14","0","36.36363636","100","","","0","0","2.666666667","2.666666667","4.666666667","4.666666667","","","7.333333333","7.333333333"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00035","","","","1","","","1","2","10","10","10","10","5","","","1","3","4","7","3","4","0.3","0.4","8.5","0.7","9.2","12","0.15","0.04","0.058333333","1.2","1.2","0.2","0.2","0.07","0.07","0.85","0.85","16.66666667","7.608695652","100","","","1","1","2.333333333","2.333333333","28.33333333","28.33333333","","","30.66666667","30.66666667"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00036","","","","1","18.9","50.64","1","16","13","10","10","10","10","5","3","1","7","7","7","4","5","4","0.9","8.3","4.9","13.2","29","0.25","0.069230769","0.168965517","2.9","2.9","1.6","1.6","0.49","0.49","0.83","0.83","55.17241379","37.12121212","100","37.32227488","1.828791469","13.33333333","13.33333333","16.33333333","16.33333333","27.66666667","27.66666667","6.095971564","6.095971564","44","44"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00037","","","","2","16.86","50.11","3","11","12","4","4","10","4","9","9","1","5","6","7","2","5","2.8","1","10.5","3.8","14.3","23","0.254545455","0.083333333","0.165217391","5.75","2.3","2.75","1.1","0.95","0.38","2.625","1.05","47.82608696","26.57342657","40","33.64597885","1.278547196","9.333333333","23.33333333","12.66666667","31.66666667","35","87.5","4.261823987","10.65455997","47.66666667","119.1666667"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00038","","","","1","20.94","50.83","1","8","8","8","8","10","8","4","8","1","7","8","7","5","4","2.8","0.4","12","3.2","15.2","16","0.35","0.05","0.2","2","1.6","1","0.8","0.4","0.32","1.5","1.2","50","21.05263158","80","41.19614401","1.318276608","9.333333333","11.66666667","10.66666667","13.33333333","40","50","4.394255361","5.492819201","50.66666667","63.33333333"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00039","","","","2","16.68","50.77","3","7","38","10","10","10","10","5","6","2","4","7","7","5","5","2.9","2.8","13.4","5.7","19.1","45","0.414285714","0.073684211","0.126666667","4.5","4.5","0.7","0.7","0.57","0.57","1.34","1.34","15.55555556","29.84293194","100","32.85404767","1.872680717","9.666666667","9.666666667","19","19","44.66666667","44.66666667","6.242269057","6.242269057","63.66666667","63.66666667"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00040","","","","1","19.47","50.76","2","6","22","10","10","10","10","4","3","1","5","5","8","3","4","0.8","1","14.5","1.8","16.3","28","0.133333333","0.045454545","0.064285714","2.8","2.8","0.6","0.6","0.18","0.18","1.45","1.45","21.42857143","11.04294479","100","38.356974","0.690425532","2.666666667","2.666666667","6","6","48.33333333","48.33333333","2.30141844","2.30141844","54.33333333","54.33333333"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00041","","","","1","","","2","3","4","3","3","10","3","","","3","3","6","6","5","7","1.2","0.1","5.7","1.3","7","7","0.4","0.025","0.185714286","2.333333333","0.7","1","0.3","0.433333333","0.13","1.9","0.57","42.85714286","18.57142857","30","","","4","13.33333333","4.333333333","14.44444444","19","63.33333333","","","23.33333333","77.77777778"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00042","","","","1","","","1","0","3","3","3","10","2","","","1","2","2","2","7","9","0","0.2","0.8","0.2","1","3","","0.066666667","0.066666667","1","0.3","0","0","0.066666667","0.02","0.266666667","0.08","0","20","30","","","0","0","0.666666667","2.222222222","2.666666667","8.888888889","","","3.333333333","11.11111111"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00043","","","","1","16.93","50.77","","0","0","10","10","10","0","5","","","","","2","7","9","0","0","1.3","0","1.3","0","","","","0","0","0","0","0","0","0.13","0.13","","0","100","33.34646445","0","0","0","0","0","4.333333333","4.333333333","0","0","4.333333333","4.333333333"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00044","","","","1","","","1","2","5","8","8","10","3","","","1","3","3","2","7","9","0.1","0.2","1.2","0.3","1.5","7","0.05","0.04","0.042857143","0.875","0.7","0.25","0.2","0.0375","0.03","0.15","0.12","28.57142857","20","80","","","0.333333333","0.416666667","1","1.25","4","5","","","5","6.25"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00045","","","","1","14.42","50.55","2","16","33","10","10","10","10","8","5","1","7","7","7","3","5","4.7","1.5","9.3","6.2","15.5","49","0.29375","0.045454545","0.126530612","4.9","4.9","1.6","1.6","0.62","0.62","0.93","0.93","32.65306122","40","100","28.52621167","1.768625124","15.66666667","15.66666667","20.66666667","20.66666667","31","31","5.895417079","5.895417079","51.66666667","51.66666667"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00046","","","","1","","","1","4","10","10","10","10","7","","","1","4","4","8","2","4","0.5","0.5","10.9","1","11.9","14","0.125","0.05","0.071428571","1.4","1.4","0.4","0.4","0.1","0.1","1.09","1.09","28.57142857","8.403361345","100","","","1.666666667","1.666666667","3.333333333","3.333333333","36.33333333","36.33333333","","","39.66666667","39.66666667"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00047","","","","2","","","2","2","14","9","9","10","9","","","3","3","5","9","2","3","1.2","2.3","17","3.5","20.5","16","0.6","0.164285714","0.21875","1.777777778","1.6","0.222222222","0.2","0.388888889","0.35","1.888888889","1.7","12.5","17.07317073","90","","","4","4.444444444","11.66666667","12.96296296","56.66666667","62.96296296","","","68.33333333","75.92592593"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00048","","","","1","11.75","50.54","6","12","58","10","10","10","10","6","6","1","5","6","7","2","4","1.8","4.1","4.2","5.9","10.1","70","0.15","0.070689655","0.084285714","7","7","1.2","1.2","0.59","0.59","0.42","0.42","17.14285714","58.41584158","100","23.24891175","1.371685793","6","6","19.66666667","19.66666667","14","14","4.572285978","4.572285978","33.66666667","33.66666667"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00049","","","","1","15.91","50.05","1","11","10","9","9","10","9","6","3","1","8","7","7","4","4","3","0.7","4.2","3.7","7.9","21","0.272727273","0.07","0.176190476","2.333333333","2.1","1.222222222","1.1","0.411111111","0.37","0.466666667","0.42","52.38095238","46.83544304","90","31.78821179","1.176163836","10","11.11111111","12.33333333","13.7037037","14","15.55555556","3.920546121","4.356162356","26.33333333","29.25925926"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00050","","","","3","15.68","50.47","3","10","11","9","9","10","9","5","6","1","6","6","5","5","5","2.1","0.5","3.3","2.6","5.9","21","0.21","0.045454545","0.123809524","2.333333333","2.1","1.111111111","1","0.288888889","0.26","0.366666667","0.33","47.61904762","44.06779661","90","31.06796117","0.80776699","7","7.777777778","8.666666667","9.62962963","11","12.22222222","2.692556634","2.991729594","19.66666667","21.85185185"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00051","","","","1","18","50.35","3","15","13","10","10","10","10","3","6","1","6","6","9","4","4","2.1","0.7","6.6","2.8","9.4","28","0.14","0.053846154","0.1","2.8","2.8","1.5","1.5","0.28","0.28","0.66","0.66","53.57142857","29.78723404","100","35.74975174","1.000993049","7","7","9.333333333","9.333333333","22","22","3.336643496","3.336643496","31.33333333","31.33333333"
"","","GHP2014FMS-PT01","","","","","","","","","GHP2014FMS-PT01-00052","","","","1","","","1","0","7","6","6","10","4","","","1","2","3","3","6","8","0","0.2","1.4","0.2","1.6","7","","0.028571429","0.028571429","1.166666667","0.7","0","0","0.033333333","0.02","0.233333333","0.14","0","12.5","60","","","0","0","0.666666667","1.111111111","4.666666667","7.777777778","","","5.333333333","8.888888889"
