"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00085","","","","","","","","","","","","4","10","","","","","1","9","","","","","","","","","","","","","","","","","","","","40","","","","","","","","","","","",""
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00086","","","","","","","","4","1","0","20","10","10","10","1","","4","8","4","0","1.5","7.1","1.5","8.6","20","","0.075","0.075","2","2","0","0","0.15","0.15","0.71","0.71","0","17.44186047","100","","","0","0","5","5","23.66666667","23.66666667","","","28.66666667","28.66666667"
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00087","","","","","","","","","","0","0","4","10","0","","","","1","9","0","0","0.5","0","0.5","0","","","","0","0","0","0","0","0","0.125","0.05","","0","40","","","0","0","0","0","1.666666667","4.166666667","","","1.666666667","4.166666667"
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00088","","","","","","","","4","1","0","20","10","10","10","1","","4","7","5","0","1.5","3.6","1.5","5.1","20","","0.075","0.075","2","2","0","0","0.15","0.15","0.36","0.36","0","29.41176471","100","","","0","0","5","5","12","12","","","17","17"
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00089","","","","","","","","","","0","0","3","10","0","","","","5","7","0","0","1.5","0","1.5","0","","","","0","0","0","0","0","0","0.5","0.15","","0","30","","","0","0","0","0","5","16.66666667","","","5","16.66666667"
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00009","","","","","","","","","","0","0","0","10","0","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00090","","","","","","","","","","0","0","10","10","0","","","","9","1","0","0","15.6","0","15.6","0","","","","0","0","0","0","0","0","1.56","1.56","","0","100","","","0","0","0","0","52","52","","","52","52"
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00091","","","","","","","","","","0","0","","10","0","","","","1","9","0","0","0.5","0","0.5","0","","","","","0","","0","","0","","0.05","","0","","","","0","","0","","1.666666667","","","","1.666666667",""
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00092","","","","","","","","1","1","2","25","10","10","7","1","","3","9","3","0.7","1.4","12.4","2.1","14.5","27","0.35","0.056","0.077777778","2.7","2.7","0.2","0.2","0.21","0.21","1.24","1.24","7.407407407","14.48275862","100","","","2.333333333","2.333333333","7","7","41.33333333","41.33333333","","","48.33333333","48.33333333"
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00093","","","","","","","","2","1","0","15","8","10","5","1","","4","9","4","0","1","11","1","12","15","","0.066666667","0.066666667","1.875","1.5","0","0","0.125","0.1","1.375","1.1","0","8.333333333","80","","","0","0","3.333333333","4.166666667","36.66666667","45.83333333","","","40","50"
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00094","","","","","","","","2","1","0","2","10","10","2","1","","3","9","4","0","0.1","12.7","0.1","12.8","2","","0.05","0.05","0.2","0.2","0","0","0.01","0.01","1.27","1.27","0","0.78125","100","","","0","0","0.333333333","0.333333333","42.33333333","42.33333333","","","42.66666667","42.66666667"
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00095","","","","","","","","","","0","0","1","10","0","","","","6","6","0","0","1.4","0","1.4","0","","","","0","0","0","0","0","0","1.4","0.14","","0","10","","","0","0","0","0","4.666666667","46.66666667","","","4.666666667","46.66666667"
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00096","","","","","","","","1","1","0","1","6","10","1","1","","2","4","8","0","0.2","5","0.2","5.2","1","","0.2","0.2","0.166666667","0.1","0","0","0.033333333","0.02","0.833333333","0.5","0","3.846153846","60","","","0","0","0.666666667","1.111111111","16.66666667","27.77777778","","","17.33333333","28.88888889"
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00097","","","","","","","","","","0","0","1","10","0","","","","1","9","0","0","0.5","0","0.5","0","","","","0","0","0","0","0","0","0.5","0.05","","0","10","","","0","0","0","0","1.666666667","16.66666667","","","1.666666667","16.66666667"
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00098","","","","","","","","","","0","0","1","10","0","","","","1","9","0","0","0.5","0","0.5","0","","","","0","0","0","0","0","0","0.5","0.05","","0","10","","","0","0","0","0","1.666666667","16.66666667","","","1.666666667","16.66666667"
"","","GHP2013TON-PT01","","","","","","","","","GHP2013TON-PT01-00099","","","","","","","","1","1","0","1","4","10","1","1","","2","1","9","0","0.1","1","0.1","1.1","1","","0.1","0.1","0.25","0.1","0","0","0.025","0.01","0.25","0.1","0","9.090909091","40","","","0","0","0.333333333","0.833333333","3.333333333","8.333333333","","","3.666666667","9.166666667"
