"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00161","","","","2","1","3","","3","3","3","1","3","5","5","6","5","6","0.25","","0.2","","","","0.083333333","","","","1","","0.066666667","","","2.777777778","","2.222222222","","","1","","0.066666667","100","2.777777778","","2.222222222",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00162","","","","2","1","2","","3","3","2","1","3","5","3","5","5","5","0.4","","0.35","","","","0.2","","","","1","","0.175","","","6.666666667","","5.833333333","","","0.666666667","","0.116666667","66.66666667","4.444444444","","3.888888889",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00163","","","","","","","5","3","3","2","","","","","5","4","5","","0.3","0.35","","","","","0.06","","","","","0.175","","","","","5.833333333","","","","","0.116666667","66.66666667","","","3.888888889",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00164","","","","1","1","3","2","3","3","3","1","2","5","7","5","3","5","0.4","0.35","0.55","0.75","1.3","5","0.133333333","0.175","0.15","1.666666667","1","0.25","0.183333333","60","57.69230769","4.444444444","8.333333333","6.111111111","14.44444444","1.666666667","1","0.25","0.183333333","100","4.444444444","8.333333333","6.111111111","14.44444444"
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00165","","","","2","1","1","","3","3","2","1","2","3","3","7","1","4","","","1.55","","","","","","","","0.5","","0.775","","","","","25.83333333","","","0.333333333","","0.516666667","66.66666667","","","17.22222222",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00166","","","","","","","","3","2","2","","","","","5","4","5","0.4","","0.35","","","","","","","","","","0.175","","","6.666666667","","5.833333333","","","","","0.116666667","66.66666667","4.444444444","","3.888888889",""
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00167","","","","2","1","1","3","3","3","","1","2","5","7","7","1","5","0.55","0.4","1.8","0.95","2.75","4","0.55","0.133333333","0.2375","","","","","25","34.54545455","","","","","1.333333333","0.333333333","0.316666667","0.6","","6.111111111","10.55555556","20","30.55555556"
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00168","","","","2","1","3","2","3","3","3","1","2","5","7","","4","6","0.3","0.15","0.6","0.45","1.05","5","0.1","0.075","0.09","1.666666667","1","0.15","0.2","60","42.85714286","3.333333333","5","6.666666667","11.66666667","1.666666667","1","0.15","0.2","100","3.333333333","5","6.666666667","11.66666667"
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00169","","","","3","1","4","4","3","3","3","2","2","5","5","5","4","5","0.4","0.5","0.9","0.9","1.8","8","0.1","0.125","0.1125","2.666666667","1.333333333","0.3","0.3","50","50","4.444444444","10","10","20","2.666666667","1.333333333","0.3","0.3","100","4.444444444","10","10","20"
"","","GHP2016FMS-OT01","","","","","","","","","GHP2016FMS-OT01-00017","","","","2","3","1","","3","3","3","1","3","7","7","","3","","","","0.2","","","","","","","","0.333333333","","0.066666667","","","","","2.222222222","","","0.333333333","","0.066666667","100","","","2.222222222",""
