"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00221","","","","","","","","3","","3","","","","","5","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00222","","","","","","","","3","","3","","","","","4","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00223","","","","","","","","3","","3","","","","","4","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00224","","","","","","","","3","","3","","","","","5","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00225","","","","","","","","3","","3","","","","","6","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00226","","","","","","","","3","","3","","","","","7","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00227","","","","","","","","3","","3","","","","","6","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00228","","","","","","","","3","","3","","","","","7","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00229","","","","","","","","3","","3","","","","","7","2","6","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00023","","","","","","","","3","","3","","","","","7","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00230","","","","","","","","3","","3","","","","","7","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00231","","","","","","","","3","","3","","","","","6","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00232","","","","","","","","3","","3","","","","","3","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00233","","","","","","","","3","","3","","","","","5","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00234","","","","","","","","3","","3","","","","","7","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00235","","","","","","","","3","","3","","","","","7","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00236","","","","","","","","3","","3","","","","","7","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00237","","","","","","","","3","","3","","","","","5","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00238","","","","","","","","3","","3","","","","","4","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00239","","","","1","1","8","3","2","2","3","2","1","2","3","6","1","2","1.4","0.2","0.4","1.6","2","11","0.175","0.066666667","0.145454545","5.5","3.666666667","4","2.666666667","0.8","0.533333333","0.2","0.133333333","72.72727273","80","66.66666667","15.55555556","23.33333333","17.77777778","26.66666667","4.444444444","6.666666667","22.22222222","33.33333333"
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00024","","","","","","","","3","","3","","","","","8","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00240","","","","","","","","3","","3","","","","","7","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00241","","","","","","","","3","","3","","","","","8","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00242","","","","","","","","3","","3","","","","","4","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00243","","","","","","","","3","","3","","","","","6","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00244","","","","","","","","3","","3","","","","","5","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00245","","","","","","","","3","","3","","","","","4","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00246","","","","","","","","3","","3","","","","","4","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00247","","","","","","","","3","","3","","","","","6","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00248","","","","","","","","3","","3","","","","","4","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00249","","","","","","","","3","","3","","","","","6","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00025","","","","","","","","3","","3","","","","","6","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00250","","","","","","","","3","","3","","","","","5","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00251","","","","1","1","8","5","3","3","3","3","2","2","2","7","1","2","1.8","0.3","3.4","2.1","5.5","13","0.225","0.06","0.161538462","4.333333333","4.333333333","2.666666667","2.666666667","0.7","0.7","1.133333333","1.133333333","61.53846154","38.18181818","100","20","20","23.33333333","23.33333333","37.77777778","37.77777778","61.11111111","61.11111111"
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00252","","","","","","","","3","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00253","","","","","","","","3","","3","","","","","6","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00254","","","","","","","","3","","3","","","","","4","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00255","","","","","","","","3","","3","","","","","7","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00256","","","","","","","","3","","3","","","","","7","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00257","","","","","","","","3","","3","","","","","6","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00258","","","","","","","","3","","3","","","","","6","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00259","","","","","","","","3","","3","","","","","6","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00026","","","","","","","","3","","3","","","","","6","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00260","","","","","","","","3","","3","","","","","5","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00261","","","","","","","","3","","3","","","","","6","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016NYK-OT01","","","","","","","","","GHP2016NYK-OT01-00262","","","","","","","","3","","3","","","","","6","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
