"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2010PKS-AT01","","","","","","","","","GHP2010PKS-AT01-00011","","","","30","4","8","23","18","17","22","1.9","0.9","11.3","2","3","4","4","5","2.8","14.1","39","0.111764706","0.040909091","0.071794872","1.695652174","1.3","0.739130435","0.566666667","0.12173913","0.093333333","0.491304348","0.376666667","43.58974359","19.85815603","76.66666667","2.111111111","2.753623188","3.111111111","4.057971014","12.55555556","16.37681159","15.66666667","20.43478261"
"","","GHP2010PKS-AT01","","","","","","","","","GHP2010PKS-AT01-00012","","","","30","","","0","0","0","0","0","0","0","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2010PKS-AT01","","","","","","","","","GHP2010PKS-AT01-00013","","","","30","5","7","22","22","43","13","9.7","0.6","3.5","4","4","3","4","5","10.3","13.8","56","0.225581395","0.046153846","0.183928571","2.545454545","1.866666667","1.954545455","1.433333333","0.468181818","0.343333333","0.159090909","0.116666667","76.78571429","74.63768116","73.33333333","10.77777778","14.6969697","11.44444444","15.60606061","3.888888889","5.303030303","15.33333333","20.90909091"
"","","GHP2010PKS-AT01","","","","","","","","","GHP2010PKS-AT01-00014","","","","30","3","8","17","15","17","42","2.2","1.6","10.6","3","4","4","4","5","3.8","14.4","59","0.129411765","0.038095238","0.06440678","3.470588235","1.966666667","1","0.566666667","0.223529412","0.126666667","0.623529412","0.353333333","28.81355932","26.38888889","56.66666667","2.444444444","4.31372549","4.222222222","7.450980392","11.77777778","20.78431373","16","28.23529412"
"","","GHP2010PKS-AT01","","","","","","","","","GHP2010PKS-AT01-00015","","","","30","1","9","25","18","22","18","2.6","0.7","19.7","3","3","4","4","5","3.3","23","40","0.118181818","0.038888889","0.0825","1.6","1.333333333","0.88","0.733333333","0.132","0.11","0.788","0.656666667","55","14.34782609","83.33333333","2.888888889","3.466666667","3.666666667","4.4","21.88888889","26.26666667","25.55555556","30.66666667"
"","","GHP2010PKS-AT01","","","","","","","","","GHP2010PKS-AT01-00016","","","","30","","","0","0","0","0","0","0","0","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2010PKS-AT01","","","","","","","","","GHP2010PKS-AT01-00017","","","","30","8","3","30","30","66","29","10.4","0.8","5","4","4","5","4","5","11.2","16.2","95","0.157575758","0.027586207","0.117894737","3.166666667","3.166666667","2.2","2.2","0.373333333","0.373333333","0.166666667","0.166666667","69.47368421","69.13580247","100","11.55555556","11.55555556","12.44444444","12.44444444","5.555555556","5.555555556","18","18"
"","","GHP2010PKS-AT01","","","","","","","","","GHP2010PKS-AT01-00018","","","","30","1","9","24","24","55","24","8.3","0.9","27.5","3","4","4","4","5","9.2","36.7","79","0.150909091","0.0375","0.116455696","3.291666667","2.633333333","2.291666667","1.833333333","0.383333333","0.306666667","1.145833333","0.916666667","69.62025316","25.06811989","80","9.222222222","11.52777778","10.22222222","12.77777778","30.55555556","38.19444444","40.77777778","50.97222222"
"","","GHP2010PKS-AT01","","","","","","","","","GHP2010PKS-AT01-00019","","","","30","3","9","30","30","92","14","21.1","0.7","31.2","5","4","4","4","5","21.8","53","106","0.229347826","0.05","0.205660377","3.533333333","3.533333333","3.066666667","3.066666667","0.726666667","0.726666667","1.04","1.04","86.79245283","41.13207547","100","23.44444444","23.44444444","24.22222222","24.22222222","34.66666667","34.66666667","58.88888889","58.88888889"
"","","GHP2010PKS-AT01","","","","","","","","","GHP2010PKS-AT01-00020","","","","30","7","3","24","24","52","9","9.9","0.4","4.3","3","3","5","3","5","10.3","14.6","61","0.190384615","0.044444444","0.168852459","2.541666667","2.033333333","2.166666667","1.733333333","0.429166667","0.343333333","0.179166667","0.143333333","85.24590164","70.54794521","80","11","13.75","11.44444444","14.30555556","4.777777778","5.972222222","16.22222222","20.27777778"
"","","GHP2010PKS-AT01","","","","","","","","","GHP2010PKS-AT01-00021","","","","30","","","0","0","0","0","0","0","0","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2010PKS-AT01","","","","","","","","","GHP2010PKS-AT01-00022","","","","30","3","9","28","28","79","24","15.8","1.4","19.8","4","4","4","5","5","17.2","37","103","0.2","0.058333333","0.166990291","3.678571429","3.433333333","2.821428571","2.633333333","0.614285714","0.573333333","0.707142857","0.66","76.69902913","46.48648649","93.33333333","17.55555556","18.80952381","19.11111111","20.47619048","22","23.57142857","41.11111111","44.04761905"
"","","GHP2010PKS-AT01","","","","","","","","","GHP2010PKS-AT01-00023","","","","30","7","3","29","29","42","21","15.5","0.7","8.8","4","4","5","5","5","16.2","25","63","0.369047619","0.033333333","0.257142857","2.172413793","2.1","1.448275862","1.4","0.55862069","0.54","0.303448276","0.293333333","66.66666667","64.8","96.66666667","17.22222222","17.81609195","18","18.62068966","9.777777778","10.11494253","27.77777778","28.73563218"
"","","GHP2010PKS-AT01","","","","","","","","","GHP2010PKS-AT01-00024","","","","30","1","9","23","16","24","18","3.3","0.9","34","3","3","5","5","5","4.2","38.2","42","0.1375","0.05","0.1","1.826086957","1.4","1.043478261","0.8","0.182608696","0.14","1.47826087","1.133333333","57.14285714","10.9947644","76.66666667","3.666666667","4.782608696","4.666666667","6.086956522","37.77777778","49.27536232","42.44444444","55.36231884"
"","","GHP2010PKS-AT01","","","","","","","","","GHP2010PKS-AT01-00025","","","","30","1","9","23","21","47","32","9","1.4","26.2","4","4","4","5","5","10.4","36.6","79","0.191489362","0.04375","0.13164557","3.434782609","2.633333333","2.043478261","1.566666667","0.452173913","0.346666667","1.139130435","0.873333333","59.49367089","28.41530055","76.66666667","10","13.04347826","11.55555556","15.07246377","29.11111111","37.97101449","40.66666667","53.04347826"
"","","GHP2010PKS-AT01","","","","","","","","","GHP2010PKS-AT01-00026","","","","30","3","8","27","26","96","54","13.7","2.2","21.5","3","4","4","4","5","15.9","37.4","150","0.142708333","0.040740741","0.106","5.555555556","5","3.555555556","3.2","0.588888889","0.53","0.796296296","0.716666667","64","42.51336898","90","15.22222222","16.91358025","17.66666667","19.62962963","23.88888889","26.54320988","41.55555556","46.17283951"
"","","GHP2010PKS-AT01","","","","","","","","","GHP2010PKS-AT01-00027","","","","30","3","8","21","19","28","24","3.5","0.4","28.3","3","4","4","3","5","3.9","32.2","52","0.125","0.016666667","0.075","2.476190476","1.733333333","1.333333333","0.933333333","0.185714286","0.13","1.347619048","0.943333333","53.84615385","12.11180124","70","3.888888889","5.555555556","4.333333333","6.19047619","31.44444444","44.92063492","35.77777778","51.11111111"
"","","GHP2010PKS-AT01","","","","","","","","","GHP2010PKS-AT01-00028","","","","30","4","6","21","20","26","11","6.4","0.2","4.9","4","3","3","4","5","6.6","11.5","37","0.246153846","0.018181818","0.178378378","1.761904762","1.233333333","1.238095238","0.866666667","0.314285714","0.22","0.233333333","0.163333333","70.27027027","57.39130435","70","7.111111111","10.15873016","7.333333333","10.47619048","5.444444444","7.777777778","12.77777778","18.25396825"
"","","GHP2010PKS-AT01","","","","","","","","","GHP2010PKS-AT01-00029","","","","30","","","0","0","0","0","0","0","0","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2010PKS-AT01","","","","","","","","","GHP2010PKS-AT01-00030","","","","30","7","3","20","18","25","7","2.7","0.3","1.9","2","3","4","3","5","3","4.9","32","0.108","0.042857143","0.09375","1.6","1.066666667","1.25","0.833333333","0.15","0.1","0.095","0.063333333","78.125","61.2244898","66.66666667","3","4.5","3.333333333","5","2.111111111","3.166666667","5.444444444","8.166666667"
