"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00021","","","","17","40","26","23","34","20","1","8","5","6","3","3","2.78","2.56","2.48","5.34","7.82","57","0.163529412","0.064","0.093684211","2.47826087","1.676470588","0.739130435","0.5","0.232173913","0.157058824","0.107826087","0.072941176","29.8245614","68.28644501","67.64705882","2.725490196","4.028985507","5.235294118","7.739130435","2.431372549","3.594202899","7.666666667","11.33333333"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00022","","","","34","78","24","21","34","21","3","6","5","6","3","2","3.78","3.44","7.38","7.22","14.6","112","0.111176471","0.044102564","0.064464286","5.333333333","3.294117647","1.619047619","1","0.343809524","0.212352941","0.351428571","0.217058824","30.35714286","49.45205479","61.76470588","3.705882353","6","7.078431373","11.46031746","7.235294118","11.71428571","14.31372549","23.17460317"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00023","","","","12","12","31","20","34","17","2","5","7","4","3","2","4.68","0.98","0.94","5.66","6.6","24","0.39","0.081666667","0.235833333","1.2","0.705882353","0.6","0.352941176","0.283","0.166470588","0.047","0.027647059","50","85.75757576","58.82352941","4.588235294","7.8","5.549019608","9.433333333","0.921568627","1.566666667","6.470588235","11"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00024","","","","29","69","29","28","34","28","2","7","5","7","1","1","3.64","4.98","1.82","8.62","10.44","98","0.125517241","0.072173913","0.087959184","3.5","2.882352941","1.035714286","0.852941176","0.307857143","0.253529412","0.065","0.053529412","29.59183673","82.56704981","82.35294118","3.568627451","4.333333333","8.450980392","10.26190476","1.784313725","2.166666667","10.23529412","12.42857143"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00025","","","","0","0","34","28","34","0","","","","9","1","1","0","0","3.24","0","3.24","0","","","","0","0","0","0","0","0","0.115714286","0.095294118","","0","82.35294118","0","0","0","0","3.176470588","3.857142857","3.176470588","3.857142857"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00026","","","","18","34","34","22","34","22","1","7","6","4","2","3","4.56","1.62","1.32","6.18","7.5","52","0.253333333","0.047647059","0.118846154","2.363636364","1.529411765","0.818181818","0.529411765","0.280909091","0.181764706","0.06","0.038823529","34.61538462","82.4","64.70588235","4.470588235","6.909090909","6.058823529","9.363636364","1.294117647","2","7.352941176","11.36363636"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00027","","","","23","54","31","17","34","17","2","6","6","7","1","1","3.58","2.78","7.26","6.36","13.62","77","0.155652174","0.051481481","0.082597403","4.529411765","2.264705882","1.352941176","0.676470588","0.374117647","0.187058824","0.427058824","0.213529412","29.87012987","46.69603524","50","3.509803922","7.019607843","6.235294118","12.47058824","7.117647059","14.23529412","13.35294118","26.70588235"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00028","","","","24","40","25","17","34","16","1","6","5","5","3","3","2.68","1.46","7.54","4.14","11.68","64","0.111666667","0.0365","0.0646875","3.764705882","1.882352941","1.411764706","0.705882353","0.243529412","0.121764706","0.443529412","0.221764706","37.5","35.44520548","50","2.62745098","5.254901961","4.058823529","8.117647059","7.392156863","14.78431373","11.45098039","22.90196078"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00029","","","","10","25","18","13","34","13","3","7","5","6","3","2","1.42","1.68","6.06","3.1","9.16","35","0.142","0.0672","0.088571429","2.692307692","1.029411765","0.769230769","0.294117647","0.238461538","0.091176471","0.466153846","0.178235294","28.57142857","33.84279476","38.23529412","1.392156863","3.641025641","3.039215686","7.948717949","5.941176471","15.53846154","8.980392157","23.48717949"
"","","GHP2015TON-ST01","","","","","","","","","GHP2015TON-ST01-00030","","","","7","20","19","17","34","13","1","6","3","7","3","3","0.62","0.5","1.92","1.12","3.04","27","0.088571429","0.025","0.041481481","1.588235294","0.794117647","0.411764706","0.205882353","0.065882353","0.032941176","0.112941176","0.056470588","25.92592593","36.84210526","50","0.607843137","1.215686275","1.098039216","2.196078431","1.882352941","3.764705882","2.980392157","5.960784314"
