"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00033","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00034","","","","30","19.8635521","2.366708","1.0800641","1.941877","2.9424269","4.4099722","4.240252","3.0623169","6","6","2.77389","53.6848679","51.4813805","24.25977102","17.9387665","14.5603256"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00035","","","","30","0","1.915817","0.86857","1.266394","1.724169","2.758338","3.1231811","22.3600559","2","8","2.8407309","54.4156494","70.10923","31.5664557","17.005127","9.790988"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00036","","","","30","0","1.9218","0.93676","1.1522599","0.829104","2.3680379","1.727437","22.5426598","4","8","4.0063109","55.5359726","71.3559113","31.7938553","17.6709824","10.2798805"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00037","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00038","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00039","","","","30","","","","","","","","","","","","","","","",""
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00004","","","","30","0","1.747095","0.738378","","0.384986","","1.2859941","","5","","2.7551329","","71.5838852","","","11.508791"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00040","","","","30","42.4774323","2.036639","0.775918","0","0.56172","3.872714","1.856578","14.8767071","9","8","3.589457","56.2416534","68.013504","31.50522786","9.3485718","12.3548422"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00041","","","","30","25.3261757","2.6615629","1.3725899","1.522478","2.052511","4.6287098","3.820966","8.6690865","6","5","3.7823119","48.7138786","49.5638351","20.50877539","22.7163544","27.4634132"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00042","","","","30","2.2779217","2.0365739","0.979146","0.737604","0.766504","1.812901","1.6807131","6.8738098","6","5","3.148787","61.0581818","65.1231461","27.14914034","14.7788086","12.7490034"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00043","","","","30","0","2.1063859","1.122342","1.017084","1.8510849","2.0569961","3.580662","22.9983063","","8","3.722872","55.9341431","68.6518555","28.60520095","17.2189102","9.8637781"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00044","","","","30","0","2.0053229","0.992809","0.952681","1.707253","2.390672","3.237488","18.0573635","1","8","3.2824121","57.545536","70.9687119","32.03825463","15.1074829","9.5010366"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00045","","","","30","0","1.74229","0.887403","1.091581","0.44351","2.0797369","1.779985","20.6129112","","8","3.1561179","58.4401665","72.1637421","29.00688299","17.7647934","11.8463869"
"","","GHP2018OHW-ST01","","","","","","","","","GHP2018OHW-ST01-00046","","","","30","","","","","","","","","","","","","","","",""
