"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00118","","","","","","0","0","10","10","10","0","","","","","","3","8","7","0","0","3.4","0","3.4","0","","","","0","0","0","0","0","0","0.34","0.34","","0","100","0","0","0","0","11.33333333","11.33333333","11.33333333","11.33333333"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00119","","","","1","2","3","0","4","4","10","2","","","4","3","3","2","8","8","0.3","0","1.4","0.3","1.7","3","0.1","","0.1","0.75","0.3","0.75","0.3","0.075","0.03","0.35","0.14","100","17.64705882","40","1","2.5","1","2.5","4.666666667","11.66666667","5.666666667","14.16666667"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00012","","","","","","0","0","5","5","10","0","","","","","","5","3","5","0","0","4.8","0","4.8","0","","","","0","0","0","0","0","0","0.96","0.48","","0","50","0","0","0","0","16","32","16","32"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00120","","","","4","5","26","33","10","10","10","8","","","7","5","9","6","1","4","7.7","3.6","5.8","11.3","17.1","59","0.296153846","0.109090909","0.191525424","5.9","5.9","2.6","2.6","1.13","1.13","0.58","0.58","44.06779661","66.08187135","100","25.66666667","25.66666667","37.66666667","37.66666667","19.33333333","19.33333333","57","57"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00121","","","","1","1","5","3","3","3","10","2","5","8","1","4","6","3","5","8","2.1","0.2","7.2","2.3","9.5","8","0.42","0.066666667","0.2875","2.666666667","0.8","1.666666667","0.5","0.766666667","0.23","2.4","0.72","62.5","24.21052632","30","7","23.33333333","7.666666667","25.55555556","24","80","31.66666667","105.5555556"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00122","","","","1","1","30","40","10","10","10","9","5","6","1","5","4","6","1","4","2.9","1.5","7","4.4","11.4","70","0.096666667","0.0375","0.062857143","7","7","3","3","0.44","0.44","0.7","0.7","42.85714286","38.59649123","100","9.666666667","9.666666667","14.66666667","14.66666667","23.33333333","23.33333333","38","38"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00123","","","","1","1","3","10","9","9","10","2","","","1","2","3","7","1","4","0.7","0.3","11.2","1","12.2","13","0.233333333","0.03","0.076923077","1.444444444","1.3","0.333333333","0.3","0.111111111","0.1","1.244444444","1.12","23.07692308","8.196721311","90","2.333333333","2.592592593","3.333333333","3.703703704","37.33333333","41.48148148","40.66666667","45.18518519"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00124","","","","1","1","1","4","9","9","10","2","","","3","2","2","6","3","4","0.1","0.2","8.2","0.3","8.5","5","0.1","0.05","0.06","0.555555556","0.5","0.111111111","0.1","0.033333333","0.03","0.911111111","0.82","20","3.529411765","90","0.333333333","0.37037037","1","1.111111111","27.33333333","30.37037037","28.33333333","31.48148148"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00125","","","","1","1","5","0","3","3","10","3","","","2","3","3","3","8","7","0.5","0","1.4","0.5","1.9","5","0.1","","0.1","1.666666667","0.5","1.666666667","0.5","0.166666667","0.05","0.466666667","0.14","100","26.31578947","30","1.666666667","5.555555556","1.666666667","5.555555556","4.666666667","15.55555556","6.333333333","21.11111111"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00126","","","","","","0","0","4","4","10","0","","","","","","2","8","8","0","0","2","0","2","0","","","","0","0","0","0","0","0","0.5","0.2","","0","40","0","0","0","0","6.666666667","16.66666667","6.666666667","16.66666667"
"","","GHP2014TON-PT02","","","","","","","","","GHP2014TON-PT02-00127","","","","","","0","0","10","10","10","0","","","","","","7","2","3","0","0","16.4","0","16.4","0","","","","0","0","0","0","0","0","1.64","1.64","","0","100","0","0","0","0","54.66666667","54.66666667","54.66666667","54.66666667"
