"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017TON-ST02","","","","","","","","","GHP2017TON-ST02-00028","","","","18.4619179","1.419878","0.764672","4.9585338","6.9590411","3","1","30","28","26","11","4","40","7","4","2.2260671","1","65.238121","29.20126532","3","7","8.0648212","6","1","6","0.64","1.22","3.2","1.86","5.06","44","0.16","0.0305","0.042272727","1.692307692","1.466666667","0.153846154","0.133333333","0.071538462","0.062","0.123076923","0.106666667","9.090909091","36.75889328","86.66666667","0.543143535","0.711111111","0.820512821","2.066666667","2.384615385","3.555555556","4.102564103","0.603492817","0.696337865","5.622222222","6.487179487"
"","","GHP2017TON-ST02","","","","","","","","","GHP2017TON-ST02-00029","","","","0","1.530588","0.741964","0.342644","1.958094","3","1","30","30","26","25","26","59","4","3","2.4693389","1","69.01297","32.03403245","3","3","21.5863323","9","1","1","4.46","3.36","7.82","7.82","15.64","85","0.171538462","0.056949153","0.092","3.269230769","2.833333333","1","0.866666667","0.300769231","0.260666667","0.300769231","0.260666667","30.58823529","50","86.66666667","2.505061338","4.955555556","5.717948718","8.688888889","10.02564103","8.688888889","10.02564103","2.783401486","3.211617099","17.37777778","20.05128205"
"","","GHP2017TON-ST02","","","","","","","","","GHP2017TON-ST02-00003","","","","4.962532","1.582365","0.745166","2.8912239","4.6719022","3","1","30","30","30","30","18","34","3","8","2.000061","1","67.5785294","35.00296971","3","5","12.9769096","9","1","1","2.66","2.08","25.08","4.74","29.82","52","0.147777778","0.061176471","0.091153846","1.733333333","1.733333333","0.6","0.6","0.158","0.158","0.836","0.836","34.61538462","15.89537223","100","1.659140764","2.955555556","2.955555556","5.266666667","5.266666667","27.86666667","27.86666667","1.843489738","1.843489738","33.13333333","33.13333333"
"","","GHP2017TON-ST02","","","","","","","","","GHP2017TON-ST02-00030","","","","","","","","","1","1","30","25","25","","","","","","","1","","","9","9","","6","1","1","","","3.22","","","","","","","","","","","","","0.1288","0.107333333","","","83.33333333","","","","","","3.577777778","4.293333333","","","",""
"","","GHP2017TON-ST02","","","","","","","","","GHP2017TON-ST02-00004","","","","33.6934814","1.881065","1.068539","8.2431612","11.4228125","3","1","30","28","28","28","35","90","8","5","2.400497","1","54.6963348","22.01581028","1","5","8.1245899","6","3","6","5.74","3.18","10.98","8.92","19.9","125","0.164","0.035333333","0.07136","4.464285714","4.166666667","1.25","1.166666667","0.318571429","0.297333333","0.392142857","0.366","28","44.8241206","93.33333333","1.963810277","6.377777778","6.833333333","9.911111111","10.61904762","12.2","13.07142857","2.182011419","2.337869377","22.11111111","23.69047619"
"","","GHP2017TON-ST02","","","","","","","","","GHP2017TON-ST02-00005","","","","21.0556335","1.954214","1.150824","4.0917602","6.324122","1","1","30","20","25","12","2","23","7","4","3.717186","1","60.3815727","26.10162763","3","7","10.9551678","7","3","2","0.6","0.82","5.32","1.42","6.74","25","0.3","0.035652174","0.0568","1","0.833333333","0.08","0.066666667","0.0568","0.047333333","0.2128","0.177333333","8","21.06824926","83.33333333","0.370643112","0.666666667","0.8","1.577777778","1.893333333","5.911111111","7.093333333","0.41182568","0.494190816","7.488888889","8.986666667"
"","","GHP2017TON-ST02","","","","","","","","","GHP2017TON-ST02-00006","","","","0","1.404443","0.769506","0.74393","2.1408579","3","1","30","30","25","25","9","56","5","3","2.2335949","1","72.7694092","37.84535878","9","9","14.0373688","7","3","1","1.06","1.78","9.44","2.84","12.28","65","0.117777778","0.031785714","0.043692308","2.6","2.166666667","0.36","0.3","0.1136","0.094666667","0.3776","0.314666667","13.84615385","23.12703583","83.33333333","1.074808189","1.177777778","1.413333333","3.155555556","3.786666667","10.48888889","12.58666667","1.194231322","1.433077586","13.64444444","16.37333333"
"","","GHP2017TON-ST02","","","","","","","","","GHP2017TON-ST02-00007","","","","0","1.126807","0.600196","2.249424","4.0145998","3","1","30","30","30","30","70","158","2","8","1.626991","1","73.7188263","35.48895899","3","3","12.141551","7","1","1","13.82","5.78","13.52","19.6","33.12","228","0.197428571","0.036582278","0.085964912","7.6","7.6","2.333333333","2.333333333","0.653333333","0.653333333","0.450666667","0.450666667","30.70175439","59.17874396","100","6.955835962","15.35555556","15.35555556","21.77777778","21.77777778","15.02222222","15.02222222","7.728706624","7.728706624","36.8","36.8"
"","","GHP2017TON-ST02","","","","","","","","","GHP2017TON-ST02-00008","","","","0","1.600078","1.013303","2.158793","4.1440592","1","1","30","24","18","1","1","","5","3","3.425312","1","65.9507828","32.46753247","3","3","9.7126408","7","3","1","1","0.34","4.42","1.34","5.76","","1","","","","","0.055555556","0.033333333","0.074444444","0.044666667","0.245555556","0.147333333","","23.26388889","60","0.435064935","1.111111111","1.851851852","1.488888889","2.481481481","4.911111111","8.185185185","0.483405483","0.805675806","6.4","10.66666667"
"","","GHP2017TON-ST02","","","","","","","","","GHP2017TON-ST02-00009","","","","0","1.445375","0.743224","2.6703241","4.6926231","1","1","30","22","22","22","51","77","3","8","2.2451501","1","69.8618927","35.66765579","5","1","11.5986862","9","1","1","15.66","3.48","14.76","19.14","33.9","128","0.307058824","0.045194805","0.14953125","5.818181818","4.266666667","2.318181818","1.7","0.87","0.638","0.670909091","0.492","39.84375","56.46017699","73.33333333","6.826789318","17.4","23.72727273","21.26666667","29","16.4","22.36363636","7.585321465","10.34362018","37.66666667","51.36363636"
