"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2012FMS-PT01","","","","","","","","","GHP2012FMS-PT01-00021","","","","1","","","","","","1","18","14","13","10","14","10","","","","1","","5","4","","6","2","3","2.8","0.8","4","3.6","7.6","32","0.155555556","0.057142857","0.1125","3.2","2.285714286","1.8","1.285714286","0.36","0.257142857","0.4","0.285714286","56.25","47.36842105","71.42857143","","","6.666666667","9.333333333","8.571428571","12","9.523809524","13.33333333","","","18.0952381","25.33333333"
"","","GHP2012FMS-PT01","","","","","","","","","GHP2012FMS-PT01-00022","","","","2","","16.85","50.56","1.8696444","0.510022","2","17","8","12","7","14","7","","2","5.47","4","63.2059288","2","7","12.79","8","2","4","7.3","0.5","5","7.8","12.8","25","0.429411765","0.0625","0.312","3.571428571","1.785714286","2.428571429","1.214285714","1.114285714","0.557142857","0.714285714","0.357142857","68","60.9375","50","33.32674051","2.599485759","17.38095238","34.76190476","18.57142857","37.14285714","11.9047619","23.80952381","6.189251808","12.37850362","30.47619048","60.95238095"
"","","GHP2012FMS-PT01","","","","","","","","","GHP2012FMS-PT01-00023","","","","3","","19.42","50.12","1.8146486","0.0970126","2","6","13","9","7","14","7","5","8","4.05","1","67.3757782","2","4","9.14","6","3","6","1.4","0.8","5","2.2","7.2","19","0.233333333","0.061538462","0.115789474","2.714285714","1.357142857","0.857142857","0.428571429","0.314285714","0.157142857","0.714285714","0.357142857","31.57894737","30.55555556","50","38.74700718","0.852434158","3.333333333","6.666666667","5.238095238","10.47619048","11.9047619","23.80952381","2.029605138","4.059210276","17.14285714","34.28571429"
"","","GHP2012FMS-PT01","","","","","","","","","GHP2012FMS-PT01-00024","","","","1","","","","","","1","11","6","14","8","14","8","","","","1","","4","6","","8","1","4","3.5","0.3","6.5","3.8","10.3","17","0.318181818","0.05","0.223529412","2.125","1.214285714","1.375","0.785714286","0.475","0.271428571","0.8125","0.464285714","64.70588235","36.89320388","57.14285714","","","8.333333333","14.58333333","9.047619048","15.83333333","15.47619048","27.08333333","","","24.52380952","42.91666667"
"","","GHP2012FMS-PT01","","","","","","","","","GHP2012FMS-PT01-00025","","","","1","","19.15","50.32","","","1","17","20","14","10","14","10","4","3","1.93","1","71.6393051","6","5","9.96","9","1","5","5.4","0.7","9","6.1","15.1","37","0.317647059","0.035","0.164864865","3.7","2.642857143","1.7","1.214285714","0.61","0.435714286","0.9","0.642857143","45.94594595","40.39735099","71.42857143","38.05643879","2.321442766","12.85714286","18","14.52380952","20.33333333","21.42857143","30","5.527244682","7.738142554","35.95238095","50.33333333"
"","","GHP2012FMS-PT01","","","","","","","","","GHP2012FMS-PT01-00026","","","","1","2.41","17.06","50.56","0.6558672","","1","10","29","11","7","14","7","5","5","2.62","2","70.9241028","3","4","9.02","6","3","5","1.6","1.3","4","2.9","6.9","39","0.16","0.044827586","0.074358974","5.571428571","2.785714286","1.428571429","0.714285714","0.414285714","0.207142857","0.571428571","0.285714286","25.64102564","42.02898551","50","33.74208861","0.97852057","3.80952381","7.619047619","6.904761905","13.80952381","9.523809524","19.04761905","2.32981088","4.65962176","16.42857143","32.85714286"
"","","GHP2012FMS-PT01","","","","","","","","","GHP2012FMS-PT01-00027","","","","1","","16.29","50.34","5.7136416","5.27","1","12","5","13","7","14","7","3","2","4.62","2","58.1018219","7","8","10.3","8","6","4","7.1","0.2","5","7.3","12.3","17","0.591666667","0.04","0.429411765","2.428571429","1.214285714","1.714285714","0.857142857","1.042857143","0.521428571","0.714285714","0.357142857","70.58823529","59.3495935","50","32.35995232","2.36227652","16.9047619","33.80952381","17.38095238","34.76190476","11.9047619","23.80952381","5.624467904","11.24893581","29.28571429","58.57142857"
"","","GHP2012FMS-PT01","","","","","","","","","GHP2012FMS-PT01-00028","","","","2","12.2","15.71","50.11","0.5870884","","2","13","18","14","10","14","10","6","4","2.43","1","65.0774155","2","3","14","8","2","5","2.1","0.3","8.5","2.4","10.9","31","0.161538462","0.016666667","0.077419355","3.1","2.214285714","1.3","0.928571429","0.24","0.171428571","0.85","0.607142857","41.93548387","22.01834862","71.42857143","31.35102774","0.752424666","5","7","5.714285714","8","20.23809524","28.33333333","1.791487299","2.508082219","25.95238095","36.33333333"
"","","GHP2012FMS-PT01","","","","","","","","","GHP2012FMS-PT01-00029","","","","1","30.51","14.87","50.78","1.9637704","0.3517838","2","32","46","12","9","14","9","8","6","2.92","1","59.2204361","3","4","16.84","7","3","6","4.5","1.5","9.5","6","15.5","78","0.140625","0.032608696","0.076923077","8.666666667","5.571428571","3.555555556","2.285714286","0.666666667","0.428571429","1.055555556","0.678571429","41.02564103","38.70967742","64.28571429","29.28318236","1.756990941","10.71428571","16.66666667","14.28571429","22.22222222","22.61904762","35.18518519","4.183311765","6.507373857","36.9047619","57.40740741"
"","","GHP2012FMS-PT01","","","","","","","","","GHP2012FMS-PT01-00030","","","","1","","17.72","50.78","2.6669071","1.5722941","1","20","25","12","9","14","9","5","6","3.43","2","64.0298386","6","4","7.87","8","2","3","3.8","1.2","4.5","5","9.5","45","0.19","0.048","0.111111111","5","3.214285714","2.222222222","1.428571429","0.555555556","0.357142857","0.5","0.321428571","44.44444444","52.63157895","64.28571429","34.8956282","1.74478141","9.047619048","14.07407407","11.9047619","18.51851852","10.71428571","16.66666667","4.154241452","6.46215337","22.61904762","35.18518519"
