"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Millipede damage estimating 1-9|CO_331:0000805","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00125","","","","2","2","12","11","1","1","5","5","0.96","0.42","3.12","5.067945004","1","65.4962616","3","34.68884781","5","3","0","2.344213009","1.222051024","16.89","48.69","2.681796074","4.650804996","6.738702774","1.38","4.5","10","0.192","0.084","0.138","10","0.833333333","5","0.416666667","1.38","0.115","3.12","0.26","50","30.66666667","8.333333333","0.4787061","2.666666667","32","3.833333333","46","8.666666667","104","1.329739166","15.95686999","12.5","150"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00126","","","","","","12","2","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","","0","","0","","0","","","","0",""
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00127","","","","3","2","12","12","4","4","0","4","0","0.12","1.02","","1","","","","8","7","","","","","","","","","0.12","1.14","4","","0.03","0.03","1","0.333333333","0","0","0.03","0.01","0.255","0.085","0","10.52631579","33.33333333","","0","0","0.333333333","1","2.833333333","8.5","","","3.166666667","9.5"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00128","","","","1","1","12","11","2","2","1","4","0.16","0.22","0.98","5.293024063","1","68.91847229","3","38.88774459","5","4","0","2.297420979","1.176653028","18.88","48.55","1.358924031","3.135341883","9.950291634","0.38","1.36","5","0.16","0.055","0.076","2.5","0.416666667","0.5","0.083333333","0.19","0.031666667","0.49","0.081666667","20","27.94117647","16.66666667","0.147773429","0.444444444","2.666666667","1.055555556","6.333333333","2.722222222","16.33333333","0.410481748","2.462890491","3.777777778","22.66666667"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00129","","","","4","3","12","12","1","1","0","9","0","0.24","0.48","","4","","","","6","6","","","","","","","","","0.24","0.72","9","","0.026666667","0.026666667","9","0.75","0","0","0.24","0.02","0.48","0.04","0","33.33333333","8.333333333","","0","0","0.666666667","8","1.333333333","16","","","2","24"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00130","","","","2","1","12","12","1","1","18","9","0.98","0.65","1.96","4.466807842","2","68.65666199","3","41.23669124","4","4","0","1.941858053","1.041064978","20.14","48.84","1.623033047","3.084618092","9.632489204","1.63","3.59","27","0.054444444","0.072222222","0.06037037","27","2.25","18","1.5","1.63","0.135833333","1.96","0.163333333","66.66666667","45.40389972","8.333333333","0.672158067","2.722222222","32.66666667","4.527777778","54.33333333","5.444444444","65.33333333","1.867105742","22.40526891","9.972222222","119.6666667"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00131","","","","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00132","","","","","","12","6","2","0","0","0","0","0","0.2","","","","","","","","","","","","","","","","0","0.2","0","","","","0","0","0","0","0","0","0.1","0.016666667","","0","16.66666667","","0","0","0","0","0.555555556","3.333333333","","","0.555555556","3.333333333"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00133","","","","","","12","12","1","0","0","0","0","0","1.1","","","","","","","","","","","","","","","","0","1.1","0","","","","0","0","0","0","0","0","1.1","0.091666667","","0","8.333333333","","0","0","0","0","3.055555556","36.66666667","","","3.055555556","36.66666667"
"","","GHP2017NYK-ST02","","","","","","","","","GHP2017NYK-ST02-00134","","","","1","1","12","7","2","2","0","6","0","0.2","0.6","","1","","","","5","6","","","","","","","","","0.2","0.8","6","","0.033333333","0.033333333","3","0.5","0","0","0.1","0.016666667","0.3","0.05","0","25","16.66666667","","0","0","0.555555556","3.333333333","1.666666667","10","","","2.222222222","13.33333333"
