"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00025","","","","50.64","18.99","10","6","6","4","4","3","2","1","5","6","1","3","3","4","7","6","0.5","0.1","0.4","0.6","1","7","0.125","0.033333333","0.085714286","1.166666667","0.7","0.666666667","0.4","0.1","0.06","0.066666667","0.04","57.14285714","60","60","37.5","0.225","1.666666667","2.777777778","2","3.333333333","1.333333333","2.222222222","0.75","1.25","3.333333333","5.555555556"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00026","","","","","","10","7","7","5","7","28","2","2","","","2","3","4","5","6","6","1.1","0.8","1.8","1.9","3.7","35","0.157142857","0.028571429","0.054285714","5","3.5","1","0.7","0.271428571","0.19","0.257142857","0.18","20","51.35135135","70","","","3.666666667","5.238095238","6.333333333","9.047619048","6","8.571428571","","","12.33333333","17.61904762"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00027","","","","50","17.52","10","10","10","10","4","21","3","1","6","4","2","5","4","5","6","7","0.8","1.3","0.4","2.1","2.5","25","0.2","0.061904762","0.084","2.5","2.5","0.4","0.4","0.21","0.21","0.04","0.04","16","84","100","35.04","0.73584","2.666666667","2.666666667","7","7","1.333333333","1.333333333","2.4528","2.4528","8.333333333","8.333333333"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00028","","","","50.31","19.5","10","7","7","4","4","6","1","2","3","9","2","5","5","8","5","4","1.1","0.2","1.8","1.3","3.1","10","0.275","0.033333333","0.13","1.428571429","1","0.571428571","0.4","0.185714286","0.13","0.257142857","0.18","40","41.93548387","70","38.75968992","0.503875969","3.666666667","5.238095238","4.333333333","6.19047619","6","8.571428571","1.679586563","2.399409376","10.33333333","14.76190476"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00029","","","","","","10","8","8","8","3","11","3","1","","","2","5","4","2","6","8","2.5","0.5","0.8","3","3.8","14","0.833333333","0.045454545","0.214285714","1.75","1.4","0.375","0.3","0.375","0.3","0.1","0.08","21.42857143","78.94736842","80","","","8.333333333","10.41666667","10","12.5","2.666666667","3.333333333","","","12.66666667","15.83333333"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00030","","","","","","10","5","5","2","0","3","3","1","","","2","3","3","6","5","5","0","0.4","0.8","0.4","1.2","3","","0.133333333","0.133333333","0.6","0.3","0","0","0.08","0.04","0.16","0.08","0","33.33333333","50","","","0","0","1.333333333","2.666666667","2.666666667","5.333333333","","","4","8"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00031","","","","50.91","20.72","10","5","5","3","0","5","","","","","","","","6","4","5","0","0.2","1","0.2","1.2","5","","0.04","0.04","1","0.5","0","0","0.04","0.02","0.2","0.1","0","16.66666667","50","40.69927323","0.081398546","0","0","0.666666667","1.333333333","3.333333333","6.666666667","0.271328488","0.542656976","4","8"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00032","","","","50.5","19.92","10","10","10","9","11","25","3","1","7","3","3","5","6","7","5","4","1.4","","2.2","","","36","0.127272727","","","3.6","3.6","1.1","1.1","","","0.22","0.22","30.55555556","","100","39.44554455","","4.666666667","4.666666667","","","7.333333333","7.333333333","","","",""
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00033","","","","","","10","0","","","","","","","","","","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00034","","","","","","10","9","9","7","6","14","3","1","","","3","4","6","4","5","7","1.4","0.6","0.6","2","2.6","20","0.233333333","0.042857143","0.1","2.222222222","2","0.666666667","0.6","0.222222222","0.2","0.066666667","0.06","30","76.92307692","90","","","4.666666667","5.185185185","6.666666667","7.407407407","2","2.222222222","","","8.666666667","9.62962963"
