"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00111","","","","3","1","5","5","5","5","4","9","3","4","5","6","1","1","0.84","0.74","1.44","1.58","3.02","13","0.21","0.082222222","0.121538462","2.6","2.6","0.8","0.8","0.316","0.316","0.288","0.288","30.76923077","52.31788079","100","5.6","5.6","10.53333333","10.53333333","9.6","9.6","20.13333333","20.13333333"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00112","","","","5","1","5","5","5","5","6","20","3","4","3","7","1","1","1.02","0.96","1.64","1.98","3.62","26","0.17","0.048","0.076153846","5.2","5.2","1.2","1.2","0.396","0.396","0.328","0.328","23.07692308","54.6961326","100","6.8","6.8","13.2","13.2","10.93333333","10.93333333","24.13333333","24.13333333"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00113","","","","5","3","5","5","5","5","6","14","7","2","5","6","1","1","0.74","0.46","2.24","1.2","3.44","20","0.123333333","0.032857143","0.06","4","4","1.2","1.2","0.24","0.24","0.448","0.448","30","34.88372093","100","4.933333333","4.933333333","8","8","14.93333333","14.93333333","22.93333333","22.93333333"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00114","","","","","","5","1","1","0","0","0","","","","3","4","6","0","0","0.14","0","0.14","0","","","","0","0","0","0","0","0","0.14","0.028","","0","20","0","0","0","0","0.933333333","4.666666667","0.933333333","4.666666667"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00115","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00116","","","","5","1","5","4","4","4","0","4","3","9","9","6","1","1","0","0.02","0.72","0.02","0.74","4","","0.005","0.005","1","0.8","0","0","0.005","0.004","0.18","0.144","0","2.702702703","80","0","0","0.133333333","0.166666667","4.8","6","4.933333333","6.166666667"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00117","","","","3","1","5","5","5","1","1","3","1","5","5","7","1","1","0.26","0.16","2.9","0.42","3.32","4","0.26","0.053333333","0.105","0.8","0.8","0.2","0.2","0.084","0.084","0.58","0.58","25","12.65060241","100","1.733333333","1.733333333","2.8","2.8","19.33333333","19.33333333","22.13333333","22.13333333"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00118","","","","3","1","5","5","5","3","4","8","3","4","5","7","1","1","0.62","0.2","0.96","0.82","1.78","12","0.155","0.025","0.068333333","2.4","2.4","0.8","0.8","0.164","0.164","0.192","0.192","33.33333333","46.06741573","100","4.133333333","4.133333333","5.466666667","5.466666667","6.4","6.4","11.86666667","11.86666667"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00119","","","","3","1","5","2","2","2","4","4","1","3","7","6","1","1","0.34","0.22","0.58","0.56","1.14","8","0.085","0.055","0.07","4","1.6","2","0.8","0.28","0.112","0.29","0.116","50","49.12280702","40","2.266666667","5.666666667","3.733333333","9.333333333","3.866666667","9.666666667","7.6","19"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00120","","","","3","1","5","5","5","5","11","6","3","5","3","7","1","1","2.46","0.4","2.38","2.86","5.24","17","0.223636364","0.066666667","0.168235294","3.4","3.4","2.2","2.2","0.572","0.572","0.476","0.476","64.70588235","54.58015267","100","16.4","16.4","19.06666667","19.06666667","15.86666667","15.86666667","34.93333333","34.93333333"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00121","","","","5","1","5","4","2","2","0","2","1","9","9","6","1","1","0","0.18","0.88","0.18","1.06","2","","0.09","0.09","1","0.4","0","0","0.09","0.036","0.44","0.176","0","16.98113208","40","0","0","1.2","3","5.866666667","14.66666667","7.066666667","17.66666667"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00122","","","","1","1","5","4","2","2","2","2","3","5","3","6","1","1","0.58","0.3","1.38","0.88","2.26","4","0.29","0.15","0.22","2","0.8","1","0.4","0.44","0.176","0.69","0.276","50","38.9380531","40","3.866666667","9.666666667","5.866666667","14.66666667","9.2","23","15.06666667","37.66666667"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00123","","","","3","1","5","5","5","5","0","7","5","7","7","6","2","3","0","0.34","1.38","0.34","1.72","7","","0.048571429","0.048571429","1.4","1.4","0","0","0.068","0.068","0.276","0.276","0","19.76744186","100","0","0","2.266666667","2.266666667","9.2","9.2","11.46666667","11.46666667"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00201","","","","3","3","5","5","5","5","10","9","3","5","1","6","1","1","3.08","0.88","2.08","3.96","6.04","19","0.308","0.097777778","0.208421053","3.8","3.8","2","2","0.792","0.792","0.416","0.416","52.63157895","65.56291391","100","20.53333333","20.53333333","26.4","26.4","13.86666667","13.86666667","40.26666667","40.26666667"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00202","","","","3","1","5","5","5","5","7","9","3","5","3","7","1","1","1.98","0.52","1.52","2.5","4.02","16","0.282857143","0.057777778","0.15625","3.2","3.2","1.4","1.4","0.5","0.5","0.304","0.304","43.75","62.18905473","100","13.2","13.2","16.66666667","16.66666667","10.13333333","10.13333333","26.8","26.8"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00203","","","","3","1","5","5","4","4","6","4","1","4","5","8","1","1","1.4","0.34","2.54","1.74","4.28","10","0.233333333","0.085","0.174","2.5","2","1.5","1.2","0.435","0.348","0.635","0.508","60","40.65420561","80","9.333333333","11.66666667","11.6","14.5","16.93333333","21.16666667","28.53333333","35.66666667"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00204","","","","3","1","5","5","4","3","6","4","1","4","3","9","1","1","2.42","0.34","3.48","2.76","6.24","10","0.403333333","0.085","0.276","2.5","2","1.5","1.2","0.69","0.552","0.87","0.696","60","44.23076923","80","16.13333333","20.16666667","18.4","23","23.2","29","41.6","52"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00205","","","","1","1","5","4","4","4","7","9","1","6","3","8","1","1","1.92","0.7","2.54","2.62","5.16","16","0.274285714","0.077777778","0.16375","4","3.2","1.75","1.4","0.655","0.524","0.635","0.508","43.75","50.7751938","80","12.8","16","17.46666667","21.83333333","16.93333333","21.16666667","34.4","43"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00206","","","","3","1","5","5","5","5","0","12","1","7","7","9","1","1","0","0.68","1.76","0.68","2.44","12","","0.056666667","0.056666667","2.4","2.4","0","0","0.136","0.136","0.352","0.352","0","27.86885246","100","0","0","4.533333333","4.533333333","11.73333333","11.73333333","16.26666667","16.26666667"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00207","","","","3","1","5","5","5","5","6","19","5","5","3","6","1","1","1.26","0.74","1.38","2","3.38","25","0.21","0.038947368","0.08","5","5","1.2","1.2","0.4","0.4","0.276","0.276","24","59.17159763","100","8.4","8.4","13.33333333","13.33333333","9.2","9.2","22.53333333","22.53333333"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00208","","","","5","1","5","5","5","4","3","11","7","7","7","7","1","1","0.62","0.54","1.76","1.16","2.92","14","0.206666667","0.049090909","0.082857143","2.8","2.8","0.6","0.6","0.232","0.232","0.352","0.352","21.42857143","39.7260274","100","4.133333333","4.133333333","7.733333333","7.733333333","11.73333333","11.73333333","19.46666667","19.46666667"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00209","","","","3","1","5","5","4","1","1","2","1","5","5","7","1","1","0.36","0.16","1.84","0.52","2.36","3","0.36","0.08","0.173333333","0.75","0.6","0.25","0.2","0.13","0.104","0.46","0.368","33.33333333","22.03389831","80","2.4","3","3.466666667","4.333333333","12.26666667","15.33333333","15.73333333","19.66666667"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00210","","","","1","1","5","4","4","4","7","3","5","5","5","6","1","1","1.46","0.24","1.56","1.7","3.26","10","0.208571429","0.08","0.17","2.5","2","1.75","1.4","0.425","0.34","0.39","0.312","70","52.14723926","80","9.733333333","12.16666667","11.33333333","14.16666667","10.4","13","21.73333333","27.16666667"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00211","","","","3","3","5","5","5","3","1","5","3","5","5","7","1","1","0.44","0.36","1.96","0.8","2.76","6","0.44","0.072","0.133333333","1.2","1.2","0.2","0.2","0.16","0.16","0.392","0.392","16.66666667","28.98550725","100","2.933333333","2.933333333","5.333333333","5.333333333","13.06666667","13.06666667","18.4","18.4"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00212","","","","3","1","5","5","5","3","0","8","1","7","9","7","1","1","0","0.24","1.48","0.24","1.72","8","","0.03","0.03","1.6","1.6","0","0","0.048","0.048","0.296","0.296","0","13.95348837","100","0","0","1.6","1.6","9.866666667","9.866666667","11.46666667","11.46666667"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00213","","","","3","1","5","5","4","1","0","5","1","9","9","8","1","1","0","0.24","1.58","0.24","1.82","5","","0.048","0.048","1.25","1","0","0","0.06","0.048","0.395","0.316","0","13.18681319","80","0","0","1.6","2","10.53333333","13.16666667","12.13333333","15.16666667"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00214","","","","","","5","1","","0","0","0","","","","4","6","6","0","0","0.2","0","0.2","0","","","","","0","","0","","0","","0.04","","0","","0","","0","","1.333333333","","1.333333333",""
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00215","","","","7","5","5","5","4","3","5","3","7","7","7","7","1","1","0.72","0.26","2.18","0.98","3.16","8","0.144","0.086666667","0.1225","2","1.6","1.25","1","0.245","0.196","0.545","0.436","62.5","31.01265823","80","4.8","6","6.533333333","8.166666667","14.53333333","18.16666667","21.06666667","26.33333333"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00216","","","","3","1","5","4","4","4","0","5","5","7","7","7","1","1","0","0.36","1.6","0.36","1.96","5","","0.072","0.072","1.25","1","0","0","0.09","0.072","0.4","0.32","0","18.36734694","80","0","0","2.4","3","10.66666667","13.33333333","13.06666667","16.33333333"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00217","","","","3","1","5","5","4","3","3","7","5","7","7","6","1","1","0.42","0.46","1.18","0.88","2.06","10","0.14","0.065714286","0.088","2.5","2","0.75","0.6","0.22","0.176","0.295","0.236","30","42.7184466","80","2.8","3.5","5.866666667","7.333333333","7.866666667","9.833333333","13.73333333","17.16666667"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00218","","","","5","1","5","5","5","4","2","8","5","7","7","6","1","1","0.4","0.32","1.8","0.72","2.52","10","0.2","0.04","0.072","2","2","0.4","0.4","0.144","0.144","0.36","0.36","20","28.57142857","100","2.666666667","2.666666667","4.8","4.8","12","12","16.8","16.8"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00219","","","","3","1","5","5","5","2","0","5","5","7","9","6","5","5","0","0.82","1","0.82","1.82","5","","0.164","0.164","1","1","0","0","0.164","0.164","0.2","0.2","0","45.05494505","100","0","0","5.466666667","5.466666667","6.666666667","6.666666667","12.13333333","12.13333333"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00220","","","","3","1","5","5","5","5","5","8","3","5","5","6","1","1","0.86","0.42","1.6","1.28","2.88","13","0.172","0.0525","0.098461538","2.6","2.6","1","1","0.256","0.256","0.32","0.32","38.46153846","44.44444444","100","5.733333333","5.733333333","8.533333333","8.533333333","10.66666667","10.66666667","19.2","19.2"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00221","","","","1","1","5","5","5","5","8","4","1","1","3","6","1","1","2.2","0.26","2.02","2.46","4.48","12","0.275","0.065","0.205","2.4","2.4","1.6","1.6","0.492","0.492","0.404","0.404","66.66666667","54.91071429","100","14.66666667","14.66666667","16.4","16.4","13.46666667","13.46666667","29.86666667","29.86666667"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00222","","","","1","1","5","5","5","5","10","5","1","3","3","7","1","1","3.02","0.54","3.12","3.56","6.68","15","0.302","0.108","0.237333333","3","3","2","2","0.712","0.712","0.624","0.624","66.66666667","53.29341317","100","20.13333333","20.13333333","23.73333333","23.73333333","20.8","20.8","44.53333333","44.53333333"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00223","","","","1","3","5","5","5","5","10","12","1","5","5","6","2","5","2.16","0.5","1.86","2.66","4.52","22","0.216","0.041666667","0.120909091","4.4","4.4","2","2","0.532","0.532","0.372","0.372","45.45454545","58.84955752","100","14.4","14.4","17.73333333","17.73333333","12.4","12.4","30.13333333","30.13333333"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00301","","","","1","1","5","5","5","3","0","7","1","7","7","6","1","3","0","0.42","1.52","0.42","1.94","7","","0.06","0.06","1.4","1.4","0","0","0.084","0.084","0.304","0.304","0","21.64948454","100","0","0","2.8","2.8","10.13333333","10.13333333","12.93333333","12.93333333"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00302","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00303","","","","3","3","5","5","4","4","5","9","5","3","1","7","1","1","2.42","0.68","2.34","3.1","5.44","14","0.484","0.075555556","0.221428571","3.5","2.8","1.25","1","0.775","0.62","0.585","0.468","35.71428571","56.98529412","80","16.13333333","20.16666667","20.66666667","25.83333333","15.6","19.5","36.26666667","45.33333333"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00304","","","","1","1","5","5","5","5","8","9","1","5","3","8","1","1","2.84","0.88","2.44","3.72","6.16","17","0.355","0.097777778","0.218823529","3.4","3.4","1.6","1.6","0.744","0.744","0.488","0.488","47.05882353","60.38961039","100","18.93333333","18.93333333","24.8","24.8","16.26666667","16.26666667","41.06666667","41.06666667"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00305","","","","1","1","5","4","5","5","11","4","1","3","1","6","1","1","4.58","0.3","2.54","4.88","7.42","15","0.416363636","0.075","0.325333333","3","3","2.2","2.2","0.976","0.976","0.508","0.508","73.33333333","65.76819407","100","30.53333333","30.53333333","32.53333333","32.53333333","16.93333333","16.93333333","49.46666667","49.46666667"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00306","","","","5","1","5","4","5","2","0","2","1","7","9","8","1","1","0","0.18","1.86","0.18","2.04","2","","0.09","0.09","0.4","0.4","0","0","0.036","0.036","0.372","0.372","0","8.823529412","100","0","0","1.2","1.2","12.4","12.4","13.6","13.6"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00307","","","","","","5","3","2","0","0","0","","","","5","3","5","0","0","0.32","0","0.32","0","","","","0","0","0","0","0","0","0.16","0.064","","0","40","0","0","0","0","2.133333333","5.333333333","2.133333333","5.333333333"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00308","","","","1","1","5","4","4","4","5","5","7","5","5","6","1","1","0.78","0.28","0.7","1.06","1.76","10","0.156","0.056","0.106","2.5","2","1.25","1","0.265","0.212","0.175","0.14","50","60.22727273","80","5.2","6.5","7.066666667","8.833333333","4.666666667","5.833333333","11.73333333","14.66666667"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00309","","","","5","1","5","4","4","4","1","6","3","7","7","6","1","1","0.18","0.34","0.8","0.52","1.32","7","0.18","0.056666667","0.074285714","1.75","1.4","0.25","0.2","0.13","0.104","0.2","0.16","14.28571429","39.39393939","80","1.2","1.5","3.466666667","4.333333333","5.333333333","6.666666667","8.8","11"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00310","","","","1","1","5","5","5","5","2","3","1","5","5","8","1","1","0.52","0.12","1.54","0.64","2.18","5","0.26","0.04","0.128","1","1","0.4","0.4","0.128","0.128","0.308","0.308","40","29.35779817","100","3.466666667","3.466666667","4.266666667","4.266666667","10.26666667","10.26666667","14.53333333","14.53333333"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00311","","","","1","1","5","4","4","3","1","5","1","5","5","8","1","1","0.34","0.14","1.6","0.48","2.08","6","0.34","0.028","0.08","1.5","1.2","0.25","0.2","0.12","0.096","0.4","0.32","16.66666667","23.07692308","80","2.266666667","2.833333333","3.2","4","10.66666667","13.33333333","13.86666667","17.33333333"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00312","","","","5","1","5","5","5","5","7","11","7","7","5","6","1","1","1.32","0.66","2.76","1.98","4.74","18","0.188571429","0.06","0.11","3.6","3.6","1.4","1.4","0.396","0.396","0.552","0.552","38.88888889","41.7721519","100","8.8","8.8","13.2","13.2","18.4","18.4","31.6","31.6"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00313","","","","7","1","5","3","3","3","3","5","7","3","5","6","1","1","0.64","0.18","0.52","0.82","1.34","8","0.213333333","0.036","0.1025","2.666666667","1.6","1","0.6","0.273333333","0.164","0.173333333","0.104","37.5","61.19402985","60","4.266666667","7.111111111","5.466666667","9.111111111","3.466666667","5.777777778","8.933333333","14.88888889"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00314","","","","","","5","4","4","0","0","0","","","","6","3","3","0","0","0.62","0","0.62","0","","","","0","0","0","0","0","0","0.155","0.124","","0","80","0","0","0","0","4.133333333","5.166666667","4.133333333","5.166666667"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00315","","","","","","5","3","3","3","3","5","","","","4","4","7","0.5","0.14","0.3","0.64","0.94","8","0.166666667","0.028","0.08","2.666666667","1.6","1","0.6","0.213333333","0.128","0.1","0.06","37.5","68.08510638","60","3.333333333","5.555555556","4.266666667","7.111111111","2","3.333333333","6.266666667","10.44444444"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00316","","","","","","5","5","4","0","0","0","","","","6","5","5","0","0","0.32","0","0.32","0","","","","0","0","0","0","0","0","0.08","0.064","","0","80","0","0","0","0","2.133333333","2.666666667","2.133333333","2.666666667"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00317","","","","5","1","5","5","5","4","","","7","7","4","6","1","1","","0.38","1.7","","","","","","","","","","","","","0.34","0.34","","","100","","","","","11.33333333","11.33333333","",""
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00318","","","","3","1","5","4","4","3","3","5","5","7","7","6","1","1","0.54","0.12","0.98","0.66","1.64","8","0.18","0.024","0.0825","2","1.6","0.75","0.6","0.165","0.132","0.245","0.196","37.5","40.24390244","80","3.6","4.5","4.4","5.5","6.533333333","8.166666667","10.93333333","13.66666667"
"","","GHP2017NYK-ST03","","","","","","","","","GHP2017NYK-ST03-00319","","","","","","5","5","5","0","0","0","","","","9","1","1","0","0","1.78","0","1.78","0","","","","0","0","0","0","0","0","0.356","0.356","","0","100","0","0","0","0","11.86666667","11.86666667","11.86666667","11.86666667"
