"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015NYK-AT02","","","","","","","","","GHP2015NYK-AT02-00028","","","","9","2.143249035","1.403069019","21.77","50.65","1.019425035","2.254913092","1","","46","33","30","34","23","5","3","5.487382889","7","68.18156433","2","42.98124383","5","1","6.761550903","7","1","1","","2.18","4.55","","","","","0.047391304","","","","","","","","0.151666667","0.133823529","","","88.23529412","","","","","","4.460784314","5.055555556","","","",""
"","","GHP2015NYK-AT02","","","","","","","","","GHP2015NYK-AT02-00029","","","","8","","","","","","","1","","32","31","30","34","27","1","1","","2","","","","2","1","","8","1","1","","0.28","9.45","","","","","0.00875","","","","","","","","0.315","0.277941176","","","88.23529412","","","","","","9.264705882","10.5","","","",""
"","","GHP2015NYK-AT02","","","","","","","","","GHP2015NYK-AT02-00003","","","","8","2.237766981","1.423406959","15.5","50.4","4.462203979","7.434373856","3","","97","29","28","34","28","8","5","4.243424892","9","50.71637726","3","30.75396825","5","1","16.99230766","6","2","2","","6.98","2.3","","","","","0.071958763","","","","","","","","0.082142857","0.067647059","","","82.35294118","","","","","","2.254901961","2.738095238","","","",""
"","","GHP2015NYK-AT02","","","","","","","","","GHP2015NYK-AT02-00030","","","","9","2.112741947","1.460044026","23.48","50.7","0.774313986","2.591128111","2","","52","30","29","34","27","8","5","4.522520065","4","66.53610229","2","46.31163708","6","2","8.960461617","6","2","2","","2.9","4.9","","","","","0.055769231","","","","","","","","0.168965517","0.144117647","","","85.29411765","","","","","","4.803921569","5.632183908","","","",""
"","","GHP2015NYK-AT02","","","","","","","","","GHP2015NYK-AT02-00004","","","","8","1.830551028","1.259469986","22.6","50.7","0.621010005","1.540575981","2","","60","33","32","34","28","5","3","4.678049088","7","66.82476044","2","44.57593688","4","1","7.65860796","5","2","2","","2.95","2.2","","","","","0.049166667","","","","","","","","0.06875","0.064705882","","","94.11764706","","","","","","2.156862745","2.291666667","","","",""
"","","GHP2015NYK-AT02","","","","","","","","","GHP2015NYK-AT02-00005","","","","3","2.099750996","1.265972972","22.6","50","0.445991993","1.865234971","2","4","17","31","26","34","19","4","9","4.597206116","2","66.72480011","3","45.2","5","3","11.43808842","7","1","1","0.95","1.05","4.5","2","6.5","21","0.2375","0.061764706","0.095238095","0.807692308","0.617647059","0.153846154","0.117647059","0.076923077","0.058823529","0.173076923","0.132352941","19.04761905","30.76923077","76.47058824","0.904","0.931372549","1.217948718","1.960784314","2.564102564","4.411764706","5.769230769","0.88627451","1.158974359","6.37254902","8.333333333"
"","","GHP2015NYK-AT02","","","","","","","","","GHP2015NYK-AT02-00006","","","","8","2.234144926","1.576261997","25.7","50.7","0.678488016","2.217422009","1","","88","33","30","34","30","5","3","5.813191891","5","67.81123352","3","50.69033531","4","2","5.65631485","8","1","1","","3.6","7.5","","","","","0.040909091","","","","","","","","0.25","0.220588235","","","88.23529412","","","","","","7.352941176","8.333333333","","","",""
"","","GHP2015NYK-AT02","","","","","","","","","GHP2015NYK-AT02-00007","","","","8","","","","","","","1","","36","29","27","34","23","1","1","","5","","","","3","1","","8","1","1","","1.5","9.5","","","","","0.041666667","","","","","","","","0.351851852","0.279411765","","","79.41176471","","","","","","9.31372549","11.72839506","","","",""
"","","GHP2015NYK-AT02","","","","","","","","","GHP2015NYK-AT02-00008","","","","5","1.674247026","1.19520998","24.4","50.6","1.317388058","2.929891109","1","","60","32","25","34","23","4","9","3.908591986","4","66.93161011","3","48.22134387","3","1","11.73469257","8","1","1","","2.05","4.5","","","","","0.034166667","","","","","","","","0.18","0.132352941","","","73.52941176","","","","","","4.411764706","6","","","",""
"","","GHP2015NYK-AT02","","","","","","","","","GHP2015NYK-AT02-00009","","","","8","1.676702023","1.08436501","22.5","50.2","3.331875086","5.299270153","2","4","11","31","24","34","20","4","8","2.586545944","2","64.39547729","3","44.82071713","3","1","10.70537853","7","1","1","0.5","0.5","7.8","1","8.8","15","0.125","0.045454545","0.066666667","0.625","0.441176471","0.166666667","0.117647059","0.041666667","0.029411765","0.325","0.229411765","26.66666667","11.36363636","70.58823529","0.448207171","0.490196078","0.694444444","0.980392157","1.388888889","7.647058824","10.83333333","0.439418795","0.62250996","8.62745098","12.22222222"
