"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00130","","","","5","5","","","6","3","8","1","3","1.5","0.2","3.6","1.7","5.3","9","0.25","0.066666667","0.188888889","","","","","66.66666667","32.0754717","","","","","1.8","1.2","0.34","0.72","","10","11.33333333","24","35.33333333"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00131","","","","5","5","","","9","4","7","3","4","2.4","0.2","2.4","2.6","5","13","0.266666667","0.05","0.2","","","","","69.23076923","52","","","","","2.6","1.8","0.52","0.48","","16","17.33333333","16","33.33333333"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00132","","","","5","5","","","3","3","5","5","6","0.4","0.2","1.5","0.6","2.1","6","0.133333333","0.066666667","0.1","","","","","50","28.57142857","","","","","1.2","0.6","0.12","0.3","","2.666666667","4","10","14"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00133","","","","5","5","","","10","5","5","3","4","2.5","0.2","2","2.7","4.7","15","0.25","0.04","0.18","","","","","66.66666667","57.44680851","","","","","3","2","0.54","0.4","","16.66666667","18","13.33333333","31.33333333"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00134","","","","5","5","","","6","3","5","4","6","2.9","0.2","1.6","3.1","4.7","9","0.483333333","0.066666667","0.344444444","","","","","66.66666667","65.95744681","","","","","1.8","1.2","0.62","0.32","","19.33333333","20.66666667","10.66666667","31.33333333"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00201","","","","5","5","","","6","5","5","4","5","1.1","0.2","1.1","1.3","2.4","11","0.183333333","0.04","0.118181818","","","","","54.54545455","54.16666667","","","","","2.2","1.2","0.26","0.22","","7.333333333","8.666666667","7.333333333","16"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00202","","","","5","5","","","6","2","5","5","5","1.1","0.2","1.1","1.3","2.4","8","0.183333333","0.1","0.1625","","","","","75","54.16666667","","","","","1.6","1.2","0.26","0.22","","7.333333333","8.666666667","7.333333333","16"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00203","","","","5","5","","","6","1","7","3","4","1.7","0.1","1.4","1.8","3.2","7","0.283333333","0.1","0.257142857","","","","","85.71428571","56.25","","","","","1.4","1.2","0.36","0.28","","11.33333333","12","9.333333333","21.33333333"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00204","","","","5","5","","","14","2","6","4","4","2.1","0.1","1.5","2.2","3.7","16","0.15","0.05","0.1375","","","","","87.5","59.45945946","","","","","3.2","2.8","0.44","0.3","","14","14.66666667","10","24.66666667"
"","","GHP2017FMS-ST03","","","","","","","","","GHP2017FMS-ST03-00205","","","","5","5","","","12","2","5","3","5","4.7","0.1","2.1","4.8","6.9","14","0.391666667","0.05","0.342857143","","","","","85.71428571","69.56521739","","","","","2.8","2.4","0.96","0.42","","31.33333333","32","14","46"
