"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00061","","","","4","1.4421139","2.474581003","1.134009004","15.64","48.37","1.770619988","1.834535956","3","17","16","10","10","10","10","6.123474121","4","63.8430748","3","32.33409138","5","4","14.301507","5","5","6","3.6","0.6","2.4","4.2","6.6","33","0.211764706","0.0375","0.127272727","3.3","3.3","1.7","1.7","0.42","0.42","0.24","0.24","51.51515152","63.63636364","100","1.358031838","12","12","14","14","8","8","4.526772793","4.526772793","22","22"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00062","","","","5","7.5676422","2.01099205","0.74357897","16.64","48.61","3.191529989","4.081074238","3","22","10","8","8","10","8","3.996241093","4","66.97510529","3","34.23163958","4","2","7.244185925","6","2","4","8.4","0.7","11","9.1","20.1","32","0.381818182","0.07","0.284375","4","3.2","2.75","2.2","1.1375","0.91","1.375","1.1","68.75","45.27363184","80","3.115079202","28","35","30.33333333","37.91666667","36.66666667","45.83333333","10.38359734","12.97949667","67","83.75"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00063","","","","3","0.5377064","2.112112999","0.889922976","17.7","48.81","1.196921945","1.664631963","2","20","17","10","10","10","10","4.02701807","2","68.45857239","1","36.26306085","4","4","7.74981308","6","3","5","4.2","0.8","4.9","5","9.9","37","0.21","0.047058824","0.135135135","3.7","3.7","2","2","0.5","0.5","0.49","0.49","54.05405405","50.50505051","100","1.813153042","14","14","16.66666667","16.66666667","16.33333333","16.33333333","6.043843475","6.043843475","33","33"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00064","","","","3","3.6098423","2.795725107","1.154873967","19.37","48.48","0.723927021","1.245030999","1","25","5","10","10","10","10","4.706209183","2","67.53211975","2","39.95462046","4","4","14.25414276","6","3","4","6.8","0.2","4","7","11","30","0.272","0.04","0.233333333","3","3","2.5","2.5","0.7","0.7","0.4","0.4","83.33333333","63.63636364","100","2.796823432","22.66666667","22.66666667","23.33333333","23.33333333","13.33333333","13.33333333","9.322744774","9.322744774","36.66666667","36.66666667"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00065","","","","3","3.5734463","1.991688967","0.837143004","19.55","48.52","1.595360041","2.31132102","1","3","3","10","9","10","4","3.611376047","3","69.24319458","2","40.29266282","5","5","8.72947979","7","2","3","1.5","0.2","25.2","1.7","26.9","6","0.5","0.066666667","0.283333333","0.666666667","0.6","0.333333333","0.3","0.188888889","0.17","2.8","2.52","50","6.319702602","90","0.684975268","5","5.555555556","5.666666667","6.296296296","84","93.33333333","2.283250893","2.536945437","89.66666667","99.62962963"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00066","","","","4","0","2.338871002","1.053642988","16.53","48.51","1.629986048","2.696435928","3","23","22","10","10","10","10","6.369338989","4","64.34667969","3","34.07544836","4","5","12.53787231","5","3","3","5.1","1.3","4","6.4","10.4","45","0.22173913","0.059090909","0.142222222","4.5","4.5","2.3","2.3","0.64","0.64","0.4","0.4","51.11111111","61.53846154","100","2.180828695","17","17","21.33333333","21.33333333","13.33333333","13.33333333","7.269428984","7.269428984","34.66666667","34.66666667"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00067","","","","3","0","2.299885035","1.018285036","19.02","48.27","1.635674953","2.090267897","2","8","5","8","5","10","5","6.854144096","3","67.50485992","3","39.40335612","4","4","7.000936031","7","5","3","2.7","0.2","14.8","2.9","17.7","13","0.3375","0.04","0.223076923","2.6","1.3","1.6","0.8","0.58","0.29","2.96","1.48","61.53846154","16.38418079","50","1.142697328","9","18","9.666666667","19.33333333","49.33333333","98.66666667","3.808991092","7.617982184","59","118"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00068","","","","4","18.6284943","2.708498001","1.159369946","16.66","48.52","1.068789959","1.559368014","3","22","22","10","10","10","10","6.666845798","4","59.37011719","3","34.33635614","4","4","14.91730404","5","4","5","4.8","4.4","2","9.2","11.2","44","0.218181818","0.2","0.209090909","4.4","4.4","2.2","2.2","0.92","0.92","0.2","0.2","50","82.14285714","100","3.158944765","16","16","30.66666667","30.66666667","6.666666667","6.666666667","10.52981588","10.52981588","37.33333333","37.33333333"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00069","","","","3","0","1.78876698","0.860086977","21.05","48.98","0.298703998","0.55864799","2","4","4","10","10","10","6","3.20541811","2","73.0116806","3","42.97672519","4","5","9.393131256","9","2","3","0.9","0.2","20.2","1.1","21.3","8","0.225","0.05","0.1375","0.8","0.8","0.4","0.4","0.11","0.11","2.02","2.02","50","5.164319249","100","0.472743977","3","3","3.666666667","3.666666667","67.33333333","67.33333333","1.575813257","1.575813257","71","71"
"","","GHP2016FMS-PT01","","","","","","","","","GHP2016FMS-PT01-00007","","","","3","0","2.133851051","0.863524973","17.92","48.47","1.207993984","1.509047031","2","36","9","9","8","10","8","5.263663769","2","69.02716827","3","36.97132247","3","3","10.52740574","7","5","4","7.8","0.3","13","8.1","21.1","45","0.216666667","0.033333333","0.18","5.625","4.5","4.5","3.6","1.0125","0.81","1.625","1.3","80","38.38862559","80","2.99467712","26","32.5","27","33.75","43.33333333","54.16666667","9.982257066","12.47782133","70.33333333","87.91666667"
