"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014OHW-PT02","","","","","","","","","GHP2014OHW-PT02-00117","","","","","","10","0","0","0","0","","","","","","","8","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2014OHW-PT02","","","","","","","","","GHP2014OHW-PT02-00118","","","","3","3","10","6","6","8","17","4","6","5","5","3","6","6","6","1.9","1.6","2.4","3.5","5.9","25","0.2375","0.094117647","0.14","4.166666667","2.5","1.333333333","0.8","0.583333333","0.35","0.4","0.24","32","59.3220339","60","6.333333333","10.55555556","11.66666667","19.44444444","8","13.33333333","19.66666667","32.77777778"
"","","GHP2014OHW-PT02","","","","","","","","","GHP2014OHW-PT02-00119","","","","3","1","10","5","4","0","4","2","2","1","1","3","3","8","8","0","0.1","0.6","0.1","0.7","4","","0.025","0.025","0.8","0.4","0","0","0.02","0.01","0.12","0.06","0","14.28571429","50","0","0","0.333333333","0.666666667","2","4","2.333333333","4.666666667"
"","","GHP2014OHW-PT02","","","","","","","","","GHP2014OHW-PT02-00012","","","","4","2","10","1","1","2","4","3","4","2","2","2","7","4","7","0.4","0.2","2","0.6","2.6","6","0.2","0.05","0.1","6","0.6","2","0.2","0.6","0.06","2","0.2","33.33333333","23.07692308","10","1.333333333","13.33333333","2","20","6.666666667","66.66666667","8.666666667","86.66666667"
"","","GHP2014OHW-PT02","","","","","","","","","GHP2014OHW-PT02-00120","","","","3","1","10","4","4","6","8","4","4","1","1","2","8","3","4","0.7","0.3","3","1","4","14","0.116666667","0.0375","0.071428571","3.5","1.4","1.5","0.6","0.25","0.1","0.75","0.3","42.85714286","25","40","2.333333333","5.833333333","3.333333333","8.333333333","10","25","13.33333333","33.33333333"
"","","GHP2014OHW-PT02","","","","","","","","","GHP2014OHW-PT02-00121","","","","","","10","0","0","0","0","","","","","","","9","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2014OHW-PT02","","","","","","","","","GHP2014OHW-PT02-00122","","","","2","1","10","3","2","2","0","3","3","1","1","2","3","8","8","0.2","0","1","0.2","1.2","2","0.1","","0.1","0.666666667","0.2","0.666666667","0.2","0.066666667","0.02","0.333333333","0.1","100","16.66666667","30","0.666666667","2.222222222","0.666666667","2.222222222","3.333333333","11.11111111","4","13.33333333"
"","","GHP2014OHW-PT02","","","","","","","","","GHP2014OHW-PT02-00123","","","","2","1","10","6","6","0","9","2","3","1","1","2","7","5","5","0","0.2","2","0.2","2.2","9","","0.022222222","0.022222222","1.5","0.9","0","0","0.033333333","0.02","0.333333333","0.2","0","9.090909091","60","0","0","0.666666667","1.111111111","6.666666667","11.11111111","7.333333333","12.22222222"
"","","GHP2014OHW-PT02","","","","","","","","","GHP2014OHW-PT02-00124","","","","3","2","10","6","6","15","27","5","5","6","6","2","7","6","7","2.3","1.3","2","3.6","5.6","42","0.153333333","0.048148148","0.085714286","7","4.2","2.5","1.5","0.6","0.36","0.333333333","0.2","35.71428571","64.28571429","60","7.666666667","12.77777778","12","20","6.666666667","11.11111111","18.66666667","31.11111111"
"","","GHP2014OHW-PT02","","","","","","","","","GHP2014OHW-PT02-00125","","","","2","1","10","5","4","9","0","4","4","1","1","1","4","6","8","0.9","0","1.1","0.9","2","9","0.1","","0.1","1.8","0.9","1.8","0.9","0.18","0.09","0.22","0.11","100","45","50","3","6","3","6","3.666666667","7.333333333","6.666666667","13.33333333"
