"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2012FMS-AT01","","","","","","","","","GHP2012FMS-AT01-00028","","","","","","","","","","","","","2","0","0","9","0","34","0","","","","3","","2","3","","5","7","7","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2012FMS-AT01","","","","","","","","","GHP2012FMS-AT01-00029","","","","2","12.61","3.1","0.7","19.1","3","50.3","1.6","","1","7","16","29","25","34","11","4","9","3.53","1","68.46","5","4","","7","3","4","1.1","1.1","26","2.2","28.2","23","0.157142857","0.06875","0.095652174","0.92","0.676470588","0.28","0.205882353","0.088","0.064705882","1.04","0.764705882","30.43478261","7.80141844","73.52941176","37.972167","0.835387674","1.078431373","1.466666667","2.156862745","2.933333333","25.49019608","34.66666667","0.819007523","1.113850232","27.64705882","37.6"
"","","GHP2012FMS-AT01","","","","","","","","","GHP2012FMS-AT01-00003","","","","2","15.99","2.4","0.53","16.7","2","50.3","1.77","","2","25","68","31","30","34","28","6","2","2.45","1","71.63","4","4","1.18","8","1","3","3.2","3","11","6.2","17.2","93","0.128","0.044117647","0.066666667","3.1","2.735294118","0.833333333","0.735294118","0.206666667","0.182352941","0.366666667","0.323529412","26.88172043","36.04651163","88.23529412","33.20079523","2.058449304","3.137254902","3.555555556","6.078431373","6.888888889","10.78431373","12.22222222","2.018087553","2.287165894","16.8627451","19.11111111"
"","","GHP2012FMS-AT01","","","","","","","","","GHP2012FMS-AT01-00030","","","","2","6.92","2.33","0.68","20.6","2","50.2","0.77","","1","20","40","32","27","34","23","1","2","2.42","1","72.79","5","4","2.34","8","1","3","3.5","2.3","20.5","5.8","26.3","60","0.175","0.0575","0.096666667","2.222222222","1.764705882","0.740740741","0.588235294","0.214814815","0.170588235","0.759259259","0.602941176","33.33333333","22.05323194","79.41176471","41.03585657","2.380079681","3.431372549","4.320987654","5.68627451","7.160493827","20.09803922","25.30864198","2.333411452","2.938369977","25.78431373","32.4691358"
"","","GHP2012FMS-AT01","","","","","","","","","GHP2012FMS-AT01-00031","","","","2","12.2","2.65","0.7","17.5","1","50.1","0.95","","1","10","25","32","24","34","14","8","5","3.81","1","71.44","5","3","2.32","6","5","5","1.3","1.5","10","2.8","12.8","35","0.13","0.06","0.08","1.458333333","1.029411765","0.416666667","0.294117647","0.116666667","0.082352941","0.416666667","0.294117647","28.57142857","21.875","70.58823529","34.93013972","0.978043912","1.274509804","1.805555556","2.745098039","3.888888889","9.803921569","13.88888889","0.958866581","1.358394322","12.54901961","17.77777778"
"","","GHP2012FMS-AT01","","","","","","","","","GHP2012FMS-AT01-00032","","","","3","","","","17.4","2","50.2","","","1","26","68","32","29","34","26","7","2","","1","","5","4","","8","1","3","4","3","23","7","30","94","0.153846154","0.044117647","0.074468085","3.24137931","2.764705882","0.896551724","0.764705882","0.24137931","0.205882353","0.793103448","0.676470588","27.65957447","23.33333333","85.29411765","34.66135458","2.426294821","3.921568627","4.597701149","6.862745098","8.045977011","22.54901961","26.43678161","2.378720412","2.788844622","29.41176471","34.48275862"
"","","GHP2012FMS-AT01","","","","","","","","","GHP2012FMS-AT01-00033","","","","2","6.75","2.36","0.55","19.3","2","50.3","3.1","1.27","1","17","16","25","21","34","14","2","9","2.95","1","71.75","6","4","","6","7","7","3.4","0.7","17.5","4.1","21.6","33","0.2","0.04375","0.124242424","1.571428571","0.970588235","0.80952381","0.5","0.195238095","0.120588235","0.833333333","0.514705882","51.51515152","18.98148148","61.76470588","38.36978131","1.573161034","3.333333333","5.396825397","4.019607843","6.507936508","17.15686275","27.77777778","1.542314739","2.497081006","21.17647059","34.28571429"
"","","GHP2012FMS-AT01","","","","","","","","","GHP2012FMS-AT01-00034","","","","3","","","","19.4","1","50","","","1","22","23","30","25","34","23","3","9","","1","","5","5","","8","1","1","4.9","1.2","14","6.1","20.1","45","0.222727273","0.052173913","0.135555556","1.8","1.323529412","0.88","0.647058824","0.244","0.179411765","0.56","0.411764706","48.88888889","30.34825871","73.52941176","38.8","2.3668","4.803921569","6.533333333","5.980392157","8.133333333","13.7254902","18.66666667","2.320392157","3.155733333","19.70588235","26.8"
"","","GHP2012FMS-AT01","","","","","","","","","GHP2012FMS-AT01-00035","","","","2","","","","","","","","","2","39","68","20","19","34","17","7","2","","4","","5","5","","8","4","3","9.2","2.3","13.5","11.5","25","107","0.235897436","0.033823529","0.107476636","5.631578947","3.147058824","2.052631579","1.147058824","0.605263158","0.338235294","0.710526316","0.397058824","36.44859813","46","55.88235294","","","9.019607843","16.14035088","11.2745098","20.1754386","13.23529412","23.68421053","","","24.50980392","43.85964912"
"","","GHP2012FMS-AT01","","","","","","","","","GHP2012FMS-AT01-00036","","","","","","","","","","","","","","0","0","30","0","34","0","","","","","","","","","2","9","9","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
