"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Harvest index computing percent|CO_331:0000302","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Commercial storage root yield tons per ha|CO_331:0000809","Storage root size estimating 1-9|CO_331:0000184","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00043","","","","1","53.16666667","16.33333333","69.27899687","20","9","9","10","9","1","1","68.96551724","33","3","29","3.222222222","11.05","9.9","1.15","4.9","36.83333333","15.95","0.495","0.127777778","0.381034483","2.9","2.222222222","2","1.227777778","1.105","0.544444444","0.49","90","36.66666667","40.92592593","18.14814815","59.07407407"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00044","","","","3","74","25.66666667","65.31531532","19","15","8","10","8","3","3","55.88235294","45","1","34","4.25","14.5","13.5","1","7.7","48.33333333","22.2","0.710526316","0.066666667","0.426470588","3.4","2.375","1.9","1.8125","1.45","0.9625","0.77","80","56.25","60.41666667","32.08333333","92.5"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00045","","","","1","37.33333333","14","62.5","17","4","7","10","7","1","1","80.95238095","22","5","21","3","7","6.6","0.4","4.2","23.33333333","11.2","0.388235294","0.1","0.333333333","2.1","2.428571429","1.7","1","0.7","0.6","0.42","70","31.42857143","33.33333333","20","53.33333333"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00046","","","","5","50.66666667","16.83333333","66.77631579","21","7","10","10","10","5","1","75","31.66666667","3","28","2.8","10.15","9.5","0.65","5.05","33.83333333","15.2","0.452380952","0.092857143","0.3625","2.8","2.1","2.1","1.015","1.015","0.505","0.505","100","31.66666667","33.83333333","16.83333333","50.66666667"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00047","","","","3","28","10.83333333","61.30952381","14","5","6","10","6","5","1","73.68421053","14.83333333","5","19","3.166666667","5.15","4.45","0.7","3.25","17.16666667","8.4","0.317857143","0.14","0.271052632","1.9","2.333333333","1.4","0.858333333","0.515","0.541666667","0.325","60","24.72222222","28.61111111","18.05555556","46.66666667"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00048","","","","1","51","18.33333333","64.05228758","27","16","10","10","10","1","1","62.79069767","28.5","5","43","4.3","9.8","8.55","1.25","5.5","32.66666667","15.3","0.316666667","0.078125","0.227906977","4.3","2.7","2.7","0.98","0.98","0.55","0.55","100","28.5","32.66666667","18.33333333","51"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00049","","","","3","39.5","8.5","78.48101266","20","19","10","10","10","5","1","51.28205128","24.66666667","3","39","3.9","9.3","7.4","1.9","2.55","31","11.85","0.37","0.1","0.238461538","3.9","2","2","0.93","0.93","0.255","0.255","100","24.66666667","31","8.5","39.5"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00005","","","","1","24.33333333","11","54.79452055","10","6","3","10","3","1","1","62.5","11.66666667","5","16","5.333333333","4","3.5","0.5","3.3","13.33333333","7.3","0.35","0.083333333","0.25","1.6","3.333333333","1","1.333333333","0.4","1.1","0.33","30","38.88888889","44.44444444","36.66666667","81.11111111"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00050","","","","3","37.83333333","11.83333333","68.72246696","17","7","8","10","8","7","1","70.83333333","23.66666667","3","24","3","7.8","7.1","0.7","3.55","26","11.35","0.417647059","0.1","0.325","2.4","2.125","1.7","0.975","0.78","0.44375","0.355","80","29.58333333","32.5","14.79166667","47.29166667"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00051","","","","1","37.16666667","16","56.95067265","12","2","7","10","7","7","3","85.71428571","20.5","3","14","2","6.35","6.15","0.2","4.8","21.16666667","11.15","0.5125","0.1","0.453571429","1.4","1.714285714","1.2","0.907142857","0.635","0.685714286","0.48","70","29.28571429","30.23809524","22.85714286","53.0952381"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00052","","","","3","48.9","17.5","64.21267894","15","23","10","10","10","3","3","39.47368421","28.4","1","38","3.8","9.42","8.52","0.9","5.25","31.4","14.67","0.568","0.039130435","0.247894737","3.8","1.5","1.5","0.942","0.942","0.525","0.525","100","28.4","31.4","17.5","48.9"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00053","","","","3","37.5","14.33333333","61.77777778","13","15","9","10","9","7","1","46.42857143","19.33333333","1","28","3.111111111","6.95","5.8","1.15","4.3","23.16666667","11.25","0.446153846","0.076666667","0.248214286","2.8","1.444444444","1.3","0.772222222","0.695","0.477777778","0.43","90","21.48148148","25.74074074","15.92592593","41.66666667"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00054","","","","7","97.5","24.5","74.87179487","40","31","10","10","10","7","1","56.33802817","63.66666667","1","71","7.1","21.9","19.1","2.8","7.35","73","29.25","0.4775","0.090322581","0.308450704","7.1","4","4","2.19","2.19","0.735","0.735","100","63.66666667","73","24.5","97.5"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00055","","","","1","55.16666667","19.5","64.65256798","19","13","9","10","9","3","1","59.375","32","3","32","3.555555556","10.7","9.6","1.1","5.85","35.66666667","16.55","0.505263158","0.084615385","0.334375","3.2","2.111111111","1.9","1.188888889","1.07","0.65","0.585","90","35.55555556","39.62962963","21.66666667","61.2962963"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00056","","","","1","50.33333333","14.66666667","70.86092715","18","13","8","10","8","1","1","58.06451613","31.66666667","3","31","3.875","10.7","9.5","1.2","4.4","35.66666667","15.1","0.527777778","0.092307692","0.34516129","3.1","2.25","1.8","1.3375","1.07","0.55","0.44","80","39.58333333","44.58333333","18.33333333","62.91666667"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00057","","","","5","16.83333333","12.5","25.74257426","3","5","8","10","5","7","1","37.5","2.5","7","8","1","1.3","0.75","0.55","3.75","4.333333333","5.05","0.25","0.11","0.1625","0.8","0.375","0.3","0.1625","0.13","0.46875","0.375","80","3.125","5.416666667","15.625","21.04166667"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00058","","","","1","29.86666667","13.73333333","54.01785714","15","11","6","10","6","1","3","57.69230769","13.8","3","26","4.333333333","4.84","4.14","0.7","4.12","16.13333333","8.96","0.276","0.063636364","0.186153846","2.6","2.5","1.5","0.806666667","0.484","0.686666667","0.412","60","23","26.88888889","22.88888889","49.77777778"
"","","GHP2018NYK-PT01","","","","","","","","","GHP2018NYK-PT01-00059","","","","1","65","24","63.07692308","23","31","10","10","10","1","5","42.59259259","30.16666667","5","54","5.4","12.3","9.05","3.25","7.2","41","19.5","0.393478261","0.10483871","0.227777778","5.4","2.3","2.3","1.23","1.23","0.72","0.72","100","30.16666667","41","24","65"
