"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00108","","","","","","","","","","","","2","3","","","","","","","","","","","7","1","","","0.44","","","","","","","","","","0.146666667","","","","","","4.888888889","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00109","","","","","","","","","","","","3","3","","","","","","","","","","","7","2","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00011","","","","","","","","","","","","2","3","","","","","","","","","","","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00110","","","","","","","","","","","","3","3","","","","","","","","","","","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00111","","","","5","49.55","0.673479","1.127073","4.2950211","1","8","3","3","3","2","3","5","1","67.4960709","2","27.58829465","1","3","14.9522324","8","2","2.08","0.18","2.5","2.26","4.76","11","0.26","0.06","0.205454545","3.666666667","2.666666667","0.753333333","0.833333333","72.72727273","47.4789916","0.623495459","23.11111111","25.11111111","27.77777778","6.927727323","52.88888889"
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00112","","","","3","50.25","0","2.5974259","18.824419","3","6","1","3","3","3","9","9","1","57.7710228","3","26.74626866","3","1","15.9247437","9","1","2.2","0.02","1.52","2.22","3.74","7","0.366666667","0.02","0.317142857","2.333333333","2","0.74","0.506666667","85.71428571","59.35828877","0.593767164","24.44444444","24.66666667","16.88888889","6.597412936","41.55555556"
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00113","","","","","","","","","","","","1","3","","","","","","","","","","","6","2","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00114","","","","3","49.91","0.682314","3.1269469","6.133358","1","13","6","3","3","3","5","5","1","54.1238174","2","27.22901222","1","3","21.6050644","8","1","1.7","0.47","1.29","2.17","3.46","19","0.130769231","0.078333333","0.114210526","6.333333333","4.333333333","0.723333333","0.43","68.42105263","62.71676301","0.590869565","18.88888889","24.11111111","14.33333333","6.565217391","38.44444444"
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00115","","","","3","50.47","0.355051","1.738759","19.3505154","3","12","8","3","3","3","3","8","1","59.342308","2","29.22528235","3","3","19.5116653","8","2","2.3","0.28","1.68","2.58","4.26","20","0.191666667","0.035","0.129","6.666666667","4","0.86","0.56","60","60.56338028","0.754012285","25.55555556","28.66666667","18.66666667","8.377914274","47.33333333"
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00116","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00117","","","","","49.81","0.889288","3.012248","17.5381737","","","","2","3","","5","3","","55.8814545","6","23.81047982","","","18.2059402","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00118","","","","","","","","","","","","2","3","","","","","","","","","","","6","2","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00119","","","","","","","","","","","","2","3","","","","","","","","","","","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00012","","","","","","","","","","","","3","3","","","","","","","","","","","6","2","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00120","","","","","","","","","","","","3","3","","","","","","","","","","","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00121","","","","","","","","","","","","1","3","","","","","","","","","","","6","2","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00122","","","","","","","","","","","","1","3","","","","","","","","","","","6","3","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00123","","","","","49.58","0.42308","1.488764","9.6919537","","","","1","3","","4","8","","63.8952522","2","33.50141186","","","17.3299484","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00124","","","","1","","","","","3","3","0","3","3","3","","","1","","","","1","5","","7","1","0.64","0","1.44","0.64","2.08","3","0.213333333","","0.213333333","1","1","0.213333333","0.48","100","30.76923077","","7.111111111","7.111111111","16","","23.11111111"
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00125","","","","","","","","","","","","3","3","","","","","","","","","","","8","2","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00126","","","","","","","","","","","","3","3","","","","","","","","","","","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00127","","","","","","","","","","","","3","3","","","","","","","","","","","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00128","","","","","","","","","","","","3","3","","","","","","","","","","","7","2","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00129","","","","","","","","","","","","1","3","","","","","","","","","","","5","2","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00013","","","","","","","","","","","","2","3","","","","","","","","","","","7","2","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00130","","","","","","","","","","","","3","3","","","","","","","","","","","7","2","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00131","","","","","","","","","","","","3","3","","","","","","","","","","","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00132","","","","","","","","","","","","3","3","","","","","","","","","","","6","2","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00133","","","","","","","","","","","","3","3","","","","","","","","","","","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00134","","","","","","","","","","","","3","3","","","","","","","","","","","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00135","","","","","","","","","","","","2","3","","","","","","","","","","","7","2","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00136","","","","","","","","","","","","3","3","","","","","","","","","","","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00137","","","","","","","","","","","","2","3","","","","","","","","","","","7","2","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00138","","","","","","","","","","","","3","3","","","","","","","","","","","9","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00139","","","","","","","","","","","","3","3","","","","","","","","","","","7","2","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00014","","","","","","","","","","","","3","3","","","","","","","","","","","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00140","","","","","","","","","","","","3","3","","","","","","","","","","","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00141","","","","","","","","","","","","2","3","","","","","","","","","","","7","2","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00142","","","","","","","","","","","","1","3","","","","","","","","","","","5","3","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00143","","","","","","","","","","","","3","3","","","","","","","","","","","7","2","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00144","","","","","","","","","","","","3","3","","","","","","","","","","","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00145","","","","","","","","","","","","3","3","","","","","","","","","","","7","2","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00146","","","","","","","","","","","","3","3","","","","","","","","","","","7","2","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00147","","","","","","","","","","","","3","3","","","","","","","","","","","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00148","","","","","","","","","","","","3","3","","","","","","","","","","","7","2","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00149","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00015","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00150","","","","","49.99","0.781853","4.662075","3.9084849","","","","","","","7","5","","52.8410645","4","23.76475295","","","21.6291885","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00151","","","","1","","","","","3","3","4","3","3","3","","","1","","","","3","5","","7","2","1.22","0.24","0.84","1.46","2.3","7","0.406666667","0.06","0.208571429","2.333333333","1","0.486666667","0.28","42.85714286","63.47826087","","13.55555556","16.22222222","9.333333333","","25.55555556"
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00152","","","","","","","","","","","","2","3","","","","","","","","","","","7","2","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00153","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00154","","","","","50.14","2.191992","6.239923","9.9837914","","","","","3","","7","6","","46.6509094","2","21.14080574","","","23.2927475","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00155","","","","3","50.1","0.304317","3.708441","9.8709965","3","12","4","3","3","3","3","8","1","52.8581085","2","25.1497006","3","3","23.5098419","7","2","3.4","0.16","2.02","3.56","5.58","16","0.283333333","0.04","0.2225","5.333333333","4","1.186666667","0.673333333","75","63.79928315","0.895329341","37.77777778","39.55555556","22.44444444","9.948103793","62"
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00156","","","","3","","","","","1","7","0","3","3","3","","","1","","","","1","3","","7","2","2.08","0","3.54","2.08","5.62","7","0.297142857","","0.297142857","2.333333333","2.333333333","0.693333333","1.18","100","37.01067616","","23.11111111","23.11111111","39.33333333","","62.44444444"
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00157","","","","","50.17","0.214161","4.0088291","12.5189514","","","","3","3","","6","8","","52.1347694","3","29.8186167","","","22.0614319","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00158","","","","1","","","","","1","8","0","3","3","3","","","1","","","","3","3","","8","1","2.44","0","2.58","2.44","5.02","8","0.305","","0.305","2.666666667","2.666666667","0.813333333","0.86","100","48.60557769","","27.11111111","27.11111111","28.66666667","","55.77777778"
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00159","","","","","","","","","","","","3","3","","","","","","","","","","","7","2","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00016","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00160","","","","","","","","","","","","3","3","","","","","","","","","","","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00161","","","","","","","","","","","","3","3","","","","","","","","","","","9","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00162","","","","","","","","","","","","3","3","","","","","","","","","","","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00163","","","","","49.94","0.651506","1.866182","13.9381046","","","","3","3","","2","2","","58.9857903","2","30.53664397","","","19.9639969","9","2","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00164","","","","3","50.76","0","0.600232","14.4558868","3","4","1","3","3","3","1","8","1","62.1788521","3","35.97320725","5","3","16.1725311","9","1","1.44","0.2","3.44","1.64","5.08","5","0.36","0.2","0.328","1.666666667","1.333333333","0.546666667","1.146666667","80","32.28346457","0.589960599","16","18.22222222","38.22222222","6.555117766","56.44444444"
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00165","","","","","50.31","0","1.939816","20.8527336","","","","2","3","","5","5","","55.632576","2","31.72331544","","","22.7694397","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00166","","","","3","50.88","0.021967","1.514958","23.0445843","1","6","2","3","3","3","2","8","1","58.5145035","5","35.90801887","3","1","19.5620956","7","1","2.12","0.12","2.02","2.24","4.26","8","0.353333333","0.06","0.28","2.666666667","2","0.746666667","0.673333333","75","52.58215962","0.804339623","23.55555556","24.88888889","22.44444444","8.937106919","47.33333333"
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00167","","","","1","","","","","3","7","0","3","3","3","","","1","","","","1","1","","8","1","3.06","0","4.18","3.06","7.24","7","0.437142857","","0.437142857","2.333333333","2.333333333","1.02","1.393333333","100","42.26519337","","34","34","46.44444444","","80.44444444"
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00168","","","","","","","","","","","","3","3","","","","","","","","","","","9","2","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00169","","","","","","","","","","","","3","3","","","","","","","","","","","9","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00017","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00170","","","","","","","","","","","","3","3","","","","","","","","","","","8","2","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00171","","","","","","","","","","","","2","3","","","","","","","","","","","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00172","","","","","","","","","","","","3","3","","","","","","","","","","","8","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00173","","","","","","","","","","","","2","3","","","","","","","","","","","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00174","","","","","","","","","","","","2","3","","","","","","","","","","","7","2","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00175","","","","","","","","","","","","2","3","","","","","","","","","","","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00176","","","","","","","","","","","","2","3","","","","","","","","","","","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00177","","","","","","","","","","","","3","3","","","","","","","","","","","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00178","","","","","","","","","","","","3","3","","","","","","","","","","","8","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00179","","","","","","","","","","","","3","3","","","","","","","","","","","7","2","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00018","","","","","","","","","","","","1","3","","","","","","","","","","","5","3","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00180","","","","","","","","","","","","2","3","","","","","","","","","","","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00181","","","","","","","","","","","","1","3","","","","","","","","","","","6","3","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00182","","","","","50.01","1.469694","2.1208611","12.9903927","","","","3","3","","3","6","","59.9947777","2","29.31413717","","","18.7745514","7","3","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00183","","","","1","","","","","1","8","4","3","3","2","","","1","","","","5","1","","8","1","2.88","0.36","2.38","3.24","5.62","12","0.36","0.09","0.27","4","2.666666667","1.08","0.793333333","66.66666667","57.65124555","","32","36","26.44444444","","62.44444444"
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00184","","","","","","","","","","","","3","3","","","","","","","","","","","7","2","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00185","","","","","50.88","0","0.625901","8.9194851","","","","3","3","","4","6","","66.947731","3","27.67295597","","","18.6439209","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00186","","","","3","","","","","3","14","5","3","3","3","","","1","","","","3","3","","8","1","2.98","0.36","4.26","3.34","7.6","19","0.212857143","0.072","0.175789474","6.333333333","4.666666667","1.113333333","1.42","73.68421053","43.94736842","","33.11111111","37.11111111","47.33333333","","84.44444444"
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00187","","","","","","","","","","","","3","3","","","","","","","","","","","7","2","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00188","","","","","","","","","","","","3","3","","","","","","","","","","","7","1","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00189","","","","","50.88","0.429834","3.8988609","4.5954361","","","","2","3","","7","5","","56.1715469","2","26.04166667","","","20.5892944","7","2","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00019","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT02","","","","","","","","","GHP2018NYK-OT02-00190","","","","1","50.09","0.072676","1.427259","17.5231342","1","10","4","3","3","3","2","5","1","59.8274002","3","26.93152326","1","1","18.9932022","9","1","2.86","0.46","2.5","3.32","5.82","14","0.286","0.115","0.237142857","4.666666667","3.333333333","1.106666667","0.833333333","71.42857143","57.04467354","0.894126572","31.77777778","36.88888889","27.77777778","9.934739691","64.66666667"
