"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2016KMD-PT01","","","","","","","","","GHP2016KMD-PT01-00023","","","","5","7.6700153","2.341605902","0.870054007","19.42","48.76","1.303853989","2.22772789","3.581017017","69.16220093","2","7","20","10","10","10","9","3","3","39.82772765","5","5","15.9219532","5","4","5","1","0.6","1.6","1.6","3.2","27","0.142857143","0.03","0.059259259","2.7","2.7","0.7","0.7","0.16","0.16","0.16","0.16","25.92592593","50","100","0.637243642","3.333333333","3.333333333","5.333333333","5.333333333","5.333333333","5.333333333","2.124145474","2.124145474","10.66666667","10.66666667"
"","","GHP2016KMD-PT01","","","","","","","","","GHP2016KMD-PT01-00024","","","","4","5.5694046","2.204617023","1.009531975","18.71","48.77","1.012688041","2.205387115","4.549026012","70.55401611","2","2","","8","8","10","2","3","3","38.36374821","5","5","10.97638988","8","3","3","0.2","","16.4","","","","0.1","","","","","0.25","0.2","","","2.05","1.64","","","80","","0.666666667","0.833333333","","","54.66666667","68.33333333","","","",""
"","","GHP2016KMD-PT01","","","","","","","","","GHP2016KMD-PT01-00025","","","","4","0","2.141458035","1.00512898","18.9","48.94","0.930372","2.105643988","4.74487114","69.61773682","1","4","","3","2","10","2","3","4","38.6187168","5","5","10.12388039","3","5","7","0.6","","1","","","","0.15","","","","","2","0.4","","","0.5","0.1","","","20","","2","10","","","3.333333333","16.66666667","","","",""
"","","GHP2016KMD-PT01","","","","","","","","","GHP2016KMD-PT01-00026","","","","4","7.3900738","1.817605019","0.806038976","18.11","48.64","1.974266052","3.125010014","2.683355093","70.39917755","2","5","12","9","9","10","7","3","3","37.23273026","5","5","9.579213142","7","3","3","1.3","0.4","5.8","1.7","7.5","17","0.26","0.033333333","0.1","1.888888889","1.7","0.555555556","0.5","0.188888889","0.17","0.644444444","0.58","29.41176471","22.66666667","90","0.632956414","4.333333333","4.814814815","5.666666667","6.296296296","19.33333333","21.48148148","2.109854715","2.344283017","25","27.77777778"
"","","GHP2016KMD-PT01","","","","","","","","","GHP2016KMD-PT01-00027","","","","3","32.1716614","1.999858975","0.768679976","10.88","48.54","10.72184658","14.43658447","2.875232935","51.92240143","1","13","2","3","3","10","3","3","2","22.4145035","3","1","5.010569096","6","2","3","5.7","0.2","3","5.9","8.9","15","0.438461538","0.1","0.393333333","5","1.5","4.333333333","1.3","1.966666667","0.59","1","0.3","86.66666667","66.29213483","30","1.322455707","19","63.33333333","19.66666667","65.55555556","10","33.33333333","4.408185689","14.6939523","29.66666667","98.88888889"
"","","GHP2016KMD-PT01","","","","","","","","","GHP2016KMD-PT01-00028","","","","3","9.4681396","2.207016945","0.947848022","19.04","49.02","2.251539946","3.195310116","3.198853016","63.747509","2","3","4","10","9","10","5","3","2","38.84128927","5","5","14.72020721","6","3","3","0.7","0.2","6.2","0.9","7.1","7","0.233333333","0.05","0.128571429","0.777777778","0.7","0.333333333","0.3","0.1","0.09","0.688888889","0.62","42.85714286","12.67605634","90","0.349571603","2.333333333","2.592592593","3","3.333333333","20.66666667","22.96296296","1.165238678","1.294709642","23.66666667","26.2962963"
"","","GHP2016KMD-PT01","","","","","","","","","GHP2016KMD-PT01-00029","","","","3","0","1.665109992","0.832361996","20.38","48.83","2.04726696","2.543163061","1.837453961","70.83720398","1","18","19","10","10","10","10","2","2","41.73663731","3","5","13.009552","7","4","3","2.6","0.7","8","3.3","11.3","37","0.144444444","0.036842105","0.089189189","3.7","3.7","1.8","1.8","0.33","0.33","0.8","0.8","48.64864865","29.20353982","100","1.377309031","8.666666667","8.666666667","11","11","26.66666667","26.66666667","4.591030104","4.591030104","37.66666667","37.66666667"
"","","GHP2016KMD-PT01","","","","","","","","","GHP2016KMD-PT01-00003","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2016KMD-PT01","","","","","","","","","GHP2016KMD-PT01-00030","","","","3","32.6705399","3.092092991","1.423691988","12.6","48.28","5.077010155","7.650372982","5.034894943","48.33423996","3","10","14","7","5","10","5","3","3","26.09776305","3","5","23.13703346","6","3","3","2","0.6","3.8","2.6","6.4","24","0.2","0.042857143","0.108333333","4.8","2.4","2","1","0.52","0.26","0.76","0.38","41.66666667","40.625","50","0.678541839","6.666666667","13.33333333","8.666666667","17.33333333","12.66666667","25.33333333","2.261806131","4.523612262","21.33333333","42.66666667"
"","","GHP2016KMD-PT01","","","","","","","","","GHP2016KMD-PT01-00031","","","","3","0.5676117","1.722565055","0.772103012","15.81","48.29","1.699862003","2.767544985","2.029715061","70.18023682","1","14","35","10","9","10","8","2","3","32.73969766","5","5","12.32474041","7","5","4","3.8","2","15.8","5.8","21.6","49","0.271428571","0.057142857","0.118367347","5.444444444","4.9","1.555555556","1.4","0.644444444","0.58","1.755555556","1.58","28.57142857","26.85185185","90","1.898902464","12.66666667","14.07407407","19.33333333","21.48148148","52.66666667","58.51851852","6.329674881","7.03297209","72","80"
