"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00256","","","","0","0","3","2","3","0","7","2","2","0","0","3.24","0","3.24","0","","","","0","0","0","0","0","0","1.62","1.08","","0","66.66666667","0","0","0","0","36","54","36","54"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00257","","","","0","0","","0","3","0","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00258","","","","0","0","1","0","3","0","","5","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00259","","","","0","0","2","1","3","0","6","2","1","0","0","0.26","0","0.26","0","","","","0","0","0","0","0","0","0.26","0.086666667","","0","33.33333333","0","0","0","0","2.888888889","8.666666667","2.888888889","8.666666667"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00260","","","","0","0","3","2","3","0","8","2","2","0","0","3","0","3","0","","","","0","0","0","0","0","0","1.5","1","","0","66.66666667","0","0","0","0","33.33333333","50","33.33333333","50"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00261","","","","0","0","2","0","3","0","","7","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00262","","","","0","0","","0","3","0","8","","1","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00263","","","","0","4","3","2","3","2","6","1","1","0","0.2","4.38","0.2","4.58","4","","0.05","0.05","2","1.333333333","0","0","0.1","0.066666667","2.19","1.46","0","4.366812227","66.66666667","0","0","2.222222222","3.333333333","48.66666667","73","50.88888889","76.33333333"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00264","","","","0","0","3","2","3","0","6","1","1","0","0","2.14","0","2.14","0","","","","0","0","0","0","0","0","1.07","0.713333333","","0","66.66666667","0","0","0","0","23.77777778","35.66666667","23.77777778","35.66666667"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00265","","","","0","0","2","1","3","0","5","5","3","0","0","0.26","0","0.26","0","","","","0","0","0","0","0","0","0.26","0.086666667","","0","33.33333333","0","0","0","0","2.888888889","8.666666667","2.888888889","8.666666667"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00266","","","","0","5","2","2","3","2","5","5","5","0","0.22","1.24","0.22","1.46","5","","0.044","0.044","2.5","1.666666667","0","0","0.11","0.073333333","0.62","0.413333333","0","15.06849315","66.66666667","0","0","2.444444444","3.666666667","13.77777778","20.66666667","16.22222222","24.33333333"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00267","","","","3","2","3","2","3","2","5","1","1","0.3","0.12","4.12","0.42","4.54","5","0.1","0.06","0.084","2.5","1.666666667","1.5","1","0.21","0.14","2.06","1.373333333","60","9.251101322","66.66666667","3.333333333","5","4.666666667","7","45.77777778","68.66666667","50.44444444","75.66666667"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00268","","","","0","2","3","3","3","2","7","5","2","0","0.14","4.48","0.14","4.62","2","","0.07","0.07","0.666666667","0.666666667","0","0","0.046666667","0.046666667","1.493333333","1.493333333","0","3.03030303","100","0","0","1.555555556","1.555555556","49.77777778","49.77777778","51.33333333","51.33333333"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00269","","","","0","0","1","1","3","0","6","7","7","0","0","1.28","0","1.28","0","","","","0","0","0","0","0","0","1.28","0.426666667","","0","33.33333333","0","0","0","0","14.22222222","42.66666667","14.22222222","42.66666667"
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00270","","","","0","0","2","0","3","0","9","3","1","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2018NYK-ST02","","","","","","","","","GHP2018NYK-ST02-00271","","","","0","0","3","1","3","0","8","3","1","0","0","0.98","0","0.98","0","","","","0","0","0","0","0","0","0.98","0.326666667","","0","33.33333333","0","0","0","0","10.88888889","32.66666667","10.88888889","32.66666667"
