"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00052","","","","2","19.79","1","50.98","1","10","10","10","10","7","20","5","3","2","6","5","1","4","3","6","0.6","0.5","2.8","1.1","3.9","27","0.085714286","0.025","0.040740741","2.7","2.7","0.7","0.7","0.11","0.11","0.28","0.28","25.92592593","28.20512821","100","38.81914476","0.427010592","2","2","3.666666667","3.666666667","9.333333333","9.333333333","1.423368641","1.423368641","13","13"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00053","","","","2","","1","","1","10","8","6","3","5","7","1","1","1","5","5","1","4","4","6","1","0.1","3.4","1.1","4.5","12","0.2","0.014285714","0.091666667","2","1.2","0.833333333","0.5","0.183333333","0.11","0.566666667","0.34","41.66666667","24.44444444","60","","","3.333333333","5.555555556","3.666666667","6.111111111","11.33333333","18.88888889","","","15","25"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00054","","","","2","20.2","3","50.34","1","10","10","10","10","20","13","4","6","1","5","6","3","5","4","5","2.1","0.4","3","2.5","5.5","33","0.105","0.030769231","0.075757576","3.3","3.3","2","2","0.25","0.25","0.3","0.3","60.60606061","45.45454545","100","40.12713548","1.003178387","7","7","8.333333333","8.333333333","10","10","3.343927957","3.343927957","18.33333333","18.33333333"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00055","","","","","17","3","47.4","","10","4","","","","","6","6","","","","4","3","8","8","","","","","","","","","","","","","","","","","","","","","35.8649789","","","","","","","","","","",""
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00056","","","","2","","1","","1","10","10","10","10","20","10","1","6","2","6","4","1","5","4","5","1.7","0.3","1.7","2","3.7","30","0.085","0.03","0.066666667","3","3","2","2","0.2","0.2","0.17","0.17","66.66666667","54.05405405","100","","","5.666666667","5.666666667","6.666666667","6.666666667","5.666666667","5.666666667","","","12.33333333","12.33333333"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00057","","","","2","15.53","1","50.58","1","10","10","10","8","8","8","8","1","1","4","4","1","5","3","5","0.9","0.2","1.2","1.1","2.3","16","0.1125","0.025","0.06875","1.6","1.6","0.8","0.8","0.11","0.11","0.12","0.12","50","47.82608696","100","30.70383551","0.337742191","3","3","3.666666667","3.666666667","4","4","1.125807302","1.125807302","7.666666667","7.666666667"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00058","","","","3","24.03","1","50.69","1","10","10","10","10","11","15","4","6","1","4","3","1","5","3","6","0.9","0.5","1.4","1.4","2.8","26","0.081818182","0.033333333","0.053846154","2.6","2.6","1.1","1.1","0.14","0.14","0.14","0.14","42.30769231","50","100","47.40579996","0.663681199","3","3","4.666666667","4.666666667","4.666666667","4.666666667","2.212270665","2.212270665","9.333333333","9.333333333"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00059","","","","2","19.49","2","50.47","1","10","10","10","10","14","11","5","3","1","5","6","4","6","4","5","1.7","0.4","2.2","2.1","4.3","25","0.121428571","0.036363636","0.084","2.5","2.5","1.4","1.4","0.21","0.21","0.22","0.22","56","48.8372093","100","38.6170002","0.810957004","5.666666667","5.666666667","7","7","7.333333333","7.333333333","2.703190014","2.703190014","14.33333333","14.33333333"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00006","","","","1","17.9","3","50.6","1","10","10","10","10","20","8","5","3","1","6","6","2","7","4","4","3","0.4","6.5","3.4","9.9","28","0.15","0.05","0.121428571","2.8","2.8","2","2","0.34","0.34","0.65","0.65","71.42857143","34.34343434","100","35.37549407","1.202766798","10","10","11.33333333","11.33333333","21.66666667","21.66666667","4.009222661","4.009222661","33","33"
"","","GHP2015KMD-PT01","","","","","","","","","GHP2015KMD-PT01-00060","","","","1","18.89","1","50.52","1","10","10","9","9","11","4","5","6","1","4","4","1","5","4","6","1.2","0.2","1.2","1.4","2.6","15","0.109090909","0.05","0.093333333","1.666666667","1.5","1.222222222","1.1","0.155555556","0.14","0.133333333","0.12","73.33333333","53.84615385","90","37.39113222","0.523475851","4","4.444444444","4.666666667","5.185185185","4","4.444444444","1.744919504","1.938799449","8.666666667","9.62962963"
