"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00216","","","","5","2","4","5","4","1.52","0.18","0.5","1.7","2.2","7","0.304","0.09","0.242857143","1.75","1.4","1.25","1","0.425","0.34","0.125","0.1","71.42857143","77.27272727","80","10.13333333","12.66666667","11.33333333","14.16666667","3.333333333","4.166666667","14.66666667","18.33333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00217","","","","21","1","4","5","4","3.45","0.01","0.4","3.46","3.86","22","0.164285714","0.01","0.157272727","5.5","4.4","5.25","4.2","0.865","0.692","0.1","0.08","95.45454545","89.6373057","80","23","28.75","23.06666667","28.83333333","2.666666667","3.333333333","25.73333333","32.16666667"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00218","","","","18","0","5","5","5","3.94","0","0.4","3.94","4.34","18","0.218888889","","0.218888889","3.6","3.6","3.6","3.6","0.788","0.788","0.08","0.08","100","90.78341014","100","26.26666667","26.26666667","26.26666667","26.26666667","2.666666667","2.666666667","28.93333333","28.93333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00219","","","","6","3","5","5","4","2.42","0.14","3","2.56","5.56","9","0.403333333","0.046666667","0.284444444","1.8","1.8","1.2","1.2","0.512","0.512","0.6","0.6","66.66666667","46.04316547","100","16.13333333","16.13333333","17.06666667","17.06666667","20","20","37.06666667","37.06666667"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00220","","","","12","6","3","5","3","1.74","0.18","5","1.92","6.92","18","0.145","0.03","0.106666667","6","3.6","4","2.4","0.64","0.384","1.666666667","1","66.66666667","27.74566474","60","11.6","19.33333333","12.8","21.33333333","33.33333333","55.55555556","46.13333333","76.88888889"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00221","","","","4","4","3","5","3","0.89","0.12","1","1.01","2.01","8","0.2225","0.03","0.12625","2.666666667","1.6","1.333333333","0.8","0.336666667","0.202","0.333333333","0.2","50","50.24875622","60","5.933333333","9.888888889","6.733333333","11.22222222","6.666666667","11.11111111","13.4","22.33333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00222","","","","4","0","5","5","3","1.22","0","0.5","1.22","1.72","4","0.305","","0.305","0.8","0.8","0.8","0.8","0.244","0.244","0.1","0.1","100","70.93023256","100","8.133333333","8.133333333","8.133333333","8.133333333","3.333333333","3.333333333","11.46666667","11.46666667"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00223","","","","10","0","4","5","4","4.52","0","0.5","4.52","5.02","10","0.452","","0.452","2.5","2","2.5","2","1.13","0.904","0.125","0.1","100","90.03984064","80","30.13333333","37.66666667","30.13333333","37.66666667","3.333333333","4.166666667","33.46666667","41.83333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00224","","","","6","0","4","5","3","1.46","0","0.4","1.46","1.86","6","0.243333333","","0.243333333","1.5","1.2","1.5","1.2","0.365","0.292","0.1","0.08","100","78.49462366","80","9.733333333","12.16666667","9.733333333","12.16666667","2.666666667","3.333333333","12.4","15.5"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00225","","","","8","0","4","5","4","2.08","0","0.4","2.08","2.48","8","0.26","","0.26","2","1.6","2","1.6","0.52","0.416","0.1","0.08","100","83.87096774","80","13.86666667","17.33333333","13.86666667","17.33333333","2.666666667","3.333333333","16.53333333","20.66666667"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00226","","","","1","2","2","5","2","2","0.05","2","2.05","4.05","3","2","0.025","0.683333333","1.5","0.6","0.5","0.2","1.025","0.41","1","0.4","33.33333333","50.61728395","40","13.33333333","33.33333333","13.66666667","34.16666667","13.33333333","33.33333333","27","67.5"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00227","","","","8","3","5","5","5","4.82","0.06","1","4.88","5.88","11","0.6025","0.02","0.443636364","2.2","2.2","1.6","1.6","0.976","0.976","0.2","0.2","72.72727273","82.99319728","100","32.13333333","32.13333333","32.53333333","32.53333333","6.666666667","6.666666667","39.2","39.2"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00228","","","","4","3","5","5","3","0.72","0.12","2","0.84","2.84","7","0.18","0.04","0.12","1.4","1.4","0.8","0.8","0.168","0.168","0.4","0.4","57.14285714","29.57746479","100","4.8","4.8","5.6","5.6","13.33333333","13.33333333","18.93333333","18.93333333"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00229","","","","12","4","5","5","5","3.96","0.26","5","4.22","9.22","16","0.33","0.065","0.26375","3.2","3.2","2.4","2.4","0.844","0.844","1","1","75","45.77006508","100","26.4","26.4","28.13333333","28.13333333","33.33333333","33.33333333","61.46666667","61.46666667"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00230","","","","5","0","5","5","4","0.47","0","0.4","0.47","0.87","5","0.094","","0.094","1","1","1","1","0.094","0.094","0.08","0.08","100","54.02298851","100","3.133333333","3.133333333","3.133333333","3.133333333","2.666666667","2.666666667","5.8","5.8"
"","","GHP2018FMS-SN03","","","","","","","","","GHP2018FMS-SN03-00231","","","","14","14","5","5","5","3.96","0.62","5","4.58","9.58","28","0.282857143","0.044285714","0.163571429","5.6","5.6","2.8","2.8","0.916","0.916","1","1","50","47.80793319","100","26.4","26.4","30.53333333","30.53333333","33.33333333","33.33333333","63.86666667","63.86666667"
