"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00117","","","","","","","","4","4","10","4","","","","","","3","8","1","9","9","","","","","","","","","","","","","","","","","","","","40","","","","","","","","","","","",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00118","","","","","","7","14","","","10","","","","","","","","","","","","0.3","0.8","0","1.1","1.1","21","0.042857143","0.057142857","0.052380952","","2.1","","0.7","","0.11","","0","33.33333333","100","","","","1","","3.666666667","","0","","","","3.666666667",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00119","","","","","","0","0","0","0","10","0","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00012","","","","","","4","10","8","8","10","3","5","2","","","2","5","5","6","7","4","0.7","0.5","3.4","1.2","4.6","14","0.175","0.05","0.085714286","1.75","1.4","0.5","0.4","0.15","0.12","0.425","0.34","28.57142857","26.08695652","80","","","2.333333333","2.916666667","4","5","11.33333333","14.16666667","","","15.33333333","19.16666667"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00120","","","","","","","","8","8","10","","2","","","","","","","7","6","5","","","4","","","","","","","","","","","","","0.5","0.4","","","80","","","","","","","13.33333333","16.66666667","","","",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00121","","","","","","0","0","0","0","10","0","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00122","","","","","","0","0","0","0","10","0","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00123","","","","","","0","10","5","5","10","4","4","1","","","1","3","2","6","1","5","0","0.6","2.6","0.6","3.2","10","","0.06","0.06","2","1","0","0","0.12","0.06","0.52","0.26","0","18.75","50","","","0","0","2","4","8.666666667","17.33333333","","","10.66666667","21.33333333"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00124","","","","17.31","50.92","8","40","8","8","10","8","2","2","3","4","2","6","5","8","5","4","1.8","2.8","10.2","4.6","14.8","48","0.225","0.07","0.095833333","6","4.8","1","0.8","0.575","0.46","1.275","1.02","16.66666667","31.08108108","80","33.99450118","1.563747054","6","7.5","15.33333333","19.16666667","34","42.5","5.212490181","6.515612726","49.33333333","61.66666667"
"","","GHP2014OHW-PT01","","","","","","","","","GHP2014OHW-PT01-00125","","","","","","1","2","3","3","10","3","2","1","","","1","1","1","1","7","9","0.2","0.2","1","0.4","1.4","3","0.2","0.1","0.133333333","1","0.3","0.333333333","0.1","0.133333333","0.04","0.333333333","0.1","33.33333333","28.57142857","30","","","0.666666667","2.222222222","1.333333333","4.444444444","3.333333333","11.11111111","","","4.666666667","15.55555556"
