"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014FMS-AT04","","","","","","","","","GHP2014FMS-AT04-00019","","","","3","0.5455668","1.2933047","0.5462549","19.2","59.72","0.8977684","2.9110003","2","52","53","34","30","34","30","4","9","2.2778981","2","78.5410919","3","32.15003349","4","5","14.7931223","5","3","19.1","6.1","17","25.2","42.2","105","0.367307692","0.11509434","0.24","3.5","3.088235294","1.733333333","1.529411765","0.84","0.741176471","0.566666667","0.5","49.52380952","59.71563981","88.23529412","8.101808439","18.7254902","21.22222222","24.70588235","28","16.66666667","18.88888889","7.94294945","9.002009377","41.37254902","46.88888889"
"","","GHP2014FMS-AT04","","","","","","","","","GHP2014FMS-AT04-00002","","","","4","1.0717623","1.4810947","0.7296683","20","50.42","2.6085496","3.7439253","2","55","47","34","30","34","30","3","7","3.0168462","4","71.9167786","5","39.66679889","5","7","1.4227638","8","4","39.1","9","26.2","48.1","74.3","102","0.710909091","0.191489362","0.471568627","3.4","3","1.833333333","1.617647059","1.603333333","1.414705882","0.873333333","0.770588235","53.92156863","64.73755047","88.23529412","19.07973027","38.33333333","43.44444444","47.15686275","53.44444444","25.68627451","29.11111111","18.70561791","21.1997003","72.84313725","82.55555556"
"","","GHP2014FMS-AT04","","","","","","","","","GHP2014FMS-AT04-00020","","","","4","0","1.7258077","0.8685855","19.2","50.11","1.9019967","2.6208787","3","71","57","34","30","34","30","4","6","4.176764","3","69.9469604","3","38.31570545","5","7","2.5239677","8","1","38.4","6.1","39.8","44.5","84.3","128","0.54084507","0.107017544","0.34765625","4.266666667","3.764705882","2.366666667","2.088235294","1.483333333","1.308823529","1.326666667","1.170588235","55.46875","52.78766311","88.23529412","17.05048892","37.64705882","42.66666667","43.62745098","49.44444444","39.01960784","44.22222222","16.71616561","18.94498769","82.64705882","93.66666667"
"","","GHP2014FMS-AT04","","","","","","","","","GHP2014FMS-AT04-00021","","","","3","1.6850941","1.9812866","0.9013625","20.6","50.09","2.2289524","3.0257974","3","82","85","34","30","34","30","8","7","4.5448308","3","68.3690643","3","41.12597325","5","8","3.0549793","6","3","52.3","13.1","19","65.4","84.4","167","0.637804878","0.154117647","0.391616766","5.566666667","4.911764706","2.733333333","2.411764706","2.18","1.923529412","0.633333333","0.558823529","49.10179641","77.48815166","88.23529412","26.8963865","51.2745098","58.11111111","64.11764706","72.66666667","18.62745098","21.11111111","26.36900638","29.88487389","82.74509804","93.77777778"
"","","GHP2014FMS-AT04","","","","","","","","","GHP2014FMS-AT04-00022","","","","3","0","1.6940048","0.8007374","20.46","50.15","0.8550937","1.1042055","2","31","18","33","30","34","25","5","3","5.4595938","4","71.3993607","3","40.79760718","6","8","5.0785546","7","3","32.4","4.7","31.2","37.1","68.3","49","1.04516129","0.261111111","0.757142857","1.633333333","1.441176471","1.033333333","0.911764706","1.236666667","1.091176471","1.04","0.917647059","63.26530612","54.31918009","88.23529412","15.13591226","31.76470588","36","36.37254902","41.22222222","30.58823529","34.66666667","14.83912967","16.81768029","66.96078431","75.88888889"
"","","GHP2014FMS-AT04","","","","","","","","","GHP2014FMS-AT04-00023","","","","3","0","1.8618007","0.9301827","21.85","50.1","0.8723639","1.1531668","2","53","65","34","30","34","30","4","9","5.6972032","3","71.8554611","3","43.61277445","5","5","3.2843432","6","1","14.2","4.9","19.6","19.1","38.7","118","0.267924528","0.075384615","0.161864407","3.933333333","3.470588235","1.766666667","1.558823529","0.636666667","0.561764706","0.653333333","0.576470588","44.91525424","49.35400517","88.23529412","8.33003992","13.92156863","15.77777778","18.7254902","21.22222222","19.21568627","21.77777778","8.166705804","9.255599911","37.94117647","43"
"","","GHP2014FMS-AT04","","","","","","","","","GHP2014FMS-AT04-00024","","","","2","0","1.6123981","0.8146566","21.64","50.61","1.0944934","1.6723702","4","44","43","34","30","34","30","5","3","4.2328138","3","73.0705948","3","42.75834815","7","8","4.5975366","6","3","16.2","4","13.4","20.2","33.6","87","0.368181818","0.093023256","0.232183908","2.9","2.558823529","1.466666667","1.294117647","0.673333333","0.594117647","0.446666667","0.394117647","50.57471264","60.11904762","88.23529412","8.637186327","15.88235294","18","19.80392157","22.44444444","13.1372549","14.88888889","8.467829732","9.596873696","32.94117647","37.33333333"
"","","GHP2014FMS-AT04","","","","","","","","","GHP2014FMS-AT04-00025","","","","2","0","1.3721977","0.6828338","20.52","50.38","0","0.4913544","2","36","15","34","30","34","30","3","6","3.7267096","3","79.1148605","3","40.73044859","6","8","10.1017561","6","3","22.4","2.3","19.6","24.7","44.3","51","0.622222222","0.153333333","0.484313725","1.7","1.5","1.2","1.058823529","0.823333333","0.726470588","0.653333333","0.576470588","70.58823529","55.75620767","88.23529412","10.0604208","21.96078431","24.88888889","24.21568627","27.44444444","19.21568627","21.77777778","9.863157649","11.17824534","43.43137255","49.22222222"
"","","GHP2014FMS-AT04","","","","","","","","","GHP2014FMS-AT04-00026","","","","2","0","2.0929999","1.1656721","20.48","50.84","0.4292198","1.0456185","3","101","86","34","30","34","30","6","4","6.2828698","2","75.6536102","3","40.28324154","6","7","0","8","1","24.1","6.7","18.4","30.8","49.2","187","0.238613861","0.077906977","0.164705882","6.233333333","5.5","3.366666667","2.970588235","1.026666667","0.905882353","0.613333333","0.541176471","54.01069519","62.60162602","88.23529412","12.40723839","23.62745098","26.77777778","30.19607843","34.22222222","18.03921569","20.44444444","12.16395921","13.78582044","48.23529412","54.66666667"
"","","GHP2014FMS-AT04","","","","","","","","","GHP2014FMS-AT04-00027","","","","2","0","1.91066","0.8984569","20","50.31","0.980301","1.3299065","2","91","96","34","30","34","30","4","8","5.2113752","3","72.3709335","3","39.75352813","6","6","6.313653","7","1","23.1","7.5","16.6","30.6","47.2","187","0.253846154","0.078125","0.163636364","6.233333333","5.5","3.033333333","2.676470588","1.02","0.9","0.553333333","0.488235294","48.6631016","64.83050847","88.23529412","12.16457961","22.64705882","25.66666667","30","34","16.2745098","18.44444444","11.92605844","13.51619956","46.2745098","52.44444444"
