"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00017","","","","0","1.86202","1.27854","0.336711","1.5363899","30","30","17","16","5","7","6.441339","71.1542969","41.18234472","11.8591776","7","1","3","1.5","0.5","6.5","2","8.5","33","0.088235294","0.03125","0.060606061","1.1","0.566666667","0.066666667","0.216666667","51.51515152","23.52941176","0.823646894","1.666666667","2.222222222","7.222222222","0.915163216","9.444444444"
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00018","","","","0","1.901292","1.25141","0","1.240599","30","30","2","","4","3","4.8408031","70.0961304","40.03164557","11.0571365","8","3","3","0.5","","9.5","","","","0.25","","","","0.066666667","","0.316666667","","","","0.555555556","","10.55555556","",""
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00019","","","","18.6153717","2.2518771","1.255219","0.605893","1.191167","30","10","9","4","7","6","6.8970828","60.2130356","36.58341658","16.4692631","3","3","7","1","0.5","1.5","1.5","3","13","0.111111111","0.125","0.115384615","0.433333333","0.3","0.05","0.05","69.23076923","50","0.548751249","1.111111111","1.666666667","1.666666667","0.60972361","3.333333333"
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00002","","","","0","1.8013099","0.976114","1.413058","2.232327","30","28","6","4","2","7","5.1330342","70.8792877","44.29676651","11.744483","6","3","4","1","0.1","4.5","1.1","5.6","10","0.166666667","0.025","0.11","0.333333333","0.2","0.036666667","0.15","60","19.64285714","0.487264432","1.111111111","1.222222222","5","0.541404924","6.222222222"
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00020","","","","0","1.868656","1.222103","0.214151","0.988921","30","28","11","16","4","5","5.7149472","68.4173813","39.99208078","14.398447","8","3","3","1","0.5","10.5","1.5","12","27","0.090909091","0.03125","0.055555556","0.9","0.366666667","0.05","0.35","40.74074074","12.5","0.599881212","1.111111111","1.666666667","11.66666667","0.66653468","13.33333333"
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00021","","","","0","2.1798429","1.052938","0.53819","1.260955","30","30","33","46","3","6","4.708334","71.9433517","46.03616134","13.0600634","5","4","5","5","2","4.5","7","11.5","79","0.151515152","0.043478261","0.088607595","2.633333333","1.1","0.233333333","0.15","41.7721519","60.86956522","3.222531294","5.555555556","7.777777778","5","3.580590326","12.77777778"
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00022","","","","0","1.557771","1.131575","0.545838","1.371814","30","25","2","","4","4","3.546005","69.2209015","45.25750646","11.5383129","7","3","4","0.3","","14.5","","","","0.15","","","","0.066666667","","0.483333333","","","","0.333333333","","16.11111111","",""
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00023","","","","","","","","","30","30","12","6","","","","","","","7","3","3","3.5","0.5","5","4","9","18","0.291666667","0.083333333","0.222222222","0.6","0.4","0.133333333","0.166666667","66.66666667","44.44444444","","3.888888889","4.444444444","5.555555556","","10"
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00024","","","","20.1686745","2.4337101","1.5248719","1.010989","2.119494","30","26","6","9","8","5","5.9593091","60.8189507","31.89349112","15.1940174","5","4","6","0.5","0.1","2.5","0.6","3.1","15","0.083333333","0.011111111","0.04","0.5","0.2","0.02","0.083333333","40","19.35483871","0.191360947","0.555555556","0.666666667","2.777777778","0.212623274","3.444444444"
"","","GHP2017OHW-ST02","","","","","","","","","GHP2017OHW-ST02-00025","","","","0","1.755324","1.20541","0","0.432852","30","22","","3","2","7","4.6327291","71.3086243","43.93728914","12.7487421","7","5","4","","0.1","6.5","","","","","0.033333333","","","","","0.216666667","","","","","","7.222222222","",""
