"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014TON-PT01","","","","","","","","","GHP2014TON-PT01-00118","","","","","","0","0","10","10","10","0","","","","","","","2","8","8","0","0","5","0","5","0","","","","0","0","0","0","0","0","0.5","0.5","","0","100","","","0","0","0","0","16.66666667","16.66666667","","","16.66666667","16.66666667"
"","","GHP2014TON-PT01","","","","","","","","","GHP2014TON-PT01-00119","","","","","","2","6","3","3","10","3","","1","1","1","5","4","2","8","8","0.3","0.2","3","0.5","3.5","8","0.15","0.033333333","0.0625","2.666666667","0.8","0.666666667","0.2","0.166666667","0.05","1","0.3","25","14.28571429","30","","","1","3.333333333","1.666666667","5.555555556","10","33.33333333","","","11.66666667","38.88888889"
"","","GHP2014TON-PT01","","","","","","","","","GHP2014TON-PT01-00012","","","","","","0","10","10","10","10","1","","1","1","1","3","2","4","4","7","0","0.2","3.3","0.2","3.5","10","","0.02","0.02","1","1","0","0","0.02","0.02","0.33","0.33","0","5.714285714","100","","","0","0","0.666666667","0.666666667","11","11","","","11.66666667","11.66666667"
"","","GHP2014TON-PT01","","","","","","","","","GHP2014TON-PT01-00120","","","","","","4","21","7","7","10","6","","2","1","2","5","5","6","3","5","1.1","1.3","3.9","2.4","6.3","25","0.275","0.061904762","0.096","3.571428571","2.5","0.571428571","0.4","0.342857143","0.24","0.557142857","0.39","16","38.0952381","70","","","3.666666667","5.238095238","8","11.42857143","13","18.57142857","","","21","30"
"","","GHP2014TON-PT01","","","","","","","","","GHP2014TON-PT01-00121","","","","","","0","0","7","7","10","0","","","","","","","1","8","9","0","0","3.9","0","3.9","0","","","","0","0","0","0","0","0","0.557142857","0.39","","0","70","","","0","0","0","0","13","18.57142857","","","13","18.57142857"
"","","GHP2014TON-PT01","","","","","","","","","GHP2014TON-PT01-00122","","","","","","1","12","8","8","10","5","","1","1","1","2","2","5","1","5","0.2","0.5","3.1","0.7","3.8","13","0.2","0.041666667","0.053846154","1.625","1.3","0.125","0.1","0.0875","0.07","0.3875","0.31","7.692307692","18.42105263","80","","","0.666666667","0.833333333","2.333333333","2.916666667","10.33333333","12.91666667","","","12.66666667","15.83333333"
"","","GHP2014TON-PT01","","","","","","","","","GHP2014TON-PT01-00123","","","","","","0","4","10","10","10","1","","1","1","1","1","2","6","3","5","0","0.2","10.9","0.2","11.1","4","","0.05","0.05","0.4","0.4","0","0","0.02","0.02","1.09","1.09","0","1.801801802","100","","","0","0","0.666666667","0.666666667","36.33333333","36.33333333","","","37","37"
"","","GHP2014TON-PT01","","","","","","","","","GHP2014TON-PT01-00124","","","","","","0","2","9","9","10","1","","1","1","1","2","3","6","2","5","0","0.1","7.3","0.1","7.4","2","","0.05","0.05","0.222222222","0.2","0","0","0.011111111","0.01","0.811111111","0.73","0","1.351351351","90","","","0","0","0.333333333","0.37037037","24.33333333","27.03703704","","","24.66666667","27.40740741"
"","","GHP2014TON-PT01","","","","","","","","","GHP2014TON-PT01-00125","","","","","","4","24","10","10","10","8","","1","1","2","4","5","2","6","8","0.6","0.9","5.1","1.5","6.6","28","0.15","0.0375","0.053571429","2.8","2.8","0.4","0.4","0.15","0.15","0.51","0.51","14.28571429","22.72727273","100","","","2","2","5","5","17","17","","","22","22"
"","","GHP2014TON-PT01","","","","","","","","","GHP2014TON-PT01-00126","","","","","","0","0","7","7","10","0","","","","","","","1","8","9","0","0","2","0","2","0","","","","0","0","0","0","0","0","0.285714286","0.2","","0","70","","","0","0","0","0","6.666666667","9.523809524","","","6.666666667","9.523809524"
