"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00029","","","","2","1","34","18","10","10","14","10","2","6","6","4","7.1","0.7","8.4","7.8","16.2","52","0.208823529","0.038888889","0.15","5.2","3.714285714","3.4","2.428571429","0.78","0.557142857","0.84","0.6","65.38461538","48.14814815","71.42857143","16.9047619","23.66666667","18.57142857","26","20","28","38.57142857","54"
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00003","","","","2","1","9","9","9","5","14","5","1","4","6","3","2.2","0.4","2.3","2.6","4.9","18","0.244444444","0.044444444","0.144444444","3.6","1.285714286","1.8","0.642857143","0.52","0.185714286","0.46","0.164285714","50","53.06122449","35.71428571","5.238095238","14.66666667","6.19047619","17.33333333","5.476190476","15.33333333","11.66666667","32.66666667"
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00030","","","","2","1","1","11","13","7","14","4","1","4","3","4","0.2","0.4","6","0.6","6.6","12","0.2","0.036363636","0.05","1.714285714","0.857142857","0.142857143","0.071428571","0.085714286","0.042857143","0.857142857","0.428571429","8.333333333","9.090909091","50","0.476190476","0.952380952","1.428571429","2.857142857","14.28571429","28.57142857","15.71428571","31.42857143"
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00031","","","","3","1","13","15","14","6","14","6","1","5","9","6","3.3","0.7","1.8","4","5.8","28","0.253846154","0.046666667","0.142857143","4.666666667","2","2.166666667","0.928571429","0.666666667","0.285714286","0.3","0.128571429","46.42857143","68.96551724","42.85714286","7.857142857","18.33333333","9.523809524","22.22222222","4.285714286","10","13.80952381","32.22222222"
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00032","","","","","","0","0","0","0","14","0","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00033","","","","","","0","0","0","0","14","0","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00034","","","","","","0","0","0","0","14","0","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00035","","","","","","0","0","0","0","14","0","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00036","","","","2","1","11","5","14","8","14","8","1","4","6","5","5.3","0.7","4.7","6","10.7","16","0.481818182","0.14","0.375","2","1.142857143","1.375","0.785714286","0.75","0.428571429","0.5875","0.335714286","68.75","56.07476636","57.14285714","12.61904762","22.08333333","14.28571429","25","11.19047619","19.58333333","25.47619048","44.58333333"
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00037","","","","","","0","0","0","0","14","0","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00038","","","","","","0","0","0","0","14","0","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00039","","","","","","0","0","0","0","14","0","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00004","","","","3","1","20","19","14","10","14","10","2","4","7","6","5.1","1.3","6","6.4","12.4","39","0.255","0.068421053","0.164102564","3.9","2.785714286","2","1.428571429","0.64","0.457142857","0.6","0.428571429","51.28205128","51.61290323","71.42857143","12.14285714","17","15.23809524","21.33333333","14.28571429","20","29.52380952","41.33333333"
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00040","","","","","","0","0","0","0","14","0","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00041","","","","","","0","0","0","0","14","0","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00042","","","","","","0","0","0","0","14","0","","","","","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00005","","","","3","1","17","13","13","10","14","10","2","5","7","3","4","0.7","4.4","4.7","9.1","30","0.235294118","0.053846154","0.156666667","3","2.142857143","1.7","1.214285714","0.47","0.335714286","0.44","0.314285714","56.66666667","51.64835165","71.42857143","9.523809524","13.33333333","11.19047619","15.66666667","10.47619048","14.66666667","21.66666667","30.33333333"
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00006","","","","2","1","31","14","12","10","14","9","1","5","6","4","10.3","0.5","8","10.8","18.8","45","0.332258065","0.035714286","0.24","4.5","3.214285714","3.1","2.214285714","1.08","0.771428571","0.8","0.571428571","68.88888889","57.44680851","71.42857143","24.52380952","34.33333333","25.71428571","36","19.04761905","26.66666667","44.76190476","62.66666667"
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00007","","","","3","1","39","16","14","10","14","10","2","5","5","5","5.6","0.7","1.7","6.3","8","55","0.143589744","0.04375","0.114545455","5.5","3.928571429","3.9","2.785714286","0.63","0.45","0.17","0.121428571","70.90909091","78.75","71.42857143","13.33333333","18.66666667","15","21","4.047619048","5.666666667","19.04761905","26.66666667"
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00008","","","","1","1","15","10","13","8","14","8","2","5","6","3","3","0.5","3.4","3.5","6.9","25","0.2","0.05","0.14","3.125","1.785714286","1.875","1.071428571","0.4375","0.25","0.425","0.242857143","60","50.72463768","57.14285714","7.142857143","12.5","8.333333333","14.58333333","8.095238095","14.16666667","16.42857143","28.75"
"","","GHP2012TON-PT01","","","","","","","","","GHP2012TON-PT01-00009","","","","5","1","14","20","14","10","14","10","3","5","6","3","2.1","1.6","3.2","3.7","6.9","34","0.15","0.08","0.108823529","3.4","2.428571429","1.4","1","0.37","0.264285714","0.32","0.228571429","41.17647059","53.62318841","71.42857143","5","7","8.80952381","12.33333333","7.619047619","10.66666667","16.42857143","23"
