"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","VARIABLE_OF COMP:0000024 Virus symptoms estimating 1-9|month 1|before harvest"
"","","GHP2018NYK-AT04","","","","","","","","","GHP2018NYK-AT04-00019","","","","30","8.2569942","2.088973","0.813267","0.899208","5.339756","2.366673","7.473773","26.6094704","5","2","2.194382","55.5757523","64.4934769","30.81836327","16.5171356","9.3161764","7","2"
"","","GHP2018NYK-AT04","","","","","","","","","GHP2018NYK-AT04-00002","","","","30","0","1.9067841","0.966203","0.800461","0.70141","2.267756","2.772387","27.4107208","3","8","4.2350941","53.5662766","75.8455353","37.59728597","18.3619385","9.3644972","7","3"
"","","GHP2018NYK-AT04","","","","","","","","","GHP2018NYK-AT04-00020","","","","30","16.7483902","2.2071021","0.936111","0.467106","0.963411","2.0542979","2.615623","17.4276524","6","9","3.517529","59.4850693","71.8187714","35.32662325","14.9992828","12.204195","8","3"
"","","GHP2018NYK-AT04","","","","","","","","","GHP2018NYK-AT04-00021","","","","30","","","","","","","","","","","","","","","","","4","4"
"","","GHP2018NYK-AT04","","","","","","","","","GHP2018NYK-AT04-00022","","","","30","23.3062973","1.921877","0.839663","1.006941","1.689966","4.6478081","3.269531","16.5444965","6","7","3.1651061","48.3871689","67.3581238","33.89762995","23.234436","12.9380646","9","1"
"","","GHP2018NYK-AT04","","","","","","","","","GHP2018NYK-AT04-00023","","","","30","4.4346619","1.744588","0.722331","0.759794","3.8812799","2.011596","5.8582649","25.4821739","5","7","2.5262971","56.9955254","66.9717178","33.5911164","15.9114227","7.0745578","7","3"
"","","GHP2018NYK-AT04","","","","","","","","","GHP2018NYK-AT04-00024","","","","30","19.5528259","1.990077","0.937596","0.937517","4.0231519","4.4332528","6.3908129","23.1784725","7","4","2.823118","49.0601768","64.561554","31.93143313","19.9895096","7.5294542","5","5"
"","","GHP2018NYK-AT04","","","","","","","","","GHP2018NYK-AT04-00025","","","","30","0","1.573593","0.723927","1.570124","1.850844","2.4978819","3.5689111","18.616291","4","8","2.809269","58.2360229","74.3692093","42.28696867","14.0001068","9.8971624","7","3"
"","","GHP2018NYK-AT04","","","","","","","","","GHP2018NYK-AT04-00026","","","","30","7.0885887","2.158438","0.952487","0.158564","0.861145","2.0915329","2.3660419","17.5998859","6","9","4.4736419","59.3434868","72.0192871","36.88280785","15.2925339","10.9000034","7","3"
"","","GHP2018NYK-AT04","","","","","","","","","GHP2018NYK-AT04-00027","","","","30","8.1156597","2.1686139","0.935999","0.067022","3.103817","1.236872","5.092206","23.5194721","3","6","3.7130151","62.5892105","62.708519","33.93746266","14.5409317","14.5599623","6","1"
"","","GHP2018NYK-AT04","","","","","","","","","GHP2018NYK-AT04-00028","","","","30","32.8943291","2.425312","0.968462","0","0.890779","3.16763","2.3575749","18.1132584","9","9","2.8200381","59.2362137","69.2617493","36.36363636","8.5472946","17.0449047","6","3"
"","","GHP2018NYK-AT04","","","","","","","","","GHP2018NYK-AT04-00029","","","","30","18.0115318","2.020555","0.997739","1.0218509","2.7375031","3.8743751","4.7399302","20.9487343","6","4","3.037786","51.749855","66.5869217","32.66080703","18.9250565","8.6763639","5","3"
"","","GHP2018NYK-AT04","","","","","","","","","GHP2018NYK-AT04-00003","","","","30","1.6885529","2.2223539","1.005178","0","0.787283","1.200557","2.21683","20.8229065","5","7","4.1234469","61.3337669","71.6466904","35.42823156","14.0642166","9.4002304","7","4"
"","","GHP2018NYK-AT04","","","","","","","","","GHP2018NYK-AT04-00030","","","","30","8.0977612","1.880545","0.751151","0.858088","5.1182408","2.281184","7.402113","20.6417313","4","7","2.4467809","57.4282532","62.5450287","31.77570093","15.9166489","8.5205059","6","3"
"","","GHP2018NYK-AT04","","","","","","","","","GHP2018NYK-AT04-00031","","","","30","","","","","","","","","","","","","","","","","5","4"
"","","GHP2018NYK-AT04","","","","","","","","","GHP2018NYK-AT04-00032","","","","30","20.8636703","2.2139349","1.007058","0.657566","1.6631759","4.0477362","3.702286","19.4366379","6","7","4.1672778","50.4961853","68.4998932","34.6544513","20.5367203","11.3976498","8","2"
"","","GHP2018NYK-AT04","","","","","","","","","GHP2018NYK-AT04-00033","","","","30","","","","","","","","","","","","","","","","","7","1"
"","","GHP2018NYK-AT04","","","","","","","","","GHP2018NYK-AT04-00034","","","","30","30.7234535","2.463161","1.272011","1.4734941","2.874368","4.6653681","5.6438832","12.4647617","7","6","4.1146998","48.4433937","58.9462318","27.20110301","22.1738434","16.7052937","6","1"
"","","GHP2018NYK-AT04","","","","","","","","","GHP2018NYK-AT04-00035","","","","30","35.3752441","2.7127371","1.043056","0","0.26731","2.5594101","2.0522029","12.5725651","9","9","4.1490149","63.4020882","70.0332642","40.71043704","5.5664978","15.7061129","8","2"
"","","GHP2018NYK-AT04","","","","","","","","","GHP2018NYK-AT04-00036","","","","30","","2.096313","0.969884","0.257362","1.508342","2.237289","3.4993899","19.1339149","6","9","3.8700941","57.5903702","69.2400131","33.71428571","15.3633957","12.2463312","6","1"
"","","GHP2018NYK-AT04","","","","","","","","","GHP2018NYK-AT04-00004","","","","30","","","","","","","","","","","","","","","","","4","4"
"","","GHP2018NYK-AT04","","","","","","","","","GHP2018NYK-AT04-00005","","","","30","40.7614594","2.1437981","0.937835","0","0.121419","2.4607511","2.0157721","13.0050316","9","9","3.2793429","63.8592339","70.9952698","39.60690887","5.11731","16.2923336","8","2"
"","","GHP2018NYK-AT04","","","","","","","","","GHP2018NYK-AT04-00006","","","","30","11.5883179","2.113898","0.956253","0","1.54491","1.603619","3.483638","19.4285679","6","9","3.5360601","61.8422279","69.8414841","34.51715882","12.6459808","10.7568235","7","2"
"","","GHP2018NYK-AT04","","","","","","","","","GHP2018NYK-AT04-00007","","","","30","19.000843","1.959076","0.976007","0.965733","2.0241771","4.120255","3.784209","20.9854774","6","3","2.5479341","51.7447968","69.066185","32.00636943","18.3250504","8.8257198","5","5"
"","","GHP2018NYK-AT04","","","","","","","","","GHP2018NYK-AT04-00008","","","","30","4.9728088","1.892387","0.77341","0.130718","2.4681029","2.036329","4.0830698","24.7347298","3","6","2.425756","59.4142647","70.1591568","37.26621568","16.4521103","9.7141399","6","2"
"","","GHP2018NYK-AT04","","","","","","","","","GHP2018NYK-AT04-00009","","","","30","","","","","","","","","","","","","","","","","7","2"
