"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018NYK-ST01","","","","","","","","","GHP2018NYK-ST01-00028","","","","3","","","","","","1","11","35","30","27","30","","","","","3","","","","","","","","","","","","","","46","","","","1.703703704","1.533333333","0.407407407","0.366666667","","","","","23.91304348","","90","","","","","","","","","","",""
"","","GHP2018NYK-ST01","","","","","","","","","GHP2018NYK-ST01-00029","","","","1","","","","","","1","0","6","15","7","30","3","","","","1","","","9","9","","7","3","1","0","0.1","0.24","0.1","0.34","6","","0.016666667","0.016666667","0.857142857","0.2","0","0","0.014285714","0.003333333","0.034285714","0.008","0","29.41176471","23.33333333","","0","0","0.111111111","0.476190476","0.266666667","1.142857143","","","0.377777778","1.619047619"
"","","GHP2018NYK-ST01","","","","","","","","","GHP2018NYK-ST01-00003","","","","5","28.6579628","2.0063951","0.948182","6.1679468","8.5247536","1","27","54","30","28","30","27","7","5","3.449265","3","54.2902374","27.71782574","1","3","14.5257483","6","1","2","3.4","1.56","3.16","4.96","8.12","81","0.125925926","0.028888889","0.061234568","2.892857143","2.7","0.964285714","0.9","0.177142857","0.165333333","0.112857143","0.105333333","33.33333333","61.08374384","93.33333333","1.374804157","3.777777778","4.047619048","5.511111111","5.904761905","3.511111111","3.761904762","1.527560174","1.636671615","9.022222222","9.666666667"
"","","GHP2018NYK-ST01","","","","","","","","","GHP2018NYK-ST01-00030","","","","3","22.9852791","2.3473439","1.301652","2.8170891","5.1337619","1","17","18","28","18","30","12","6","5","4.251287","2","55.213604","28.0364573","2","4","19.4515495","6","1","1","1.5","0.7","2.1","2.2","4.3","35","0.088235294","0.038888889","0.062857143","1.944444444","1.166666667","0.944444444","0.566666667","0.122222222","0.073333333","0.116666667","0.07","48.57142857","51.1627907","60","0.616802061","1.666666667","2.777777778","2.444444444","4.074074074","2.333333333","3.888888889","0.685335623","1.142226038","4.777777778","7.962962963"
"","","GHP2018NYK-ST01","","","","","","","","","GHP2018NYK-ST01-00031","","","","3","0","1.701769","0.941163","1.406974","2.650069","1","9","14","26","19","30","13","3","8","3.8837149","2","68.7178192","36.43410853","2","5","12.7193651","7","3","1","0.72","0.64","1.68","1.36","3.04","23","0.08","0.045714286","0.059130435","1.210526316","0.766666667","0.473684211","0.3","0.071578947","0.045333333","0.088421053","0.056","39.13043478","44.73684211","63.33333333","0.495503876","0.8","1.263157895","1.511111111","2.385964912","1.866666667","2.947368421","0.550559862","0.869305046","3.377777778","5.333333333"
"","","GHP2018NYK-ST01","","","","","","","","","GHP2018NYK-ST01-00032","","","","5","0","1.5135421","0.872956","1.4456559","2.8150461","1","3","6","15","8","30","7","3","8","3.3507249","1","69.0509796","37.33785672","3","5","12.2900667","7","1","1","0.24","0.28","0.44","0.52","0.96","9","0.08","0.046666667","0.057777778","1.125","0.3","0.375","0.1","0.065","0.017333333","0.055","0.014666667","33.33333333","54.16666667","26.66666667","0.194156855","0.266666667","1","0.577777778","2.166666667","0.488888889","1.833333333","0.215729839","0.808986896","1.066666667","4"
"","","GHP2018NYK-ST01","","","","","","","","","GHP2018NYK-ST01-00033","","","","2","0","1.568723","0.835989","1.092832","1.8005511","1","14","26","28","23","30","14","4","4","3.708504","1","72.6398468","41.41732283","3","5","10.5841799","7","2","1","1.02","0.76","0.78","1.78","2.56","40","0.072857143","0.029230769","0.0445","1.739130435","1.333333333","0.608695652","0.466666667","0.077391304","0.059333333","0.033913043","0.026","35","69.53125","76.66666667","0.737228346","1.133333333","1.47826087","1.977777778","2.579710145","0.866666667","1.130434783","0.819142607","1.068446879","2.844444444","3.710144928"
"","","GHP2018NYK-ST01","","","","","","","","","GHP2018NYK-ST01-00034","","","","3","","","","","","1","2","5","15","15","30","5","","","","1","","","3","5","","8","1","1","0.26","0.28","0.76","0.54","1.3","7","0.13","0.056","0.077142857","0.466666667","0.233333333","0.133333333","0.066666667","0.036","0.018","0.050666667","0.025333333","28.57142857","41.53846154","50","","0.288888889","0.577777778","0.6","1.2","0.844444444","1.688888889","","","1.444444444","2.888888889"
"","","GHP2018NYK-ST01","","","","","","","","","GHP2018NYK-ST01-00035","","","","1","","","","","","1","1","0","15","14","30","1","","","","1","","","5","7","","7","2","1","0.16","0","0.28","0.16","0.44","1","0.16","","0.16","0.071428571","0.033333333","0.071428571","0.033333333","0.011428571","0.005333333","0.02","0.009333333","100","36.36363636","46.66666667","","0.177777778","0.380952381","0.177777778","0.380952381","0.311111111","0.666666667","","","0.488888889","1.047619048"
"","","GHP2018NYK-ST01","","","","","","","","","GHP2018NYK-ST01-00036","","","","1","","","","","","1","0","1","13","4","15","1","","","","1","","","7","9","","7","3","1","0","0.12","0.46","0.12","0.58","1","","0.12","0.12","0.25","0.066666667","0","0","0.03","0.008","0.115","0.030666667","0","20.68965517","26.66666667","","0","0","0.266666667","1","1.022222222","3.833333333","","","1.288888889","4.833333333"
