"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00028","","","","","","","","","3","3","10","10","10","10","3","22","","","","3","","","3","7","","7","3","3","0.5","0.9","1.4","1.4","2.8","25","0.166666667","0.040909091","0.056","2.5","2.5","0.3","0.3","0.14","0.14","0.14","0.14","12","50","100","","1.666666667","1.666666667","4.666666667","4.666666667","4.666666667","4.666666667","","","9.333333333","9.333333333"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00029","","","","0","1.220619","0.678566","0.829984","1.64484","1","1","10","8","10","8","12","26","3","4","2.099129","1","73.0454559","39.42057942","3","3","16.2278595","1","1","7","2.6","1.2","2.3","3.8","6.1","38","0.216666667","0.046153846","0.1","4.75","3.8","1.5","1.2","0.475","0.38","0.2875","0.23","31.57894737","62.29508197","80","1.497982018","8.666666667","10.83333333","12.66666667","15.83333333","7.666666667","9.583333333","4.993273393","6.241591742","20.33333333","25.41666667"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00003","","","","","","","","","3","3","10","9","10","8","12","12","3","","","3","","","3","5","","8","1","1","2.4","0.6","2.4","3","5.4","24","0.2","0.05","0.125","2.666666667","2.4","1.333333333","1.2","0.333333333","0.3","0.266666667","0.24","50","55.55555556","90","","8","8.888888889","10","11.11111111","8","8.888888889","","","18","20"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00030","","","","0","1.483923","0.665769","0.933228","1.518241","3","1","10","10","10","10","18","12","3","7","2.08601","3","74.4505539","41.52290303","5","3","15.7594299","7","1","1","4.4","0.9","1.7","5.3","7","30","0.244444444","0.075","0.176666667","3","3","1.8","1.8","0.53","0.53","0.17","0.17","60","75.71428571","100","2.200713861","14.66666667","14.66666667","17.66666667","17.66666667","5.666666667","5.666666667","7.335712869","7.335712869","23.33333333","23.33333333"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00031","","","","22.8957901","1.930634","0.868832","2.5854311","3.9369459","1","1","10","7","10","7","10","12","8","8","2.749392","3","61.6442146","32.63614838","3","3","18.8427696","6","1","1","2.3","0.9","1","3.2","4.2","22","0.23","0.075","0.145454545","3.142857143","2.2","1.428571429","1","0.457142857","0.32","0.142857143","0.1","45.45454545","76.19047619","70","1.044356748","7.666666667","10.95238095","10.66666667","15.23809524","3.333333333","4.761904762","3.481189161","4.973127372","14","20"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00032","","","","25.4722786","1.622385","0.874458","1.875724","2.929574","3","1","10","7","10","7","12","15","7","5","2.7949009","3","58.4395828","28.26869252","1","3","25.9680481","7","1","1","2.9","0.7","0.9","3.6","4.5","27","0.241666667","0.046666667","0.133333333","3.857142857","2.7","1.714285714","1.2","0.514285714","0.36","0.128571429","0.09","44.44444444","80","70","1.017672931","9.666666667","13.80952381","12","17.14285714","3","4.285714286","3.392243102","4.846061575","15","21.42857143"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00033","","","","","","","","","1","1","10","8","10","8","1","18","","","","1","","","1","7","","6","2","1","0.2","0.6","0.5","0.8","1.3","19","0.2","0.033333333","0.042105263","2.375","1.9","0.125","0.1","0.1","0.08","0.0625","0.05","5.263157895","61.53846154","80","","0.666666667","0.833333333","2.666666667","3.333333333","1.666666667","2.083333333","","","4.333333333","5.416666667"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00034","","","","","","","","","1","3","10","8","10","8","1","13","","","","3","","","1","7","","6","4","6","0.1","0.5","0.9","0.6","1.5","14","0.1","0.038461538","0.042857143","1.75","1.4","0.125","0.1","0.075","0.06","0.1125","0.09","7.142857143","40","80","","0.333333333","0.416666667","2","2.5","3","3.75","","","5","6.25"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00035","","","","20.3541908","1.861972","1.019708","1.6089261","3.0374739","3","1","10","9","10","9","11","16","6","5","3.075089","3","56.5028572","28.30525273","3","5","27.226902","7","1","1","1.7","0.6","1","2.3","3.3","27","0.154545455","0.0375","0.085185185","3","2.7","1.222222222","1.1","0.255555556","0.23","0.111111111","0.1","40.74074074","69.6969697","90","0.651020813","5.666666667","6.296296296","7.666666667","8.518518519","3.333333333","3.703703704","2.170069376","2.411188196","11","12.22222222"
"","","GHP2017BWK-PT01","","","","","","","","","GHP2017BWK-PT01-00036","","","","20.0434952","1.52882","0.77821","0.671034","1.26041","3","1","10","9","10","8","13","19","6","7","2.6153369","3","64.9001541","35.50810597","1","5","22.9563828","7","1","1","2.2","0.7","0.9","2.9","3.8","32","0.169230769","0.036842105","0.090625","3.555555556","3.2","1.444444444","1.3","0.322222222","0.29","0.1","0.09","40.625","76.31578947","90","1.029735073","7.333333333","8.148148148","9.666666667","10.74074074","3","3.333333333","3.432450244","3.813833604","12.66666667","14.07407407"
