"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Dry weight of vines samples measuring g|CO_331:0000255","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015PKS-AT01","","","","","","","","","GHP2015PKS-AT01-00019","","","","3","2.303757906","1.551390052","15.89","0.013","3","50.19","2.523175001","4.140367985","2","5","77","30","27","30","13","7.589271069","3","61.28916931","3","31.65969317","4","5","5","6.303679943","6","3","4","0.6","2.3","13","2.9","15.9","82","0.12","0.02987013","0.035365854","3.037037037","2.733333333","0.185185185","0.166666667","0.107407407","0.096666667","0.481481481","0.433333333","6.097560976","18.23899371","90","0.918131102","0.666666667","0.740740741","3.222222222","3.580246914","14.44444444","16.04938272","1.020145669","1.133495187","17.66666667","19.62962963"
"","","GHP2015PKS-AT01","","","","","","","","","GHP2015PKS-AT01-00002","","","","","","","","","","","","","","0","0","26","21","30","0","","","","","","","","","","5","1","4","0","0","21.6","0","21.6","0","","","","0","0","0","0","0","0","1.028571429","0.72","","0","70","","0","0","0","0","24","34.28571429","","","24","34.28571429"
"","","GHP2015PKS-AT01","","","","","","","","","GHP2015PKS-AT01-00020","","","","3","1.900913954","1.264040947","15.45","0.0222","4","50.66","2.597074032","3.911149979","1","10","22","30","27","30","8","4.601470947","2","61.6958313","","30.49743387","5","5","4","8.281347275","6","1","3","1","0.8","22.2","1.8","24","32","0.1","0.036363636","0.05625","1.185185185","1.066666667","0.37037037","0.333333333","0.066666667","0.06","0.822222222","0.74","31.25","7.5","90","0.54895381","1.111111111","1.234567901","2","2.222222222","24.66666667","27.40740741","0.609948677","0.677720753","26.66666667","29.62962963"
"","","GHP2015PKS-AT01","","","","","","","","","GHP2015PKS-AT01-00021","","","","4","2.388806105","1.481987","14.89","0.0058","2","50.7","1.859173059","3.40585494","3","10","80","30","29","30","26","7.469872952","4","55.6628418","2","29.36883629","5","4","3","10.40453053","4","3","4","1.1","2.2","5.8","3.3","9.1","90","0.11","0.0275","0.036666667","3.103448276","3","0.344827586","0.333333333","0.113793103","0.11","0.2","0.193333333","11.11111111","36.26373626","96.66666667","0.969171598","1.222222222","1.264367816","3.666666667","3.793103448","6.444444444","6.666666667","1.076857331","1.113990342","10.11111111","10.45977011"
"","","GHP2015PKS-AT01","","","","","","","","","GHP2015PKS-AT01-00003","","","","3","2.313719988","1.321758032","17.72","0.0075","3","50.25","1.514593005","3.005660057","2","9","23","10","10","30","8","8.025035858","5","59.68566132","3","35.26368159","5","4","3","8.835674286","4","3","5","1.2","1.1","7.5","2.3","9.8","32","0.133333333","0.047826087","0.071875","3.2","1.066666667","0.9","0.3","0.23","0.076666667","0.75","0.25","28.125","23.46938776","33.33333333","0.811064677","1.333333333","4","2.555555556","7.666666667","8.333333333","25","0.901182974","2.703548922","10.88888889","32.66666667"
"","","GHP2015PKS-AT01","","","","","","","","","GHP2015PKS-AT01-00004","","","","3","3.306032896","2.10542798","10.63","0.0118","4","50.1","5.40637207","8.757707596","2","20","40","27","24","30","24","8.689530373","5","39.7153511","3","21.21756487","5","6","4","15.83844757","5","4","4","2.8","3.3","11.8","6.1","17.9","60","0.14","0.0825","0.101666667","2.5","2","0.833333333","0.666666667","0.254166667","0.203333333","0.491666667","0.393333333","33.33333333","34.07821229","80","1.294271457","3.111111111","3.888888889","6.777777778","8.472222222","13.11111111","16.38888889","1.438079397","1.797599246","19.88888889","24.86111111"
"","","GHP2015PKS-AT01","","","","","","","","","GHP2015PKS-AT01-00005","","","","4","2.764215946","1.774230003","14.12","0.008","2","50.83","1.683974981","2.889801979","2","24","80","30","30","30","28","8.709328651","5","52.14788055","2","27.77887075","5","5","3","11.94621658","6","3","4","3.8","3","8","6.8","14.8","104","0.158333333","0.0375","0.065384615","3.466666667","3.466666667","0.8","0.8","0.226666667","0.226666667","0.266666667","0.266666667","23.07692308","45.94594595","100","1.888963211","4.222222222","4.222222222","7.555555556","7.555555556","8.888888889","8.888888889","2.098848012","2.098848012","16.44444444","16.44444444"
"","","GHP2015PKS-AT01","","","","","","","","","GHP2015PKS-AT01-00006","","","","3","2.297679901","1.479102969","17.19","0.0092","3","50.79","2.475053072","4.288253784","3","8","25","29","28","30","24","7.007752895","4","63.15696716","3","33.84524513","5","3","5","5.362411022","5","3","4","1.12","2.4","9.2","3.52","12.72","33","0.14","0.096","0.106666667","1.178571429","1.1","0.285714286","0.266666667","0.125714286","0.117333333","0.328571429","0.306666667","24.24242424","27.67295597","93.33333333","1.191352628","1.244444444","1.333333333","3.911111111","4.19047619","10.22222222","10.95238095","1.323725143","1.418276939","14.13333333","15.14285714"
"","","GHP2015PKS-AT01","","","","","","","","","GHP2015PKS-AT01-00007","","","","","","","","","","","","","","0","0","30","28","30","0","","","","","","","","","","5","4","4","0","0","13.5","0","13.5","0","","","","0","0","0","0","0","0","0.482142857","0.45","","0","93.33333333","","0","0","0","0","15","16.07142857","","","15","16.07142857"
"","","GHP2015PKS-AT01","","","","","","","","","GHP2015PKS-AT01-00008","","","","3","3.188879967","2.006836891","11.63","0.0034","4","50.61","5.05117321","8.227899551","1","3","60","26","25","30","23","8.392960548","5","43.4040451","3","22.97964829","4","2","4","12.26305008","3","3","5","0.4","1.6","3.4","2","5.4","63","0.133333333","0.026666667","0.031746032","2.52","2.1","0.12","0.1","0.08","0.066666667","0.136","0.113333333","4.761904762","37.03703704","83.33333333","0.459592966","0.444444444","0.533333333","2.222222222","2.666666667","3.777777778","4.533333333","0.510658851","0.612790621","6","7.2"
"","","GHP2015PKS-AT01","","","","","","","","","GHP2015PKS-AT01-00009","","","","","","","","0.011","","","","","","0","0","30","28","30","0","","","","","","","","","","5","3","5","0","0","11","0","11","0","","","","0","0","0","0","0","0","0.392857143","0.366666667","","0","93.33333333","","0","0","0","0","12.22222222","13.0952381","","","12.22222222","13.0952381"
