"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00038","","","","1","1","3","4","10","14","3","1","4","4","0.6","0.2","18.6","0.8","19.4","7","0.2","0.05","0.114285714","0.7","0.5","0.3","0.214285714","0.08","0.057142857","1.86","1.328571429","42.85714286","4.12371134","71.42857143","1.428571429","2","1.904761905","2.666666667","44.28571429","62","46.19047619","64.66666667"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00039","","","","1","2","9","7","5","14","4","2","5","5","2.7","0.8","13.7","3.5","17.2","16","0.3","0.114285714","0.21875","3.2","1.142857143","1.8","0.642857143","0.7","0.25","2.74","0.978571429","56.25","20.34883721","35.71428571","6.428571429","18","8.333333333","23.33333333","32.61904762","91.33333333","40.95238095","114.6666667"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00004","","","","1","1","14","6","10","14","7","1","4","6","3.5","0.5","8.5","4","12.5","20","0.25","0.083333333","0.2","2","1.428571429","1.4","1","0.4","0.285714286","0.85","0.607142857","70","32","71.42857143","8.333333333","11.66666667","9.523809524","13.33333333","20.23809524","28.33333333","29.76190476","41.66666667"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00040","","","","1","1","9","11","5","14","5","1","5","5","1.9","0.6","12","2.5","14.5","20","0.211111111","0.054545455","0.125","4","1.428571429","1.8","0.642857143","0.5","0.178571429","2.4","0.857142857","45","17.24137931","35.71428571","4.523809524","12.66666667","5.952380952","16.66666667","28.57142857","80","34.52380952","96.66666667"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00041","","","","1","1","0","3","8","14","1","1","2","2","0","0.3","10","0.3","10.3","3","","0.1","0.1","0.375","0.214285714","0","0","0.0375","0.021428571","1.25","0.714285714","0","2.912621359","57.14285714","0","0","0.714285714","1.25","23.80952381","41.66666667","24.52380952","42.91666667"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00042","","","","1","1","9","9","8","14","8","1","5","5","2.6","0.6","6.4","3.2","9.6","18","0.288888889","0.066666667","0.177777778","2.25","1.285714286","1.125","0.642857143","0.4","0.228571429","0.8","0.457142857","50","33.33333333","57.14285714","6.19047619","10.83333333","7.619047619","13.33333333","15.23809524","26.66666667","22.85714286","40"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00043","","","","4","3","27","23","10","14","10","4","5","7","6.4","2.2","2.5","8.6","11.1","50","0.237037037","0.095652174","0.172","5","3.571428571","2.7","1.928571429","0.86","0.614285714","0.25","0.178571429","54","77.47747748","71.42857143","15.23809524","21.33333333","20.47619048","28.66666667","5.952380952","8.333333333","26.42857143","37"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00044","","","","1","1","20","20","10","14","10","3","4","5","3.6","1.5","4","5.1","9.1","40","0.18","0.075","0.1275","4","2.857142857","2","1.428571429","0.51","0.364285714","0.4","0.285714286","50","56.04395604","71.42857143","8.571428571","12","12.14285714","17","9.523809524","13.33333333","21.66666667","30.33333333"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00045","","","","1","1","20","13","10","14","10","2","5","6","4.5","1.2","6.5","5.7","12.2","33","0.225","0.092307692","0.172727273","3.3","2.357142857","2","1.428571429","0.57","0.407142857","0.65","0.464285714","60.60606061","46.72131148","71.42857143","10.71428571","15","13.57142857","19","15.47619048","21.66666667","29.04761905","40.66666667"
"","","GHP2013KMD-PT03","","","","","","","","","GHP2013KMD-PT03-00046","","","","1","1","3","8","10","14","6","1","3","4","0.4","0.6","14","1","15","11","0.133333333","0.075","0.090909091","1.1","0.785714286","0.3","0.214285714","0.1","0.071428571","1.4","1","27.27272727","6.666666667","71.42857143","0.952380952","1.333333333","2.380952381","3.333333333","33.33333333","46.66666667","35.71428571","50"
