"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00117","","","","1","14.65","50.76","1.187616","3.0521569","3","10","17","10","14","10","8","1","64.123085","6","4","9","3","1.4","2.7","4.4","7.1","27","0.3","0.082352941","0.162962963","2.7","1.928571429","1","0.714285714","0.44","0.314285714","0.27","0.192857143","37.03703704","61.97183099","71.42857143","28.86130812","1.269897557","7.142857143","10","10.47619048","14.66666667","6.428571429","9","3.023565612","4.232991857","16.9047619","23.66666667"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00118","","","","1","","","","","3","9","13","8","14","8","","1","","5","8","5","2.2","2.9","6.6","5.1","11.7","22","0.244444444","0.223076923","0.231818182","2.75","1.571428571","1.125","0.642857143","0.6375","0.364285714","0.825","0.471428571","40.90909091","43.58974359","57.14285714","","","5.238095238","9.166666667","12.14285714","21.25","15.71428571","27.5","","","27.85714286","48.75"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00119","","","","1","15.33","50.62","3.330513","5.918294","2","11","24","10","14","10","6","3","64.1797333","8","7","5","2.6","6.7","8.1","9.3","17.4","35","0.236363636","0.279166667","0.265714286","3.5","2.5","1.1","0.785714286","0.93","0.664285714","0.81","0.578571429","31.42857143","53.44827586","71.42857143","30.28447254","2.816455946","6.19047619","8.666666667","22.14285714","31","19.28571429","27","6.705847491","9.388186488","41.42857143","58"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00012","","","","2","18","50.9","4.5879221","7.1352272","3","16","23","10","14","10","4","1","67.0466461","4","7","3","4.4","5.1","13.2","9.5","22.7","39","0.275","0.22173913","0.243589744","3.9","2.785714286","1.6","1.142857143","0.95","0.678571429","1.32","0.942857143","41.02564103","41.85022026","71.42857143","35.36345776","3.359528487","10.47619048","14.66666667","22.61904762","31.66666667","31.42857143","44","7.998877351","11.19842829","54.04761905","75.66666667"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00120","","","","1","","","","","1","7","18","9","14","9","","1","","3","7","5","2.5","1.8","3.4","4.3","7.7","25","0.357142857","0.1","0.172","2.777777778","1.785714286","0.777777778","0.5","0.477777778","0.307142857","0.377777778","0.242857143","28","55.84415584","64.28571429","","","5.952380952","9.259259259","10.23809524","15.92592593","8.095238095","12.59259259","","","18.33333333","28.51851852"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00121","","","","1","","","","","1","4","14","10","14","10","","1","","3","4","9","0.8","1.2","3.5","2","5.5","18","0.2","0.085714286","0.111111111","1.8","1.285714286","0.4","0.285714286","0.2","0.142857143","0.35","0.25","22.22222222","36.36363636","71.42857143","","","1.904761905","2.666666667","4.761904762","6.666666667","8.333333333","11.66666667","","","13.0952381","18.33333333"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00122","","","","1","19.97","50.5","1.034534","2.2085149","1","1","29","10","14","10","4","1","71.5914612","4","8","4","0.5","1.5","22.6","2","24.6","30","0.5","0.051724138","0.066666667","3","2.142857143","0.1","0.071428571","0.2","0.142857143","2.26","1.614285714","3.333333333","8.130081301","71.42857143","39.54455446","0.790891089","1.19047619","1.666666667","4.761904762","6.666666667","53.80952381","75.33333333","1.883074022","2.63630363","58.57142857","82"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00123","","","","1","","","","","1","0","8","5","14","4","","1","","2","1","9","0","0.4","0.1","0.4","0.5","8","","0.05","0.05","1.6","0.571428571","0","0","0.08","0.028571429","0.02","0.007142857","0","80","35.71428571","","","0","0","0.952380952","2.666666667","0.238095238","0.666666667","","","1.19047619","3.333333333"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00124","","","","1","19.75","50.49","0.432756","1.87124","1","22","12","9","14","9","4","1","71.2139053","5","9","3","6.7","1.7","21.9","8.4","30.3","34","0.304545455","0.141666667","0.247058824","3.777777778","2.428571429","2.444444444","1.571428571","0.933333333","0.6","2.433333333","1.564285714","64.70588235","27.72277228","64.28571429","39.11665676","3.285799168","15.95238095","24.81481481","20","31.11111111","52.14285714","81.11111111","7.823331353","12.16962655","72.14285714","112.2222222"
"","","GHP2013FMS-PT01","","","","","","","","","GHP2013FMS-PT01-00125","","","","1","","","","","1","9","9","10","14","9","","1","","6","7","4","5.4","2.4","2.1","7.8","9.9","18","0.6","0.266666667","0.433333333","1.8","1.285714286","0.9","0.642857143","0.78","0.557142857","0.21","0.15","50","78.78787879","71.42857143","","","12.85714286","18","18.57142857","26","5","7","","","23.57142857","33"
