"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Harvest index computing percent|CO_331:0000302","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Storage root size estimating 1-9|CO_331:0000184","Commercial storage root yield tons per ha|CO_331:0000809","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Survival index computing percent|CO_331:0000301","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018NYK-AT03","","","","","","","","","GHP2018NYK-AT03-00028","","","","1","18.77777778","12.2","0.961088","2.434499","35.0295858","22.1217251","1","13","18","19","30","17","9","1","56.8009033","29.49372057","5","41.93548387","3","4.977777778","15.8195877","63.33333333","31","1.631578947","5.92","6","3","4.48","1.44","10.98","6.577777778","16.9","0.344615385","0.08","0.190967742","1.033333333","0.684210526","0.433333333","0.311578947","0.197333333","0.577894737","0.366","1.746028258","7.859649123","10.38596491","19.26315789","1.940031397","3.06320747","29.64912281"
"","","GHP2018NYK-AT03","","","","","","","","","GHP2018NYK-AT03-00029","","","","1","29.54444444","24.7","1.654453","4.9788079","16.39714178","19.023941","1","20","34","27","30","24","4","1","48.6705627","31.6948486","3","37.03703704","5","3.2","20.547226","90","54","2","4.36","5","3","2.88","1.48","22.23","4.844444444","26.59","0.144","0.043529412","0.080740741","1.8","0.740740741","0.666666667","0.161481481","0.145333333","0.823333333","0.741","1.381895399","3.555555556","5.382716049","27.44444444","1.535439332","1.706043702","32.82716049"
"","","GHP2018NYK-AT03","","","","","","","","","GHP2018NYK-AT03-00003","","","","3","37.84444444","27.91111111","1.172462","2.766516","26.247798","13.5178566","1","38","13","22","30","20","6","1","57.3445396","31.24258013","3","74.50980392","3","9.044444444","14.3286057","73.33333333","51","2.318181818","8.94","7","4","8.14","0.8","25.12","9.933333333","34.06","0.214210526","0.061538462","0.175294118","1.7","1.727272727","1.266666667","0.406363636","0.298","1.141818182","0.837333333","2.793086664","12.33333333","13.54545455","38.06060606","3.103429626","4.23194949","51.60606061"
"","","GHP2018NYK-AT03","","","","","","","","","GHP2018NYK-AT03-00030","","","","1","9.133333333","5","2.2022209","3.5382249","45.25547445","18.7645264","1","18","12","18","30","16","6","1","52.5966873","26.34515743","3","60","5","3.555555556","15.268364","60","30","1.666666667","3.72","6","3","3.2","0.52","4.5","4.133333333","8.22","0.177777778","0.043333333","0.124","1","1","0.6","0.206666667","0.124","0.25","0.15","0.980039856","5.925925926","6.888888889","8.333333333","1.088933174","1.814888623","15.22222222"
"","","GHP2018NYK-AT03","","","","","","","","","GHP2018NYK-AT03-00031","","","","1","6.644444444","6.644444444","","","0","","1","0","0","18","30","0","","1","","","9","","9","0","","60","0","0","0","5","4","0","0","5.98","0","5.98","","","","0","0","0","0","0","0.332222222","0.199333333","","0","0","11.07407407","","","11.07407407"
"","","GHP2018NYK-AT03","","","","","","","","","GHP2018NYK-AT03-00032","","","","3","27.44444444","13.86666667","1.330397","4.6625929","49.47368421","14.9366379","1","49","28","19","30","19","7","1","51.1763344","30.31692246","1","63.63636364","1","12.04444444","18.7970047","63.33333333","77","4.052631579","12.22","8","2","10.84","1.38","12.48","13.57777778","24.7","0.22122449","0.049285714","0.158701299","2.566666667","2.578947368","1.633333333","0.643157895","0.407333333","0.656842105","0.416","3.704727925","19.01754386","21.43859649","21.89473684","4.116364361","6.499522675","43.33333333"
"","","GHP2018NYK-AT03","","","","","","","","","GHP2018NYK-AT03-00033","","","","5","30.97777778","24.97777778","2.0275271","3.2122509","19.3687231","16.3662815","1","18","42","23","30","18","2","1","55.1971016","30.62562066","5","30","3","4.311111111","15.4050827","76.66666667","60","2.608695652","5.4","7","1","3.88","1.52","22.48","6","27.88","0.215555556","0.036190476","0.09","2","0.782608696","0.6","0.234782609","0.18","0.977391304","0.749333333","1.653783516","5.623188406","7.826086957","32.57971014","1.83753724","2.396787704","40.4057971"
"","","GHP2018NYK-AT03","","","","","","","","","GHP2018NYK-AT03-00034","","","","5","45.48888889","30.8","1.5089149","4.9925551","32.29115779","12.7217007","3","47","46","28","30","28","6","1","49.3254547","24.76247031","5","50.53763441","3","12.08888889","19.6805191","93.33333333","93","3.321428571","13.22","6","1","10.88","2.34","27.72","14.68888889","40.94","0.231489362","0.050869565","0.142150538","3.1","1.678571429","1.566666667","0.472142857","0.440666667","0.99","0.924","3.273598575","12.95238095","15.73809524","33","3.63733175","3.897141161","48.73809524"
"","","GHP2018NYK-AT03","","","","","","","","","GHP2018NYK-AT03-00035","","","","1","41.35555556","36.28888889","0","3.468823","12.2514777","18.9130402","3","20","27","26","30","22","9","1","55.4127693","28.7857848","3","42.55319149","3","3.755555556","9.469162","86.66666667","47","1.807692308","4.56","8","2","3.38","1.18","32.66","5.066666667","37.22","0.169","0.043703704","0.097021277","1.566666667","0.769230769","0.666666667","0.175384615","0.152","1.256153846","1.088666667","1.312631787","4.333333333","5.846153846","41.87179487","1.458479763","1.682861265","47.71794872"
"","","GHP2018NYK-AT03","","","","","","","","","GHP2018NYK-AT03-00036","","","","1","20.28888889","11.42222222","","","43.70208105","","1","20","18","13","30","13","","1","","","1","52.63157895","3","5.6","","43.33333333","38","2.923076923","7.98","6","1","5.04","2.94","10.28","8.866666667","18.26","0.252","0.163333333","0.21","1.266666667","1.538461538","0.666666667","0.613846154","0.266","0.790769231","0.342666667","","12.92307692","20.46153846","26.35897436","","","46.82051282"
"","","GHP2018NYK-AT03","","","","","","","","","GHP2018NYK-AT03-00004","","","","1","14.13333333","12.08888889","0.92758","2.090548","14.46540881","6.9420171","1","12","11","20","30","13","6","1","62.3190155","30.98451767","5","52.17391304","7","1.488888889","13.1696472","66.66666667","23","1.15","1.84","4","4","1.34","0.5","10.88","2.044444444","12.72","0.111666667","0.045454545","0.08","0.766666667","0.6","0.4","0.092","0.061333333","0.544","0.362666667","0.570115125","2.233333333","3.066666667","18.13333333","0.63346125","0.950191875","21.2"
"","","GHP2018NYK-AT03","","","","","","","","","GHP2018NYK-AT03-00005","","","","1","33.84444444","28.75555556","0","4.135087","15.03611293","16.4336472","3","27","41","25","30","22","9","1","56.5844269","28.38159461","1","39.70588235","5","3.8","8.27005","83.33333333","68","2.72","4.58","8","2","3.42","1.16","25.88","5.088888889","30.46","0.126666667","0.028292683","0.067352941","2.266666667","1.08","0.9","0.1832","0.152666667","1.0352","0.862666667","1.299877033","4.56","6.106666667","34.50666667","1.444307815","1.733169378","40.61333333"
"","","GHP2018NYK-AT03","","","","","","","","","GHP2018NYK-AT03-00006","","","","1","36.93333333","24.57777778","0.615614","2.743048","33.45367028","7.91959","1","46","46","24","30","23","9","1","61.8968735","31.408867","3","50","3","10.44444444","13.2656937","80","92","3.833333333","11.12","7","2","9.4","1.72","22.12","12.35555556","33.24","0.204347826","0.037391304","0.120869565","3.066666667","1.916666667","1.533333333","0.463333333","0.370666667","0.921666667","0.737333333","3.49266601","13.05555556","15.44444444","30.72222222","3.880740012","4.850925014","46.16666667"
"","","GHP2018NYK-AT03","","","","","","","","","GHP2018NYK-AT03-00007","","","","1","21.17777778","14.84444444","1.325274","4.4213462","29.90556139","15.7573986","1","35","36","19","30","19","4","1","53.3737144","28.36795252","3","49.29577465","5","4.822222222","17.6748505","63.33333333","71","3.736842105","5.7","5","5","4.34","1.36","13.36","6.333333333","19.06","0.124","0.037777778","0.08028169","2.366666667","1.842105263","1.166666667","0.3","0.19","0.703157895","0.445333333","1.616973294","7.614035088","10","23.43859649","1.796636993","2.836795252","33.43859649"
"","","GHP2018NYK-AT03","","","","","","","","","GHP2018NYK-AT03-00008","","","","3","21.24444444","14.57777778","1.188852","2.429878","31.38075314","17.4386063","1","36","29","21","30","18","6","1","61.0939751","29.94833068","5","55.38461538","5","5.377777778","14.6316299","70","65","3.095238095","6","6","2","4.84","1.16","13.12","6.666666667","19.12","0.134444444","0.04","0.092307692","2.166666667","1.714285714","1.2","0.285714286","0.2","0.624761905","0.437333333","1.796899841","7.682539683","9.523809524","20.82539683","1.996555379","2.85222197","30.34920635"
"","","GHP2018NYK-AT03","","","","","","","","","GHP2018NYK-AT03-00009","","","","3","18.42222222","13.95555556","1.25456","1.874541","24.24607961","14.103817","1","17","38","29","30","24","2","1","62.0546036","34.14489311","5","30.90909091","5","2.755555556","12.2930984","96.66666667","55","1.896551724","4.02","7","2","2.48","1.54","12.56","4.466666667","16.58","0.145882353","0.040526316","0.073090909","1.833333333","0.586206897","0.566666667","0.13862069","0.134","0.433103448","0.418666667","1.372624703","2.850574713","4.620689655","14.43678161","1.525138559","1.577729544","19.05747126"
