"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2018NYK-OT03","","","","","","","","","GHP2018NYK-OT03-00125","","","","1","5","3","3","2","2","1","4","1","3","1","7","1","0.12","0.18","0.06","0.3","0.36","5","0.12","0.045","0.06","2.5","0.5","0.15","0.03","20","83.33333333","2","5","1","6","1.666666667","0.333333333","0.1","0.02","66.66666667","1.333333333","3.333333333","0.666666667","4"
"","","GHP2018NYK-OT03","","","","","","","","","GHP2018NYK-OT03-00126","","","","1","3","3","3","3","3","1","8","1","7","5","7","1","0.22","0.38","0.28","0.6","0.88","9","0.22","0.0475","0.066666667","3","0.333333333","0.2","0.093333333","11.11111111","68.18181818","2.444444444","6.666666667","3.111111111","9.777777778","3","0.333333333","0.2","0.093333333","100","2.444444444","6.666666667","3.111111111","9.777777778"
"","","GHP2018NYK-OT03","","","","","","","","","GHP2018NYK-OT03-00127","","","","1","5","3","3","3","3","4","8","5","5","3","7","1","0.32","0.28","0.28","0.6","0.88","12","0.08","0.035","0.05","4","1.333333333","0.2","0.093333333","33.33333333","68.18181818","3.555555556","6.666666667","3.111111111","9.777777778","4","1.333333333","0.2","0.093333333","100","3.555555556","6.666666667","3.111111111","9.777777778"
"","","GHP2018NYK-OT03","","","","","","","","","GHP2018NYK-OT03-00128","","","","1","3","3","3","3","3","1","2","1","5","5","7","1","0.1","0.1","0.22","0.2","0.42","3","0.1","0.05","0.066666667","1","0.333333333","0.066666667","0.073333333","33.33333333","47.61904762","1.111111111","2.222222222","2.444444444","4.666666667","1","0.333333333","0.066666667","0.073333333","100","1.111111111","2.222222222","2.444444444","4.666666667"
"","","GHP2018NYK-OT03","","","","","","","","","GHP2018NYK-OT03-00129","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018NYK-OT03","","","","","","","","","GHP2018NYK-OT03-00130","","","","1","5","3","3","3","3","2","5","5","5","5","","1","0.38","0.24","0.26","0.62","0.88","7","0.19","0.048","0.088571429","2.333333333","0.666666667","0.206666667","0.086666667","28.57142857","70.45454545","4.222222222","6.888888889","2.888888889","9.777777778","2.333333333","0.666666667","0.206666667","0.086666667","100","4.222222222","6.888888889","2.888888889","9.777777778"
"","","GHP2018NYK-OT03","","","","","","","","","GHP2018NYK-OT03-00131","","","","5","1","3","3","2","2","5","1","5","5","3","7","1","0.88","0.04","0.38","0.92","1.3","6","0.176","0.04","0.153333333","3","2.5","0.46","0.19","83.33333333","70.76923077","14.66666667","15.33333333","6.333333333","21.66666667","2","1.666666667","0.306666667","0.126666667","66.66666667","9.777777778","10.22222222","4.222222222","14.44444444"
"","","GHP2018NYK-OT03","","","","","","","","","GHP2018NYK-OT03-00132","","","","1","1","3","3","3","3","7","4","7","3","1","7","1","1.48","0.14","0.36","1.62","1.98","11","0.211428571","0.035","0.147272727","3.666666667","2.333333333","0.54","0.12","63.63636364","81.81818182","16.44444444","18","4","22","3.666666667","2.333333333","0.54","0.12","100","16.44444444","18","4","22"
"","","GHP2018NYK-OT03","","","","","","","","","GHP2018NYK-OT03-00133","","","","1","1","3","1","1","1","2","0","1","1","5","7","1","0.5","0","0.28","0.5","0.78","2","0.25","","0.25","2","2","0.5","0.28","100","64.1025641","16.66666667","16.66666667","9.333333333","26","0.666666667","0.666666667","0.166666667","0.093333333","33.33333333","5.555555556","5.555555556","3.111111111","8.666666667"
"","","GHP2018NYK-OT03","","","","","","","","","GHP2018NYK-OT03-00134","","","","7","1","3","3","3","2","3","3","1","3","5","6","1","0.36","0.08","0.12","0.44","0.56","6","0.12","0.026666667","0.073333333","2","1","0.146666667","0.04","50","78.57142857","4","4.888888889","1.333333333","6.222222222","2","1","0.146666667","0.04","100","4","4.888888889","1.333333333","6.222222222"
