"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00160","","","","3","1","2","1","3","2","3","1","1","5","5","6","3","5","0.4","1.4","4.3","1.8","6.1","3","0.2","1.4","0.6","1","0.666666667","0.6","1.433333333","66.66666667","29.50819672","4.444444444","20","47.77777778","67.77777778","1","0.666666667","0.6","1.433333333","100","4.444444444","20","47.77777778","67.77777778"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00161","","","","3","1","","2","3","3","1","2","1","3","5","6","5","6","","0.4","2.1","","","","","0.2","","","","","2.1","","","","","70","","","","","0.7","33.33333333","","","23.33333333",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00162","","","","1","1","","4","3","3","2","2","1","7","5","5","3","6","","0.4","2.2","","","","","0.1","","","","","1.1","","","","","36.66666667","","","","","0.733333333","66.66666667","","","24.44444444",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00163","","","","1","1","3","1","3","3","2","2","1","3","1","6","3","6","0.8","0.2","2.9","1","3.9","4","0.266666667","0.2","0.25","2","1.5","0.5","1.45","75","25.64102564","13.33333333","16.66666667","48.33333333","65","1.333333333","1","0.333333333","0.966666667","66.66666667","8.888888889","11.11111111","32.22222222","43.33333333"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00164","","","","1","1","6","2","3","3","3","3","1","3","3","6","1","6","0.7","0.1","7.6","0.8","8.4","8","0.116666667","0.05","0.1","2.666666667","2","0.266666667","2.533333333","75","9.523809524","7.777777778","8.888888889","84.44444444","93.33333333","2.666666667","2","0.266666667","2.533333333","100","7.777777778","8.888888889","84.44444444","93.33333333"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00165","","","","1","1","3","2","3","3","3","2","1","3","1","6","2","6","1","0.1","2.8","1.1","3.9","5","0.333333333","0.05","0.22","1.666666667","1","0.366666667","0.933333333","60","28.20512821","11.11111111","12.22222222","31.11111111","43.33333333","1.666666667","1","0.366666667","0.933333333","100","11.11111111","12.22222222","31.11111111","43.33333333"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00166","","","","1","1","3","1","3","3","3","2","1","3","3","5","5","6","0.6","0.1","0.6","0.7","1.3","4","0.2","0.1","0.175","1.333333333","1","0.233333333","0.2","75","53.84615385","6.666666667","7.777777778","6.666666667","14.44444444","1.333333333","1","0.233333333","0.2","100","6.666666667","7.777777778","6.666666667","14.44444444"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00167","","","","1","1","2","","3","3","3","2","1","1","1","4","6","6","1.3","","2.6","","","","0.65","","","","0.666666667","","0.866666667","","","14.44444444","","28.88888889","","","0.666666667","","0.866666667","100","14.44444444","","28.88888889",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00168","","","","3","1","6","3","3","3","3","3","3","3","1","6","5","5","1.2","0.2","1","1.4","2.4","9","0.2","0.066666667","0.155555556","3","2","0.466666667","0.333333333","66.66666667","58.33333333","13.33333333","15.55555556","11.11111111","26.66666667","3","2","0.466666667","0.333333333","100","13.33333333","15.55555556","11.11111111","26.66666667"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00169","","","","3","1","3","1","3","2","2","2","3","5","3","6","3","5","0.6","0.1","1.25","0.7","1.95","4","0.2","0.1","0.175","2","1.5","0.35","0.625","75","35.8974359","10","11.66666667","20.83333333","32.5","1.333333333","1","0.233333333","0.416666667","66.66666667","6.666666667","7.777777778","13.88888889","21.66666667"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00017","","","","1","1","1","","3","3","2","1","1","5","5","8","1","3","0.3","","5.5","","","","0.3","","","","0.5","","2.75","","","5","","91.66666667","","","0.333333333","","1.833333333","66.66666667","3.333333333","","61.11111111",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00170","","","","3","1","5","","3","2","2","2","1","3","3","6","4","6","0.6","","1.3","","","","0.12","","","","2.5","","0.65","","","10","","21.66666667","","","1.666666667","","0.433333333","66.66666667","6.666666667","","14.44444444",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00171","","","","1","1","5","","3","3","3","3","1","3","1","6","3","4","1.2","","2.3","","","","0.24","","","","1.666666667","","0.766666667","","","13.33333333","","25.55555556","","","1.666666667","","0.766666667","100","13.33333333","","25.55555556",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00172","","","","3","1","7","","3","3","3","3","1","1","1","7","3","5","1.8","","3.3","","","","0.257142857","","","","2.333333333","","1.1","","","20","","36.66666667","","","2.333333333","","1.1","100","20","","36.66666667",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00173","","","","1","1","","1","3","3","2","2","1","5","7","6","3","5","","0.1","2","","","","","0.1","","","","","1","","","","","33.33333333","","","","","0.666666667","66.66666667","","","22.22222222",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00174","","","","1","1","1","","3","3","2","1","3","5","3","7","2","5","0.4","","5.1","","","","0.4","","","","0.5","","2.55","","","6.666666667","","85","","","0.333333333","","1.7","66.66666667","4.444444444","","56.66666667",""
