"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Harvest index computing percent|CO_331:0000302","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Storage root size estimating 1-9|CO_331:0000184","Commercial storage root yield tons per ha|CO_331:0000809","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018TON-AT02","","","","","","","","","GHP2018TON-AT02-00019","","","","9","28.6","13.15555556","0.736429","3.7467661","54.001554","1.2140239","1","59","62","30","30","30","30","6","9","1","58.5724678","24.77682999","3","48.76033058","3","12.82222222","18.0125656","121","4.033333333","13.9","1","11.54","2.36","11.84","15.44444444","25.74","0.19559322","0.038064516","0.114876033","4.033333333","1.966666667","1.966666667","0.463333333","0.463333333","0.394666667","0.394666667","100","3.443979369","12.82222222","15.44444444","13.15555556","3.826643743","3.826643743","28.6"
"","","GHP2018TON-AT02","","","","","","","","","GHP2018TON-AT02-00002","","","","7","23.6","9.444444444","1.289619","2.607327","59.98116761","9.9666185","3","79","51","29","29","30","29","5","4","5","58.74963","26.04706821","1","60.76923077","3","11.37777778","13.7343674","130","4.482758621","12.74","1","10.24","2.5","8.5","14.15555556","21.24","0.129620253","0.049019608","0.098","4.333333333","2.724137931","2.633333333","0.439310345","0.424666667","0.293103448","0.283333333","96.66666667","3.31839649","11.77011494","14.64367816","9.770114943","3.687107211","3.814248839","24.4137931"
"","","GHP2018TON-AT02","","","","","","","","","GHP2018TON-AT02-00020","","","","1","11.6","5.355555556","0.754293","4.9751129","53.83141762","8.6317558","1","23","39","23","23","30","22","7","4","1","52.2880592","23.77830751","3","37.09677419","3","4.866666667","22.1346283","62","2.695652174","5.62","5","4.38","1.24","4.82","6.244444444","10.44","0.190434783","0.031794872","0.090645161","2.066666667","1","0.766666667","0.244347826","0.187333333","0.209565217","0.160666667","76.66666667","1.336340882","6.347826087","8.144927536","6.985507246","1.484823202","1.936725916","15.13043478"
"","","GHP2018TON-AT02","","","","","","","","","GHP2018TON-AT02-00021","","","","7","13.31111111","7.577777778","0.841896","2.039222","43.07178631","5.271255","1","30","33","22","22","30","20","5","4","1","63.4832802","29.23661071","5","47.61904762","3","4.644444444","14.2291489","63","2.863636364","5.16","1","4.18","0.98","6.82","5.733333333","11.98","0.139333333","0.02969697","0.081904762","2.1","1.363636364","1","0.234545455","0.172","0.31","0.227333333","73.33333333","1.508609113","6.333333333","7.818181818","10.33333333","1.676232347","2.285771383","18.15151515"
"","","GHP2018TON-AT02","","","","","","","","","GHP2018TON-AT02-00022","","","","7","30.75555556","12.46666667","0.970768","1.852164","59.46531792","5.1766591","1","64","38","30","27","30","27","4","6","1","65.4667664","33.41322149","3","62.74509804","3","16.04444444","14.5622406","102","3.777777778","16.46","1","14.44","2.02","11.22","18.28888889","27.68","0.225625","0.053157895","0.161372549","3.4","2.37037037","2.133333333","0.60962963","0.548666667","0.415555556","0.374","90","5.499816257","17.82716049","20.32098765","13.85185185","6.110906953","6.789896614","34.17283951"
"","","GHP2018TON-AT02","","","","","","","","","GHP2018TON-AT02-00023","","","","9","21.02222222","6.666666667","0.891558","4.533278","68.28752643","12.849865","1","49","50","30","30","30","30","7","7","5","49.3135719","19.55829686","1","49.49494949","3","11.95555556","22.4189301","99","3.3","12.92","3","10.76","2.16","6","14.35555556","18.92","0.219591837","0.0432","0.130505051","3.3","1.633333333","1.633333333","0.430666667","0.430666667","0.2","0.2","100","2.526931954","11.95555556","14.35555556","6.666666667","2.807702171","2.807702171","21.02222222"
"","","GHP2018TON-AT02","","","","","","","","","GHP2018TON-AT02-00024","","","","5","29.11111111","9.577777778","1.216499","3.5333879","67.09923664","11.6357689","1","55","87","30","30","30","30","6","7","1","54.744194","28.56286228","3","38.73239437","3","13.37777778","18.1858597","142","4.733333333","17.58","3","12.04","5.54","8.62","19.53333333","26.2","0.218909091","0.063678161","0.123802817","4.733333333","1.833333333","1.833333333","0.586","0.586","0.287333333","0.287333333","100","5.021351189","13.37777778","19.53333333","9.577777778","5.579279099","5.579279099","29.11111111"
"","","GHP2018TON-AT02","","","","","","","","","GHP2018TON-AT02-00025","","","","9","25.37777778","9.4","0.743225","1.666288","62.95971979","2.4644811","1","72","44","29","27","30","27","4","8","5","65.4772186","35.32","5","62.06896552","3","14.08888889","14.3289413","116","4.296296296","14.38","3","12.68","1.7","8.46","15.97777778","22.84","0.176111111","0.038636364","0.123965517","3.866666667","2.666666667","2.4","0.532592593","0.479333333","0.313333333","0.282","90","5.079016","15.65432099","17.75308642","10.44444444","5.643351111","6.270390123","28.19753086"
"","","GHP2018TON-AT02","","","","","","","","","GHP2018TON-AT02-00026","","","","5","24.82222222","10.11111111","0","3.174361","59.26589078","17.8642559","3","46","36","30","20","30","20","3","8","1","57.6467934","24.84189723","1","56.09756098","1","13.13333333","14.8109283","82","4.1","13.24","2","11.82","1.42","9.1","14.71111111","22.34","0.256956522","0.039444444","0.161463415","2.733333333","2.3","1.533333333","0.662","0.441333333","0.455","0.303333333","66.66666667","3.289067193","19.7","22.06666667","15.16666667","3.654519104","5.481778655","37.23333333"
"","","GHP2018TON-AT02","","","","","","","","","GHP2018TON-AT02-00027","","","","3","18.86666667","5.2","0.667946","4.4006639","72.43816254","10.3362675","5","58","48","25","25","30","25","7","7","5","50.4539299","21.39154705","1","54.71698113","3","11.4","23.4942398","106","4.24","12.3","3","10.26","2.04","4.68","13.66666667","16.98","0.176896552","0.0425","0.116037736","3.533333333","2.32","1.933333333","0.492","0.41","0.1872","0.156","83.33333333","2.631160287","13.68","16.4","6.24","2.92351143","3.508213716","22.64"
"","","GHP2018TON-AT02","","","","","","","","","GHP2018TON-AT02-00028","","","","5","24.97777778","11.31111111","0","1.341126","54.71530249","5.9390068","1","45","42","29","27","30","27","4","6","1","66.4752579","27.19856745","5","51.72413793","3","11.17777778","16.1982346","87","3.222222222","12.3","3","10.06","2.24","10.18","13.66666667","22.48","0.223555556","0.053333333","0.14137931","2.9","1.666666667","1.5","0.455555556","0.41","0.377037037","0.339333333","90","3.345423796","12.41975309","15.18518519","12.56790123","3.717137552","4.130152835","27.75308642"
"","","GHP2018TON-AT02","","","","","","","","","GHP2018TON-AT02-00029","","","","5","27.68888889","10.08888889","1.322788","5.0629802","63.56340289","10.2259388","1","59","68","30","29","30","29","7","4","1","51.4992905","25.92296947","3","46.45669291","3","14.13333333","21.4184647","127","4.379310345","15.84","3","12.72","3.12","9.08","17.6","24.92","0.21559322","0.045882353","0.124724409","4.233333333","2.034482759","1.966666667","0.546206897","0.528","0.313103448","0.302666667","96.66666667","4.106198364","14.62068966","18.20689655","10.43678161","4.562442627","4.719768235","28.64367816"
"","","GHP2018TON-AT02","","","","","","","","","GHP2018TON-AT02-00003","","","","7","17.22222222","5.777777778","1.111328","4.8786602","66.4516129","4.6781812","1","59","82","22","22","30","21","7","7","1","51.7873802","17.07511456","5","41.84397163","3","8.111111111","20.7471924","141","6.409090909","10.3","2","7.3","3","5.2","11.44444444","15.5","0.123728814","0.036585366","0.073049645","4.7","2.681818182","1.966666667","0.468181818","0.343333333","0.236363636","0.173333333","73.33333333","1.7587368","11.06060606","15.60606061","7.878787879","1.954152","2.664752727","23.48484848"
"","","GHP2018TON-AT02","","","","","","","","","GHP2018TON-AT02-00030","","","","7","31.44444444","9.488888889","","","69.82332155","","3","79","82","30","30","30","30","","","5","","","1","49.06832298","3","17.31111111","","161","5.366666667","19.76","1","15.58","4.18","8.54","21.95555556","28.3","0.19721519","0.05097561","0.122732919","5.366666667","2.633333333","2.633333333","0.658666667","0.658666667","0.284666667","0.284666667","100","","17.31111111","21.95555556","9.488888889","","","31.44444444"
"","","GHP2018TON-AT02","","","","","","","","","GHP2018TON-AT02-00031","","","","5","29.57777778","12.75555556","0","3.2471321","56.87453043","15.2411957","1","61","48","30","26","30","25","3","8","1","58.1302414","27.54372019","3","55.96330275","3","14.13333333","14.6335297","109","4.192307692","15.14","1","12.72","2.42","11.48","16.82222222","26.62","0.20852459","0.050416667","0.138899083","3.633333333","2.346153846","2.033333333","0.582307692","0.504666667","0.441538462","0.382666667","86.66666667","4.170119237","16.30769231","19.41025641","14.71794872","4.633465819","5.346306714","34.12820513"
