"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root dry matter content computing percent|CO_331:0000297","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014KPV-AT03","","","","","","","","","GHP2014KPV-AT03-00019","","","","4","4.04","1.9","0.67","21.51","50.44","2.14","6.47","4.9","68.95","42.64472641","1.17","2","62","61","32","32","45","29","4","2","6","8","6","4","6","22.8","4.8","10","27.6","37.6","123","0.367741935","0.078688525","0.224390244","3.84375","2.733333333","1.9375","1.377777778","0.8625","0.613333333","0.3125","0.222222222","50.40650407","73.40425532","71.11111111","11.76994449","16.88888889","23.75","20.44444444","28.75","7.407407407","10.41666667","8.718477399","12.26035884","27.85185185","39.16666667"
"","","GHP2014KPV-AT03","","","","","","","","","GHP2014KPV-AT03-00002","","","","3","13.04","2.4","2.62","14.17","50.17","4.23","18.39","3.91","53.29","28.2439705","1.22","2","12","75","39","39","45","39","3","3","4","5","7","1","3","2.1","5.5","9","7.6","16.6","87","0.175","0.073333333","0.087356322","2.230769231","1.933333333","0.307692308","0.266666667","0.194871795","0.168888889","0.230769231","0.2","13.79310345","45.78313253","86.66666667","2.146541758","1.555555556","1.794871795","5.62962963","6.495726496","6.666666667","7.692307692","1.590030932","1.834651075","12.2962963","14.18803419"
"","","GHP2014KPV-AT03","","","","","","","","","GHP2014KPV-AT03-00020","","","","4","","","","","","","","","","","","2","12","35","29","29","45","17","3","2","5","7","7","3","3","2.4","2.3","14","4.7","18.7","47","0.2","0.065714286","0.1","1.620689655","1.044444444","0.413793103","0.266666667","0.162068966","0.104444444","0.482758621","0.311111111","25.53191489","25.13368984","64.44444444","","1.777777778","2.75862069","3.481481481","5.402298851","10.37037037","16.09195402","","","13.85185185","21.49425287"
"","","GHP2014KPV-AT03","","","","","","","","","GHP2014KPV-AT03-00021","","","","5","0.94","2.28","1.32","21.57","50.36","2.49","6.16","5.54","65.88","42.83161239","1.21","2","5","89","35","35","45","22","4","3","4","6","5","3","6","1.1","4.2","7","5.3","12.3","94","0.22","0.047191011","0.056382979","2.685714286","2.088888889","0.142857143","0.111111111","0.151428571","0.117777778","0.2","0.155555556","5.319148936","43.08943089","77.77777778","2.270075457","0.814814815","1.047619048","3.925925926","5.047619048","5.185185185","6.666666667","1.681537375","2.161976625","9.111111111","11.71428571"
"","","GHP2014KPV-AT03","","","","","","","","","GHP2014KPV-AT03-00022","","","","4","0","1.93","1.01","21.94","50.62","2.17","5.24","4.74","68.65","43.34255235","1.13","2","35","43","32","32","45","25","3","2","6","8","6","1","6","11.2","2.3","5.5","13.5","19","78","0.32","0.053488372","0.173076923","2.4375","1.733333333","1.09375","0.777777778","0.421875","0.3","0.171875","0.122222222","44.87179487","71.05263158","71.11111111","5.851244567","8.296296296","11.66666667","10","14.0625","4.074074074","5.729166667","4.334255235","6.095046424","14.07407407","19.79166667"
"","","GHP2014KPV-AT03","","","","","","","","","GHP2014KPV-AT03-00023","","","","4","8.37","2.01","0.69","21.06","50.43","1.93","7.16","5.58","67.57","41.76085663","1.15","3","38","45","28","28","45","24","4","2","5","7","5","4","7","9.3","3.9","7","13.2","20.2","83","0.244736842","0.086666667","0.159036145","2.964285714","1.844444444","1.357142857","0.844444444","0.471428571","0.293333333","0.25","0.155555556","45.78313253","65.34653465","62.22222222","5.512433076","6.888888889","11.07142857","9.777777778","15.71428571","5.185185185","8.333333333","4.08328376","6.562420328","14.96296296","24.04761905"
"","","GHP2014KPV-AT03","","","","","","","","","GHP2014KPV-AT03-00024","","","","3","0","1.89","0.69","22.27","50.54","1.88","5.86","4.53","69.62","44.06410764","1.16","1","9","26","35","35","45","13","2","3","3","3","7","3","7","1.8","1.4","10.5","3.2","13.7","35","0.2","0.053846154","0.091428571","1","0.777777778","0.257142857","0.2","0.091428571","0.071111111","0.3","0.233333333","25.71428571","23.35766423","77.77777778","1.410051444","1.333333333","1.714285714","2.37037037","3.047619048","7.777777778","10","1.044482551","1.342906138","10.14814815","13.04761905"
"","","GHP2014KPV-AT03","","","","","","","","","GHP2014KPV-AT03-00025","","","","4","15.17","2.23","1.44","16.91","50.32","2.4","16.39","3.24","59.3","33.60492846","1.1","2","10","30","35","35","45","12","3","3","3","4","6","1","4","1.6","1.7","7","3.3","10.3","40","0.16","0.056666667","0.0825","1.142857143","0.888888889","0.285714286","0.222222222","0.094285714","0.073333333","0.2","0.155555556","25","32.03883495","77.77777778","1.108962639","1.185185185","1.523809524","2.444444444","3.142857143","5.185185185","6.666666667","0.821453807","1.056154894","7.62962963","9.80952381"
"","","GHP2014KPV-AT03","","","","","","","","","GHP2014KPV-AT03-00026","","","","3","5.66","1.94","2.38","16.3","50.04","4","9.03","3.41","64.26","32.57394085","0.95","2","18","68","29","29","45","18","3","2","5","7","7","1","7","3.1","2.9","5.5","6","11.5","86","0.172222222","0.042647059","0.069767442","2.965517241","1.911111111","0.620689655","0.4","0.206896552","0.133333333","0.189655172","0.122222222","20.93023256","52.17391304","64.44444444","1.954436451","2.296296296","3.563218391","4.444444444","6.896551724","4.074074074","6.32183908","1.447730704","2.246478679","8.518518519","13.2183908"
"","","GHP2014KPV-AT03","","","","","","","","","GHP2014KPV-AT03-00027","","","","3","","","","","","","","","","","","2","0","44","25","25","45","14","3","2","3","3","7","1","4","0","3.2","11","3.2","14.2","44","","0.072727273","0.072727273","1.76","0.977777778","0","0","0.128","0.071111111","0.44","0.244444444","0","22.53521127","55.55555556","","0","0","2.37037037","4.266666667","8.148148148","14.66666667","","","10.51851852","18.93333333"
"","","GHP2014KPV-AT03","","","","","","","","","GHP2014KPV-AT03-00028","","","","4","","","","","","","","","","","","1","0","37","38","38","45","12","2","3","3","3","5","1","6","0","1.6","13.5","1.6","15.1","37","","0.043243243","0.043243243","0.973684211","0.822222222","0","0","0.042105263","0.035555556","0.355263158","0.3","0","10.59602649","84.44444444","","0","0","1.185185185","1.403508772","10","11.84210526","","","11.18518519","13.24561404"
"","","GHP2014KPV-AT03","","","","","","","","","GHP2014KPV-AT03-00029","","","","5","27.59","3.03","3.83","12.18","50","6.49","18.35","5.54","47.03","24.36","1.68","3","21","98","32","32","45","27","5","3","5","8","5","3","5","4.3","4.8","6.5","9.1","15.6","119","0.204761905","0.048979592","0.076470588","3.71875","2.644444444","0.65625","0.466666667","0.284375","0.202222222","0.203125","0.144444444","17.64705882","58.33333333","71.11111111","2.21676","3.185185185","4.479166667","6.740740741","9.479166667","4.814814815","6.770833333","1.642044444","2.309125","11.55555556","16.25"
"","","GHP2014KPV-AT03","","","","","","","","","GHP2014KPV-AT03-00003","","","","3","1.13","2.16","2.48","18.23","50.55","3.97","12.92","4.87","61.36","36.06330366","1.07","2","78","100","41","41","45","41","2","2","5","7","6","4","5","19.1","6","9","25.1","34.1","178","0.244871795","0.06","0.141011236","4.341463415","3.955555556","1.902439024","1.733333333","0.612195122","0.557777778","0.219512195","0.2","43.82022472","73.60703812","91.11111111","9.051889219","14.14814815","15.52845528","18.59259259","20.40650407","6.666666667","7.317073171","6.705103125","7.359259527","25.25925926","27.72357724"
