"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00028","","","","","","","","0","0","32","0","0","0","","","","","","5","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00029","","","","5","","","1","0","7","33","25","34","3","","","1","2","1","4","0","0.4","6.5","0.4","6.9","7","","0.057142857","0.057142857","0.28","0.205882353","0","0","0.016","0.011764706","0.26","0.191176471","0","5.797101449","73.52941176","","","0","0","0.392156863","0.533333333","6.37254902","8.666666667","","","6.764705882","9.2"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00003","","","","5","14.8","50.33","1","4","17","32","26","34","15","6","2","2","5","4","4","0.6","0.8","7","1.4","8.4","21","0.15","0.047058824","0.066666667","0.807692308","0.617647059","0.153846154","0.117647059","0.053846154","0.041176471","0.269230769","0.205882353","19.04761905","16.66666667","76.47058824","29.40592092","0.411682893","0.588235294","0.769230769","1.37254902","1.794871795","6.862745098","8.974358974","0.403610679","0.527798581","8.235294118","10.76923077"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00030","","","","6","","","1","0","0","33","21","34","0","","","","","","7","0","0","10","0","10","0","","","","0","0","0","0","0","0","0.476190476","0.294117647","","0","61.76470588","","","0","0","0","0","9.803921569","15.87301587","","","9.803921569","15.87301587"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00031","","","","4","15.17","50.92","1","0","8","33","27","34","3","6","5","1","5","2","7","0","0.4","6.5","0.4","6.9","8","","0.05","0.05","0.296296296","0.235294118","0","0","0.014814815","0.011764706","0.240740741","0.191176471","0","5.797101449","79.41176471","29.79183032","0.119167321","0","0","0.392156863","0.49382716","6.37254902","8.024691358","0.116830707","0.14712015","6.764705882","8.518518519"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00032","","","","5","","","1","1","15","29","18","34","3","6","","2","4","3","4","0.3","0.3","8.5","0.6","9.1","16","0.3","0.02","0.0375","0.888888889","0.470588235","0.055555556","0.029411765","0.033333333","0.017647059","0.472222222","0.25","6.25","6.593406593","52.94117647","","","0.294117647","0.555555556","0.588235294","1.111111111","8.333333333","15.74074074","","","8.921568627","16.85185185"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00033","","","","5","17.3","50.72","1","2","4","33","24","34","3","2","8","1","4","3","7","0.3","0.2","6","0.5","6.5","6","0.15","0.05","0.083333333","0.25","0.176470588","0.083333333","0.058823529","0.020833333","0.014705882","0.25","0.176470588","33.33333333","7.692307692","70.58823529","34.10883281","0.170544164","0.294117647","0.416666667","0.490196078","0.694444444","5.882352941","8.333333333","0.167200161","0.236866894","6.37254902","9.027777778"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00034","","","","6","","","1","15","34","30","27","34","21","","","2","3","5","4","2.4","2","4","4.4","8.4","49","0.16","0.058823529","0.089795918","1.814814815","1.441176471","0.555555556","0.441176471","0.162962963","0.129411765","0.148148148","0.117647059","30.6122449","52.38095238","79.41176471","","","2.352941176","2.962962963","4.31372549","5.432098765","3.921568627","4.938271605","","","8.235294118","10.37037037"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00035","","","","4","12.32","50.76","1","5","17","31","23","34","14","6","2","1","4","3","7","0.6","0.8","7","1.4","8.4","22","0.12","0.047058824","0.063636364","0.956521739","0.647058824","0.217391304","0.147058824","0.060869565","0.041176471","0.304347826","0.205882353","22.72727273","16.66666667","67.64705882","24.27107959","0.339795114","0.588235294","0.869565217","1.37254902","2.028985507","6.862745098","10.14492754","0.333132465","0.492456687","8.235294118","12.17391304"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00036","","","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00037","","","","3","18.35","50.47","1","19","65","32","27","34","22","3","6","2","5","3","4","1","2.8","6.5","3.8","10.3","84","0.052631579","0.043076923","0.045238095","3.111111111","2.470588235","0.703703704","0.558823529","0.140740741","0.111764706","0.240740741","0.191176471","22.61904762","36.89320388","79.41176471","36.35823261","1.381612839","0.980392157","1.234567901","3.725490196","4.691358025","6.37254902","8.024691358","1.354522391","1.705694863","10.09803922","12.71604938"
