"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00013","","","","16.1","2","51","0.916208982","1.641427994","3","1","3","3","3","2","2","1","7","8","2","6","7","4","3","1.3","0.1","0.8","1.4","2.2","4","0.433333333","0.1","0.35","1.333333333","1.333333333","1","1","0.466666667","0.466666667","0.266666667","0.266666667","75","63.63636364","100","31.56862745","0.441960784","14.44444444","14.44444444","15.55555556","15.55555556","8.888888889","8.888888889","4.910675381","4.910675381","24.44444444","24.44444444"
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00130","","","","19.93","2","50.53","2.346947908","2.924458027","5","0","3","2","3","2","1","1","4","4","1","6","8","4","3","1.7","0","3.2","1.7","4.9","5","0.34","","0.34","2.5","1.666666667","2.5","1.666666667","0.85","0.566666667","1.6","1.066666667","100","34.69387755","66.66666667","39.44191569","0.670512567","18.88888889","28.33333333","18.88888889","28.33333333","35.55555556","53.33333333","7.450139631","11.17520945","54.44444444","81.66666667"
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00131","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00132","","","","","","","","","0","0","3","0","3","0","","","","","","","","","6","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00133","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00134","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00135","","","","15.64","2","50.35","1.895216942","3.324836969","6","3","3","3","3","3","1","1","7","8","3","5","8","4","3","1.6","0.1","1","1.7","2.7","9","0.266666667","0.033333333","0.188888889","3","3","2","2","0.566666667","0.566666667","0.333333333","0.333333333","66.66666667","62.96296296","100","31.06256207","0.528063555","17.77777778","17.77777778","18.88888889","18.88888889","11.11111111","11.11111111","5.867372835","5.867372835","30","30"
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00136","","","","","","","","","0","0","3","0","3","0","","","","","","","","","9","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00137","","","","","","","","","0","0","3","0","3","0","","","","","","","","","6","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00138","","","","","","","","","0","0","3","0","3","0","","","","","","","","","9","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00139","","","","","","","","","0","0","3","0","3","0","","","","","","","","","6","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00014","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00140","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00141","","","","","","","","","0","0","3","0","3","0","","","","","","","","","6","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00142","","","","","","","","","0","0","3","0","3","0","","","","","","","","","6","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00143","","","","17.43","3","50.6","1.664479971","2.538703918","9","3","3","3","3","3","1","3","8","4","3","5","6","4","1","1.9","0.2","0.8","2.1","2.9","12","0.211111111","0.066666667","0.175","4","4","3","3","0.7","0.7","0.266666667","0.266666667","75","72.4137931","100","34.44664032","0.723379447","21.11111111","21.11111111","23.33333333","23.33333333","8.888888889","8.888888889","8.037549407","8.037549407","32.22222222","32.22222222"
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00144","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00145","","","","","","","","","0","0","3","0","3","0","","","","","","","","","9","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00146","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00147","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00148","","","","","","","","","0","0","3","0","3","0","","","","","","","","","1","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00149","","","","","","","","","0","0","3","0","3","0","","","","","","","","","6","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00015","","","","13.3","3","40.5","2.50486207","3.392642975","8","0","3","3","3","2","2","1","7","3","1","6","8","3","3","2.7","0","0.6","2.7","3.3","8","0.3375","","0.3375","2.666666667","2.666666667","2.666666667","2.666666667","0.9","0.9","0.2","0.2","100","81.81818182","100","32.83950617","0.886666667","30","30","30","30","6.666666667","6.666666667","9.851851852","9.851851852","36.66666667","36.66666667"
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00150","","","","","","","","","0","0","3","0","3","0","","","","","","","","","6","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00151","","","","","","","","","0","0","3","0","3","0","","","","","","","","","6","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00152","","","","14.72","2","50.61","1.94748497","3.512389898","8","2","3","3","3","3","2","3","8","4","2","6","7","4","1","2.1","0.1","1.1","2.2","3.3","10","0.2625","0.05","0.22","3.333333333","3.333333333","2.666666667","2.666666667","0.733333333","0.733333333","0.366666667","0.366666667","80","66.66666667","100","29.08516104","0.639873543","23.33333333","23.33333333","24.44444444","24.44444444","12.22222222","12.22222222","7.109706031","7.109706031","36.66666667","36.66666667"
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00153","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00154","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00155","","","","20.51","3","49.63","3.033170938","4.084856987","6","3","3","3","3","3","1","1","5","6","1","5","7","3","3","1.9","0.1","2.7","2","4.7","9","0.316666667","0.033333333","0.222222222","3","3","2","2","0.666666667","0.666666667","0.9","0.9","66.66666667","42.55319149","100","41.325811","0.82651622","21.11111111","21.11111111","22.22222222","22.22222222","30","30","9.183513556","9.183513556","52.22222222","52.22222222"
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00156","","","","","","","","","0","0","3","0","3","0","","","","","","","","","6","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00157","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00158","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00159","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00016","","","","","","","","","0","0","2","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00160","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00161","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00162","","","","","","","","","0","0","3","0","3","0","","","","","","","","","6","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00163","","","","","","","","","0","0","3","0","3","0","","","","","","","","","6","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00164","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00165","","","","","","","","","0","0","3","0","3","0","","","","","","","","","6","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00166","","","","","","","","","0","0","3","0","3","0","","","","","","","","","9","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00167","","","","","","","","","0","0","3","0","3","0","","","","","","","","","6","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00168","","","","","","","","","0","0","2","0","3","0","","","","","","","","","6","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00169","","","","14.82","2","50.18","4.570464134","5.96550703","10","3","3","2","3","2","2","3","4","6","2","6","8","3","3","3.7","0.1","2","3.8","5.8","13","0.37","0.033333333","0.292307692","6.5","4.333333333","5","3.333333333","1.9","1.266666667","1","0.666666667","76.92307692","65.51724138","66.66666667","29.53367876","1.122279793","41.11111111","61.66666667","42.22222222","63.33333333","22.22222222","33.33333333","12.46977547","18.70466321","64.44444444","96.66666667"
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00017","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00170","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00171","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
