"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00021","","","","39","34","34","12","38","20","6.6","1.4","63.2","1","1","1","25.27","4.54","2.35","1.19","57.82","1.75","3.35","15.27","8","71.2","58","0.173684211","0.07","0.137931034","1.705882353","1.117647059","0.235294118","1.858823529","65.51724138","11.23595506","2.0216","6.267806268","7.597340931","60.01899335","1.919848053","67.61633428","1.487179487","0.974358974","0.205128205","1.620512821","87.17948718","7.189542484","8.71459695","68.8453159","2.202178649","77.55991285"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00022","","","","39","36","36","36","260","150","56.6","8.2","65.4","1","1","1","28.24","3.29","1.93","0.92","64.67","1.39","2.58","10.98","64.8","130.2","410","0.217692308","0.054666667","0.15804878","11.38888889","7.222222222","1.8","1.816666667","63.41463415","49.76958525","18.29952","53.75118708","61.53846154","62.10826211","17.37846154","123.6467236","10.51282051","6.666666667","1.661538462","1.676923077","92.30769231","58.23045267","66.66666667","67.28395062","18.82666667","133.9506173"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00023","","","","39","33","33","1","4","0","0.4","0","33.2","3","1","3","26.61","4.17","2.41","1.11","61.26","1.51","2.86","17.39","0.4","33.6","4","0.1","","0.1","0.121212121","0.121212121","0.012121212","1.006060606","100","1.19047619","0.10644","0.379867047","0.379867047","31.52896486","0.101082621","31.90883191","0.102564103","0.102564103","0.01025641","0.851282051","84.61538462","0.448933782","0.448933782","37.26150393","0.119461279","37.71043771"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00024","","","","39","23","23","15","32","50","4.6","1.8","33.8","1","1","1","23.41","3.85","2.09","1.04","58.73","2.5","4.12","12.6","6.4","40.2","82","0.14375","0.036","0.07804878","3.565217391","1.391304348","0.27826087","1.469565217","39.02439024","15.92039801","1.49824","4.368471035","6.077872745","32.09876543","1.422830009","38.17663818","2.102564103","0.820512821","0.164102564","0.866666667","58.97435897","7.407407407","10.30595813","54.42834138","2.412624799","64.73429952"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00025","","","","39","16","16","7","13","7","1","0.7","18","1","3","5","","","","","","","","","1.7","19.7","20","0.076923077","0.1","0.085","1.25","0.8125","0.10625","1.125","65","8.629441624","","0.949667616","1.614434948","17.09401709","","18.70845204","0.512820513","0.333333333","0.043589744","0.461538462","41.02564103","2.314814815","3.935185185","41.66666667","","45.60185185"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00026","","","","39","10","10","3","7","0","0.8","0","20","1","3","3","28.58","4.84","2.32","1.17","61.2","1.72","3.31","11.75","0.8","20.8","7","0.114285714","","0.114285714","0.7","0.7","0.08","2","100","3.846153846","0.22864","0.759734093","0.759734093","18.99335233","0.217132004","19.75308642","0.179487179","0.179487179","0.020512821","0.512820513","25.64102564","2.962962963","2.962962963","74.07407407","0.846814815","77.03703704"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00027","","","","39","36","36","30","170","150","18.8","2.4","59.6","1","3","5","24.51","2.95","1.85","0.9","60.88","2.45","3.96","12.38","21.2","80.8","320","0.110588235","0.016","0.06625","8.888888889","4.722222222","0.588888889","1.655555556","53.125","26.23762376","5.19612","17.85375119","20.13295347","56.60018993","4.934586895","76.7331434","8.205128205","4.358974359","0.543589744","1.528205128","92.30769231","19.34156379","21.81069959","61.31687243","5.345802469","83.12757202"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00028","","","","39","29","29","20","89","200","5.4","4.6","35.6","1","1","5","","","","","","","","","10","45.6","289","0.060674157","0.023","0.034602076","9.965517241","3.068965517","0.344827586","1.227586207","30.79584775","21.92982456","","5.128205128","9.496676163","33.80816714","","43.3048433","7.41025641","2.282051282","0.256410256","0.912820513","74.35897436","6.896551724","12.77139208","45.46615581","","58.23754789"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00029","","","","39","34","34","12","55","18","18.4","1","53.6","1","3","3","23.84","4.77","2.12","1.17","63.13","3.3","5.06","7.05","19.4","73","73","0.334545455","0.055555556","0.265753425","2.147058824","1.617647059","0.570588235","1.576470588","75.34246575","26.57534247","4.62496","17.47388414","18.42355176","50.90218424","4.392174739","69.32573599","1.871794872","1.41025641","0.497435897","1.374358974","87.17948718","20.04357298","21.1328976","58.38779956","5.038082789","79.52069717"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00030","","","","39","22","22","16","11","19","1","0.6","61.8","1","3","5","23.94","4.64","2.32","1.07","60.93","2","3.64","13.56","1.6","63.4","30","0.090909091","0.031578947","0.053333333","1.363636364","0.5","0.072727273","2.809090909","36.66666667","2.523659306","0.38304","0.949667616","1.519468186","58.68945869","0.363760684","60.20892688","0.769230769","0.282051282","0.041025641","1.584615385","56.41025641","1.683501684","2.693602694","104.040404","0.644848485","106.7340067"
