"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2009GUR-AT01","","","","","","","","","MZP2009GUR-AT01-00021","","","","39","35","7","8","4","35","30","16","27","4.5","2","7.7","6","6.5","14.2","43","0.28125","0.074074074","0.151162791","1.228571429","1.102564103","0.457142857","0.41025641","0.185714286","0.166666667","0.22","0.197435897","37.20930233","45.77464789","89.74358974","4.273504274","4.761904762","6.172839506","6.878306878","7.312440646","8.148148148","13.48528015","15.02645503"
"","","MZP2009GUR-AT01","","","","","","","","","MZP2009GUR-AT01-00022","","","","39","38","4","4","4","33","24","10","12","4.8","1","17.8","1","5.8","23.6","22","0.48","0.083333333","0.263636364","0.666666667","0.564102564","0.303030303","0.256410256","0.175757576","0.148717949","0.539393939","0.456410256","45.45454545","24.57627119","84.61538462","4.558404558","5.387205387","5.508072175","6.509539843","16.90408357","19.97755331","22.41215575","26.48709315"
"","","MZP2009GUR-AT01","","","","","","","","","MZP2009GUR-AT01-00023","","","","39","39","2","3","4","28","28","25","30","11.5","4.5","16.2","4","16","32.2","55","0.46","0.15","0.290909091","1.964285714","1.41025641","0.892857143","0.641025641","0.571428571","0.41025641","0.578571429","0.415384615","45.45454545","49.68944099","71.79487179","10.92117759","15.21164021","15.19468186","21.16402116","15.38461538","21.42857143","30.57929725","42.59259259"
"","","MZP2009GUR-AT01","","","","","","","","","MZP2009GUR-AT01-00024","","","","39","36","2","2","4","36","20","5","50","1.5","3.4","5","8","4.9","9.9","55","0.3","0.068","0.089090909","1.527777778","1.41025641","0.138888889","0.128205128","0.136111111","0.125641026","0.138888889","0.128205128","9.090909091","49.49494949","92.30769231","1.424501425","1.543209877","4.65337132","5.041152263","4.748338082","5.144032922","9.401709402","10.18518519"
"","","MZP2009GUR-AT01","","","","","","","","","MZP2009GUR-AT01-00025","","","","39","39","1","1","5","32","32","42","120","12","6","18.2","5","18","36.2","162","0.285714286","0.05","0.111111111","5.0625","4.153846154","1.3125","1.076923077","0.5625","0.461538462","0.56875","0.466666667","25.92592593","49.72375691","82.05128205","11.3960114","13.88888889","17.09401709","20.83333333","17.28395062","21.06481481","34.37796771","41.89814815"
"","","MZP2009GUR-AT01","","","","","","","","","MZP2009GUR-AT01-00026","","","","39","39","2","2","4","39","27","17","53","3.5","4.1","8","4","7.6","15.6","70","0.205882353","0.077358491","0.108571429","1.794871795","1.794871795","0.435897436","0.435897436","0.194871795","0.194871795","0.205128205","0.205128205","24.28571429","48.71794872","100","3.323836657","3.323836657","7.217473884","7.217473884","7.597340931","7.597340931","14.81481481","14.81481481"
"","","MZP2009GUR-AT01","","","","","","","","","MZP2009GUR-AT01-00027","","","","39","29","1","1","4","20","20","16","42","9.9","7.4","6","6","17.3","23.3","58","0.61875","0.176190476","0.298275862","2.9","1.487179487","0.8","0.41025641","0.865","0.443589744","0.3","0.153846154","27.5862069","74.24892704","51.28205128","9.401709402","18.33333333","16.42924976","32.03703704","5.698005698","11.11111111","22.12725546","43.14814815"
"","","MZP2009GUR-AT01","","","","","","","","","MZP2009GUR-AT01-00028","","","","39","33","4","4","4","33","33","15","64","7","4.1","10","6","11.1","21.1","79","0.466666667","0.0640625","0.140506329","2.393939394","2.025641026","0.454545455","0.384615385","0.336363636","0.284615385","0.303030303","0.256410256","18.98734177","52.60663507","84.61538462","6.647673314","7.85634119","10.54131054","12.45791246","9.496676163","11.22334456","20.0379867","23.68125701"
"","","MZP2009GUR-AT01","","","","","","","","","MZP2009GUR-AT01-00029","","","","39","30","1","1","4","28","18","20","41","3","2.1","12","4","5.1","17.1","61","0.15","0.051219512","0.083606557","2.178571429","1.564102564","0.714285714","0.512820513","0.182142857","0.130769231","0.428571429","0.307692308","32.78688525","29.8245614","71.79487179","2.849002849","3.968253968","4.843304843","6.746031746","11.3960114","15.87301587","16.23931624","22.61904762"
"","","MZP2009GUR-AT01","","","","","","","","","MZP2009GUR-AT01-00030","","","","39","39","1","1","5","31","31","17","74","5","6.9","13.5","2","11.9","25.4","91","0.294117647","0.093243243","0.130769231","2.935483871","2.333333333","0.548387097","0.435897436","0.383870968","0.305128205","0.435483871","0.346153846","18.68131868","46.8503937","79.48717949","4.748338082","5.973715651","11.30104463","14.21744325","12.82051282","16.12903226","24.12155745","30.34647551"
