"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_irrigation","treatment_non_irrigation"
"","","MZP2012CKE-ST03","","","","","","","","","MZP2012CKE-ST03-00021","","","","26","23","1","1","9","19","11","18","0","2","0","4.4","4","6","1","1","7","9","5","","","","","","","","","","","2","6.4","18","0.111111111","","0.111111111","0.947368421","0.692307692","0.947368421","0.692307692","0.105263158","0.076923077","0.231578947","0.169230769","100","31.25","73.07692308","2.849002849","3.898635478","2.849002849","3.898635478","6.267806268","8.576998051","9.116809117","12.47563353","1",""
"","","MZP2012CKE-ST03","","","","","","","","","MZP2012CKE-ST03-00022","","","","26","20","1","1","7","18","18","38","42","3","1","10","4","5","1","1","7","9","1","3.48","1.44","0.91","165.72","71.47","0","72.25","1.21","3.53","14.56","4","14","80","0.078947368","0.023809524","0.05","4.444444444","3.076923077","2.111111111","1.461538462","0.222222222","0.153846154","0.555555556","0.384615385","47.5","28.57142857","69.23076923","4.273504274","6.172839506","5.698005698","8.230452675","14.24501425","20.57613169","19.94301994","28.80658436","1",""
"","","MZP2012CKE-ST03","","","","","","","","","MZP2012CKE-ST03-00023","","","","26","26","1","1","9","20","20","54","44","6.2","1.5","43","4","4","1","1","7","9","1","3.66","1.8","1.16","358.57","120.19","33.723","70.57","1.14","3.85","13.61","7.7","50.7","98","0.114814815","0.034090909","0.078571429","4.9","3.769230769","2.7","2.076923077","0.385","0.296153846","2.15","1.653846154","55.10204082","15.18737673","76.92307692","8.831908832","11.48148148","10.96866097","14.25925926","61.25356125","79.62962963","72.22222222","93.88888889","1",""
"","","MZP2012CKE-ST03","","","","","","","","","MZP2012CKE-ST03-00024","","","","26","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",""
"","","MZP2012CKE-ST03","","","","","","","","","MZP2012CKE-ST03-00025","","","","26","26","1","2","7","22","22","28","48","2.2","2","24.5","7","9","1","3","7","7","1","3.46","1.43","0.85","71.79","71.25","13.396","65.41","2.39","4.45","15.21","4.2","28.7","76","0.078571429","0.041666667","0.055263158","3.454545455","2.923076923","1.272727273","1.076923077","0.190909091","0.161538462","1.113636364","0.942307692","36.84210526","14.63414634","84.61538462","3.133903134","3.703703704","5.982905983","7.070707071","34.9002849","41.24579125","40.88319088","48.31649832","1",""
"","","MZP2012CKE-ST03","","","","","","","","","MZP2012CKE-ST03-00026","","","","26","26","1","1","6","14","3","0","3","0","0.1","","3","2","1","1","7","9","1","","","","","","0","","","","","0.1","","3","","0.033333333","0.033333333","0.214285714","0.115384615","0","0","0.007142857","0.003846154","","","0","","53.84615385","0","0","0.142450142","0.264550265","","","","","1",""
"","","MZP2012CKE-ST03","","","","","","","","","MZP2012CKE-ST03-00027","","","","26","26","1","1","6","11","5","7","5","0.8","0.5","8","7","6","1","3","7","9","1","3.47","1.2","0.92","117.09","65.42","0","71.31","1.4","3.92","13.1","1.3","9.3","12","0.114285714","0.1","0.108333333","1.090909091","0.461538462","0.636363636","0.269230769","0.118181818","0.05","0.727272727","0.307692308","58.33333333","13.97849462","42.30769231","1.13960114","2.693602694","1.851851852","4.377104377","11.3960114","26.93602694","13.24786325","31.31313131","1",""
"","","MZP2012CKE-ST03","","","","","","","","","MZP2012CKE-ST03-00028","","","","26","26","1","1","5","20","14","28","23","2","1","3","6","6","3","3","5","5","1","","","","","","0","","","","","3","6","51","0.071428571","0.043478261","0.058823529","2.55","1.961538462","1.4","1.076923077","0.15","0.115384615","0.15","0.115384615","54.90196078","50","76.92307692","2.849002849","3.703703704","4.273504274","5.555555556","4.273504274","5.555555556","8.547008547","11.11111111","1",""
"","","MZP2012CKE-ST03","","","","","","","","","MZP2012CKE-ST03-00029","","","","26","4","1","1","3","4","2","1","2","0.3","0.1","1.4","7","7","1","1","7","9","1","3.19","1.64","0.83","88.44","77.6","13.061","68.86","1.51","3.39","14.24","0.4","1.8","3","0.3","0.05","0.133333333","0.75","0.115384615","0.25","0.038461538","0.1","0.015384615","0.35","0.053846154","33.33333333","22.22222222","15.38461538","0.427350427","2.777777778","0.56980057","3.703703704","1.994301994","12.96296296","2.564102564","16.66666667","1",""
"","","MZP2012CKE-ST03","","","","","","","","","MZP2012CKE-ST03-00030","","","","26","20","3","1","6","12","9","9","17","1.8","0.6","6.2","5","4","1","5","5","5","3","3.48","1.53","1","95.64","76.68","36.457","59.51","3.23","5.2","13.68","2.4","8.6","26","0.2","0.035294118","0.092307692","2.166666667","1","0.75","0.346153846","0.2","0.092307692","0.516666667","0.238461538","34.61538462","27.90697674","46.15384615","2.564102564","5.555555556","3.418803419","7.407407407","8.831908832","19.13580247","12.25071225","26.54320988","1",""
