"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2015GUR-MT10","","","","","","","","","MZP2015GUR-MT10-00021","","","","39","31","1","1","5","12","12","10","29","3.4","8.5","3.5","4","3","3","3","","12.39","","","","","11.9","15.4","39","0.34","0.293103448","0.305128205","3.25","1","0.833333333","0.256410256","0.991666667","0.305128205","0.291666667","0.08974359","25.64102564","77.27272727","30.76923077","3.228869896","10.49382716","11.30104463","36.72839506","3.323836657","10.80246914","14.62488129","47.5308642"
"","","MZP2015GUR-MT10","","","","","","","","","MZP2015GUR-MT10-00022","","","","39","33","1","3","5","17","10","0","13","0","4","13","2","5","5","5","","7.23","","","","","4","17","13","","0.307692308","0.307692308","0.764705882","0.333333333","0","0","0.235294118","0.102564103","0.764705882","0.333333333","0","23.52941176","43.58974359","0","0","3.798670465","8.71459695","12.34567901","28.32244009","16.14434948","37.03703704"
"","","MZP2015GUR-MT10","","","","","","","","","MZP2015GUR-MT10-00023","","","","39","35","1","1","5","22","10","0","11","0","4","7","2","7","7","5","","7.23","","","","","4","11","11","","0.363636364","0.363636364","0.5","0.282051282","0","0","0.181818182","0.102564103","0.318181818","0.179487179","0","36.36363636","56.41025641","0","0","3.798670465","6.734006734","6.647673314","11.78451178","10.44634378","18.51851852"
"","","MZP2015GUR-MT10","","","","","","","","","MZP2015GUR-MT10-00024","","","","39","39","1","1","7","24","20","0","14","0","5.7","7","6","5","5","5","","7.23","","","","","5.7","12.7","14","","0.407142857","0.407142857","0.583333333","0.358974359","0","0","0.2375","0.146153846","0.291666667","0.179487179","0","44.88188976","61.53846154","0","0","5.413105413","8.796296296","6.647673314","10.80246914","12.06077873","19.59876543"
"","","MZP2015GUR-MT10","","","","","","","","","MZP2015GUR-MT10-00025","","","","39","32","1","1","7","16","16","12","40","3.4","10.5","4","2","5","5","5","","7.76","","","","","13.9","17.9","52","0.283333333","0.2625","0.267307692","3.25","1.333333333","0.75","0.307692308","0.86875","0.356410256","0.25","0.102564103","23.07692308","77.65363128","41.02564103","3.228869896","7.87037037","13.20037987","32.17592593","3.798670465","9.259259259","16.99905033","41.43518519"
"","","MZP2015GUR-MT10","","","","","","","","","MZP2015GUR-MT10-00026","","","","39","30","1","1","5","29","20","0","13","0","5","13.5","6","5","3","5","","7.23","","","","","5","18.5","13","","0.384615385","0.384615385","0.448275862","0.333333333","0","0","0.172413793","0.128205128","0.465517241","0.346153846","0","27.02702703","74.35897436","0","0","4.748338082","6.385696041","12.82051282","17.24137931","17.5688509","23.62707535"
"","","MZP2015GUR-MT10","","","","","","","","","MZP2015GUR-MT10-00027","","","","39","29","1","1","5","28","10","0","15","0","4.5","18","6","5","3","5","","7.23","","","","","4.5","22.5","15","","0.3","0.3","0.535714286","0.384615385","0","0","0.160714286","0.115384615","0.642857143","0.461538462","0","20","71.79487179","0","0","4.273504274","5.952380952","17.09401709","23.80952381","21.36752137","29.76190476"
"","","MZP2015GUR-MT10","","","","","","","","","MZP2015GUR-MT10-00028","","","","39","30","1","1","5","7","7","0","17","0","5","7.5","4","5","3","5","","7.23","","","","","5","12.5","17","","0.294117647","0.294117647","2.428571429","0.435897436","0","0","0.714285714","0.128205128","1.071428571","0.192307692","0","40","17.94871795","0","0","4.748338082","26.45502646","7.122507123","39.68253968","11.8708452","66.13756614"
"","","MZP2015GUR-MT10","","","","","","","","","MZP2015GUR-MT10-00029","","","","39","19","1","1","5","19","19","0","42","0","10.5","6","2","5","3","5","","7.76","","","","","10.5","16.5","42","","0.25","0.25","2.210526316","1.076923077","0","0","0.552631579","0.269230769","0.315789474","0.153846154","0","63.63636364","48.71794872","0","0","9.971509972","20.46783626","5.698005698","11.69590643","15.66951567","32.16374269"
"","","MZP2015GUR-MT10","","","","","","","","","MZP2015GUR-MT10-00030","","","","39","30","1","3","5","30","30","0","47","0","11.5","16","2","3","3","5","","7.23","","","","","11.5","27.5","47","","0.244680851","0.244680851","1.566666667","1.205128205","0","0","0.383333333","0.294871795","0.533333333","0.41025641","0","41.81818182","76.92307692","0","0","10.92117759","14.19753086","15.19468186","19.75308642","26.11585945","33.95061728"
