"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root dry matter content computing percent|CO_331:0000297","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00019","","","","90","39","34","62","103","20","10","34","5","5","17.641","2.54","31.11","1.25","21.82","30","64","165","0.322580645","0.097087379","0.181818182","4.230769231","1.833333333","1.58974359","0.688888889","0.769230769","0.333333333","0.871794872","0.377777778","37.57575758","46.875","43.33333333","5.2923","8.230452675","18.99335233","12.34567901","28.49002849","13.99176955","32.28869896","2.177901235","5.025925926","26.33744856","60.77872745"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00039","","","","90","22","17","46","52","23","4","24","6","3","","","","","","27","51","98","0.5","0.076923077","0.275510204","4.454545455","1.088888889","2.090909091","0.511111111","1.227272727","0.3","1.090909091","0.266666667","46.93877551","52.94117647","24.44444444","","9.465020576","38.72053872","11.11111111","45.45454545","9.87654321","40.4040404","","","20.98765432","85.85858586"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00030","","","","90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00065","","","","90","6","0","0","0","0","0","3","","","","","","","","0","3","0","","","","0","0","0","0","0","0","0.5","0.033333333","","0","6.666666667","","0","0","0","0","1.234567901","18.51851852","","","1.234567901","18.51851852"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00026","","","","90","33","0","0","0","0","0","5","","","","","","","","0","5","0","","","","0","0","0","0","0","0","0.151515152","0.055555556","","0","36.66666667","","0","0","0","0","2.057613169","5.611672278","","","2.057613169","5.611672278"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00046","","","","90","36","15","11","10","2","1.6","5","7","6","","","","","","3.6","8.6","21","0.181818182","0.16","0.171428571","0.583333333","0.233333333","0.305555556","0.122222222","0.1","0.04","0.138888889","0.055555556","52.38095238","41.86046512","40","","0.823045267","2.057613169","1.481481481","3.703703704","2.057613169","5.144032922","","","3.53909465","8.847736626"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00016","","","","90","29","15","8","40","1.4","2","15","5","7","31.889","2.33","59.69","1.23","19.98","3.4","18.4","48","0.175","0.05","0.070833333","1.655172414","0.533333333","0.275862069","0.088888889","0.117241379","0.037777778","0.517241379","0.166666667","16.66666667","18.47826087","32.22222222","1.084226","0.576131687","1.787994891","1.399176955","4.342273308","6.172839506","19.15708812","0.446183539","1.384707535","7.572016461","23.49936143"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00059","","","","90","24","6","26","45","4.4","3","11","2","7","","","","","","7.4","18.4","71","0.169230769","0.066666667","0.104225352","2.958333333","0.788888889","1.083333333","0.288888889","0.308333333","0.082222222","0.458333333","0.122222222","36.61971831","40.2173913","26.66666667","","1.810699588","6.790123457","3.04526749","11.41975309","4.526748971","16.97530864","","","7.572016461","28.39506173"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00022","","","","90","43","33","42","45","11","4","12","2","5","27.716","2.02","62.14","1.01","22.58","15","27","87","0.261904762","0.088888889","0.172413793","2.023255814","0.966666667","0.976744186","0.466666667","0.348837209","0.166666667","0.279069767","0.133333333","48.27586207","55.55555556","47.77777778","4.1574","4.526748971","9.47459087","6.172839506","12.91989664","4.938271605","10.33591731","1.710864198","3.580878553","11.11111111","23.25581395"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00042","","","","90","28","18","23","23","12","3","20","6","5","","","","","","15","35","46","0.52173913","0.130434783","0.326086957","1.642857143","0.511111111","0.821428571","0.255555556","0.535714286","0.166666667","0.714285714","0.222222222","50","42.85714286","31.11111111","","4.938271605","15.87301587","6.172839506","19.84126984","8.230452675","26.45502646","","","14.40329218","46.2962963"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00013","","","","90","48","48","117","8","26","7","15","2","5","25.68","1.88","55.02","1.05","21.58","33","48","125","0.222222222","0.875","0.264","2.604166667","1.388888889","2.4375","1.3","0.6875","0.366666667","0.3125","0.166666667","93.6","68.75","53.33333333","8.4744","10.69958848","20.0617284","13.58024691","25.46296296","6.172839506","11.57407407","3.487407407","6.538888889","19.75308642","37.03703704"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00035","","","","90","49","40","102","105","19","6","50","2","5","28.293","1.93","62.28","1.18","0.72","25","75","207","0.18627451","0.057142857","0.120772947","4.224489796","2.3","2.081632653","1.133333333","0.510204082","0.277777778","1.020408163","0.555555556","49.27536232","33.33333333","54.44444444","7.07325","7.818930041","14.36130008","10.28806584","18.89644747","20.57613169","37.79289494","2.910802469","5.346371882","30.86419753","56.6893424"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00020","","","","90","44","37","44","100","12","9","20","5","5","27.233","2.11","56.09","0.99","30.51","21","41","144","0.272727273","0.09","0.145833333","3.272727273","1.6","1","0.488888889","0.477272727","0.233333333","0.454545455","0.222222222","30.55555556","51.2195122","48.88888889","5.71893","4.938271605","10.1010101","8.641975309","17.67676768","8.230452675","16.83501684","2.353469136","4.813914141","16.87242798","34.51178451"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00045","","","","90","37","28","52","47","13","3.2","39","2","6","26.011","2.04","55.77","1.08","14.02","16.2","55.2","99","0.25","0.068085106","0.163636364","2.675675676","1.1","1.405405405","0.577777778","0.437837838","0.18","1.054054054","0.433333333","52.52525253","29.34782609","41.11111111","4.213782","5.349794239","13.01301301","6.666666667","16.21621622","16.04938272","39.03903904","1.734066667","4.218","22.71604938","55.25525526"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00024","","","","90","25","15","23","42","5","2","28","3","5","","","","","","7","35","65","0.217391304","0.047619048","0.107692308","2.6","0.722222222","0.92","0.255555556","0.28","0.077777778","1.12","0.311111111","35.38461538","20","27.77777778","","2.057613169","7.407407407","2.880658436","10.37037037","11.52263374","41.48148148","","","14.40329218","51.85185185"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00057","","","","90","44","16","14","23","3","2","21","2","8","","","","","","5","26","37","0.214285714","0.086956522","0.135135135","0.840909091","0.411111111","0.318181818","0.155555556","0.113636364","0.055555556","0.477272727","0.233333333","37.83783784","19.23076923","48.88888889","","1.234567901","2.525252525","2.057613169","4.208754209","8.641975309","17.67676768","","","10.69958848","21.88552189"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00028","","","","90","30","27","41","46","14","3","17","7","5","","","","","","17","34","87","0.341463415","0.065217391","0.195402299","2.9","0.966666667","1.366666667","0.455555556","0.566666667","0.188888889","0.566666667","0.188888889","47.12643678","50","33.33333333","","5.761316872","17.28395062","6.995884774","20.98765432","6.995884774","20.98765432","","","13.99176955","41.97530864"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00054","","","","90","8","2","3","3","0.3","0.2","3","3","5","","","","","","0.5","3.5","6","0.1","0.066666667","0.083333333","0.75","0.066666667","0.375","0.033333333","0.0625","0.005555556","0.375","0.033333333","50","14.28571429","8.888888889","","0.12345679","1.388888889","0.205761317","2.314814815","1.234567901","13.88888889","","","1.440329218","16.2037037"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00002","","","","90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00053","","","","90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00009","","","","90","22","3","3","1","1","0.1","7","5","8","","","","","","1.1","8.1","4","0.333333333","0.1","0.275","0.181818182","0.044444444","0.136363636","0.033333333","0.05","0.012222222","0.318181818","0.077777778","75","13.58024691","24.44444444","","0.411522634","1.683501684","0.452674897","1.851851852","2.880658436","11.78451178","","","3.333333333","13.63636364"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00062","","","","90","34","14","10","10","4","2","11","7","5","","","","","","6","17","20","0.4","0.2","0.3","0.588235294","0.222222222","0.294117647","0.111111111","0.176470588","0.066666667","0.323529412","0.122222222","50","35.29411765","37.77777778","","1.646090535","4.357298475","2.469135802","6.535947712","4.526748971","11.98257081","","","6.995884774","18.51851852"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00027","","","","90","28","26","22","30","9","5","27","5","4","23.696","2.33","53.59","1.52","19.55","14","41","52","0.409090909","0.166666667","0.269230769","1.857142857","0.577777778","0.785714286","0.244444444","0.5","0.155555556","0.964285714","0.3","42.30769231","34.14634146","31.11111111","3.31744","3.703703704","11.9047619","5.761316872","18.51851852","11.11111111","35.71428571","1.365201646","4.388148148","16.87242798","54.23280423"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00037","","","","90","42","31","48","58","17","5","19","5","5","22.154","2.13","54.54","1.41","19.64","22","41","106","0.354166667","0.086206897","0.20754717","2.523809524","1.177777778","1.142857143","0.533333333","0.523809524","0.244444444","0.452380952","0.211111111","45.28301887","53.65853659","46.66666667","4.87388","6.995884774","14.99118166","9.053497942","19.40035273","7.818930041","16.75485009","2.005711934","4.297954145","16.87242798","36.15520282"
