"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207"," Content of total sugars estimating 1-9|CO_331:0000766","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Vine dry matter yield per NET plot in tons per ha|CO_331:0001005","Vine dry matter yield adjusted per NET plot in tons per ha|CO_331:0001006","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00070","","","","39","30","1","3","7","29","0","0","0","0","0","15","","","","","","","0","15","0","","","","0","0","0","0","0","0","0.517241379","0.384615385","","0","74.35897436","0","0","0","0","14.24501425","19.15708812","","","14.24501425","19.15708812"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00071","","","","39","30","1","1","5","20","20","0","36","0","16","7","5","3","7","5","1","4.92","16","23","36","","0.444444444","0.444444444","1.8","0.923076923","0","0","0.8","0.41025641","0.35","0.179487179","0","69.56521739","51.28205128","0","0","15.19468186","29.62962963","6.647673314","12.96296296","33.33333333","65","21.84235518","42.59259259"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00072","","","","39","30","1","3","5","29","29","0","47","0","16.5","8","2","3","7","5","3","7.76","16.5","24.5","47","","0.35106383","0.35106383","1.620689655","1.205128205","0","0","0.568965517","0.423076923","0.275862069","0.205128205","0","67.34693878","74.35897436","0","0","15.66951567","21.07279693","7.597340931","10.21711367","38.0952381","51.23152709","23.2668566","31.2899106"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00073","","","","39","30","1","3","7","16","7","0","7","0","2","13.5","6","7","3","5","3","5.49","2","15.5","7","","0.285714286","0.285714286","0.4375","0.179487179","0","0","0.125","0.051282051","0.84375","0.346153846","0","12.90322581","41.02564103","0","0","1.899335233","4.62962963","12.82051282","31.25","64.28571429","156.6964286","14.71984805","35.87962963"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00074","","","","39","39","1","3","5","30","8","0","9","0","2.2","17.5","2","5","9","5","3","7.76","2.2","19.7","9","","0.244444444","0.244444444","0.3","0.230769231","0","0","0.073333333","0.056410256","0.583333333","0.448717949","0","11.16751269","76.92307692","0","0","2.089268756","2.716049383","16.61918329","21.60493827","83.33333333","108.3333333","18.70845204","24.32098765"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00075","","","","39","35","1","3","5","13","0","0","0","0","0","10.5","","","","","","","0","10.5","0","","","","0","0","0","0","0","0","0.807692308","0.269230769","","0","33.33333333","0","0","0","0","9.971509972","29.91452991","","","9.971509972","29.91452991"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00076","","","","39","33","1","3","5","28","28","0","45","0","10","13","5","3","5","3","1","1.76","10","23","45","","0.222222222","0.222222222","1.607142857","1.153846154","0","0","0.357142857","0.256410256","0.464285714","0.333333333","0","43.47826087","71.79487179","0","0","9.496676163","13.22751323","12.34567901","17.1957672","12.38095238","17.24489796","21.84235518","30.42328042"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00077","","","","39","20","3","5","5","10","0","0","0","0","0","5","","","","","","","0","5","0","","","","0","0","0","0","0","0","0.5","0.128205128","","0","25.64102564","0","0","0","0","4.748338082","18.51851852","","","4.748338082","18.51851852"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00078","","","","39","19","1","3","5","19","7","0","8","0","1.5","6","5","3","7","7","5","11.03","1.5","7.5","8","","0.1875","0.1875","0.421052632","0.205128205","0","0","0.078947368","0.038461538","0.315789474","0.153846154","0","20","48.71794872","0","0","1.424501425","2.923976608","5.698005698","11.69590643","40","82.10526316","7.122507123","14.61988304"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00079","","","","39","19","1","3","5","6","0","0","0","0","0","4.5","","","","","","","0","4.5","0","","","","0","0","0","0","0","0","0.75","0.115384615","","0","15.38461538","0","0","0","0","4.273504274","27.77777778","","","4.273504274","27.77777778"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00080","","","","39","20","3","5","5","13","1","0","1","0","0.2","16.5","6","7","9","1","1","1.04","0.2","16.7","1","","0.2","0.2","0.076923077","0.025641026","0","0","0.015384615","0.005128205","1.269230769","0.423076923","0","1.19760479","33.33333333","0","0","0.189933523","0.56980057","15.66951567","47.00854701","3.142857143","9.428571429","15.85944919","47.57834758"
