"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_irrigation","treatment_non_irrigation"
"","","MZP2013GUR-ST02","","","","","","","","","MZP2013GUR-ST02-00085","","","","26","26","1","3","7","26","26","16","17","5.5","7.9","10.5","1","1","5","1","7","3","3","6.21","3.28","2.12","36.62","89.12","41.73","40.42","3.69","6.81","20.04","13.4","23.9","33","0.34375","0.464705882","0.406060606","1.269230769","1.269230769","0.615384615","0.615384615","0.515384615","0.515384615","0.403846154","0.403846154","48.48484848","56.06694561","100","7.834757835","7.834757835","19.08831909","19.08831909","14.95726496","14.95726496","34.04558405","34.04558405","","1"
"","","MZP2013GUR-ST02","","","","","","","","","MZP2013GUR-ST02-00086","","","","26","17","1","3","3","14","14","12","17","4","5.7","4.5","3","3","3","1","7","3","3","3.94","2.07","1.27","9.95","43.61","29.47","59.63","2.54","4.46","9.17","9.7","14.2","29","0.333333333","0.335294118","0.334482759","2.071428571","1.115384615","0.857142857","0.461538462","0.692857143","0.373076923","0.321428571","0.173076923","41.37931034","68.30985915","53.84615385","5.698005698","10.58201058","13.81766382","25.66137566","6.41025641","11.9047619","20.22792023","37.56613757","","1"
"","","MZP2013GUR-ST02","","","","","","","","","MZP2013GUR-ST02-00087","","","","26","25","1","3","5","25","25","22","29","10.5","13.3","12.5","3","1","3","1","5","3","3","4.58","2.17","1.33","0","44.9","5.97","57.75","0.95","2.47","15.48","23.8","36.3","51","0.477272727","0.45862069","0.466666667","2.04","1.961538462","0.88","0.846153846","0.952","0.915384615","0.5","0.480769231","43.1372549","65.56473829","96.15384615","14.95726496","15.55555556","33.9031339","35.25925926","17.80626781","18.51851852","51.70940171","53.77777778","","1"
"","","MZP2013GUR-ST02","","","","","","","","","MZP2013GUR-ST02-00088","","","","26","22","1","3","5","22","22","25","15","12","4.5","10.5","1","1","3","1","5","3","3","4.23","2.05","1.17","0","36.12","0","70.51","0.36","2.06","6.66","16.5","27","40","0.48","0.3","0.4125","1.818181818","1.538461538","1.136363636","0.961538462","0.75","0.634615385","0.477272727","0.403846154","62.5","61.11111111","84.61538462","17.09401709","20.2020202","23.5042735","27.77777778","14.95726496","17.67676768","38.46153846","45.45454545","","1"
"","","MZP2013GUR-ST02","","","","","","","","","MZP2013GUR-ST02-00089","","","","26","18","1","1","5","18","18","8","24","2","5.5","7.5","3","3","5","1","5","3","3","5.51","3.39","2.11","142.67","128.6","27.91","38.04","6.65","11.95","25.62","7.5","15","32","0.25","0.229166667","0.234375","1.777777778","1.230769231","0.444444444","0.307692308","0.416666667","0.288461538","0.416666667","0.288461538","25","50","69.23076923","2.849002849","4.115226337","10.68376068","15.43209877","10.68376068","15.43209877","21.36752137","30.86419753","","1"
"","","MZP2013GUR-ST02","","","","","","","","","MZP2013GUR-ST02-00090","","","","26","25","1","1","5","25","25","15","45","5.6","13.5","11.5","1","1","5","1","7","5","3","5.6","3.15","2.07","0","53.85","43.53","46.27","0.04","2.81","25.77","19.1","30.6","60","0.373333333","0.3","0.318333333","2.4","2.307692308","0.6","0.576923077","0.764","0.734615385","0.46","0.442307692","25","62.41830065","96.15384615","7.977207977","8.296296296","27.20797721","28.2962963","16.38176638","17.03703704","43.58974359","45.33333333","","1"
"","","MZP2013GUR-ST02","","","","","","","","","MZP2013GUR-ST02-00091","","","","26","21","1","3","7","21","21","11","18","3.5","6.9","7.5","3","3","5","1","5","3","3","","","","","","","","","","","10.4","17.9","29","0.318181818","0.383333333","0.35862069","1.380952381","1.115384615","0.523809524","0.423076923","0.495238095","0.4","0.357142857","0.288461538","37.93103448","58.10055866","80.76923077","4.985754986","6.172839506","14.81481481","18.34215168","10.68376068","13.22751323","25.4985755","31.5696649","","1"
"","","MZP2013GUR-ST02","","","","","","","","","MZP2013GUR-ST02-00092","","","","26","23","1","1","5","23","23","20","40","7.5","12.5","10.5","3","1","5","1","5","3","3","4.69","2.95","1.92","84.29","76.23","47.13","46.71","0.57","3.27","28.98","20","30.5","60","0.375","0.3125","0.333333333","2.608695652","2.307692308","0.869565217","0.769230769","0.869565217","0.769230769","0.456521739","0.403846154","33.33333333","65.57377049","88.46153846","10.68376068","12.07729469","28.49002849","32.20611916","14.95726496","16.90821256","43.44729345","49.11433172","","1"
"","","MZP2013GUR-ST02","","","","","","","","","MZP2013GUR-ST02-00093","","","","26","26","1","1","5","26","26","21","32","10.9","13.3","14.5","1","1","5","1","5","3","3","5.16","2.18","1.39","0","38.65","6.66","60.16","1.01","2.79","13.42","24.2","38.7","53","0.519047619","0.415625","0.456603774","2.038461538","2.038461538","0.807692308","0.807692308","0.930769231","0.930769231","0.557692308","0.557692308","39.62264151","62.53229974","100","15.52706553","15.52706553","34.47293447","34.47293447","20.65527066","20.65527066","55.12820513","55.12820513","","1"
"","","MZP2013GUR-ST02","","","","","","","","","MZP2013GUR-ST02-00094","","","","26","25","1","3","5","25","25","9","24","2","7.9","3.5","3","5","7","1","7","3","3","6","2.74","1.6","123.74","90.82","33.89","45.86","4","7.23","20.49","9.9","13.4","33","0.222222222","0.329166667","0.3","1.32","1.269230769","0.36","0.346153846","0.396","0.380769231","0.14","0.134615385","27.27272727","73.88059701","96.15384615","2.849002849","2.962962963","14.1025641","14.66666667","4.985754986","5.185185185","19.08831909","19.85185185","","1"
