"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2015GUR-MT03","","","","","","","","","MZP2015GUR-MT03-00021","","","","39","30","1","1","5","30","30","12","30","3.5","11.5","15","5","5","3","1","7","3","5","11.03","15","30","42","0.291666667","0.383333333","0.357142857","1.4","1.076923077","0.4","0.307692308","0.5","0.384615385","0.5","0.384615385","28.57142857","50","76.92307692","3.323836657","4.320987654","14.24501425","18.51851852","14.24501425","18.51851852","28.49002849","37.03703704"
"","","MZP2015GUR-MT03","","","","","","","","","MZP2015GUR-MT03-00022","","","","39","32","1","1","9","32","31","17","39","4.5","13.5","17","3","3","3","1","5","5","3","6.12","18","35","56","0.264705882","0.346153846","0.321428571","1.75","1.435897436","0.53125","0.435897436","0.5625","0.461538462","0.53125","0.435897436","30.35714286","51.42857143","82.05128205","4.273504274","5.208333333","17.09401709","20.83333333","16.14434948","19.67592593","33.23836657","40.50925926"
"","","MZP2015GUR-MT03","","","","","","","","","MZP2015GUR-MT03-00023","","","","39","30","1","1","5","30","22","10","27","3","7.5","18.5","3","3","1","1","5","7","3","5.49","10.5","29","37","0.3","0.277777778","0.283783784","1.233333333","0.948717949","0.333333333","0.256410256","0.35","0.269230769","0.616666667","0.474358974","27.02702703","36.20689655","76.92307692","2.849002849","3.703703704","9.971509972","12.96296296","17.5688509","22.83950617","27.54036087","35.80246914"
"","","MZP2015GUR-MT03","","","","","","","","","MZP2015GUR-MT03-00024","","","","39","30","1","1","5","29","29","24","39","6.2","7.3","19.8","5","5","3","1","5","3","3","6.12","13.5","33.3","63","0.258333333","0.187179487","0.214285714","2.172413793","1.615384615","0.827586207","0.615384615","0.465517241","0.346153846","0.682758621","0.507692308","38.0952381","40.54054054","74.35897436","5.887939221","7.918263091","12.82051282","17.24137931","18.8034188","25.28735632","31.62393162","42.52873563"
"","","MZP2015GUR-MT03","","","","","","","","","MZP2015GUR-MT03-00025","","","","39","25","1","1","5","25","20","11","19","3.1","5.9","7.5","5","5","3","1","5","5","3","7.76","9","16.5","30","0.281818182","0.310526316","0.3","1.2","0.769230769","0.44","0.282051282","0.36","0.230769231","0.3","0.192307692","36.66666667","54.54545455","64.1025641","2.943969611","4.592592593","8.547008547","13.33333333","7.122507123","11.11111111","15.66951567","24.44444444"
"","","MZP2015GUR-MT03","","","","","","","","","MZP2015GUR-MT03-00026","","","","39","22","1","1","5","22","12","0","19","0","5.8","10.5","5","5","3","3","1","9","1","0.03","5.8","16.3","19","","0.305263158","0.305263158","0.863636364","0.487179487","0","0","0.263636364","0.148717949","0.477272727","0.269230769","0","35.58282209","56.41025641","0","0","5.508072175","9.764309764","9.971509972","17.67676768","15.47958215","27.44107744"
"","","MZP2015GUR-MT03","","","","","","","","","MZP2015GUR-MT03-00027","","","","39","30","1","3","5","28","20","17","38","5.5","13.5","20.5","1","3","1","1","5","7","3","7.76","19","39.5","55","0.323529412","0.355263158","0.345454545","1.964285714","1.41025641","0.607142857","0.435897436","0.678571429","0.487179487","0.732142857","0.525641026","30.90909091","48.10126582","71.79487179","5.22317189","7.275132275","18.04368471","25.13227513","19.46818613","27.11640212","37.51187085","52.24867725"
"","","MZP2015GUR-MT03","","","","","","","","","MZP2015GUR-MT03-00028","","","","39","21","1","3","5","21","17","0","21","0","6.7","12.5","5","5","3","1","5","7","3","7.23","6.7","19.2","21","","0.319047619","0.319047619","1","0.538461538","0","0","0.319047619","0.171794872","0.595238095","0.320512821","0","34.89583333","53.84615385","0","0","6.362773029","11.81657848","11.8708452","22.04585538","18.23361823","33.86243386"
"","","MZP2015GUR-MT03","","","","","","","","","MZP2015GUR-MT03-00029","","","","39","23","1","1","5","23","23","17","23","6","7","19.5","5","3","1","3","3","7","1","","13","32.5","40","0.352941176","0.304347826","0.325","1.739130435","1.025641026","0.739130435","0.435897436","0.565217391","0.333333333","0.847826087","0.5","42.5","40","58.97435897","5.698005698","9.661835749","12.34567901","20.93397746","18.51851852","31.40096618","30.86419753","52.33494364"
"","","MZP2015GUR-MT03","","","","","","","","","MZP2015GUR-MT03-00030","","","","39","25","1","3","5","25","21","12","22","4","6","18.5","5","5","1","1","5","5","3","7.76","10","28.5","34","0.333333333","0.272727273","0.294117647","1.36","0.871794872","0.48","0.307692308","0.4","0.256410256","0.74","0.474358974","35.29411765","35.0877193","64.1025641","3.798670465","5.925925926","9.496676163","14.81481481","17.5688509","27.40740741","27.06552707","42.22222222"
