"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00055","","","","120","49","49","25","67","8","5","22","2","2","13","35","92","0.32","0.074626866","0.141304348","1.87755102","0.766666667","0.510204082","0.208333333","0.265306122","0.108333333","0.448979592","0.183333333","27.17391304","37.14285714","40.83333333","2.469135802","6.04686319","4.012345679","9.826152683","6.790123457","16.62887377","10.80246914","26.45502646"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00012","","","","120","82","82","56","93","17","7.5","22","2","3","24.5","46.5","149","0.303571429","0.080645161","0.16442953","1.817073171","1.241666667","0.682926829","0.466666667","0.298780488","0.204166667","0.268292683","0.183333333","37.58389262","52.68817204","68.33333333","5.24691358","7.678410117","7.561728395","11.06594399","6.790123457","9.936766034","14.35185185","21.00271003"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00045","","","","140","70","70","49","13","17.5","4","19","2","2","21.5","40.5","62","0.357142857","0.307692308","0.346774194","0.885714286","0.442857143","0.7","0.35","0.307142857","0.153571429","0.271428571","0.135714286","79.03225806","53.08641975","50","4.62962963","9.259259259","5.687830688","11.37566138","5.026455026","10.05291005","10.71428571","21.42857143"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00028","","","","120","44","44","14","64","2.31","3.31","11.13","1","4","5.62","16.75","78","0.165","0.05171875","0.072051282","1.772727273","0.65","0.318181818","0.116666667","0.127727273","0.046833333","0.252954545","0.09275","17.94871795","33.55223881","36.66666667","0.712962963","1.944444444","1.734567901","4.730639731","3.435185185","9.368686869","5.169753086","14.0993266"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00061","","","","120","52","52","50","100","15","12","46","1","4","27","73","150","0.3","0.12","0.18","2.884615385","1.25","0.961538462","0.416666667","0.519230769","0.225","0.884615385","0.383333333","33.33333333","36.98630137","43.33333333","4.62962963","10.68376068","8.333333333","19.23076923","14.19753086","32.76353276","22.5308642","51.99430199"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00019","","","","120","50","50","80","118","24.99","0.21","22.24","1","4","25.2","47.44","198","0.312375","0.001779661","0.127272727","3.96","1.65","1.6","0.666666667","0.504","0.21","0.4448","0.185333333","40.4040404","53.11973019","41.66666667","7.712962963","18.51111111","7.777777778","18.66666667","6.864197531","16.47407407","14.64197531","35.14074074"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00052","","","","100","60","60","70","130","24","11","27","2","5","35","62","200","0.342857143","0.084615385","0.175","3.333333333","2","1.166666667","0.7","0.583333333","0.35","0.45","0.27","35","56.4516129","60","8.888888889","14.81481481","12.96296296","21.60493827","10","16.66666667","22.96296296","38.27160494"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00007","","","","140","85","85","94","40","6.19","3.2","45.52","1","4","9.39","54.91","134","0.065851064","0.08","0.070074627","1.576470588","0.957142857","1.105882353","0.671428571","0.110470588","0.067071429","0.535529412","0.325142857","70.14925373","17.10071025","60.71428571","1.637566138","2.697167756","2.484126984","4.091503268","12.04232804","19.83442266","14.52645503","23.92592593"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00040","","","","120","69","69","65","81","28","5","48","2","5","33","81","146","0.430769231","0.061728395","0.226027397","2.115942029","1.216666667","0.942028986","0.541666667","0.47826087","0.275","0.695652174","0.4","44.52054795","40.74074074","57.5","8.641975309","15.02952228","10.18518519","17.71336554","14.81481481","25.76489533","25","43.47826087"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00017","","","","120","81","81","90","80","9.91","7.3","33","1","4","17.21","50.21","170","0.110111111","0.09125","0.101235294","2.098765432","1.416666667","1.111111111","0.75","0.212469136","0.143416667","0.407407407","0.275","52.94117647","34.27604063","67.5","3.058641975","4.531321445","5.311728395","7.869227252","10.18518519","15.08916324","15.49691358","22.95839049"
