"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2012UMB-PT01","","","","","","","","","MZP2012UMB-PT01-00023","","","","26","14","2","1","5","14","5","0","6","0","0.2","18.8","7","9","1","47.9","13.3","1","7","5","5","4.19","2.12","1.36","","","57.14","3.11","5.88","13.97","0.2","19","6","","0.033333333","0.033333333","0.428571429","0.230769231","0","0","0.014285714","0.007692308","1.342857143","0.723076923","0","1.052631579","53.84615385","27.76617954","0.055532359","0","0","0.284900285","0.529100529","26.78062678","49.73544974","0.079105925","0.146911003","27.06552707","50.26455026"
"","","MZP2012UMB-PT01","","","","","","","","","MZP2012UMB-PT01-00024","","","","26","11","2","1","4","11","2","6","0","1","0","15","4","3","1","50","13.8","1","5","7","5","8.06","2.54","1.06","19.549","3.76","55.57","3.16","5.77","11.5","1","16","6","0.166666667","","0.166666667","0.545454545","0.230769231","0.545454545","0.230769231","0.090909091","0.038461538","1.363636364","0.576923077","100","6.25","42.30769231","27.6","0.276","1.424501425","3.367003367","1.424501425","3.367003367","21.36752137","50.50505051","0.393162393","0.929292929","22.79202279","53.87205387"
"","","MZP2012UMB-PT01","","","","","","","","","MZP2012UMB-PT01-00025","","","","26","17","1","1","6","17","9","37","36","3.8","1","47.5","4","5","1","50.4","16.2","3","9","7","1","3.27","1.8","0.89","81.386","3.96","58.47","3.23","4.73","14","4.8","52.3","73","0.102702703","0.027777778","0.065753425","4.294117647","2.807692308","2.176470588","1.423076923","0.282352941","0.184615385","2.794117647","1.826923077","50.68493151","9.177820268","65.38461538","32.14285714","1.542857143","5.413105413","8.278867102","6.837606838","10.45751634","67.66381766","103.4858388","2.197802198","3.361344538","74.5014245","113.9433551"
"","","MZP2012UMB-PT01","","","","","","","","","MZP2012UMB-PT01-00026","","","","26","15","2","1","8","15","4","4","5","0.4","0.2","40.5","6","6","1","50.1","13.1","1","7","7","3","4.68","2.14","1.05","44.866","0.15","58.48","4.01","6.09","10.66","0.6","41.1","9","0.1","0.04","0.066666667","0.6","0.346153846","0.266666667","0.153846154","0.04","0.023076923","2.7","1.557692308","44.44444444","1.459854015","57.69230769","26.14770459","0.156886228","0.56980057","0.987654321","0.854700855","1.481481481","57.69230769","100","0.223484655","0.387373401","58.54700855","101.4814815"
"","","MZP2012UMB-PT01","","","","","","","","","MZP2012UMB-PT01-00027","","","","26","11","4","1","7","11","3","4","9","1","1","25","7","6","1","50.8","15.9","1","3","3","5","5.84","2.31","1.16","","","59.76","1.97","3.83","14.24","2","27","13","0.25","0.111111111","0.153846154","1.181818182","0.5","0.363636364","0.153846154","0.181818182","0.076923077","2.272727273","0.961538462","30.76923077","7.407407407","42.30769231","31.2992126","0.625984252","1.424501425","3.367003367","2.849002849","6.734006734","35.61253561","84.17508418","0.891715459","2.107691084","38.46153846","90.90909091"
"","","MZP2012UMB-PT01","","","","","","","","","MZP2012UMB-PT01-00028","","","","26","3","1","1","3","3","1","0","4","0","0.1","1.5","4","7","1","50.6","14.5","1","3","7","5","3.75","1.63","1.07","11.925","1.74","65.26","2.4","3.93","8.85","0.1","1.6","4","","0.025","0.025","1.333333333","0.153846154","0","0","0.033333333","0.003846154","0.5","0.057692308","0","6.25","11.53846154","28.65612648","0.028656126","0","0","0.142450142","1.234567901","2.136752137","18.51851852","0.040820693","0.353779339","2.279202279","19.75308642"
"","","MZP2012UMB-PT01","","","","","","","","","MZP2012UMB-PT01-00029","","","","26","16","3","1","8","16","10","16","15","11.5","2.5","32.5","7","8","1","50.3","10.6","1","5","5","5","7.69","2.72","1.73","32.433","5.46","58.42","3.05","5.19","11.43","14","46.5","31","0.71875","0.166666667","0.451612903","1.9375","1.192307692","1","0.615384615","0.875","0.538461538","2.03125","1.25","51.61290323","30.10752688","61.53846154","21.07355865","2.950298211","16.38176638","26.62037037","19.94301994","32.40740741","46.2962963","75.23148148","4.202704004","6.829394006","66.23931624","107.6388889"
"","","MZP2012UMB-PT01","","","","","","","","","MZP2012UMB-PT01-00030","","","","26","8","1","1","5","8","1","0","6","0","0.1","65","7","7","1","","","1","7","7","3","","","","","3.76","","","","","0.1","65.1","6","","0.016666667","0.016666667","0.75","0.230769231","0","0","0.0125","0.003846154","8.125","2.5","0","0.153609831","30.76923077","","","0","0","0.142450142","0.462962963","92.59259259","300.9259259","","","92.73504274","301.3888889"
"","","MZP2012UMB-PT01","","","","","","","","","MZP2012UMB-PT01-00031","","","","26","18","1","1","8","18","9","6","12","1","0.8","14","5","7","1","","","1","9","5","3","","","","","7.76","","","","","1.8","15.8","18","0.166666667","0.066666667","0.1","1","0.692307692","0.333333333","0.230769231","0.1","0.069230769","0.777777778","0.538461538","33.33333333","11.39240506","69.23076923","","","1.424501425","2.057613169","2.564102564","3.703703704","19.94301994","28.80658436","","","22.50712251","32.51028807"
"","","MZP2012UMB-PT01","","","","","","","","","MZP2012UMB-PT01-00032","","","","26","6","2","1","2","6","1","2","0","0.1","0","0.8","6","5","1","","","","","","","","","","","","","","","","0.1","0.9","2","0.05","","0.05","0.333333333","0.076923077","0.333333333","0.076923077","0.016666667","0.003846154","0.133333333","0.030769231","100","11.11111111","23.07692308","","","0.142450142","0.617283951","0.142450142","0.617283951","1.13960114","4.938271605","","","1.282051282","5.555555556"
