"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Number of plants with storage roots per NET plot|CO_331:0000211","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Commercial storage root yield tons per ha|CO_331:0000809","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207"," Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259"," Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Fiber content in raw storage roots estimating 1-9|CO_331:0001038","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00021","","","","25","25","4","5","1","29","32","3.5","1","5.185185185","2","1","1","0.02","2","2","5","5","4","5","3","2","3","16.79","4.5","5.5","61","0.120689655","0.03125","0.073770492","2.44","1.16","0.18","0.04","47.54098361","81.81818182","0.75555","6.666666667","1.481481481","1.119333333","8.148148148"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00022","","","","25","25","3","3","0.2","0","16","0","1.5","0","1","9","6","1.65","1","1","5","5","5","4","3","3","3","7.61","1.5","1.7","16","","0.09375","0.09375","0.64","0","0.06","0.008","0","88.23529412","0.11415","2.222222222","0.296296296","0.169111111","2.518518519"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00023","","","","25","25","4","12","2","25","79","0.5","0.5","0.740740741","3","2","8","4.41","3","3","5","5","4","3","2","4","3","19.32","1","3","104","0.02","0.006329114","0.009615385","4.16","1","0.04","0.08","24.03846154","33.33333333","0.1932","1.481481481","2.962962963","0.286222222","4.444444444"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00024","","","","25","25","6","15","4","18","41","4","2.5","5.925925926","3","4","1","1.38","2","2","5","5","4","4","2","4","4","15.21","6.5","10.5","59","0.222222222","0.06097561","0.110169492","2.36","0.72","0.26","0.16","30.50847458","61.9047619","0.98865","9.62962963","5.925925926","1.464666667","15.55555556"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00025","","","","25","25","2","13","1.9","24","20","3","1.5","4.444444444","2","3","6","3.96","3","3","5","5","4","4","3","3","3","15.21","4.5","6.4","44","0.125","0.075","0.102272727","1.76","0.96","0.18","0.076","54.54545455","70.3125","0.68445","6.666666667","2.814814815","1.014","9.481481481"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00026","","","","25","25","1","20","4.6","27","52","5","1","7.407407407","6","1","5","1.74","3","3","5","5","3","5","2","5","5","23.12","6","10.6","79","0.185185185","0.019230769","0.075949367","3.16","1.08","0.24","0.184","34.17721519","56.60377358","1.3872","8.888888889","6.814814815","2.055111111","15.7037037"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00027","","","","25","25","8","19","2.1","52","76","6","2.5","8.888888889","4","2","6","10.5","3","3","5","5","3","4","3","4","3","10.14","8.5","10.6","128","0.115384615","0.032894737","0.06640625","5.12","2.08","0.34","0.084","40.625","80.18867925","0.8619","12.59259259","3.111111111","1.276888889","15.7037037"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00028","","","","25","25","5","22","2","48","30","11","1.5","16.2962963","3","2","5","6.12","4","3","5","5","2","4","4","3","3","17.11","12.5","14.5","78","0.229166667","0.05","0.16025641","3.12","1.92","0.5","0.08","61.53846154","86.20689655","2.13875","18.51851852","2.962962963","3.168518519","21.48148148"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00029","","","","25","25","1","19","3.2","44","26","8","2","11.85185185","4","1","2","0.69","4","4","5","5","3","4","3","1","2","14.1","10","13.2","70","0.181818182","0.076923077","0.142857143","2.8","1.76","0.4","0.128","62.85714286","75.75757576","1.41","14.81481481","4.740740741","2.088888889","19.55555556"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00030","","","","25","25","1","16","1.8","31","46","4","1.5","5.925925926","1","9","4","12.39","3","2","5","5","2","5","3","3","3","11.73","5.5","7.3","77","0.129032258","0.032608696","0.071428571","3.08","1.24","0.22","0.072","40.25974026","75.34246575","0.64515","8.148148148","2.666666667","0.955777778","10.81481481"
