"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00022","","","","26","22","3","5","5","22","22","16","20","4","5.1","4.5","1","5","3","5","9.1","13.6","36","0.25","0.255","0.252777778","1.636363636","1.384615385","0.727272727","0.615384615","0.413636364","0.35","0.204545455","0.173076923","44.44444444","66.91176471","84.61538462","5.698005698","6.734006734","12.96296296","15.31986532","6.41025641","7.575757576","19.37321937","22.8956229"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00023","","","","26","26","1","1","7","23","23","17","21","4.1","4.7","5.5","4","3","5","1","8.8","14.3","38","0.241176471","0.223809524","0.231578947","1.652173913","1.461538462","0.739130435","0.653846154","0.382608696","0.338461538","0.239130435","0.211538462","44.73684211","61.53846154","88.46153846","5.84045584","6.602254428","12.53561254","14.17069243","7.834757835","8.85668277","20.37037037","23.0273752"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00024","","","","26","26","1","1","5","26","26","23","38","7","8.7","7.7","4","3","3","5","15.7","23.4","61","0.304347826","0.228947368","0.257377049","2.346153846","2.346153846","0.884615385","0.884615385","0.603846154","0.603846154","0.296153846","0.296153846","37.70491803","67.09401709","100","9.971509972","9.971509972","22.36467236","22.36467236","10.96866097","10.96866097","33.33333333","33.33333333"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00025","","","","26","20","1","1","5","19","19","20","24","5.5","5","5","2","1","5","5","10.5","15.5","44","0.275","0.208333333","0.238636364","2.315789474","1.692307692","1.052631579","0.769230769","0.552631579","0.403846154","0.263157895","0.192307692","45.45454545","67.74193548","73.07692308","7.834757835","10.72124756","14.95726496","20.46783626","7.122507123","9.746588694","22.07977208","30.21442495"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00026","","","","26","26","1","1","7","26","26","16","21","4","5.1","6","6","1","3","1","9.1","15.1","37","0.25","0.242857143","0.245945946","1.423076923","1.423076923","0.615384615","0.615384615","0.35","0.35","0.230769231","0.230769231","43.24324324","60.26490066","100","5.698005698","5.698005698","12.96296296","12.96296296","8.547008547","8.547008547","21.50997151","21.50997151"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00027","","","","26","21","1","1","7","20","20","13","19","3.5","4.4","6.5","4","1","5","1","7.9","14.4","32","0.269230769","0.231578947","0.246875","1.6","1.230769231","0.65","0.5","0.395","0.303846154","0.325","0.25","40.625","54.86111111","76.92307692","4.985754986","6.481481481","11.25356125","14.62962963","9.259259259","12.03703704","20.51282051","26.66666667"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00028","","","","26","26","3","5","9","26","26","20","38","5.7","9.5","10.3","4","1","1","7","15.2","25.5","58","0.285","0.25","0.262068966","2.230769231","2.230769231","0.769230769","0.769230769","0.584615385","0.584615385","0.396153846","0.396153846","34.48275862","59.60784314","100","8.11965812","8.11965812","21.65242165","21.65242165","14.67236467","14.67236467","36.32478632","36.32478632"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00029","","","","26","23","1","1","5","20","20","15","22","4","5","6.5","2","3","1","1","9","15.5","37","0.266666667","0.227272727","0.243243243","1.85","1.423076923","0.75","0.576923077","0.45","0.346153846","0.325","0.25","40.54054054","58.06451613","76.92307692","5.698005698","7.407407407","12.82051282","16.66666667","9.259259259","12.03703704","22.07977208","28.7037037"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00030","","","","26","26","1","1","5","24","24","12","19","3","5","4.7","2","5","1","9","8","12.7","31","0.25","0.263157895","0.258064516","1.291666667","1.192307692","0.5","0.461538462","0.333333333","0.307692308","0.195833333","0.180769231","38.70967742","62.99212598","92.30769231","4.273504274","4.62962963","11.3960114","12.34567901","6.695156695","7.25308642","18.09116809","19.59876543"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00031","","","","26","26","1","1","5","26","26","14","20","4","5.1","3.9","2","5","1","7","9.1","13","34","0.285714286","0.255","0.267647059","1.307692308","1.307692308","0.538461538","0.538461538","0.35","0.35","0.15","0.15","41.17647059","70","100","5.698005698","5.698005698","12.96296296","12.96296296","5.555555556","5.555555556","18.51851852","18.51851852"
