"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2013GUR-AT14","","","","","","","","","MZP2013GUR-AT14-00011","","","","39","25","1","3","5","25","25","31","30","8","5","14.5","5","3","3","3","1","5","3","3","7.23","13","27.5","61","0.258064516","0.166666667","0.213114754","2.44","1.564102564","1.24","0.794871795","0.52","0.333333333","0.58","0.371794872","50.81967213","47.27272727","64.1025641","7.597340931","11.85185185","12.34567901","19.25925926","13.77018044","21.48148148","26.11585945","40.74074074"
"","","MZP2013GUR-AT14","","","","","","","","","MZP2013GUR-AT14-00012","","","","39","30","3","5","5","30","30","46","63","10.1","7.5","16.7","6","5","5","1","1","5","3","3","7.23","17.6","34.3","109","0.219565217","0.119047619","0.16146789","3.633333333","2.794871795","1.533333333","1.179487179","0.586666667","0.451282051","0.556666667","0.428205128","42.20183486","51.31195335","76.92307692","9.591642925","12.4691358","16.71415005","21.72839506","15.85944919","20.61728395","32.57359924","42.34567901"
"","","MZP2013GUR-AT14","","","","","","","","","MZP2013GUR-AT14-00013","","","","39","28","1","3","5","28","28","50","40","15","5.6","9","3","3","3","7","1","5","3","3","6.12","20.6","29.6","90","0.3","0.14","0.228888889","3.214285714","2.307692308","1.785714286","1.282051282","0.735714286","0.528205128","0.321428571","0.230769231","55.55555556","69.59459459","71.79487179","14.24501425","19.84126984","19.5631529","27.24867725","8.547008547","11.9047619","28.11016144","39.15343915"
"","","MZP2013GUR-AT14","","","","","","","","","MZP2013GUR-AT14-00014","","","","39","19","1","1","5","19","19","10","28","5","6.3","4.5","5","5","5","3","1","5","5","3","7.76","11.3","15.8","38","0.5","0.225","0.297368421","2","0.974358974","0.526315789","0.256410256","0.594736842","0.28974359","0.236842105","0.115384615","26.31578947","71.51898734","48.71794872","4.748338082","9.746588694","10.73124406","22.02729045","4.273504274","8.771929825","15.00474834","30.79922027"
"","","MZP2013GUR-AT14","","","","","","","","","MZP2013GUR-AT14-00015","","","","39","20","1","1","5","20","20","31","48","8.5","5.6","7.5","5","5","7","3","1","5","3","3","6.12","14.1","21.6","79","0.274193548","0.116666667","0.178481013","3.95","2.025641026","1.55","0.794871795","0.705","0.361538462","0.375","0.192307692","39.24050633","65.27777778","51.28205128","8.072174739","15.74074074","13.39031339","26.11111111","7.122507123","13.88888889","20.51282051","40"
"","","MZP2013GUR-AT14","","","","","","","","","MZP2013GUR-AT14-00016","","","","39","23","1","3","3","23","23","27","26","9","4","9.9","5","3","3","3","1","5","5","5","10.5","13","22.9","53","0.333333333","0.153846154","0.245283019","2.304347826","1.358974359","1.173913043","0.692307692","0.565217391","0.333333333","0.430434783","0.253846154","50.94339623","56.76855895","58.97435897","8.547008547","14.49275362","12.34567901","20.93397746","9.401709402","15.94202899","21.74738841","36.87600644"
"","","MZP2013GUR-AT14","","","","","","","","","MZP2013GUR-AT14-00017","","","","39","30","1","1","7","30","30","40","20","12","2","10.3","2","1","3","1","3","3","3","1","0.12","14","24.3","60","0.3","0.1","0.233333333","2","1.538461538","1.333333333","1.025641026","0.466666667","0.358974359","0.343333333","0.264102564","66.66666667","57.61316872","76.92307692","11.3960114","14.81481481","13.29534663","17.28395062","9.781576448","12.71604938","23.07692308","30"
"","","MZP2013GUR-AT14","","","","","","","","","MZP2013GUR-AT14-00018","","","","39","31","1","3","5","19","19","16","19","7","3","13.6","4","3","3","3","1","5","3","3","7.23","10","23.6","35","0.4375","0.157894737","0.285714286","1.842105263","0.897435897","0.842105263","0.41025641","0.526315789","0.256410256","0.715789474","0.348717949","45.71428571","42.37288136","48.71794872","6.647673314","13.64522417","9.496676163","19.49317739","12.91547958","26.51072125","22.41215575","46.00389864"
"","","MZP2013GUR-AT14","","","","","","","","","MZP2013GUR-AT14-00019","","","","39","30","1","1","5","22","20","19","10","8","1.5","10.5","2","5","5","3","1","5","5","3","6.12","9.5","20","29","0.421052632","0.15","0.327586207","1.318181818","0.743589744","0.863636364","0.487179487","0.431818182","0.243589744","0.477272727","0.269230769","65.51724138","47.5","56.41025641","7.597340931","13.46801347","9.021842355","15.99326599","9.971509972","17.67676768","18.99335233","33.67003367"
"","","MZP2013GUR-AT14","","","","","","","","","MZP2013GUR-AT14-00020","","","","39","14","1","5","5","14","14","18","27","7.5","3","8.1","6","5","3","1","1","5","5","5","10.5","10.5","18.6","45","0.416666667","0.111111111","0.233333333","3.214285714","1.153846154","1.285714286","0.461538462","0.75","0.269230769","0.578571429","0.207692308","40","56.4516129","35.8974359","7.122507123","19.84126984","9.971509972","27.77777778","7.692307692","21.42857143","17.66381766","49.20634921"
