"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00021","","","","39","29","1","3","6","17","13","4","22","1","4","7.5","7","6","8","3.76","5","12.5","26","0.25","0.181818182","0.192307692","1.529411765","0.666666667","0.235294118","0.102564103","0.294117647","0.128205128","0.441176471","0.192307692","15.38461538","40","43.58974359","0.949667616","2.178649237","4.748338082","10.89324619","7.122507123","16.33986928","11.8708452","27.23311547"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00022","","","","39","22","1","1","5","16","16","13","30","5","11","7.5","9","6","8","6.12","16","23.5","43","0.384615385","0.366666667","0.372093023","2.6875","1.102564103","0.8125","0.333333333","1","0.41025641","0.46875","0.192307692","30.23255814","68.08510638","41.02564103","4.748338082","11.57407407","15.19468186","37.03703704","7.122507123","17.36111111","22.31718898","54.39814815"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00023","","","","39","20","1","3","5","10","7","3","22","0.7","1.8","1.8","7","6","7","11.03","2.5","4.3","25","0.233333333","0.081818182","0.1","2.5","0.641025641","0.3","0.076923077","0.25","0.064102564","0.18","0.046153846","12","58.13953488","25.64102564","0.664767331","2.592592593","2.374169041","9.259259259","1.709401709","6.666666667","4.08357075","15.92592593"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00024","","","","39","30","5","4","7","22","18","21","31","5","5.5","18","7","6","7","3.76","10.5","28.5","52","0.238095238","0.177419355","0.201923077","2.363636364","1.333333333","0.954545455","0.538461538","0.477272727","0.269230769","0.818181818","0.461538462","40.38461538","36.84210526","56.41025641","4.748338082","8.417508418","9.971509972","17.67676768","17.09401709","30.3030303","27.06552707","47.97979798"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00025","","","","39","27","1","1","7","19","16","24","26","8","7","11.5","9","6","7","1.65","15","26.5","50","0.333333333","0.269230769","0.3","2.631578947","1.282051282","1.263157895","0.615384615","0.789473684","0.384615385","0.605263158","0.294871795","48","56.60377358","48.71794872","7.597340931","15.59454191","14.24501425","29.23976608","10.92117759","22.417154","25.16619183","51.65692008"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00026","","","","39","23","1","3","6","6","6","0","26","0","2","10.5","6","7","2","6.12","2","12.5","26","","0.076923077","0.076923077","4.333333333","0.666666667","0","0","0.333333333","0.051282051","1.75","0.269230769","0","16","15.38461538","0","0","1.899335233","12.34567901","9.971509972","64.81481481","11.8708452","77.16049383"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00027","","","","39","29","1","2","4","7","7","5","10","1","0.5","1","5","6","4","3.76","1.5","2.5","15","0.2","0.05","0.1","2.142857143","0.384615385","0.714285714","0.128205128","0.214285714","0.038461538","0.142857143","0.025641026","33.33333333","60","17.94871795","0.949667616","5.291005291","1.424501425","7.936507937","0.949667616","5.291005291","2.374169041","13.22751323"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00028","","","","39","25","1","3","7","17","10","9","6","2.5","1.2","26","7","6","4","1.5","3.7","29.7","15","0.277777778","0.2","0.246666667","0.882352941","0.384615385","0.529411765","0.230769231","0.217647059","0.094871795","1.529411765","0.666666667","60","12.45791246","43.58974359","2.374169041","5.446623094","3.51377018","8.061002179","24.69135802","56.64488017","28.20512821","64.70588235"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00029","","","","39","20","1","1","7","17","13","12","27","2.2","2","14","6","6","4","6.12","4.2","18.2","39","0.183333333","0.074074074","0.107692308","2.294117647","1","0.705882353","0.307692308","0.247058824","0.107692308","0.823529412","0.358974359","30.76923077","23.07692308","43.58974359","2.089268756","4.793028322","3.988603989","9.150326797","13.29534663","30.50108932","17.28395062","39.65141612"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00030","","","","39","13","4","2","3","4","1","1","0","0.2","0","1.5","7","6","1","0.02","0.2","1.7","1","0.2","","0.2","0.25","0.025641026","0.25","0.025641026","0.05","0.005128205","0.375","0.038461538","100","11.76470588","10.25641026","0.189933523","1.851851852","0.189933523","1.851851852","1.424501425","13.88888889","1.614434948","15.74074074"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00031","","","","39","20","1","1","3","5","1","0","1","0","0.1","1","6","6","9","0","0.1","1.1","1","","0.1","0.1","0.2","0.025641026","0","0","0.02","0.002564103","0.2","0.025641026","0","9.090909091","12.82051282","0","0","0.094966762","0.740740741","0.949667616","7.407407407","1.044634378","8.148148148"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00032","","","","39","20","3","2","4","2","","","","","","","","","","","","","","","","","","","","","","","","","","","5.128205128","","","","","","","",""
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00033","","","","39","21","5","2","5","5","1","1","1","0.1","0.1","2.5","5","5","1","0.02","0.2","2.7","2","0.1","0.1","0.1","0.4","0.051282051","0.2","0.025641026","0.04","0.005128205","0.5","0.064102564","50","7.407407407","12.82051282","0.094966762","0.740740741","0.189933523","1.481481481","2.374169041","18.51851852","2.564102564","20"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00034","","","","39","22","1","3","5","10","5","6","16","1.5","1.5","5","7","6","3","6.12","3","8","22","0.25","0.09375","0.136363636","2.2","0.564102564","0.6","0.153846154","0.3","0.076923077","0.5","0.128205128","27.27272727","37.5","25.64102564","1.424501425","5.555555556","2.849002849","11.11111111","4.748338082","18.51851852","7.597340931","29.62962963"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00035","","","","39","26","1","1","7","9","2","0","2","0","0.2","11","6","6","4","0.02","0.2","11.2","2","","0.1","0.1","0.222222222","0.051282051","0","0","0.022222222","0.005128205","1.222222222","0.282051282","0","1.785714286","23.07692308","0","0","0.189933523","0.823045267","10.44634378","45.26748971","10.6362773","46.09053498"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00036","","","","39","25","1","1","6","13","11","0","15","0","0.4","4.8","6","6","3","14.37","0.4","5.2","15","","0.026666667","0.026666667","1.153846154","0.384615385","0","0","0.030769231","0.01025641","0.369230769","0.123076923","0","7.692307692","33.33333333","0","0","0.379867047","1.13960114","4.558404558","13.67521368","4.938271605","14.81481481"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00037","","","","39","27","1","1","6","18","16","9","7","5","1","7","8","5","5","1.17","6","13","16","0.555555556","0.142857143","0.375","0.888888889","0.41025641","0.5","0.230769231","0.333333333","0.153846154","0.388888889","0.179487179","56.25","46.15384615","46.15384615","4.748338082","10.28806584","5.698005698","12.34567901","6.647673314","14.40329218","12.34567901","26.74897119"
