"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00036","","","","23","22","1","1","9","17.8","10","10","20","37","5","2","4","3","4","5","2","5","4","7","24.8","57","0.25","0.054054054","0.122807018","5.7","2.47826087","2","0.869565217","0.7","0.304347826","1.78","0.773913043","35.0877193","28.22580645","43.47826087","8.051529791","18.51851852","11.27214171","25.92592593","28.66344605","65.92592593","39.93558776","91.85185185"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00037","","","","23","23","1","1","9","19.5","15","15","38","60","2.5","2","4","3","5","","","","","4.5","24","98","0.065789474","0.033333333","0.045918367","6.533333333","4.260869565","2.533333333","1.652173913","0.3","0.195652174","1.3","0.847826087","38.7755102","18.75","65.2173913","4.025764895","6.172839506","7.246376812","11.11111111","31.40096618","48.14814815","38.647343","59.25925926"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00038","","","","23","23","1","1","9","16.2","10","10","14","32","2","1","4","3","3","4","2","4","4","3","19.2","46","0.142857143","0.03125","0.065217391","4.6","2","1.4","0.608695652","0.3","0.130434783","1.62","0.704347826","30.43478261","15.625","43.47826087","3.220611916","7.407407407","4.830917874","11.11111111","26.08695652","60","30.9178744","71.11111111"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00039","","","","23","23","1","1","9","15.8","6","6","40","32","3","1","4","3","4","5","2","5","4","4","19.8","72","0.075","0.03125","0.055555556","12","3.130434783","6.666666667","1.739130435","0.666666667","0.173913043","2.633333333","0.686956522","55.55555556","20.2020202","26.08695652","4.830917874","18.51851852","6.441223833","24.69135802","25.44283414","97.5308642","31.88405797","122.2222222"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00040","","","","23","23","1","1","9","16.9","6","6","25","6","2","1","4","3","5","5","2","4","5","3","19.9","31","0.08","0.166666667","0.096774194","5.166666667","1.347826087","4.166666667","1.086956522","0.5","0.130434783","2.816666667","0.734782609","80.64516129","15.07537688","26.08695652","3.220611916","12.34567901","4.830917874","18.51851852","27.21417069","104.3209877","32.04508857","122.8395062"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00041","","","","23","22","1","1","9","17.2","8","8","21","17","3","1","4","3","4","5","2","5","4","4","21.2","38","0.142857143","0.058823529","0.105263158","4.75","1.652173913","2.625","0.913043478","0.5","0.173913043","2.15","0.747826087","55.26315789","18.86792453","34.7826087","4.830917874","13.88888889","6.441223833","18.51851852","27.69726248","79.62962963","34.13848631","98.14814815"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00042","","","","23","23","1","1","9","10.5","5","5","8","18","2","1.5","3","3","4","4","2","4","4","3.5","14","26","0.25","0.083333333","0.134615385","5.2","1.130434783","1.6","0.347826087","0.7","0.152173913","2.1","0.456521739","30.76923077","25","21.73913043","3.220611916","14.81481481","5.636070853","25.92592593","16.90821256","77.77777778","22.54428341","103.7037037"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00043","","","","23","9","1","1","7","7.5","4","4","12","10","4.5","2.2","4","3","4","5","2","4","4","6.7","14.2","22","0.375","0.22","0.304545455","5.5","0.956521739","3","0.52173913","1.675","0.291304348","1.875","0.326086957","54.54545455","47.18309859","17.39130435","7.246376812","41.66666667","10.78904992","62.03703704","12.07729469","69.44444444","22.86634461","131.4814815"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00044","","","","23","23","1","1","9","17","6","6","13","22","2.5","3.5","4","4","4","5","3","5","4","6","23","35","0.192307692","0.159090909","0.171428571","5.833333333","1.52173913","2.166666667","0.565217391","1","0.260869565","2.833333333","0.739130435","37.14285714","26.08695652","26.08695652","4.025764895","15.43209877","9.661835749","37.03703704","27.37520129","104.9382716","37.03703704","141.9753086"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00045","","","","23","23","1","1","9","17.2","11","11","9","26","1.5","3","4","4","4","3","2","5","4","4.5","21.7","35","0.166666667","0.115384615","0.128571429","3.181818182","1.52173913","0.818181818","0.391304348","0.409090909","0.195652174","1.563636364","0.747826087","25.71428571","20.73732719","47.82608696","2.415458937","5.050505051","7.246376812","15.15151515","27.69726248","57.91245791","34.94363929","73.06397306"
